aba	阿巴	Aba	abaA
aishu	爱书	Love of books	aishuL
aishu	矮树	Dwarf tree	aishuD
aisi	哀思	Sorrowful thoughts	aisiS
aitan	哀叹	Lament	aitanL
aitong	哀痛	Grief	aitongG
aiwan	爱玩	Love to play	aiwanL
aiwan	哀婉	Melancholy	aiwanM
aiwei	艾薇	Evie	aiweiE
aiwen	爱问	Asking questions	aiwenA
aixi	爱惜	Cherish	aixiC
aixi	艾希	Aloe vera	aixiA
aixiao	矮小	Short	aixiaoS
aixin	爱心	Love	aixinL
aiya	哎呀	Oh	aiyaO
aiyi	爱意	Affection	aiyiA
aiyo	哎哟	Oh no!	aiyoO
aiyu	哀语	mournful words	aiyum
aiyuan	哀怨	Lamentation	aiyuanL
aiyue	哀乐	Funeral music	aiyueF
aizeng	爱憎	Love and hate	aizengL
aizhe	爱着	Loving	aizheL
aizhe	挨着	Next to	aizheN
aizheng	癌症	Cancer	aizhengC
aizhuo	矮桌	Low Table	aizhuoL
aizi	矮子	Little guy	aiziLi
aizi	艾滋	Aids	aiziA
aizi	爱子	Loving one's children	aiziLo
ajiao	阿娇	Ajiao	ajiaoA
ala	阿拉	Dude	alaD
alai	阿来	A-lai	alaiA
alan	阿兰	Alan	alanA
ali	阿里	Ali	aliA
alun	阿伦	Aalen	alunA
aluo	阿罗	A Luo	aluoA
ama	阿妈	Mother	amaM
aman	阿曼	Oman	amanO
amei	阿妹	A younger sister	ameiA y
amei	阿美	Amei	ameiAm
amei	阿梅	A Mei	ameiA M
amen	阿门	Amen	amenA
ameng	阿蒙	Amun	amengA
amu	阿母	A mother	amuA
ana	阿娜	Ana	anaA
anan	暗暗	Secretly	ananS
anan	安安	An An	ananA
anban	案板	Cutting board	anbanC
anbao	安保	maintain security	anbaom
anbao	暗堡	Secret bunker	anbaoS
anbian	岸边	By the Shore	anbianBy
anbian	氨苄	Benzylamine	anbianBe
anbu	暗部	Dark part	anbuD
ancang	暗藏	Hide	ancangH
anchao	暗潮	Undercurrent	anchaoU
anchen	暗沉	Dark and Heavy	anchenD
ancheng	案秤	Balance scale	anchengB
anchu	暗处	Darkness	anchuD
anchuang	暗疮	Pimples	anchuangP
anci	按此	According to this	anciA
andan	暗淡	Dull	andanDu
andan	黯淡	Dim	andanDi
andan	氨氮	Ammonia nitrogen	andanA
andao	按到	Pressed on	andaoP
andi	安迪	Andy	andiA
anding	安定	Stable	andingS
andong	按动	To press	andongT
andong	安东	East Dong	andongE
andu	暗度	To act secretly	anduT
andu	案牍	Office documents	anduO
andun	安顿	To settle down	andunT
anduo	安多	Ngamo	anduoN
anfang	安放	Store	anfangSt
anfang	安防	Security	anfangSe
anfang	暗房	Dark Room	anfangD
anfen	安分	Content	anfenC
anfu	安抚	Comfort	anfuC
angan	安敢	Dare you	anganD
angen	铵根	Ammonium ion	angenA
anggui	昂贵	Expensive	angguiE
angqi	昂起	Rising Up	angqiR
angran	盎然	Vibrant	angranV
angshou	昂首	Raise your head	angshouR
angsi	盎司	Ounce	angsiO
angtou	昂头	To hold one's head high	angtouT
anguang	暗光	Dim Light	anguangD
anguo	安国	Anguo	anguoA
angyang	昂扬	Upright	angyangU
angzang	肮脏	Dirty	angzangD
anhai	暗害	Secret murder	anhaiS
anhai	安海	Anhai	anhaiA
anhan	暗含	Implied	anhanI
anhao	暗号	Code name	anhaoC
anhao	安好	Fine	anhaoF
anhe	暗河	Underground river	anheU
anhe	暗合	Agree without prior consultation	anheA
anhong	暗红	Dark Red	anhongD
anhou	案后	After the Case	anhouA
anhu	按户	To measure by households	anhuT
anhua	暗花	Underglaze blue	anhuaU
anhui	安徽	Anhui	anhuiA
anji	氨基	Amino	anjiA
anjia	安家	To settle down	anjiaT
anjian	按键	Key	anjianK
anjian	案件	Case	anjianC
anjian	安检	Security check	anjianSe
anjian	鞍鞯	Saddle and bridle	anjianSa
anjiao	暗礁	Shoals	anjiaoS
anjing	安静	Quiet	anjingQ
anju	安居	Peaceful residence	anjuP
anjuan	案卷	Case file	anjuanC
ankang	安康	Health	ankangH
anla	安拉	Allah	anlaA
anle	安乐	Peace and happiness	anleP
anlei	胺类	Amines	anleiA
anli	案例	Case study	anliC
anlu	安陆	Anlu	anluA
anlv	暗绿	dark green	anlvd
anma	鞍马	Saddle and horse	anmaS
anman	安曼	Amman	anmanA
anmen	俺们	We	anmenW
anmi	安谧	Tranquil	anmiT
anmian	安眠	Sleep peacefully	anmianS
anmin	安民	To benefit the people	anminT
anmo	按摩	Massage	anmoM
anna	安娜	Anna	annaA
annan	安南	Annan	annanA
anni	安妮	Anne	anniA
anning	安宁	Peaceful	anningP
anniu	按钮	Button	anniuB
anpai	安排	Arrange	anpaiA
anpei	安培	Ampere	anpeiA
anping	安平	Anping	anpingA
anqi	按期	Regularly	anqiR
anqi	氨气	Ammonia	anqiA
anqiao	岸桥	Bridge	anqiaoB
anqin	安寝	Peaceful sleep	anqinP
anqing	案情	Case details	anqingC
anqing	安庆	Anqing	anqingA
anqu	暗渠	Underground channel	anquU
anquan	安全	Safe	anquanS
anran	安然	Safe and sound	anranS
anran	黯然	Melancholy	anranM
anri	按日	By day	anriB
anruo	暗弱	Weak	anruoW
ansai	安塞	Anxi	ansaiA
anse	暗色	Dark Colors	anseD
ansha	暗杀	Assassinate	anshaA
anshan	鞍山	Anshan	anshanA
anshang	安上	To be settled	anshangT
anshang	按上	Press up	anshangP
anshang	岸上	On the shore	anshangO
anshen	安神	Calm the nerves	anshenC
anshen	安身	To secure oneself	anshenT
anshi	按时	On time	anshiO
anshi	暗示	Hint	anshiHin
anshi	暗室	Hidden room	anshiHid
anshi	安适	Comfortable	anshiC
anshu	桉树	Eucalyptus	anshuE
anshui	氨水	aqueous ammonia	anshuia
anshui	安睡	Sleep soundly	anshuiS
anshun	安顺	Anshun	anshunA
anshuo	按说	It is said	anshuoI
ansuan	氨酸	Amino acid	ansuanA
antai	安泰	Antai	antaiA
antan	岸滩	Shore Beach	antanS
anting	安亭	An Ting	antingA
antou	案头	Desk	antouD
antu	按图	According to the diagram	antuA
anwei	安慰	Comfort	anweiC
anwei	安危	Safety and security	anweiS
anwen	安稳	Stable	anwenS
anwen	暗纹	Dark Patterns	anwenD
anwo	安卧	Resting	anwoR
anxi	安息	Rest	anxiR
anxi	安西	Western Regions	anxiW
anxia	按下	Press down	anxiaP
anxian	岸线	Coastline	anxianC
anxian	暗线	Dark line	anxianD
anxiang	安详	Tranquil	anxiangTr
anxiang	暗想	To think of secretly	anxiangTo
anxiang	暗香	Incense fragrance	anxiangI
anxiang	暗箱	Camera bellows	anxiangC
anxiao	暗笑	Silent laughter	anxiaoS
anxin	安心	At ease	anxinA
anxu	按序	In order	anxuI
anya	按压	Press	anyaP
anyan	铵盐	Ammonium salts	anyanA
anyang	安阳	Anyang	anyangA
anye	暗夜	Dark night	anyeD
anyi	安逸	Comfortable	anyiC
anying	暗影	Shadow	anyingS
anying	安营	Pitch a camp	anyingP
anyou	案由	Case subject	anyouC
anyu	安于	Content with	anyuC
anyu	按语	Note	anyuN
anyu	暗喻	Implicit metaphor	anyuI
anzai	安在	Where is it?	anzaiW
anzang	安葬	To bury	anzangT
anzhao	按照	According to	anzhaoA
anzhe	按着	Following	anzheF
anzhen	安贞	Antei	anzhenA
anzhi	安置	Arrange	anzhiA
anzhi	暗指	Implied meaning	anzhiI
anzhi	安知	To know	anzhiT
anzhong	暗中	Secretly	anzhongS
anzhu	按住	To hold	anzhuT
anzhuang	安装	Install	anzhuangI
anzhuo	安卓	Android	anzhuoA
anzi	案子	Case	anziC
anzi	暗自	Secretly	anziS
aoao	嗷嗷	Crying	aoaoC
aoban	凹版	Intaglio printing	aobanI
aobao	敖包	Parcel	aobaoP
aocao	凹槽	Socket	aocaoS
aochu	凹处	Depressed areas	aochuD
aogu	傲骨	Lofty and unyielding character	aoguL
aoguo	熬过	Get through	aoguoG
aohe	螯合	Chewing	aoheC
aohen	凹痕	Depression	aohenD
aohui	懊悔	Regret	aohuiR
aojin	凹进	Recessed	aojinR
aokeng	凹坑	Depression	aokengD
aokou	拗口	Difficult to understand	aokouD
aolan	奥兰	Ao Lan	aolanA
aoli	傲立	Standing tall	aoliS
aoman	傲慢	Arrogant	aomanA
aomao	澳毛	Australian wool	aomaoA
aomei	奥美	Ome	aomeiO
aomen	澳门	Macao	aomenM
aomi	奥秘	Mystery	aomiM
aomian	凹面	Recessed surface	aomianR
aomiao	奥妙	Mystery	aomiaoM
aonao	懊恼	Regret	aonaoR
aoni	奥尼	Onyx	aoniO
aoran	傲然	Proudly	aoranP
aosai	奥赛	Ose	aosaiO
aosang	懊丧	Dejected	aosangD
aoshi	傲视	To look down on	aoshiT
aoshi	傲世	Arrogant towards the world	aoshiA
aote	奥特	Auto	aoteA
aotu	凹凸	Convex	aotuC
aotuo	奥托	Otto	aotuoO
aoxia	凹下	Recess	aoxiaR
aoxian	凹陷	Depression	aoxianD
aoxiang	翱翔	Soaring	aoxiangS
aoxing	凹形	Concave	aoxingC
aoye	熬夜	Stay up late	aoyeS
aoyou	遨游	Roam	aoyouR
aoyuan	鳌园	鳌园	aoyuan鳌
aoyun	奥运	Olympic Games	aoyunO
aozhan	鏖战	Fierce battle	aozhanF
aozhi	熬制	To brew	aozhiT
aqi	阿七	A7	aqiA
asao	阿嫂	A wife	asaoA
ase	阿瑟	Arthur	aseA
ata	阿塔	Ata	ataA
axi	阿西	A Si	axiA
axiong	阿兄	A brother	axiongA
axiu	阿秀	A Xiu	axiuA
aya	啊呀	Oh dear	ayaO
aye	阿爷	Grandpa	ayeG
ayi	阿姨	Aunt	ayiA
aza	腌臜	Fermented	azaF
baba	爸爸	Dad	babaD
baba	巴巴	Bermuda	babaB
babai	八百	Eight hundred	babaiE
babao	八宝	Eight treasures	babaoE
babing	把柄	Handle	babingH
babu	巴布	Babu	babuB
bacheng	八成	Eighty percent	bachengE
bachi	把持	Hold	bachiH
bachi	八尺	Eight feet	bachiE
bachu	拔出	Draw out	bachuD
bachu	拔除	Remove	bachuR
bada	八大	Eight Major	badaE
bada	吧嗒	a click	badaa
badao	霸道	Domineering	badaoD
badian	八点	8 o'clock	badian8
badiao	拔掉	To pluck	badiaoT
badong	巴东	Ba Dong	badongB
badou	笆斗	Round-bottomed basket	badouR
badu	八度	Octave	baduO
badun	巴顿	Patton	badunP
baer	把儿	Handle	baerH
baer	巴尔	Baal	baerB
bafang	八方	All directions	bafangA
bafen	八分	Eight parts	bafenE
bagao	拔高	Raise High	bagaoR
bage	八个	Eight	bageEight
bage	八哥	Crested myna	bageC
bage	八格	Eight Squares	bageEight 
bagong	罢工	Strike	bagongS
bagu	八股	Eight-Paragraph Essay	baguE
bagua	八卦	Gossip	baguaG
baguan	把关	Guard	baguanG
baguan	罢官	Dismissal from office	baguanD
bahe	拔河	Tug-of-war	baheT
bahe	巴赫	Bach	baheB
bahen	疤痕	Scar	bahenS
baibai	拜拜	Goodbye	baibaiG
baibai	白白	In vain	baibaiI
baiban	百般	Various	baibanV
baiban	白板	Whiteboard	baibanW
baibei	百倍	A hundredfold	baibeiA
baibei	败北	Suffer defeat	baibeiS
baibi	败笔	Faulty stroke	baibiF
baibi	摆臂	Swing arm	baibiS
baibian	百变	Hundred Changes	baibianHundred C
baibian	百遍	Hundred times	baibianHundred t
baibing	百病	All diseases	baibingA
baibu	摆布	At one's disposal	baibuA
baibu	百步	Hundred steps	baibuHundred s
baibu	白布	White cloth	baibuW
baibu	百部	Hundred Volumes	baibuHundred V
baicai	白菜	Chinese cabbage	baicaiC
baicao	百草	Hundred herbs	baicaoH
baicao	白草	White grass	baicaoW
baicao	败草	Fallen grass	baicaoF
baicha	白茶	White Tea	baichaW
baicheng	摆成	Arrange into a Shape	baichengA
baichi	白痴	Idiot	baichiI
baichi	白吃	To eat for free	baichiT
baichi	百尺	Hundred feet	baichiH
baichu	摆出	To arrange	baichuT
baichu	百出	Hundred performances	baichuH
baichuan	百川	Hundred rivers	baichuanH
baichui	摆锤	Swing a hammer	baichuiS
baici	百次	Hundred times	baiciH
baici	白瓷	Baici	baiciB
baici	拜辞	Farewell greetings	baiciF
baidai	百代	For centuries	baidaiF
baidao	摆到	Place on	baidaoPl
baidao	拜倒	Prostrate oneself	baidaoPr
baidao	白道	Moon's path	baidaoM
baide	摆得	Arranged	baideA
baideng	白等	White Waiter	baidengW
baidi	白底	White-based	baidiWhite-
baidi	白地	White ground	baidiWhite 
baidian	白点	White Spot	baidianW
baiding	白丁	Commoner	baidingC
baidong	摆动	Swing	baidongS
baidu	百度	Baidu	baiduB
baidu	摆渡	Ferry	baiduF
baiduan	掰断	Snap	baiduanS
baidun	百吨	Hundred tons	baidunH
baie	白鹅	White Goose	baieW
baie	白垩	Chalk	baieC
baifa	白发	White hair	baifaW
baifang	摆放	Place	baifangP
baifang	拜访	Visit	baifangV
baifang	白方	White Side	baifangW
baifei	白费	Waste	baifeiWa
baifei	白匪	White bandits	baifeiWh
baifen	白粉	White powder	baifenW
baifen	百分	Percent	baifenP
baifo	拜佛	Praying to Buddha	baifoP
baigan	摆杆	Control rod	baiganC
baige	白鸽	White Pigeon	baigeW
baige	百个	Hundreds	baigeH
baigei	败给	Defeated by	baigeiD
baigong	白宫	White House	baigongW
baigong	百工	Hundred Craftsmen	baigongH
baigu	白骨	White bones	baiguW
baiguan	百官	Imperial Officials	baiguanI
baiguang	白光	White light	baiguangW
baiguo	白果	White fruit	baiguoW
baihai	白海	White Sea	baihaiW
baihao	摆好	Arrange	baihaoA
baihe	百合	Lily	baiheL
baihe	白鹤	White crane	baiheW
baihou	白喉	Diphtheria	baihouD
baihu	白虎	White Tiger	baihuW
baihu	百户	Hundred households	baihuH
baihua	百花	Hundred Flowers	baihuaH
baihua	白花	White Flower	baihuaWhite 
baihua	白话	Colloquial language	baihuaC
baihua	白桦	Birch tree	baihuaB
baihua	白化	Whitening	baihuaWhiten
baihuai	败坏	Ruinous	baihuaiR
baihui	拜会	Pay a visit	baihuiP
baihui	百回	Hundred times	baihuiH
baihuo	百货	Department store	baihuoD
baiji	败绩	Defeat	baijiD
baiji	百计	Hundred schemes	baijiH
baijia	百家	Hundred schools	baijiaH
baijian	拜见	Pay a visit	baijianP
baijian	摆件	Displaying Items	baijianD
baijiang	白讲	White speech	baijiangW
baijiao	白胶	White glue	baijiaoW
baijin	百斤	One hundred catties	baijinO
baijing	白净	fair and clear	baijingf
baijing	白鲸	White whale	baijingW
baijiu	白酒	White wine	baijiuW
baijiu	摆酒	Banquet	baijiuB
baiju	败局	Losing Position	baijuL
baijun	败军	Defeated army	baijunD
baikai	摆开	To set out	baikaiT
baike	百科	Encyclopedia	baikeE
baike	拜客	To visit a guest	baikeT
baila	白蜡	White wax	bailaW
bailan	白兰	White Lotus	bailanW
bailei	败类	Scoundrels	baileiS
baili	百里	Hundred miles	bailiH
bailian	白脸	White face	bailianWhite f
bailian	白练	White streak	bailianWhite s
bailian	白鲢	Silver Carp	bailianS
bailian	白莲	White Lotus	bailianWhite L
bailin	白磷	White phosphorus	bailinW
bailing	白领	White-collar worker	bailingW
bailing	百灵	Lark	bailingL
bailong	白龙	White Dragon	bailongW
bailu	白鹭	White Egret	bailuWhite E
bailu	白露	White Dew	bailuWhite Dew
bailu	白鹿	White Deer	bailuWhite Dee
bailun	拜伦	George Byron	bailunG
bailuo	败落	To decline	bailuoT
bailv	百侣	Companion	bailvC
baima	白马	White Horse	baimaW
baiman	摆满	To arrange full	baimanT
baimang	百忙	Busy times	baimangB
baimao	白猫	White cat	baimaoWhite c
baimao	白毛	White hair	baimaoWhite hai
baimao	白帽	White Hat	baimaoWhite Hat
baimi	百米	Hundred meters	baimiH
baimi	白米	White rice	baimiW
baimian	白面	Wheat flour	baimianW
baimiao	白描	White drawing	baimiaoW
baimo	白沫	White foam	baimoW
baimu	百亩	Hundred Acres	baimuH
baimu	白木	White wood	baimuW
baimu	柏木	Phoebe Wood	baimuP
bainen	白嫩	White and tender	bainenW
baini	白腻	White Paste	bainiW
bainian	百年	Hundred years	bainianH
bainian	拜年	Pay New Year's greetings	bainianP
bainiao	百鸟	Birds	bainiaoB
bainiao	白鸟	White bird	bainiaoW
bainong	摆弄	To fiddle with	bainongT
baipang	白胖	White Fat	baipangW
baiping	摆平	Settle	baipingS
baiping	白屏	White screen	baipingW
baiqi	白棋	White chess pieces	baiqiWhite c
baiqi	摆起	To set up	baiqiT
baiqi	白漆	White lacquer	baiqiWhite l
baiqi	白起	Bai Qi	baiqiB
baiqian	百千	Hundreds of thousands	baiqianH
baiqian	白前	White Front	baiqianW
baiqiang	白墙	White Wall	baiqiangW
baiqing	拜请	To bow and request	baiqingT
baiqiu	白球	White ball	baiqiuW
baiqiu	摆球	Pendulum	baiqiuPe
baiqiu	拜求	Pray and ask	baiqiuPr
baiquan	摆拳	Fist movements	baiquanF
baiqun	白裙	White dress	baiqunW
bairen	百人	Hundred people	bairenH
bairen	白人	Caucasian	bairenC
bairen	白刃	Naked sword	bairenN
bairi	百日	Hundred days	bairiH
bairi	白日	Daylight	bairiD
bairuo	白若	Like White	bairuoL
baise	白色	White	baiseW
baise	百色	Baxi	baiseB
baisha	白沙	White Sand	baishaW
baishang	摆上	Place on	baishangP
baishe	摆设	Decoration	baisheD
baishi	百事	All matters	baishiAl
baishi	百世	A hundred generations	baishiA 
baishi	白石	Baishi	baishiB
baishi	白食	White food	baishiW
baishou	摆手	Arm swings	baishouA
baishou	拜寿	Congratulate an elderly person on his birthday	baishouC
baishu	柏树	Cypress	baishuC
baishu	白薯	Sweet potato	baishuS
baishu	白鼠	White Mouse	baishuW
baishuang	白霜	Frost	baishuangF
baishui	白水	Clear water	baishuiC
baisong	白送	Gift freely	baisongG
baisu	败诉	Lose a lawsuit	baisuL
baisui	百岁	Hundred years old	baisuiH
baita	白塔	White pagoda	baitaW
baitai	百态	Various Forms	baitaiV
baitang	白糖	White sugar	baitangW
baitang	拜堂	To pay respects at the altar	baitangT
baiti	白体	Lean type	baitiL
baitian	白天	Daytime	baitianD
baitong	白铜	Copper-nickel alloy	baitongC
baitou	白头	White hair	baitouW
baitu	白兔	White Rabbit	baituWhite R
baitu	白土	White Soil	baituWhite S
baitui	败退	To retreat in defeat	baituiT
baitui	摆腿	Leg swing	baituiL
baituo	拜托	Entrust	baituoE
baituo	摆脱	Get rid of	baituoG
baiwan	百万	Million	baiwanM
baiwang	拜望	To pay a visit	baiwangT
baiwei	百味	Hundred Flavors	baiweiHundred 
baiwei	百位	Hundred's place	baiweiHundred'
baiwei	摆尾	Tail	baiweiT
baiwen	白文	White Script	baiwenW
baiwu	白雾	Mist	baiwuM
baiwu	百物	Various objects	baiwuV
baiwu	百无	Without exception	baiwuW
baixi	白皙	Fair-skinned	baixiF
baixi	摆席	To set up a banquet	baixiT
baixia	摆下	Put Down	baixiaP
baixia	白虾	White shrimp	baixiaW
baixian	白线	White line	baixianW
baixian	摆线	Cycloid	baixianC
baixiang	白象	Bai Xiang	baixiangBai Xiang
baixiang	白相	Bai Xiang (Frank	baixiangBai Xiang 
baixie	拜谢	Thank you	baixieT
baixing	百姓	Common people	baixingC
baixu	白须	White beard	baixuW
baixuan	败选	Lost Election	baixuanL
baixue	白雪	White snow	baixueW
baiyan	白眼	White eye	baiyanWhite e
baiyan	白烟	White smoke	baiyanWhite s
baiyang	白羊	White Sheep	baiyangW
baiyang	白杨	Alder tree	baiyangA
baiye	拜谒	To pay a visit to (a temple	baiyeT
baiye	白夜	White night	baiyeW
baiye	败叶	Fallen leaves	baiyeF
baiyi	白衣	White clothes	baiyiWhite c
baiyi	百亿	Hundred Billion	baiyiH
baiyi	白蚁	White ant	baiyiWhite a
baiyin	白银	Silver	baiyinS
baiyou	柏油	Asphalt	baiyouA
baiyou	白釉	White Glaze	baiyouW
baiyu	百余	Over one hundred	baiyuO
baiyu	白玉	White jade	baiyuWhite j
baiyu	败于	Defeated by	baiyuD
baiyu	白于	White silk	baiyuWhite s
baiyu	白鱼	White fish	baiyuWhite f
baiyuan	百元	Hundred yuan	baiyuanH
baiyue	白月	White moon	baiyueW
baiyue	百越	Southern Tribes	baiyueS
baiyun	白云	White Clouds	baiyunW
baizai	摆在	Placed	baizaiP
baizhan	百战	Hundred battles	baizhanH
baizhang	百丈	Baizhang	baizhangB
baizhao	百兆	Hundred Megabits	baizhaoH
baizhe	摆着	Placed	baizheP
baizheng	摆正	Set right	baizhengS
baizhi	白纸	White Paper	baizhiWhite P
baizhi	白芷	White lawsonia inermis	baizhiWhite l
baizhi	白质	White matter	baizhiWhite m
baizhong	百种	Hundred kinds	baizhongH
baizhong	摆钟	Sundial	baizhongS
baizhou	白昼	Daytime	baizhouD
baizi	白字	White characters	baiziW
baizu	白族	Bai族	baizuB
bajian	拔剑	Draw the sword	bajianD
bajian	拔尖	Breakthrough innovation	bajianB
bajiao	芭蕉	Bamboo palm	bajiaoB
bajiao	八角	Octagonal	bajiaoO
bajie	巴结	Sycophancy	bajieS
bajie	拔节	Budding	bajieB
bajin	巴金	Ba Jin	bajinB
bajiu	八九	Approximately nine	bajiuA
bajiu	把酒	Holding one's wine cup	bajiuH
baju	八句	Eight Lines	bajuE
bajuan	八卷	Eight volumes	bajuanE
bajun	巴郡	Ba County	bajunB
bakai	八开	Octavo	bakaiO
bakai	拔开	Pull open	bakaiP
bake	罢课	To boycott classes	bakeT
bake	巴克	Baker	bakeB
baku	巴库	Baku	bakuB
bale	罢了	Just	baleJ
balei	芭蕾	Ballet	baleiB
bali	巴黎	Paris	baliP
balin	巴林	Bahrain	balinB
baling	巴陵	Baoling	balingB
balu	八路	Eighth Route Army	baluE
bama	爸妈	Parents	bamaP
bama	巴马	Bama	bamaB
bamen	把门	Close the door	bamenC
bamian	罢免	Recall	bamianR
banan	办案	Investigation	bananI
banbai	斑白	Spotted and white	banbaiS
banban	斑斑	Full of stains or spots	banbanF
banbao	办报	To run a newspaper	banbaoT
banbao	板报	Bulletin board	banbaoB
banbei	半杯	Half a Cup	banbeiH
banben	版本	Version	banbenV
banben	坂本	Sakamoto	banbenS
banbi	半壁	half wall	banbih
banbian	半边	Half	banbianH
banbo	斑驳	Mottled	banboM
banbu	颁布	Promulgate	banbuP
banbu	半步	Half step	banbuHalf s
banbu	半部	Half part	banbuHalf p
bancai	板材	Plywood	bancaiP
banchai	办差	Run errands	banchaiR
banchang	半场	Half time	banchangH
banchang	办厂	Establish a factory	banchangE
banchang	伴唱	Vocal accompaniment	banchangV
bancheng	办成	Achieve	banchengA
bancheng	扮成	To disguise oneself	banchengT
bancheng	板城	Ban Cheng	banchengB
banchi	半尺	half a foot	banchih
banci	版次	Edition	banciE
banci	班次	Order of classes or grades at school	banciO
bandang	伴当	To accompany	bandangT
bandao	搬到	Moved to	bandaoM
bandao	半岛	Peninsula	bandaoP
bandao	办到	To accomplish	bandaoTo
bandao	绊倒	Trip	bandaoTr
bandao	半道	Side road	bandaoS
bandao	扳倒	Overturn	bandaoO
bande	般的	Like	bandeL
bandeng	板凳	Bench	bandengB
bandi	班底	Ordinary members of theatrical troupe	bandiO
bandian	半点	A little	bandianA
bandian	斑点	Spot	bandianS
bandian	办点	To do something small	bandianT
bandong	搬动	To move	bandongTo
bandong	扳动	Tighten	bandongTi
banduan	半段	Half segment	banduanH
baner	板儿	Board	banerB
banfa	办法	Method	banfaM
banfa	颁发	Issue	banfaI
banfen	半分	Half	banfenH
banfu	半幅	Half frame	banfuH
bangan	半干	Semi-dry	banganS
bangbi	膀臂	Upper arm	bangbiU
bangcai	棒材	Rod Material	bangcaiR
bangchen	帮衬	Supplementary	bangchenS
bangchui	棒槌	Wooden mallet	bangchuiW
bangdan	榜单	Ranking List	bangdanR
bangdi	邦迪	Bondi	bangdiB
bangding	绑定	To bind	bangdingT
bange	半个	Half a	bangeH
bangei	颁给	Confer	bangeiC
bangfu	帮扶	Support	bangfuS
bangge	帮个	Help	banggeH
bangge	绑个	Tie one	banggeT
banggong	帮工	Day laborer	banggongD
bangguo	邦国	State	bangguoS
bangjia	绑架	Kidnap	bangjiaK
bangjiao	邦交	Diplomatic Relations	bangjiaoD
bangjin	绑紧	To tighten	bangjinT
banglian	邦联	Federation	banglianF
bangmang	帮忙	Help	bangmangH
bangong	办公	Handle official business	bangongH
bangpai	帮派	Gang	bangpaiG
bangpiao	绑票	Kidnap	bangpiaoK
bangqiang	帮腔	Vocal accompaniment in some traditional Chinese operas	bangqiangV
bangqiu	棒球	Baseball	bangqiuB
bangren	帮人	To help others	bangrenT
bangshou	帮手	Helper	bangshouH
bangshou	榜首	Top of the list	bangshouT
bangshui	傍水	By the water	bangshuiB
bangtui	绑腿	Leg wrappings	bangtuiL
bangu	板鼓	Block Drum	banguB
bangwan	傍晚	Evening	bangwanE
bangwen	榜文	Official document	bangwenO
bangwu	傍午	Near noon	bangwuN
bangxian	帮闲	To idle	bangxianT
bangxiong	帮凶	Accomplice	bangxiongA
bangyang	榜样	Example	bangyangE
bangyi	谤议	Slander	bangyiS
bangyong	帮佣	Housemaid	bangyongH
bangzhe	帮着	Helping	bangzheH
bangzhong	磅重	Weight	bangzhongW
bangzhu	帮助	Help	bangzhuH
bangzhu	绑住	To tie up	bangzhuT
