aerbaniya 阿尔巴尼亚
chaojijisuanji 超级计算机
chaopingliangankuo 潮平两岸阔
chaoxianshizhuyi 超现实主义
cheernixuefusiji 车尔尼雪夫斯基
chenbaerhuqi 陈巴尔虎旗
chengbaozerenzhi 承包责任制
chidaojineiya 赤道几内亚
chiyiqianzhangyizhi 吃一堑长一智
chouxiangshujuleixing 抽象数据类型
chuanshukongzhixieyi 传输控制协议
chuheridangwu 锄禾日当午
chuncandaosisifangjin 春蚕到死丝方尽
chunfengchuiyousheng 春风吹又生
chunjianghuayueye 春江花月夜
chushengniudubupahu 初生牛犊不怕虎
chuyunierburan 出淤泥而不染
cixuanfulieche 磁悬浮列车
daerwenzhuyi 达尔文主义
daleisisalamu 达累斯萨拉姆
dalibaizuzizhizhou 大理白族自治州
daluxingqihou 大陆性气候
danyuanrenchangjiu 但愿人长久
dashibuhutu 大事不糊涂
dayingbowuguan 大英博物馆
dayuchixiaoyu 大鱼吃小鱼
dengxiaopinglilun 邓小平理论
deyizhilianbanggongheguo 德意志联邦共和国
dianyingsheyingji 电影摄影机
dianyuanshipeiqi 电源适配器
dianzijisuanji 电子计算机
dianzishujujiaohuan 电子数据交换
dianzixianweijing 电子显微镜
dierciguoneigemingzhanzheng 第二次国内革命战争
diercishijiedazhan 第二次世界大战
diershibatiao 第二十八条
diershiertiao 第二十二条
diershierzhang 第二十二章
diershijiujie 第二十九届
diershiliujie 第二十六届
diershiliutiao 第二十六条
diershisantiao 第二十三条
diershisanzhang 第二十三章
diershisitiao 第二十四条
diershisizhang 第二十四章
diershiwujie 第二十五届
diershiwutiao 第二十五条
diershiwuzhang 第二十五章
diershiyitiao 第二十一条
diershiyizhang 第二十一章
digelisihe 底格里斯河
diguozhuyizhe 帝国主义者
dijiushijiuhui 第九十九回
diliushisihui 第六十四回
diliushiyitiao 第六十一条
dilixinxixitong 地理信息系统
diqingzangzuzizhizhou 迪庆藏族自治州
diqishiliutiao 第七十六条
diqishiqitiao 第七十七条
disanshibahui 第三十八回
disanshibatiao 第三十八条
disanshijiutiao 第三十九条
disanshiliutiao 第三十六条
disanshisantiao 第三十三条
disanshisanzhang 第三十三章
disanshisitiao 第三十四条
disanshiwutiao 第三十五条
disanshiyitiao 第三十一条
disinileyuan 迪斯尼乐园
disishibahui 第四十八回
disishiqitiao 第四十七条
disishisanzhang 第四十三章
disishisitiao 第四十四条
disishisizhang 第四十四章
disishiyitiao 第四十一条
diwushibahui 第五十八回
diwushijiuhui 第五十九回
diwushiliutiao 第五十六条
diwushiqitiao 第五十七条
diyicishijiedazhan 第一次世界大战
diyiciyapianzhanzheng 第一次鸦片战争
dizhonghaiqihou 地中海气候
dongfanghongyihao 东方红一号
dongfeidaliegu 东非大裂谷
dongmengziyoumaoyiqu 东盟自由贸易区
dongnanyaguojialianmeng 东南亚国家联盟
dongwuzhumuqinqi 东乌珠穆沁旗
dongxinanbeizhong 东西南北中
duomeitijishu 多媒体技术
duoyishiburushaoyishi 多一事不如少一事
eerduosigaoyuan 鄂尔多斯高原
eliteliya 厄立特里亚
elunchunzizhiqi 鄂伦春自治旗
eluosilianbang 俄罗斯联邦
engeerxishu 恩格尔系数
erwanwuqianlichangzheng 二万五千里长征
erzhebukedejian 二者不可得兼
falanxigongheguo 法兰西共和国
fanfaxisizhanzheng 反法西斯战争
fanghuanyuweiran 防患于未然
fangshexingyuansu 放射性元素
fanshiyuzeli 凡事预则立
fashubolinixiya 法属波利尼西亚
fashuguiyana 法属圭亚那
faxisizhuyi 法西斯主义
fazhanzhongguojia 发展中国家
feiguanshuibilei 非关税壁垒
feizhengyizhanzheng 非正义战争
fenbushijisuan 分布式计算
fenbushixitong 分布式系统
fengchuicaodijianniuyang 风吹草低见牛羊
fengzhengyifanxuan 风正一帆悬
fenlangongheguo 芬兰共和国
fenzishengwuxue 分子生物学
foluolidazhou 佛罗里达州
fudonghuilvzhi 浮动汇率制
fuerjiagele 伏尔加格勒
fuertawahe 伏尔塔瓦河
fufenjiefanying 复分解反应
fuguibunengyin 富贵不能淫
fujiniyazhou 弗吉尼亚州
fukelanqundao 福克兰群岛
fuladiwosituoke 符拉迪沃斯托克
fulajimier 弗拉基米尔
fulangxisike 弗朗西斯科
fuwuqiruanjian 服务器软件
fuwutigongzhe 服务提供者
gangaotaidiqu 港澳台地区
gangdisishanmai 冈底斯山脉
gangguogongheguo 刚果共和国
gangguominzhugongheguo 刚果民主共和国
ganweitianxiaxian 敢为天下先
gaojirenminfayuan 高级人民法院
gaokejichanpin 高科技产品
gaoxiachupinghu 高峡出平湖
gedebahecaixiang 哥德巴赫猜想
geerbaqiaofu 戈尔巴乔夫
gelunbiyadaxue 哥伦比亚大学
gelunbiyagongheguo 哥伦比亚共和国
gemingyingxiongzhuyi 革命英雄主义
gengshangyicenglou 更上一层楼
gerensuodeshuifa 个人所得税法
gesidalijia 哥斯达黎加
gongchanzhuyizhe 共产主义者
gongfubufuyouxinren 功夫不负有心人
gongnongbingxueyuan 工农兵学员
gongshuogongyouli 公说公有理
gongyimeishupin 工艺美术品
gongyushanqishi 工欲善其事
guangxishifandaxue 广西师范大学
guangxizhuangzuzizhiqu 广西壮族自治区
guangzhoumeishuxueyuan 广州美术学院
guanliaozibenzhuyi 官僚资本主义
guanlixinxixitong 管理信息系统
guanmaozongxieding 关贸总协定
guanxishujuku 关系数据库
gubagongheguo 古巴共和国
gudinghuilvzhi 固定汇率制
gugongbowuyuan 故宫博物院
guojiabowuguan 国家博物馆
guojiadajuyuan 国家大剧院
guojiadizhenju 国家地震局
guojiahaiyangju 国家海洋局
guojiakaifayinhang 国家开发银行
guojiaolinpikeweiyuanhui 国际奥林匹克委员会
guojiaoweihui 国际奥委会
guojiatongjiju 国家统计局
guojiatushuguan 国家图书馆
guojiaxinxizhongxin 国家信息中心
guojiazhishichanquanju 国家知识产权局
guojiazuqiudui 国家足球队
guojibiaozhunhuazuzhi 国际标准化组织
guojidianxinlianmeng 国际电信联盟
guojiguanxixueyuan 国际关系学院
guojihaishizuzhi 国际海事组织
guojihangkonggongsi 国际航空公司
guojihongshizihui 国际红十字会
guojihuiyizhongxin 国际会议中心
guojihuobijijinzuzhi 国际货币基金组织
guojijingjizuzhi 国际经济组织
guojijinronggongsi 国际金融公司
guojijinrongzuzhi 国际金融组织
guojilaogongzuzhi 国际劳工组织
guojimaoyizhongxin 国际贸易中心
guomingemingjun 国民革命军
guowuguanzhanliujiang 过五关斩六将
guowuyuanbangongting 国务院办公厅
guowuyuanxinwenbangongshi 国务院新闻办公室
gutifeiqiwu 固体废弃物
gutoubuguwei 顾头不顾尾
guyishanghaizui 故意伤害罪
habaluofusike 哈巴罗夫斯克
haijunluzhandui 海军陆战队
haikuopingyuyue 海阔凭鱼跃
hainaijiguangqi 氦氖激光器
haineicunzhiji 海内存知己
haiyangxingqihou 海洋性气候
handihexiatu 汗滴禾下土
hasakesitan 哈萨克斯坦
hasakesitangongheguo 哈萨克斯坦共和国
hechengxidiji 合成洗涤剂
heiyunyachengchengyucui 黑云压城城欲摧
helakelite 赫拉克利特
hongsifangmianjun 红四方面军
houbujianlaizhe 后不见来者
houfengdidongyi 候风地动仪
houtianxiazhileerle 后天下之乐而乐
houxiandaizhuyi 后现代主义
huadongbianzuqi 滑动变阻器
huadongshifandaxue 华东师范大学
huadongyezhanjun 华东野战军
huagangeweiyubo 化干戈为玉帛
huanghesanjiaozhou 黄河三角洲
huanghuangbukezhongri 惶惶不可终日
huanjingwuranwenti 环境污染问题
huanzhiqirenzhishen 还治其人之身
huaxuefangchengshi 化学方程式
huazhongkejidaxue 华中科技大学
huhehaoteshi 呼和浩特市
hulianwangxieyi 互联网协议
hulunbeiercaoyuan 呼伦贝尔草原
huodexingmianyi 获得性免疫
huoermuzihaixia 霍尔木兹海峡
huolifadianchang 火力发电厂
jiajibingxisuan 甲基丙烯酸
jialifuniya 加利福尼亚
jialifuniyazhou 加利福尼亚州
jialimandandao 加里曼丹岛
jianbenerjiasuan 间苯二甲酸
jiangnanzaochuanchang 江南造船厂
jianshitansuantong 碱式碳酸铜
jiaokewenzuzhi 教科文组织
jiaoyugongzuozhe 教育工作者
jiegouhuachengxu 结构化程序
jiekesiluofake 捷克斯洛伐克
jierjisigongheguo 吉尔吉斯共和国
jierjisisitan 吉尔吉斯斯坦
jineiyabishao 几内亚比绍
jinghangdayunhe 京杭大运河
jingjiweiyuanhui 经济委员会
jingshidaxuetang 京师大学堂
jingtiandiqiguishen 惊天地泣鬼神
jingtizhendangqi 晶体振荡器
jingyingzerenzhi 经营责任制
jinisishijiejilu 吉尼斯世界纪录
jinmushuihuotu 金木水火土
jinshuhuodongxing 金属活动性
jinyibutigao 进一步提高
jiquanzhishengxiangwen 鸡犬之声相闻
jishinianruyiri 几十年如一日
jisuanjibingdu 计算机病毒
jisuanjicaozuo 计算机操作
jisuanjichengxu 计算机程序
jisuanjifuwu 计算机服务
jisuanjifuzhu 计算机辅助
jisuanjijishu 计算机技术
jisuanjikexue 计算机科学
jisuanjikongzhi 计算机控制
jisuanjiruanjian 计算机软件
jisuanjiwangluo 计算机网络
jisuanjixitong 计算机系统
jisuanjiyingjian 计算机硬件
jisuanjizhuanye 计算机专业
jisuihuizhiyan 脊髓灰质炎
jitisuoyouzhi 集体所有制
jiubaijiushijiu 九百九十九
jiushiqishidai 旧石器时代
jizhuangxiangyunshu 集装箱运输
juecezhichixitong 决策支持系统
juminshenfenzheng 居民身份证
junshijianchayuan 军事检察院
junshitandingbao 君士坦丁堡
junzhulixianzhi 君主立宪制
junzizhijiaodanrushui 君子之交淡如水
jusifuyixi 聚四氟乙烯
juxingjisuanji 巨型计算机
kalakunlunshan 喀喇昆仑山
kanaweilaerjiao 卡纳维拉尔角
kanchajiabandao 堪察加半岛
kangmeiyuanchaozhanzheng 抗美援朝战争
kangrijiuwangyundong 抗日救亡运动
kangrijunzhengdaxue 抗日军政大学
kangriminzutongyizhanxian 抗日民族统一战线
keerkezizu 柯尔克孜族
keerqinzuoyihouqi 科尔沁左翼后旗
keguanweixinzhuyi 客观唯心主义
kelimulingong 克里姆林宫
kewangerbukeji 可望而不可即
kexingxingyanjiu 可行性研究
kexirukeliwu 可吸入颗粒物
kezhengmengyuhu 苛政猛于虎
kezhixingchengxu 可执行程序
kezhixingwenjian 可执行文件
kongquedongnanfei 孔雀东南飞
kuaidaozhanluanma 快刀斩乱麻
lajuchenghuileishigan 蜡炬成灰泪始干
laodongmijixing 劳动密集型
laodongshengchanlv 劳动生产率
laosibuxiangwanglai 老死不相往来
laozitianxiadiyi 老子天下第一
lasiweijiasi 拉斯维加斯
ledonglizuzizhixian 乐东黎族自治县
lianbangzuigaofayuan 联邦最高法院
liangyaokukouliyubing 良药苦口利于病
lianheguoanlihui 联合国安理会
lianheguoanquanlishihui 联合国安全理事会
lianheguodahui 联合国大会
lianheguoertongjijinhui 联合国儿童基金会
lianheguohuanjingguihuashu 联合国环境规划署
lianheguojiaokewenzuzhi 联合国教科文组织
lianheguokaifajihuashu 联合国开发计划署
lianheguoliangnongzuzhi 联合国粮农组织
lianheguomishuchu 联合国秘书处
lianheguozongbu 联合国总部
liezhidunshideng 列支敦士登
lilijiexinku 粒粒皆辛苦
lingshicaipanquan 领事裁判权
linsuanerqingjia 磷酸二氢钾
linsuanerqingna 磷酸二氢钠
lishibowuguan 历史博物馆
liuanhuamingyouyicun 柳暗花明又一村
liudailiusuanna 硫代硫酸钠
liumangwuchanzhe 流氓无产者
liyububaizhidi 立于不败之地
liyuereneilu 里约热内卢
lizihuahewu 离子化合物
luanhuajianyumirenyan 乱花渐欲迷人眼
lugouqiaoshibian 卢沟桥事变
luoxiayuguwuqifei 落霞与孤鹜齐飞
luxunmeishuxueyuan 鲁迅美术学院
luyoudongsigu 路有冻死骨
lvchunbuduimazui 驴唇不对马嘴
madajiasijia 马达加斯加
maerweinasiqundao 马尔维纳斯群岛
maigoupigaoyao 卖狗皮膏药
makesilieningzhuyi 马克思列宁主义
makesizhuyi 马克思主义
makesizhuyizhe 马克思主义者
malaixiyaren 马来西亚人
maliujiahaixia 马六甲海峡
maodunwenxuejiang 茅盾文学奖
maolitaniya 毛里塔尼亚
maozedongsixiang 毛泽东思想
masazhusaizhou 马萨诸塞州
mashaoerqundao 马绍尔群岛
mashengligongxueyuan 麻省理工学院
meiguoguofangbu 美国国防部
meiguoyuhangju 美国宇航局
meilijianhezhongguo 美利坚合众国
meimaohuziyibazhua 眉毛胡子一把抓
meisuobudamiya 美索不达米亚
mikeluonixiyalianbang 密克罗尼西亚联邦
mingbujianjingzhuan 名不见经传
minglingtishifu 命令提示符
mingshichugaotu 名师出高徒
minyishiweitian 民以食为天
minzhujizhongzhi 民主集中制
minzuzhuyizhe 民族主义者
mixixibihe 密西西比河
mobuzhaotounao 摸不着头脑
modaobuwukanchaigong 磨刀不误砍柴工
moermansike 摩尔曼斯克
moluogewangguo 摩洛哥王国
moshuzhuanhuanqi 模数转换器
mosikedaxue 莫斯科大学
mosikehongchang 莫斯科红场
nanfeigongheguo 南非共和国
nanjiabawafeng 南迦巴瓦峰
nanjingdatusha 南京大屠杀
nanjinglinshizhengfu 南京临时政府
nanyacidalu 南亚次大陆
nanyushangqingtian 难于上青天
naolilaodongzhe 脑力劳动者
neimenggugaoyuan 内蒙古高原
neimengguzizhiqu 内蒙古自治区
nianqingtanggulashanmai 念青唐古拉山脉
ningchengyigusheng 拧成一股绳
ningxiahuizuzizhiqu 宁夏回族自治区
niuyuezhengquanjiaoyisuo 纽约证券交易所
nongyeshengchanzhe 农业生产者
nuobeierhepingjiang 诺贝尔和平奖
nuobeierwenxuejiang 诺贝尔文学奖
nvyiwusuoyi 女亦无所忆
ouzhougongtongti 欧洲共同体
ouzhoujingjigongtongti 欧洲经济共同体
pamiergaoyuan 帕米尔高原
pingxingguanzhanyi 平型关战役
pingxingsibianxing 平行四边形
pitekaienqundao 皮特凯恩群岛
poshuopoyouli 婆说婆有理
pudongguojijichang 浦东国际机场
pulinsidundaxue 普林斯顿大学
puluomixiusi 普罗米修斯
qianbujianguren 前不见古人
qiangdachutouniao 枪打出头鸟
qianrushiruanjian 嵌入式软件
qianyifaerdongquanshen 牵一发而动全身
qilimazhaluoshan 乞力马扎罗山
qingtongqishidai 青铜器时代
qinshanhedianzhan 秦山核电站
qishiqiguojituan 七十七国集团
qiushuigongchangtianyise 秋水共长天一色
qiyejingyingzhe 企业经营者
quanguodaibiaodahui 全国代表大会
quanguogongshanglian 全国工商联
quanguorendachangweihui 全国人大常委会
quanguorenmindaibiaodahui 全国人民代表大会
quanguosanbahongqishou 全国三八红旗手
quanguoyipanqi 全国一盘棋
quanqiudingweixitong 全球定位系统
quanyibaohufa 权益保护法
rangwaibixianannei 攘外必先安内
relixuewendu 热力学温度
rendachangweihui 人大常委会
rengongshenjingwangluo 人工神经网络
renliziyuanbu 人力资源部
renminchubanshe 人民出版社
renmindahuitang 人民大会堂
renmindaibiaodahui 人民代表大会
renmingongheguo 人民共和国
renminjianchayuan 人民检察院
renminjiaoyuchubanshe 人民教育出版社
renminjiefangjun 人民解放军
renminpeishenyuan 人民陪审员
renminwenxuechubanshe 人民文学出版社
renminyingxiongjinianbei 人民英雄纪念碑
renquanweiyuanhui 人权委员会
renzhongerdaoyuan 任重而道远
runwuxiwusheng 润物细无声
sahalashamo 撒哈拉沙漠
shanganningbianqu 陕甘宁边区
shangganlingzhanyi 上甘岭战役
shanghaihongqiaojichang 上海虹桥机场
shanghaijiaotongdaxue 上海交通大学
shanghailigongdaxue 上海理工大学
shanghaipudongfazhanyinhang 上海浦东发展银行
shanghairenminchubanshe 上海人民出版社
shanghaiwenyichubanshe 上海文艺出版社
shanghaixijuxueyuan 上海戏剧学院
shanghaiyinyuexueyuan 上海音乐学院
shanghaizhengquanjiaoyisuo 上海证券交易所
shangwuyinshuguan 商务印书馆
shanyuyulaifengmanlou 山雨欲来风满楼
shatealabo 沙特阿拉伯
shehuibaoxianfei 社会保险费
shehuibaoxianjin 社会保险金
shehuihuodongjia 社会活动家
shengbidedajiaotang 圣彼得大教堂
shengduomeihepulinxibi 圣多美和普林西比
shenghuobixupin 生活必需品
shengsaerwaduo 圣萨尔瓦多
shengyulaodongli 剩余劳动力
shennongbencaojing 神农本草经
shenzhenjingjitequ 深圳经济特区
shijielvyouzuzhi 世界旅游组织
shijiemaoyizhongxin 世界贸易中心
shijiemaoyizuzhi 世界贸易组织
shijieweishengzuzhi 世界卫生组织
shijiezhishichanquanzuzhi 世界知识产权组织
shishenrenmianxiang 狮身人面像
shishizaoyingxiong 时势造英雄
shiwanbaqianli 十万八千里
shiyijiesanzhongquanhui 十一届三中全会
shiyoushuchuguozuzhi 石油输出国组织
shouduguojijichang 首都国际机场
shoudushifandaxue 首都师范大学
shoujicaozuoxitong 手机操作系统
shuilifadianzhan 水力发电站
shujukuguanliyuan 数据库管理员
shujukuxitong 数据库系统
shushinianruyiri 数十年如一日
shuyibaiwanji 数以百万计
sidalingele 斯大林格勒
sidegeermo 斯德哥尔摩
sihaizhineijiexiongdi 四海之内皆兄弟
siluowenniya 斯洛文尼亚
simataichangcheng 司马台长城
sipierboge 斯皮尔伯格
sishiwufenzhong 四十五分钟
sitanfudaxue 斯坦福大学
sitelasibao 斯特拉斯堡
subilierhu 苏必利尔湖
sudangongheguo 苏丹共和国
suifengqianruye 随风潜入夜
sumendaladao 苏门答腊岛
suoerziboli 索尔兹伯里
suoluomenqundao 所罗门群岛
suweiaizhengfu 苏维埃政府
suyishiyunhe 苏伊士运河
suzhougongyeyuanqu 苏州工业园区
taipingtianguoyundong 太平天国运动
taipingyangzhanzheng 太平洋战争
taitannikehao 泰坦尼克号
taiwanminzhuzizhitongmeng 台湾民主自治同盟
tajikesitan 塔吉克斯坦
tajikesitangongheguo 塔吉克斯坦共和国
takelamaganshamo 塔克拉玛干沙漠
talimupendi 塔里木盆地
tanggulashanmai 唐古拉山脉
tanqinghuahewu 碳氢化合物
tanshuihuahewu 碳水化合物
tasimaniyadao 塔斯马尼亚岛
telinidaheduobage 特立尼达和多巴哥
tenggelishamo 腾格里沙漠
tiananmenchenglou 天安门城楼
tiananmenguangchang 天安门广场
tianfandifukaierkang 天翻地覆慨而慷
tiangaorenniaofei 天高任鸟飞
tiangongbuzuomei 天公不作美
tianjinyinyuexueyuan 天津音乐学院
tianwujuerenzhilu 天无绝人之路
tianyaruobilin 天涯若比邻
tianyoubucefengyun 天有不测风云
tiaotiaodalutongluoma 条条大路通罗马
tiaozhijietiaoqi 调制解调器
tiejiandandaoyi 铁肩担道义
tonghuopengzhanglv 通货膨胀率
tonghuxigongmingyun 同呼吸共命运
tongshitianyalunluoren 同是天涯沦落人
tudigemingzhanzheng 土地革命战争
tudiguanlifa 土地管理法
tukumansitan 土库曼斯坦
tulufandiqu 吐鲁番地区
tuoyanghetanghesuan 脱氧核糖核酸
tuxingyonghujiemian 图形用户界面
wangfujingdajie 王府井大街
wangfujingshudian 王府井书店
wangluocaozuoxitong 网络操作系统
wangluoshipeiqi 网络适配器
wangluotixijiegou 网络体系结构
wangluoxinxizhongxin 网络信息中心
wanguoyouzhenglianmeng 万国邮政联盟
wayaobuhuiyi 瓦窑堡会议
weiduoliyahu 维多利亚湖
weierjingqundao 维尔京群岛
weisikangxingzhou 威斯康星州
weixinzhuyizhe 唯心主义者
wenduchuanganqi 温度传感器
wenguerzhixin 温故而知新
wenhuadageming 文化大革命
wenwubaohufa 文物保护法
wenyigongzuozhe 文艺工作者
wolongziranbaohuqu 卧龙自然保护区
wudangpairenshi 无党派人士
wufenggangguanchang 无缝钢管厂
wuhanchangjiangdaqiao 武汉长江大桥
wujiangshangxiaerqiusuo 吾将上下而求索
wukenaihehualuoqu 无可奈何花落去
wulaershanmai 乌拉尔山脉
wuliyangnuofu 乌里扬诺夫
wulumuqishi 乌鲁木齐市
wuxiandiantongxin 无线电通信
wuyanghuaerlin 五氧化二磷
wuyiexiaoerweizhi 勿以恶小而为之
wuyizhiqianli 无以至千里
wuzhengfuzhuyi 无政府主义
wuzibiekesitan 乌兹别克斯坦
wuzibiekezu 乌孜别克族
xiangduifenzizhiliang 相对分子质量
xiangduiyuanzizhiliang 相对原子质量
xianggangjibenfa 香港基本法
xianggangtebiexingzhengqu 香港特别行政区
xianggelilaxian 香格里拉县
xianshizhuyizhe 现实主义者
xiantianxiazhiyoueryou 先天下之忧而忧
xiaodaliya 西澳大利亚
xiaoermabizheng 小儿麻痹症
xichuyangguanwuguren 西出阳关无故人
xietianziyilingzhuhou 挟天子以令诸侯
xijunxingliji 细菌性痢疾
xilinguolemeng 锡林郭勒盟
ximalayashan 喜马拉雅山
ximalayashanmai 喜马拉雅山脉
xingbailizhebanjiushi 行百里者半九十
xingshisusongfa 刑事诉讼法
xingudianzhuyi 新古典主义
xingzhengsusongfa 行政诉讼法
xinhanbushierzhou 新罕布什尔州
xinhuatongxunshe 新华通讯社
xinigejuyuan 悉尼歌剧院
xinjiangshengchanjianshebingtuan 新疆生产建设兵团
xinjiangweiwuerzizhiqu 新疆维吾尔自治区
xinkaliduoniya 新喀里多尼亚
xinminzhuzhuyi 新民主主义
xinminzhuzhuyigeming 新民主主义革命
xinmoxigezhou 新墨西哥州
xinwenhuayundong 新文化运动
xinxichulixitong 信息处理系统
xinxiguanlixitong 信息管理系统
xinxiziyuanguanli 信息资源管理
xinzangqiboqi 心脏起搏器
xitongguanliyuan 系统管理员
xiwuzhumuqinqi 西乌珠穆沁旗
xizangzizhiqu 西藏自治区
xueranhouzhibuzu 学然后知不足
yadeliyahai 亚得里亚海
yalabamazhou 亚拉巴马州
yalisangnazhou 亚利桑那州
yalishiduode 亚里士多德
yaluzangbujiang 雅鲁藏布江
yananwenyizuotanhui 延安文艺座谈会
yanqueanzhihonghuzhizhi 燕雀安知鸿鹄之志
yaoudaluqiao 亚欧大陆桥
yapingningbandao 亚平宁半岛
yasuerqundao 亚速尔群岛
yataijinghezuzhi 亚太经合组织
yataijingjihezuozuzhi 亚太经济合作组织
yazhoukaifayinhang 亚洲开发银行
yazhoutaipingyangdiqu 亚洲太平洋地区
yehuoshaobujin 野火烧不尽
yekajielinbao 叶卡捷琳堡
yibaisishisi 一百四十四
yidaijiankuanzhongbuhui 衣带渐宽终不悔
yidongjiqiren 移动机器人
yierkucike 伊尔库茨克
yifangshuituyangyifangren 一方水土养一方人
yihetuanyundong 义和团运动
yijiangchunshuixiangdongliu 一江春水向东流
yijirenzhilao 以及人之老
yilangyisilangongheguo 伊朗伊斯兰共和国
yindiannazhou 印第安纳州
yindugongheguo 印度共和国
yindunixiya 印度尼西亚
yindunixiyagongheguo 印度尼西亚共和国
yinggelanyinhang 英格兰银行
yingguoguangbogongsi 英国广播公司
yingjilihaixia 英吉利海峡
yingpanqudongqi 硬盘驱动器
yingxiongwuyongwuzhidi 英雄无用武之地
yinianzhijizaiyuchun 一年之计在于春
yinjishexianguan 阴极射线管
yiqianlingyiye 一千零一夜
yiqubufufan 一去不复返
yisitanbuer 伊斯坦布尔
yitianxiaweijiren 以天下为己任
yiwubingyizhi 义务兵役制
yiwujiaoyufa 义务教育法
yiyanghuahulu 依样画葫芦
yiyuanercifangcheng 一元二次方程
youfaladihe 幼发拉底河
youguozhierwubuji 有过之而无不及
youjihuahewu 有机化合物
youpengziyuanfanglai 有朋自远方来
youqingrenzhongchengjuanshu 有情人终成眷属
yousuoweiyousuobuwei 有所为有所不为
youwuyouyijirenzhiyou 幼吾幼以及人之幼
youzhizheshijingcheng 有志者事竟成
yuandongguojijunshifating 远东国际军事法庭
yuanqinburujinlin 远亲不如近邻
yuansuzhouqilv 元素周期律
yuanzijiegoushiyitu 原子结构示意图
