嬷嬷	mama
自弹自唱	zidanzichang
弹奏乐器	danzouyueqi
伺服电机	cifudianji
弹回	danhui
平刨	pingpao
弹下	danxia
调压器	diaoyaqi
千佛洞	qianfudong
小角色	xiaojiaose
睡着觉	shuizhaojue
落下去	laxiaqu
重吸收	zhongxishou
长颈	zhangjing
同行者	tonghangzhe
投行	touxing
推倒重来	tuidaozhonglai
过早地	guozaodi
长效机制	zhangxiaojizhi
长歌	zhangge
青藏公路	qingcanggonglu
不龟手	buguishou
秦桧	qingui
会稽山	huijishan
公冶长	gongyezhang
关云长	guanyunzhang
勒马	leima
吃得了	chidele
度长絜大	duchangxieda
弹筝	danzheng
弹进	danjin
排长队	paizhangdui
糖色	tangse
摸得着	modezhe
斗宿	dousu
没头没尾	meitoumowei
泪千行	leiqianxing
玉不琢	yubuzuo
藏马	cangma
要不了	yaobule
讪讪地	shanshandi
调弦	diaoxian
长留	zhangliu
长腿	zhangtui
长传	zhangchuan
长蛇	zhangshe
震天价响	zhentianjiaxiang
有长有短	youzhangyouduan
肋间肌	lejianji
长板	zhangban
露出破绽	luchupozhan
乐神	leshen
乐进	lejin
仇英	chouying
伽师县	gashixian
佛跳墙	futiaoqiang
重头	chongtou
勒勒车	leileiche
查慎行	chashenxing
瓷都	cidou
米芾	mifei
精雕细琢	jingdiaoxizuo
荥经县	xingjingxian
藏南	cangnan
长宁区	zhangningqu
长治市	zhangzhishi
陈师曾	chenshiceng
万里长空	wanlizhangkong
何曾	hezeng
前短后长	qianduanhouzhang
广义地说	guangyidishuo
长平	zhangping
弹拨乐	danbole
朝阳门	zhaoyangmen
正调	zhengdiao
调琴	diaoqin
辛德勒	xindelei
命令行	minglingxing
川芎	chuanqiong
电力行业	dianlixingye
东西长	dongxizhang
司马台长城	simataizhangcheng
川藏线	chuancangxian
库尔勒市	kuerleishi
昼短夜长	zhouduanyezhang
栅格数据	zhageshuju
调沙	diaosha
长宁县	zhangningxian
万重山	wanzhongshan
上不着天	shangbuzhetian
下不着地	xiabuzhedi
外行星	waihangxing
弹出去	danchuqu
弹回来	danhuilai
热轧	reya
落在后面	luozaihoumian
物质的量	wuzhidiliang
不粘锅	bunianguo
没食子酸	meishizisuan
给排水	geipaishui
公羊传	gongyangchuan
分支行	fenzhixing
制礼作乐	zhilizuole
南长	nanzhang
大月氏	dayueshi
朱重八	zhuzhongba
给事中	geishizhong
这行	zhexing
都司	dousi
都御史	douyushi
重铸	zhongzhu
长津湖	zhangjinhu
黄鹄	huanggu
