阿维菌素	aweijunsu
沉积物	chenjiwu
柽麻	chengma
成批处理	chengpichuli
成熟期	chengshuqi
程序编制	chengxubianzhi
程序设计员	chengxushejiyuan
尺蠖	chihuo
赤霉素	chimeisu
齿耙	chipa
重茬	chongcha
重叠	chongdie
重复	chongfu
冲积扇	chongjishan
冲积土	chongjitu
虫情调查	chongqingdiaocha
虫瘿	chongying
虫源	chongyuan
重组子	chongzuzi
抽样	chouyang
储备粮基金	chubeiliangjijin
除草剂	chucaoji
除虫脲	chuchongniao
锄地	chudi
初花	chuhua
初级产品	chujichanpin
雏菊	chuju
处理	chuli
处理部件	chulibujian
初侵染	chuqinran
触杀剂	chushaji
处暑	chushu
初霜	chushuang
出芽	chuya
储运	chuyun
传播	chuanbo
穿孔	chuankong
穿孔纸带	chuankongzhidai
川楝素	chuanliansu
传统农业	chuantongnongye
穿透深度	chuantoushendu
穿心莲	chuanxinlian
创办资本	chuangbanziben
锤式粉碎机	chuishifensuiji
莼菜	chuncai
纯氮	chundan
春化	chunhua
春兰	chunlan
春雷霉素	chunleimeisu
春性	chunxing
春玉米	chunyumi
纯种马	chunzhongma
磁存储器	cicunchuqi
刺儿菜	ciercai
慈菇	cigu
慈姑	cigu
刺梨	cili
雌蕊	cirui
磁心存储器	cixincunchuqi
磁选	cixuan
葱蒜类蔬菜	congsuanleishucai
葱头	congtou
醋粟	cusu
醋酸盐	cusuanyan
粗纤维	cuxianwei
催化剂	cuihuaji
翠菊	cuiju
催芽	cuiya
存活曲线	cunhuoquxian
村民委员会	cunminweiyuanhui
村民小组	cunminxiaozu
大白菜	dabaicai
大波斯菊	dabosiju
大刺儿菜	daciercai
大葱	dacong
大村	dacun
大豆油	dadouyou
大对虾	daduixia
大海鲢	dahailian
大寒	dahan
大花美人蕉	dahuameirenjiao
大丽花	dalihua
大菱鲆	dalingping
大陆性气候	daluxingqihou
大麦	damai
打麦	damai
大气	daqi
大气窗	daqichuang
大气监测	daqijiance
大气污染	daqiwuran
大气质量	daqizhiliang
大暑	dashu
大田	datian
大叶黄杨	dayehuangyang
大雨	dayu
大众报纸	dazhongbaozhi
大竺葵	dazhukui
代代花	daidaihua
带毒者	daiduzhe
袋口	daikou
代森锰锌	daisenmengxin
带土	daitu
带职	daizhi
丹毒	dandu
单峰驼	danfengtuo
氮固持	danguchi
单克隆抗体	dankelongkangti
氮矿化	dankuanghua
单粒传法	danlichuanfa
单式簿记	danshibuji
氮损失	dansunshi
氮循环	danxunhuan
氮源	danyuan
氮周转	danzhouzhuan
担子菌	danzijun
单子叶植物	danziyezhiwu
稻白叶枯病	daobaiyekubing
倒春寒	daochunhan
刀豆	daodou
稻干尖线虫病	daoganjianxianchongbing
倒挂金钟	daoguajinzhong
道路工程师	daolugongchengshi
倒捻子	daonianzi
导热率	daorelv
稻田养鱼	daotianyangyu
稻瘿蚊	daoyingwen
等地温线	dengdiwenxian
登海	denghai
等剂量曲线	dengjiliangquxian
灯笼花	denglonghua
等温线	dengwenxian
灯芯草	dengxincao
灯心草	dengxincao
等蒸发量线	dengzhengfaliangxian
敌草隆	dicaolong
敌敌畏	didiwei
地丁	diding
滴定管	didingguan
低酚棉	difenmian
滴灌	diguan
低海拔	dihaiba
地籍簿	dijibu
地老虎	dilaohu
地理信息系统	dilixinxixitong
地面灌溉	dimianguangai
地面逆温	dimianniwen
地面蒸发	dimianzhengfa
地名学	dimingxue
地膜覆盖	dimofugai
迪庆	diqing
地热能	direneng
敌鼠	dishu
低水箱	dishuixiang
地温	diwen
低温干燥	diwenganzao
低温冷害	diwenlenghai
地下害虫	dixiahaichong
地下排水	dixiapaishui
地形气候	dixingqihou
地形图	dixingtu
地形小气候	dixingxiaoqihou
地形雨	dixingyu
地衣	diyi
电传打字机	dianchuandaziji
淀粉	dianfen
电工胶带	diangongjiaodai
颠换	dianhuan
电离辐射	dianlifushe
电离径迹	dianlijingji
电离室	dianlishi
电脑操作员	diannaocaozuoyuan
电视摄像机	dianshishexiangji
电围栏	dianweilan
滇西南	dianxinan
电育雏伞	dianyuchusan
电子工程学	dianzigongchengxue
电子束辐照	dianzishufuzhao
吊兰	diaolan
吊竹梅	diaozhumei
丁草胺	dingcaoan
啶虫脒	dingchongmi
定根	dinggen
顶交	dingjiao
丁硫克百威	dingliukebaiwei
丁醚脲	dingminiao
冻拔	dongba
冬瓜	donggua
冻害	donghai
冬寒菜	donghancai
冬化	donghua
冻结深度	dongjieshendu
冻结资产	dongjiezichan
冬青	dongqing
冬湿寒冷气候	dongshihanlengqihou
冻死	dongsi
冻土	dongtu
冬小麦	dongxiaomai
东亚飞蝗	dongyafeihuang
冬油菜	dongyoucai
冻雨	dongyu
冬至	dongzhi
豆瓣菜	doubancai
兜兰	doulan
豆类蔬菜	douleishucai
豆梨	douli
斗渠	douqu
豆象	douxiang
豆芽菜	douyacai
窦炎	douyan
渡槽	ducao
蠹虫	duchong
毒蛾	due
杜梨	duli
毒力	duli
独立性测验	dulixingceyan
毒死蜱	dusipi
杜松	dusong
毒性	duxing
杜仲	duzhong
椴木	duanmu
短期信贷	duanqixindai
煅烧	duanshao
短时高温加工	duanshigaowenjiagong
椴树	duanshu
对比法	duibifa
堆草机	duicaoji
堆肥	duifei
对流性雨	duiliuxingyu
兑水	duishui
遁迹	dunji
趸售	dunshou
夺丰收	duofengshou
多光谱扫描仪	duoguangpusaomiaoyi
多花菜豆	duohuacaidou
多菌灵	duojunling
多粒型花生	duolixinghuasheng
多食性	duoshixing
多系杂交	duoxizajiao
多项式回归	duoxiangshihuigui
多元回归	duoyuanhuigui
鳄梨	eli
萼片	epian
二苯胺	erbenan
二重接	erchongjie
二次污染物	erciwuranwu
二进制数字	erjinzhishuzi
二年生作物	ernianshengzuowu
二七年	erqinian
二十四节气	ershisijieqi
二熟	ershu
二五减租	erwujianzu
二溴氯丙烷	erxiulvbingwan
发病指数	fabingzhishu
发菜	facai
法国冬青	faguodongqing
发酵工程	fajiaogongcheng
发情探测	faqingtance
发生期预测	fashengqiyuce
发芽势	fayashi
发芽试验	fayashiyan
饭豆	fandou
番红花	fanhonghua
反季节蔬菜	fanjijieshucai
番荔枝	fanlizhi
番木瓜	fanmugua
番茄	fanqie
反射率	fanshelv
反渗透	fanshentou
番石榴	fanshiliu
番杏	fanxing
翻译程序	fanyichengxu
方差分析	fangchafenxi
防倒	fangdao
防腐剂	fangfuji
防护林	fanghulin
防滑路面	fanghualumian
防火梯	fanghuoti
房间钥匙	fangjianyaoshi
放射生态学	fangsheshengtaixue
放射性示踪物	fangshexingshizongwu
放射性污染	fangshexingwuran
防松螺母	fangsongluomu
放线菌	fangxianjun
方向指示器	fangxiangzhishiqi
防治	fangzhi
防治规划	fangzhiguihua
非点源	feidianyuan
飞机草	feijicao
非监督分类	feijiandufenlei
肥料利用率	feiliaoliyonglv
肥料品位	feiliaopinwei
肥料效率	feiliaoxiaolv
非侵染性病害	feiqinranxingbinghai
肥水	feishui
废水处理	feishuichuli
肥土	feitu
非线性回归	feixianxinghuigui
飞燕草	feiyancao
非整倍体	feizhengbeiti
榧子	feizi
分辨率	fenbianlv
分辨时间	fenbianshijian
分层	fenceng
分次施肥	fencishifei
粉葛	fenge
粉剂	fenji
粉蚧	fenjie
分类机	fenleiji
分馏	fenliu
分蘖	fennie
分蘖力	fennieli
粪水	fenshui
粉碎机	fensuiji
风倒	fengdao
凤蝶	fengdie
风干	fenggan
蜂糕	fenggao
凤梨	fengli
风力机	fengliji
枫树	fengshu
凤尾蝶	fengweidie
凤尾蕨	fengweijue
风味饮食	fengweiyinshi
凤仙花	fengxianhua
枫香	fengxiang
风选	fengxuan
风选机	fengxuanji
凤眼莲	fengyanlian
佛手瓜	foshougua
父本	fuben
副产品	fuchanpin
氟虫胺	fuchongan
氟虫腈	fuchongjing
浮动汇率	fudonghuilv
扶芳藤	fufangteng
覆盖度	fugaidu
覆盖物	fugaiwu
腐根	fugen
复耕	fugeng
符号语言	fuhaoyuyan
复合肥料	fuhefeiliao
复合杂交	fuhezajiao
氟磺胺草醚	fuhuangancaomi
附加系	fujiaxi
复拉丁方设计	fuladingfangsheji
氟乐灵	fuleling
氟铃脲	fulingniao
福禄考	fulukao
氟氯氰菊酯	fulvqingjuzhi
覆膜	fumo
麸皮	fupi
负趋性	fuquxing
辐射保藏	fushebaocang
辐射防护	fushefanghu
辐射分解	fushefenjie
辐射计	fusheji
辐射抗性	fushekangxing
辐射灭菌	fushemiejun
辐射敏感性	fusheminganxing
辐射强度	fusheqiangdu
辐射损伤	fushesunshang
辐射遗传学	fusheyichuanxue
复式簿记	fushibuji
福寿螺	fushouluo
覆土	futu
复相关	fuxiangguan
复性	fuxing
浮游生物	fuyoushengwu
辐照度	fuzhaodu
辐照量	fuzhaoliang
辐照率	fuzhaolv
辐照室	fuzhaoshi
复制	fuzhi
腐殖酸钠	fuzhisuanna
腐殖酸铜	fuzhisuantong
腐殖质	fuzhizhi
复制子	fuzhizi
改厨	gaichu
芥蓝	gailan
改良系谱法	gailiangxipufa
概率	gailv
钙镁磷肥	gaimeilinfei
盖膜	gaimo
改土归流	gaituguiliu
干巴菌	ganbajun
干草叉	gancaocha
干旱气候	ganhanqihou
秆黑粉病	ganheifenbing
干灰化	ganhuihua
甘蕉	ganjiao
柑桔大实蝇	ganjudashiying
柑桔锈螨	ganjuxiuman
橄榄	ganlan
甘蓝	ganlan
甘蓝型油菜	ganlanxingyoucai
甘露儿	ganluer
干渠	ganqu
干热风	ganrefeng
干热期	ganreqi
甘薯	ganshu
感温性	ganwenxing
干物质	ganwuzhi
秆锈病	ganxiubing
甘蔗	ganzhe
干砧	ganzhen
干重	ganzhong
高凳	gaodeng
高毒	gaodu
高秆	gaogan
高级农艺师	gaojinongyishi
高抗	gaokang
高粱米	gaoliangmi
高频干燥	gaopinganzao
高钛渣	gaotaizha
高效氯氰菊酯	gaoxiaolvqingjuzhi
割草机	gecaoji
根菜类蔬菜	gencaileishucai
根颈	genjing
根瘤菌剂	genliujunji
根数	genshu
根线虫病	genxianchongbing
根肿病	genzhongbing
耕地	gengdi
耕作	gengzuo
耕作机具	gengzuojiju
工分值	gongfenzhi
公害	gonghai
汞化合物	gonghuahewu
功能叶	gongnengye
供体	gongti
公羊	gongyang
工业胶带	gongyejiaodai
工蚁	gongyi
工资指数	gongzizhishu
工作存储器	gongzuocunchuqi
沟长	gouchang
枸骨	gougu
沟宽	goukuan
沟深	goushen
狗尾草	gouweicao
孤雌生殖	gucishengzhi
固氮	gudan
固氮菌	gudanjun
固氮作用	gudanzuoyong
谷地	gudi
固定模型	gudingmoxing
骨粉	gufen
股份基金	gufenjijin
谷壳分离	gukefenli
谷粒	guli
股票持有人	gupiaochiyouren
股票交易所	gupiaojiaoyisuo
固体废物	gutifeiwu
孤挺花	gutinghua
谷雨	guyu
瓜叶菊	guayeju
灌溉农业	guangainongye
灌溉水质标准	guangaishuizhibiaozhun
冠接	guanjie
观赏园艺	guanshangyuanyi
观赏植物	guanshangzhiwu
光补偿点	guangbuchangdian
光合强度	guangheqiangdu
光核桃	guanghetao
光合细菌	guanghexijun
光合有效辐射	guangheyouxiaofushe
光合作用	guanghezuoyong
桄榔	guanglang
光能利用率	guangnengliyonglv
光谱信息	guangpuxinxi
广玉兰	guangyulan
光照处理	guangzhaochuli
光照阶段	guangzhaojieduan
光周期现象	guangzhouqixianxiang
桂花	guihua
桂圆	guiyuan
果菜类蔬菜	guocaileishucai
果冻	guodong
过度生长	guodushengzhang
果尔	guoer
果酒	guojiu
过磷酸钙	guolinsuangai
过滤	guolv
过密	guomi
过敏性	guominxing
果肉饮料	guorouyinliao
过筛	guoshai
果实直感	guoshizhigan
果树学	guoshuxue
果树栽培	guoshuzaipei
过头粮	guotouliang
国土资源部	guotuziyuanbu
果型	guoxing
哈密瓜	hamigua
海拔高度	haibagaodu
海带	haidai
海岛棉	haidaomian
海棠果	haitangguo
海棠花	haitanghua
海桐	haitong
海枣	haizao
海藻素	haizaosu
海震	haizhen
寒潮	hanchao
寒带	handai
旱稻	handao
旱地	handi
旱地农业	handinongye
寒露	hanlu
旱芹	hanqin
含水量	hanshuiliang
寒温带	hanwendai
行间	hangjian
行间中耕机	hangjianzhonggengji
行距	hangju
航空相片	hangkongxiangpian
蒿秆覆盖	haoganfugai
耗水量	haoshuiliang
毫微秒	haoweimiao
荷包牡丹	hebaomudan
禾本科绿肥	hebenkelvfei
合成孔径雷达	hechengkongjingleida
核磁共振	hecigongzhen
合法婚姻	hefahunyin
核苷酸	hegansuan
荷花玉兰	hehuayulan
核技术	hejishu
荷兰菊	helanju
核裂变	heliebian
核融合	heronghe
核溶解	herongjie
核乳胶	herujiao
河沙	hesha
和尚庄	heshangzhuang
何氏凤仙	heshifengxian
核素	hesu
核酸	hesuan
核酸酶	hesuanmei
河滩地	hetandi
核糖核酸	hetanghesuan
核桃	hetao
核桃树	hetaoshu
褐天牛	hetianniu
褐土	hetu
核心家庭	hexinjiating
核心酶	hexinmei
核型	hexing
核雄性不育系	hexiongxingbuyuxi
核移植	heyizhi
核质互作	hezhihuzuo
合作医疗	hezuoyiliao
黑粉菌	heifenjun
黑腐病	heifubing
黑谷	heigu
黑麦	heimai
黑莓	heimei
黑木耳	heimuer
黑山羊	heishanyang
黑彝	heiyi
黑鸢	heiyuan
痕量元素	henliangyuansu
横径	hengjing
红菜薹	hongcaitai
红茶	hongcha
红橙	hongcheng
红醋栗	hongculi
红豆杉	hongdoushan
红豆越桔	hongdouyueju
红花	honghua
红花菜豆	honghuacaidou
红花籽油	honghuaziyou
红花酢浆草	honghuazuojiangcao
红麻	hongma
红毛丹	hongmaodan
红皮	hongpi
红杉	hongshan
红树	hongshu
红隼	hongsun
红外扫描	hongwaisaomiao
红外线干燥	hongwaixianganzao
红外线加热	hongwaixianjiare
后窗玻璃	houchuangboli
猴面包树	houmianbaoshu
猴头菌	houtoujun
后效	houxiao
胡葱	hucong
蝴蝶花	hudiehua
蝴蝶兰	hudielan
胡蜂	hufeng
瓠瓜	hugua
槲寄生	hujisheng
胡家村	hujiacun
胡萝卜	huluobo
胡桃	hutao
湖田	hutian
虎尾草	huweicao
呼吸系数	huxixishu
花粉不育性	huafenbuyuxing
花粉蒙导	huafenmengdao
花粉培养	huafenpeiyang
化感素	huagansu
花红	huahong
花卉装饰	huahuizhuangshi
花椒树	huajiaoshu
花菱草	hualingcao
画眉草	huameicao
华山松	huashansong
花生酱	huashengjiang
花生油	huashengyou
划线支票	huaxianzhipiao
化学肥料	huaxuefeiliao
化学需氧量	huaxuexuyangliang
化学诱变剂	huaxueyoubianji
化学治疗	huaxuezhiliao
花薰茶	huaxuncha
花药	huayao
花药培养	huayaopeiyang
花椰菜	huayecai
坏死	huaisi
缓冲存储器	huanchongcunchuqi
环境标准	huanjingbiaozhun
环境参数	huanjingcanshu
环境毒性	huanjingduxing
环境模拟	huanjingmoni
环境评价	huanjingpingjia
环境容量	huanjingrongliang
环境危害	huanjingweihai
环境友好型	huanjingyouhaoxing
环境预测	huanjingyuce
环境准则	huanjingzhunze
缓释肥料	huanshifeiliao
环行路	huanxinglu
还原糖	huanyuantang
黄板	huangban
黄草乌	huangcaowu
蝗虫	huangchong
黄腐酸	huangfusuan
黄瓜	huanggua
黄栌	huanglu
黄麻	huangma
黄苗	huangmiao
荒漠化	huangmohua
黄皮	huangpi
黄芩	huangqin
黄热病	huangrebing
黄杨	huangyang
灰度	huidu
恢复系	huifuxi
回归	huigui
回归线	huiguixian
灰褐色	huihese
毁林开荒	huilinkaihuang
灰漠土	huimotu
灰泥	huini
茴香	huixiang
混合法	hunhefa
混合经济	hunhejingji
混合模型	hunhemoxing
混合油处理	hunheyouchuli
混录	hunlu
混凝土搅拌车	hunningtujiaobanche
混系品种	hunxipinzhong
混作	hunzuo
火葱	huocong
获得免疫性	huodemianyixing
活动温度	huodongwendu
活化剂	huohuaji
货架期延长	huojiaqiyanchang
活络扳手	huoluobanshou
活性污泥	huoxingwuni
疾病诊断	jibingzhenduan
荠菜	jicai
蕺菜	jicai
极差	jicha
级差土地收入	jichatudishouru
激动素	jidongsu
姬蜂	jifeng
鸡冠花	jiguanhua
激光微束辐照	jiguangweishufuzhao
几何校正	jihejiaozheng|jihexiaozheng
几何平均数	jihepingjunshu
激活子	jihuozi
季节包工	jijiebaogong
季节工	jijiegong
积累	jilei
剂量	jiliang
剂量计	jiliangji
剂量效应	jiliangxiaoying
剂量效应曲线	jiliangxiaoyingquxian
鸡舍	jishe
寄生物	jishengwu
极甜	jitian
鸡头	jitou
机械工程学	jixiegongchengxue
机械化耕作	jixiehuagengzuo
机械化栽培	jixiehuazaipei
机械钻	jixiezuan
极性	jixing
急性毒性	jixingduxing
急性症状	jixingzhengzhuang
挤压加工	jiyajiagong
基因工程	jiyingongcheng
基因库	jiyinku
基因文库	jiyinwenku
基因性不育	jiyinxingbuyu
基因源	jiyinyuan
基因转移	jiyinzhuanyi
寄蝇	jiying
鸡油菌	jiyoujun
集约化	jiyuehua
集约农业	jiyuenongye
甲胺磷	jiaanlin
假彩色	jiacaise
甲草胺	jiacaoan
钾肥	jiafei
甲磺隆	jiahuanglong
嫁接结合部	jiajiejiehebu
甲萘威	jianaiwei
加氢作用	jiaqingzuoyong
甲霜灵	jiashuangling
甲维盐	jiaweiyan
家系选择	jiaxixuanze
加性效应	jiaxingxiaoying
加油泵	jiayoubeng
假植	jiazhi
夹竹桃	jiazhutao
剪草机	jiancaoji
监督分类	jiandufenlei
间断分布	jianduanfenbu
间隔	jiange
坚黑穗病	jianheisuibing
剑兰	jianlan
剑麻	jianma
箭舌豌豆	jianshewandou
渐渗杂交	jianshenzajiao
碱式硫酸铜	jianshiliusuantong
间歇辐照	jianxiefuzhao
碱性土	jianxingtu
鲣鱼	jianyu
豇豆	jiangdou
降水	jiangshui
降水蒸发比	jiangshuizhengfabi
降雨持续时间	jiangyuchixushijian
交叉检查	jiaochajiancha
交叉犁耕	jiaochaligeng
角果	jiaoguo
交互作用	jiaohuzuoyong
交换量	jiaohuanliang
交换性盐基	jiaohuanxingyanji
交换子	jiaohuanzi
胶片	jiaopian
胶乳	jiaoru
浇透	jiaotou
焦亚硫酸钠	jiaoyaliusuanna
校正	jiaozheng
芥菜	jiecai
芥菜类蔬菜	jiecaileishucai
揭除	jiechu
解冻	jiedong
阶段发育	jieduanfayu
秸秆	jiegan
接骨木	jiegumu
结果期	jieguoqi
结果习性	jieguoxixing
结果枝	jieguozhi
拮抗效应	jiekangxiaoying
揭膜	jiemo
结球	jieqiu
接芽	jieya
荩草	jincao
金翅雀	jinchique
紧凑型	jincouxing
金光菊	jinguangju
金琥	jinhu
近交	jinjiao
近交系数	jinjiaoxishu
金桔	jinju
金莲花	jinlianhua
金钱松	jinqiansong
金色狗尾草	jinsegouweicao
金属托盘	jinshutuopan
金银花	jinyinhua
金鱼草	jinyucao
金盏菊	jinzhanju
禁止掉头	jinzhidiaotou
精氨酸	jingansuan
粳稻	jingdao
净化剂	jinghuaji
经济波动	jingjibodong
经济复原	jingjifuyuan
经济阈值	jingjiyuzhi
经济作物	jingjizuowu
茎节	jingjie
敬酒歌	jingjiuge
腈菌唑	jingjunzuo
精喹禾灵	jingkuiheling
径流	jingliu
茎蔓	jingman
精密播种机	jingmibozhongji
警示胶带	jingshijiaodai
竞争能力	jingzhengnengli
经作	jingzuo
酒吧间	jiubajian
救荒	jiuhuang
救荒作物	jiuhuangzuowu
旧货店	jiuhuodian
拒虫剂	juchongji
聚合杂交	juhezajiao
菊花	juhua
聚类	julei
聚类分析	juleifenxi
居民委员会	juminweiyuanhui
聚伞花序	jusanhuaxu
菊芋	juyu
枸橼	juyuan
桔子水	juzishui
卷丹	juandan
卷叶	juanye
蕨菜	juecai
决定系数	juedingxishu
绝对湿度	jueduishidu
菌柄	junbing
均方	junfang
菌根	jungen
菌膜	junmo
君迁子	junqianzi
菌丝体	junsiti
咖啡果小蠹	kafeiguoxiaodu
咖啡虎天牛	kafeihutianniu
卡口灯泡	kakoudengpao
卡片穿孔机	kapianchuankongji
卡特兰	katelan
凯门鳄	kaimene
看麦娘	kanmainiang
康拜因	kangbaiyin
抗变剂	kangbianji
抗病力强	kangbingliqiang
抗虫育种	kangchongyuzhong
抗倒伏性	kangdaofuxing
抗风性	kangfengxing
抗高温	kanggaowen
抗寒	kanghan
抗性	kangxing
抗性机制	kangxingjizhi
抗锈	kangxiu
抗血清	kangxueqing
抗氧剂保藏	kangyangjibaocang
抗药性	kangyaoxing
抗原	kangyuan
克百威	kebaiwei
可兑换性	keduihuanxing
可分配总收入	kefenpeizongshouru
客货两用车	kehuoliangyongche
科技讲座	kejijiangzuo
科技培训	kejipeixun
可可油	kekeyou
颗粒肥料	kelifeiliao
颗粒剂	keliji
颗粒杀虫剂	kelishachongji
颗粒物料分选	keliwuliaofenxuan
颗粒无收	keliwushou
科普图书	keputushu
可溶性	kerongxing
可湿性	keshixing
可湿性粉剂	keshixingfenji
苛性钠	kexingna
可用资产	keyongzichan
可再生能源	kezaishengnengyuan
可再生资源	kezaishengziyuan
垦殖指数	kenzhizhishu
坑洼	kengwa
空白试验	kongbaishiyan
空秆	konggan
空间隔离	kongjiangeli
空间数据	kongjianshuju
空气污染	kongqiwuran
空腔	kongqiang
孔雀草	kongquecao
空心菜	kongxincai
空心莲子草	kongxinlianzicao
空心砖	kongxinzhuan
枯斑	kuban
苦豆子总碱	kudouzizongjian
苦瓜	kugua
苦苣	kuju
苦荞	kuqiao
苦参碱	kushenjian
库塘	kutang
枯心	kuxin
块根作物	kuaigenzuowu
块茎播种机	kuaijingbozhongji
块茎指数	kuaijingzhishu
块茎作物	kuaijingzuowu
块状结构	kuaizhuangjiegou
矿质氮	kuangzhidan
溃疡病	kuiyangbing
昆布	kunbu
扩散系数	kuosanxishu
拉丁方设计	ladingfangsheji
辣根	lagen
垃圾处置	lajichuzhi
辣椒	lajiao
辣椒碱	lajiaojian
蜡熟	lashu
赖氨酸	laiansuan
来回票	laihuipiao
来人支票	lairenzhipiao
兰花苕子	lanhuashaozi
劳动工分	laodonggongfen
劳动日值	laodongrizhi
老熟	laoshu
乐果	leguo
雷暴	leibao
累进税	leijinshui
累进税制	leijinshuizhi
蕾期	leiqi
蕾期授粉	leiqishoufen
冷藏库	lengcangku
冷床	lengchuang
冷冻干燥	lengdongganzao
梨耙	liba
鳢肠	lichang
犁底层	lidiceng
犁沟	ligou
离合器踏板	liheqitaban
粒数	lishu
利它素	litasu
离体保存	litibaocun
立体镜	litijing
立体农业	litinongye
离体突变发生	lititubianfasheng
梨园蚧	liyuanjie
荔枝	lizhi
粒重	lizhong
李子树	lizishu
联苯菊酯	lianbenjuzhi
链轨式拖拉机	lianguishituolaji
联合收割机	lianheshougeji
莲花白	lianhuabai
连枷	lianjia
连接酶	lianjiemei
连片	lianpian
联体病毒	liantibingdu
鲢鱼	lianyu
莲座期	lianzuoqi
粮仓	liangcang
两次曝光	liangcibaoguang
粮食产量	liangshichanliang
粮食局	liangshiju
粮食年度	liangshiniandu
粮食三定	liangshisanding
粮食四统一	liangshisitongyi
粮食统购统销	liangshitonggoutongxiao
粮食议购议销	liangshiyigouyixiao
粮食征购	liangshizhenggou
粮食征购基数	liangshizhenggoujishu
量水槽	liangshuicao
量水堰	liangshuiyan
猎蝽	liechun
列当	liedang
鬣蜥	liexi
邻苯基苯酚	linbenjibenfen
磷肥	linfei
