按劳分配为主体	anlaofenpeiweizhuti
共识	gongshi
公司经营成功的因素	gongsijingyingchenggongdeyinsu
共同理想	gongtonglixiang
共同利益	gongtongliyi
公有制经济	gongyouzhijingji
工作成效	gongzuochengxiao
寡头政治	guatouzhengzhi
官兵一致	guanbingyizhi
贯彻落实科学发展观	guancheluoshikexuefazhanguan
关键环节	guanjianhuanjie
管理有序	guanliyouxu
广大干部群众	guangdaganbuqunzhong
规范化	guifanhua
规范市场经济秩序	guifanshichangjingjizhixu
规范性	guifanxing
规律的客观性和普遍性	guilvdekeguanxinghepubianxing
国际新秩序	guojixinzhixu
国际政治经济新秩序	guojizhengzhijingjixinzhixu
国家富强	guojiafuqiang
国家政权	guojiazhengquan
国外留学	guowailiuxue
过硬措施	guoyingcuoshi
捍卫者	hanweizhe
和谐社会	hexieshehui
宏观调控	hongguantiaokong
汇聚力量	huijuliliang
活力源泉	huoliyuanquan
基本点	jibendian
基本纲领	jibengangling
基本观点	jibenguandian
基本国情	jibenguoqing
基本经验教育	jibenjingyanjiaoyu
基本路线	jibenluxian
基本形式竞争合作冲突	jibenxingshijingzhenghezuochongtu
基层党委	jicengdangwei
基层建设	jicengjianshe
继承性相对稳定性	jichengxingxiangduiwendingxing
计划经济	jihuajingji
积极营造	jijiyingzao
纪律作风	jilvzuofeng
机密	jimi
集权政治	jiquanzhengzhi
集体主义	jitizhuyi
机制性	jizhixing
价格变动	jiagebiandong
加强领导	jiaqianglingdao
价值观	jiazhiguan
价值观教育	jiazhiguanjiaoyu
价值规律	jiazhiguilv
价值决定价格	jiazhijuedingjiage
价值取向多元化	jiazhiquxiangduoyuanhua
检察工作	jianchagongzuo
检察工作考核评价体系	jianchagongzuokaohepingjiatixi
检察工作一体化	jianchagongzuoyitihua
坚持文化创新四个途径	jianchiwenhuachuangxinsigetujing
坚定性	jiandingxing
监督有力	jianduyouli
监督制约机制	jianduzhiyuejizhi
监督制约机制建设	jianduzhiyuejizhijianshe
艰苦奋斗	jiankufendou
建立规范	jianliguifan
建设和谐文化	jianshehexiewenhua
建设社会主义精神文明	jiansheshehuizhuyijingshenwenming
建设者	jianshezhe
建言献策	jianyanxiance
讲信誉的政府	jiangxinyudezhengfu
焦裕禄精神	jiaoyulujingshen
结合点	jiehedian
解难事	jienanshi
结算方式	jiesuanfangshi
进教材	jinjiaocai
进课堂	jinketang
进学生头脑	jinxueshengtounao
经济建设	jingjijianshe
经济民主	jingjiminzhu
经济全球化	jingjiquanqiuhua
经济体制	jingjitizhi
精神文明	jingshenwenming
精英	jingying
精英政治	jingyingzhengzhi
具体行动	jutixingdong
决策科学	juecekexue
决策利民	juecelimin
决心干劲	juexinganjin
君主立宪制	junzhulixianzhi
君主制	junzhuzhi
开放型经济水平	kaifangxingjingjishuiping
开拓进取	kaituojinqu
抗美援朝	kangmeiyuanchao
抗美援朝战争	kangmeiyuanchaozhanzheng
可靠接班人	kekaojiebanren
科学发展	kexuefazhan
科学发展观	kexuefazhanguan
科学理论	kexuelilun
科学内涵	kexueneihan
科学文化教育	kexuewenhuajiaoyu
科学性	kexuexing
科学执政	kexuezhizheng
劳动二重性	laodongerchongxing
劳动者的权益	laodongzhedequanyi
立国之本	liguozhiben
历久弥新	lijiumixin
理论功底扎实	lilungongdizhashi
理论和方法	lilunhefangfa
理论基础	lilunjichu
理论认同	lilunrentong
理论依据	lilunyiju
历史的必然	lishidebiran
历史的创造者	lishidechuangzaozhe
历史唯物主义	lishiweiwuzhuyi
理顺关系	lishunguanxi
理想国	lixiangguo
利益格局	liyigeju
利益集团	liyijituan
立足本职	lizubenzhi
联邦党	lianbangdang
联邦共和国	lianbanggongheguo
联邦制	lianbangzhi
廉洁高效	lianjiegaoxiao
联系的多样性	lianxideduoyangxing
联系的客观性	lianxidekeguanxing
联系的普遍性	lianxidepubianxing
廉政勤政	lianzhengqinzheng
两不误	liangbuwu
两促进	liangcujin
两党制	liangdangzhi
两点论	liangdianlun
两个基本点	lianggejibendian
量入为出	liangruweichu
列宁式政党	lieningshizhengdang
列宁主义	lieningzhuyi
六四事件	liusishijian
落后文化	luohouwenhua
履行职责	lvxingzhize
马克思主义	makesizhuyi
马列主义	maliezhuyi
矛盾的次要方面	maodundeciyaofangmian
矛盾的含义	maodundehanyi
矛盾的普遍性	maodundepubianxing
矛盾的特殊性	maodundeteshuxing
矛盾的同一性与斗争性	maodundetongyixingyudouzhengxing
矛盾的主要方面	maodundezhuyaofangmian
毛泽东思想	maozedongsixiang
孟德斯鸠	mengdesijiu
民进党	minjindang
民运分子	minyunfenzi
民主党	minzhudang
民主党派	minzhudangpai
民主法治	minzhufazhi
民主共和国	minzhugongheguo
民主共和制	minzhugonghezhi
民主国家	minzhuguojia
民主化	minzhuhua
民主化进程	minzhuhuajincheng
民主集中制	minzhujizhongzhi
民主监督	minzhujiandu
民主思想	minzhusixiang
民主意识	minzhuyishi
民主运动	minzhuyundong
民主政治	minzhuzhengzhi
民主制度	minzhuzhidu
民主执政	minzhuzhizheng
民族区域自治制度	minzuquyuzizhizhidu
民族振兴	minzuzhenxing
南昌起义	nanchangqiyi
培养良好的道德风尚	peiyanglianghaodedaodefengshang
培养文明风尚	peiyangwenmingfengshang
平等性管理	pingdengxingguanli
企业联合	qiyelianhe
前进性	qianjinxing
强大洪流	qiangdahongliu
强国之路	qiangguozhilu
强化法律监督	qianghuafalvjiandu
强强联合	qiangqianglianhe
切入点	qierudian
切身利益	qieshenliyi
勤俭节约	qinjianjieyue
勤于学习	qinyuxuexi
清正廉洁	qingzhenglianjie
秋收起义	qiushouqiyi
求真务实	qiuzhenwushi
趋利避害	qulibihai
曲折性	quzhexing
权利与义务统一	quanliyuyiwutongyi
权利原则	quanliyuanze
权力制衡	quanlizhiheng
全面改善人民生活	quanmiangaishanrenminshenghuo
权责一致	quanzeyizhi
确保取得实效	quebaoqudeshixiao
群众观点	qunzhongguandian
群众监督	qunzhongjiandu
群众路线	qunzhongluxian
人大代表的权利和义务	rendadaibiaodequanliheyiwu
人大监督	rendajiandu
人类社会	renleishehui
人民民主专政	renminminzhuzhuanzheng
人民权益	renminquanyi
人民群众	renminqunzhong
人民生活	renminshenghuo
人民幸福	renminxingfu
人民政协	renminzhengxie
人民政协的性质和职能	renminzhengxiedexingzhihezhineng
人权	renquan
人生观	renshengguan
人生价值观	renshengjiazhiguan
认识论	renshilun
人性	renxing
人治	renzhi
锐意进取	ruiyijinqu
三个代表	sangedaibiao
三权分立	sanquanfenli
善于联系实际	shanyulianxishiji
商品二因素	shangpineryinsu
社会存在	shehuicunzai
社会公平	shehuigongping
社会和谐	shehuihexie
社会建设	shehuijianshe
社会结构	shehuijiegou
社会矛盾	shehuimaodun
社会生活共同体	shehuishenghuogongtongti
社会体制	shehuitizhi
社会意识	shehuiyishi
社会政治	shehuizhengzhi
社会主义	shehuizhuyi
社会主义初级阶段	shehuizhuyichujijieduan
社会主义法制	shehuizhuyifazhi
社会主义法制理论	shehuizhuyifazhililun
社会主义法治理念	shehuizhuyifazhilinian
社会主义革命	shehuizhuyigeming
社会主义合格建设者	shehuizhuyihegejianshezhe
社会主义和谐社会	shehuizhuyihexieshehui
社会主义核心价值体系	shehuizhuyihexinjiazhitixi
社会主义理论体系	shehuizhuyililuntixi
社会主义民主法治	shehuizhuyiminzhufazhi
社会主义荣辱观	shehuizhuyirongruguan
社会主义社会	shehuizhuyishehui
社会主义市场经济	shehuizhuyishichangjingji
社会主义市场经济体制	shehuizhuyishichangjingjitizhi
社会主义所有制	shehuizhuyisuoyouzhi
社会主义现代化	shehuizhuyixiandaihua
社会主义政权	shehuizhuyizhengquan
社会主义制度	shehuizhuyizhidu
深刻变动	shenkebiandong
深刻变革	shenkebiange
深刻变化	shenkebianhua
深刻调整	shenketiaozheng
深入贯彻落实	shenruguancheluoshi
神圣使命	shenshengshiming
生产经营	shengchanjingying
生产力	shengchanli
生存发展	shengcunfazhan
市场经济	shichangjingji
时代内涵	shidaineihan
适度消费	shiduxiaofei
世纪的开创者	shijidekaichuangzhe
实践与认识的辩证关系	shijianyurenshidebianzhengguanxi
世界观	shijieguan
世界是永恒发展的	shijieshiyonghengfazhande
实现好	shixianhao
实现中华民族伟大复兴	shixianzhonghuaminzuweidafuxing
实效性	shixiaoxing
事业为重	shiyeweizhong
使用价值	shiyongjiazhi
受利益驱动办案	shouliyiqudongbanan
收入分配	shourufenpei
收入分配公平	shourufenpeigongping
树立正确的思想观念	shulizhengquedesixiangguannian
率先垂范	shuaixianchuifan
顺服王法	shunfuwangfa
司法公正	sifagongzheng
思想道德建设	sixiangdaodejianshe
思想观念	sixiangguannian
四项基本原则	sixiangjibenyuanze
思想体系	sixiangtixi
思想政治建设	sixiangzhengzhijianshe
特权	tequan
提高公共服务质量	tigaogonggongfuwuzhiliang
提高效能	tigaoxiaoneng
体制性	tizhixing
贴近实际	tiejinshiji
统筹兼顾	tongchoujiangu
统一部署	tongyibushu
统治	tongzhi
统治阶级	tongzhijieji
统治权	tongzhiquan
突出问题	tuchuwenti
推动历史	tuidonglishi
外汇储备贬值	waihuichubeibianzhi
顽强拼搏	wanqiangpinbo
忘我工作	wangwogongzuo
伟大旗帜	weidaqizhi
违法办案	weifabanan
违法之人	weifazhiren
危害国家安全	weihaiguojiaanquan
维护公平正义	weihugongpingzhengyi
维护好	weihuhao
未来的方向	weilaidefangxiang
为民掌权	weiminzhangquan
唯物论	weiwulun
唯物史观	weiwushiguan
稳步发展	wenbufazhan
稳步推进	wenbutuijin
文化建设	wenhuajianshe
文化体制	wenhuatizhi
文明祥和	wenmingxianghe
文明执法	wenmingzhifa
无产阶级	wuchanjieji
无偿性管理	wuchangxingguanli
无私奉献	wusifengxian
物质承担者	wuzhichengdanzhe
物质文明	wuzhiwenming
物质与意识辩证关系原理	wuzhiyuyishibianzhengguanxiyuanli
五种精神	wuzhongjingshen
武装头脑	wuzhuangtounao
西方政治	xifangzhengzhi
西方政治哲学	xifangzhengzhizhexue
系统思维	xitongsiwei
吸引力	xiyinli
宪法	xianfa
先进典型	xianjindianxing
现金结算	xianjinjiesuan
鲜明的民族性	xianmingdeminzuxing
鲜明特色	xianmingtese
现实的选择	xianshidexuanze
宪政	xianzheng
消费观	xiaofeiguan
消费类型	xiaofeileixing
效率与公平	xiaolvyugongping
协调关系	xietiaoguanxi
协调性	xietiaoxing
新期待	xinqidai
新时代的劳动者	xinshidaidelaodongzhe
新型的民族关系	xinxingdeminzuguanxi
新形势	xinxingshi
新要求	xinyaoqiu
兴国之要	xingguozhiyao
形势政策教育	xingshizhengcejiaoyu
兴旺发达	xingwangfada
行为规范	xingweiguifan
宣传煽动	xuanchuanshandong
选择性	xuanzexing
学榜样	xuebangyang
压案不查	yaanbucha
研究对象	yanjiuduixiang
研究方法	yanjiufangfa
研究取向	yanjiuquxiang
业务精通	yewujingtong
以背离人民为耻	yibeilirenminweichi
以诚实信用为荣	yichengshixinyongweirong
以崇尚科学为荣	yichongshangkexueweirong
一党制	yidangzhi
一党专政	yidangzhuanzheng
以德治国	yidezhiguo
依法行政的政府	yifaxingzhengdezhengfu
以法治国	yifazhiguo
依法治国	yifazhiguo
依法执政	yifazhizheng
一府两院	yifuliangyuan
以服务人民为荣	yifuwurenminweirong
一个中心	yigezhongxin
以好逸恶劳为耻	yihaoyiwulaoweichi
议会民主	yihuiminzhu
议会政治	yihuizhengzhi
议会制	yihuizhi
以艰苦奋斗为荣	yijiankufendouweirong
以见利忘义为耻	yijianliwangyiweichi
以骄奢淫逸为耻	yijiaosheyinyiweichi
以经济建设为中心	yijingjijiansheweizhongxin
依靠群众	yikaoqunzhong
一切从实际出发	yiqiecongshijichufa
以权谋私办案	yiquanmousibanan
以热爱祖国为荣	yireaizuguoweirong
以人为本	yirenweiben
以人为本执政为民	yirenweibenzhizhengweimin
意识的能动作用	yishidenengdongzuoyong
以损人利己为耻	yisunrenlijiweichi
以团结互助为荣	yituanjiehuzhuweirong
以违法乱纪为耻	yiweifaluanjiweichi
以危害祖国为耻	yiweihaizuguoweichi
以辛勤劳动为荣	yixinqinlaodongweirong
异议人士	yiyirenshi
以愚昧无知为耻	yiyumeiwuzhiweichi
一元化	yiyuanhua
一元化领导	yiyuanhualingdao
以遵纪守法为荣	yizunjishoufaweirong
勇于开拓	yongyukaituo
勇于开拓创新	yongyukaituochuangxin
有案不办	youanbuban
优化公共资源配置	youhuagonggongziyuanpeizhi
优化检察职能配置	youhuajianchazhinengpeizhi
优化结构	youhuajiegou
忧患意识	youhuanyishi
有力武器	youliwuqi
优秀文化能丰富人的精神世界	youxiuwenhuanengfengfurendejingshenshijie
优秀文化能增强人的精神力量	youxiuwenhuanengzengqiangrendejingshenliliang
优秀文化塑造人生	youxiuwenhuasuzaorensheng
优越性	youyuexing
预防为主	yufangweizhu
舆论氛围	yulunfenwei
原理内容物质决定意识	yuanlineirongwuzhijuedingyishi
载体跨国公司	zaitikuaguogongsi
责任意识	zerenyishi
增加社会物质财富	zengjiashehuiwuzhicaifu
增值税的作用	zengzhishuidezuoyong
战略思维	zhanluesiwei
找差距	zhaochaju
针对性	zhenduixing
真理是具体的有条件的	zhenlishijutideyoutiaojiande
镇压	zhenya
政法队伍	zhengfaduiwu
政法工作	zhengfagongzuo
政法机关	zhengfajiguan
政见	zhengjian
政权意识	zhengquanyishi
正确道路	zhengquedaolu
正确方向	zhengquefangxiang
政体	zhengti
整体和部分的辩证关系	zhengtihebufendebianzhengguanxi
政协监督	zhengxiejiandu
政治参与	zhengzhicanyu
政治发展	zhengzhifazhan
政治寡头	zhengzhiguatou
政治基石	zhengzhijishi
政治价值	zhengzhijiazhi
政治坚定	zhengzhijianding
政治建设	zhengzhijianshe
政治结构	zhengzhijiegou
政治可靠	zhengzhikekao
政治立场	zhengzhilichang
政治权力	zhengzhiquanli
政治认同	zhengzhirentong
政治事物	zhengzhishiwu
政治思想	zhengzhisixiang
政治体制	zhengzhitizhi
政治问题	zhengzhiwenti
政治现实	zhengzhixianshi
政治现象	zhengzhixianxiang
政治协商	zhengzhixieshang
政治性	zhengzhixing
政治意识	zhengzhiyishi
政治哲学	zhengzhizhexue
政治制度	zhengzhizhidu
制度化	zhiduhua
制度设计	zhidusheji
执法办案流程	zhifabananliucheng
执法不严	zhifabuyan
执法公正	zhifagongzheng
执法实践	zhifashijian
执法思想	zhifasixiang
执法为民	zhifaweimin
执法作风	zhifazuofeng
智慧和力量	zhihuiheliliang
直属党委	zhishudangwei
执行顺畅	zhixingshunchang
执政为民	zhizhengweimin
重大战略思想	zhongdazhanluesixiang
重点论	zhongdianlun
中国传统	zhongguochuantong
中国共产党	zhongguogongchandang
中国特色	zhongguotese
中国特色社会主义	zhongguoteseshehuizhuyi
中国特色社会主义事业	zhongguoteseshehuizhuyishiye
中华文化的独特性	zhonghuawenhuadedutexing
中间偏右	zhongjianpianyou
中间偏左	zhongjianpianzuo
中央集权	zhongyangjiquan
中央集权制	zhongyangjiquanzhi
中央学习实践活动	zhongyangxuexishijianhuodong
中央指导检查组	zhongyangzhidaojianchazu
重要讲话	zhongyaojianghua
重要领域	zhongyaolingyu
重要指导方针	zhongyaozhidaofangzhen
重要作用	zhongyaozuoyong
众议院	zhongyiyuan
主动性	zhudongxing
主流意识	zhuliuyishi
主要矛盾	zhuyaomaodun
注重实际效果	zhuzhongshijixiaoguo
转账结算	zhuanzhangjiesuan
专政	zhuanzheng
专制国家	zhuanzhiguojia
专制理论	zhuanzhililun
专制思想	zhuanzhisixiang
专制统治	zhuanzhitongzhi
专制意识	zhuanzhiyishi
专制政权	zhuanzhizhengquan
专制政治	zhuanzhizhengzhi
专制制度	zhuanzhizhidu
着力解决	zhuolijiejue
资本主义	zibenzhuyi
资产阶级	zichanjieji
自觉守法	zijueshoufa
自觉性	zijuexing
自觉学法	zijuexuefa
自觉用法	zijueyongfa
自力更生	ziligengsheng
自民党	zimindang
自身建设	zishenjianshe
自我服务	ziwofuwu
自我管理	ziwoguanli
自我监督	ziwojiandu
自我教育	ziwojiaoyu
自由民主党	ziyouminzhudang
自由平等	ziyoupingdeng
总体小康	zongtixiaokang
总统制	zongtongzhi
宗旨全心全意为人民服务	zongzhiquanxinquanyiweirenminfuwu
走转改	zouzhuangai
组织建设	zuzhijianshe
组织领导	zuzhilingdao
最彻底的人民性	zuichediderenminxing
最高人民检察院	zuigaorenminjianchayuan
最广大人民	zuiguangdarenmin
最广大人民的根本利益	zuiguangdarenmindegenbenliyi
最普遍的公平性	zuipubiandegongpingxing
最有效的协调性	zuiyouxiaodexietiaoxing
尊干爱兵	zunganaibing
遵循规律	zunxunguilv
遵义会议	zunyihuiyi
尊重人民主体地位	zunzhongrenminzhutidiwei
作风教育	zuofengjiaoyu
作风优良	zuofengyouliang
做好事	zuohaoshi
阿多诺	aduonuo
阿尔都塞	aerdusai
安年柯夫	anniankefu
巴枯宁	bakuning
鲍威尔	baoweier
必然王国	biranwangguo
必然性	biranxing
辩证唯物主义	bianzhengweiwuzhuyi
伯恩施坦	boenshitan
剥削率	boxuelv
不变资本	bubianziben
布尔什维主义	buershiweizhuyi
布哈林	buhalin
不可知论	bukezhilun
布洛赫	buluohe
大众文化批判	dazhongwenhuapipan
党性原则	dangxingyuanze
德里达	delida
狄德罗	dideluo
东方社会	dongfangshehui
斗争性	douzhengxing
杜林	dulin
对抗性矛盾	duikangxingmaodun
对立统一	duilitongyi
对象化	duixianghua
二元论	eryuanlun
发展哲学	fazhanzhexue
法哲学	fazhexue
反映论	fanyinglun
费尔巴哈	feierbaha
分析的马克思主义	fenxidemakesizhuyi
分析马克思主义哲学	fenximakesizhuyizhexue
分析哲学	fenxizhexue
否定辩证法	foudingbianzhengfa
否定的辩证法	foudingdebianzhengfa
傅立叶	fuliye
改造世界	gaizaoshijie
感性认识	ganxingrenshi
葛兰西	gelanxi
革命是历史的火车头	gemingshilishidehuochetou
革命性	gemingxing
根本矛盾	genbenmaodun
共相	gongxiang
工业化批判	gongyehuapipan
观念上层建筑	guannianshangcengjianzhu
关系本体论	guanxibentilun
哈贝马斯	habeimasi
合法性	hefaxing
合力论	helilun
合理内核	helineihe
合理性	helixing
黑格尔	heigeer
黑格尔主义	heigeerzhuyi
霍克海默	huokehaimo
基本矛盾	jibenmaodun
基本内核	jibenneihe
基本问题	jibenwenti
激变论	jibianlun
阶级斗争	jiejidouzheng
阶级分析法	jiejifenxifa
阶级结构	jiejijiegou
阶级性	jiejixing
阶级意识	jiejiyishi
经济斗争	jingjidouzheng
经济范畴	jingjifanchou
经济基础	jingjijichu
经济决定论	jingjijuedinglun
经济哲学	jingjizhexue
经验论	jingyanlun
经验主义	jingyanzhuyi
经院哲学	jingyuanzhexue
绝对真理	jueduizhenli
均衡论	junhenglun
考茨基	kaociji
可变资本	kebianziben
科尔施	keershi
客观必然性	keguanbiranxing
客观实在性	keguanshizaixing
可能性	kenengxing
客体的非对象化	ketidefeiduixianghua
客体主体化	ketizhutihua
科西克	kexike
科学之科学	kexuezhikexue
可知论	kezhilun
空想社会主义	kongxiangshehuizhuyi
拉布里奥拉	labuliaola
拉法格	lafage
莱茵报	laiyinbao
劳动的对象化	laodongdeduixianghua
老年马克思	laonianmakesi
李卜克内西	libukeneixi
历史本体论	lishibentilun
历史范畴	lishifanchou
历史决定论	lishijuedinglun
历史主义	lishizhuyi
理性具体	lixingjuti
理性认识	lixingrenshi
联合体	lianheti
卢格	luge
卢卡奇	lukaqi
卢森堡	lusenbao
马尔库塞	maerkusai
马克思主义人学	makesizhuyirenxue
马克思主义政治经济学	makesizhuyizhengzhijingjixue
曼海姆	manhaimu
矛盾	maodun
能动性	nengdongxing
偶然性	ouranxing
欧文	ouwen
批判的马克思主义哲学	pipandemakesizhuyizhexue
批判的社会理论	pipandeshehuililun
平衡论	pinghenglun
普列汉诺夫	puliehannuofu
普鲁东	puludong
普纳路亚	punaluya
朴素辩证法	pusubianzhengfa
朴素唯物主义	pusuweiwuzhuyi
齐泽克	qizeke
青年黑格尔派	qingnianheigeerpai
青年马克思	qingnianmakesi
权力解释学	quanlijieshixue
人道主义的马克思主义	rendaozhuyidemakesizhuyi
人的本质	rendebenzhi
人的解放	rendejiefang
人化	renhua
人化的自然	renhuadeziran
人化自然	renhuaziran
人口因素	renkouyinsu
人类学笔记	renleixuebiji
认识路线	renshiluxian
人学	renxue
萨特	sate
沙夫	shafu
上层建筑	shangcengjianzhu
社会革命	shehuigeming
社会关系本体论	shehuiguanxibentilun
社会理论	shehuililun
社会物质生活条件	shehuiwuzhishenghuotiaojian
社会心理	shehuixinli
社会形态	shehuixingtai
社会学大纲	shehuixuedagang
社会意识形式	shehuiyishixingshi
生产方式	shengchanfangshi
生产关系	shengchanguanxi
生产关系本体论	shengchanguanxibentilun
生产实践	shengchanshijian
生成性	shengchengxing
生存论	shengcunlun
生活世界	shenghuoshijie
生态主义的马克思主义	shengtaizhuyidemakesizhuyi
圣西门	shengximen
剩余价值	shengyujiazhi
剩余价值规律	shengyujiazhiguilv
剩余价值率	shengyujiazhilv
施蒂纳	shidina
实践本体论	shijianbentilun
实践唯物主义	shijianweiwuzhuyi
实践性	shijianxing
实践一元论	shijianyiyuanlun
世界化	shijiehua
世界历史理论	shijielishililun
施特劳斯	shitelaosi
诗性	shixing
诗性的历史	shixingdelishi
斯大林	sidalin
思维的非至上性	siweidefeizhishangxing
思维的至上性	siweidezhishangxing
思想斗争	sixiangdouzheng
思想政治	sixiangzhengzhi
私有制	siyouzhi
搜集材料	soujicailiao
所有制	suoyouzhi
泰勒斯	tailesi
同一性	tongyixing
唯理论	weililun
唯名论	weiminglun
唯实论	weishilun
魏特林	weitelin
唯物辩证法	weiwubianzhengfa
唯物主义	weiwuzhuyi
唯心辩证法	weixinbianzhengfa
唯心史观	weixinshiguan
唯心主义	weixinzhuyi
唯一者	weiyizhe
文化批判	wenhuapipan
文化政治学	wenhuazhengzhixue
无产阶级专政	wuchanjiejizhuanzheng
物化	wuhua
乌托邦	wutuobang
无限性	wuxianxing
物质	wuzhi
物质本体论	wuzhibentilun
物质一元论	wuzhiyiyuanlun
现实性	xianshixing
先验论	xianyanlun
相对真理	xiangduizhenli
相对主义	xiangduizhuyi
谢林	xielin
形而上学唯物主义	xingershangxueweiwuzhuyi
形式质料说	xingshizhiliaoshuo
亚细亚生产方式	yaxiyashengchanfangshi
扬弃	yangqi
异化劳动	yihualaodong
意识	yishi
意识形态	yishixingtai
有机构成	youjigoucheng
有限性	youxianxing
宇宙观	yuzhouguan
宇宙之砖	yuzhouzhizhuan
增殖	zengzhi
哲学	zhexue
哲学的基本问题	zhexuedejibenwenti
哲学的贫困	zhexuedepinkun
哲学化	zhexuehua
折衷主义	zhezhongzhuyi
真理性	zhenlixing
真正的社会主义	zhenzhengdeshehuizhuyi
症候阅读法	zhenghouyuedufa
整理材料	zhenglicailiao
政治斗争	zhengzhidouzheng
政治上层建筑	zhengzhishangcengjianzhu
知识社会学	zhishishehuixue
中介性	zhongjiexing
主体的对象化	zhutideduixianghua
主体客体化	zhutiketihua
主要矛盾方面	zhuyaomaodunfangmian
资本的有机构成	zibendeyoujigoucheng
资本的增殖	zibendezengzhi
自然的人化	ziranderenhua
自然观	ziranguan
自然哲学	ziranzhexue
自我意识	ziwoyishi
自由人联合体	ziyourenlianheti
自由王国	ziyouwangguo
总体辩证法	zongtibianzhengfa
总体性辩证法	zongtixingbianzhengfa
