生产储备	shengchanchubei
按揭条件	anjietiaojian
安联	anlian
安联集团	anlianjituan
安全边际	anquanbianji
安全度	anquandu
安全幅度	anquanfudu
安全管理	anquanguanli
安全回收	anquanhuishou
安全级别	anquanjibie
安全性	anquanxing
安全钥匙	anquanyaoshi
安全运作	anquanyunzuo
安全责任	anquanzeren
安田信托	antianxintuo
安永	anyong
澳新银行	aoxinyinhang
澳元	aoyuan
霸王条款	bawangtiaokuan
巴西银行	baxiyinhang
白菜卡	baicaika
白金版	baijinban
白金卡	baijinka
百灵理财	bailinglicai
拜票	baipiao
半仓	bancang
半仓操作	bancangcaozuo
半年报	bannianbao
半年期	bannianqi
办税大厅	banshuidating
办税厅	banshuiting
办税员	banshuiyuan
半值股票	banzhigupiao
报查	baocha
保单	baodan
暴跌	baodie
暴跌失败	baodieshibai
保额	baoe
保费	baofei
报废	baofei
暴富	baofu
保付代理	baofudaili
暴富效应	baofuxiaoying
保付支票	baofuzhipiao
宝钢股份	baoganggufen
报告界限	baogaojiexian
报告期	baogaoqi
报告期末	baogaoqimo
报告请求	baogaoqingqiu
报告在线	baogaozaixian
保管人	baoguanren
保函	baohan
保函业务	baohanyewu
饱和点	baohedian
保护价	baohujia
报价	baojia
报价电报	baojiadianbao
报价清单	baojiaqingdan
保监会	baojianhui
保荐制	baojianzhi
包括所属	baokuosuoshu
保理	baoli
暴利	baoli
保理产品	baolichanpin
保理费率	baolifeilv
保理服务	baolifuwu
保理商	baolishang
保理协议	baolixieyi
保理业务	baoliyewu
保留盈余	baoliuyingyu
暴露期权	baoluqiquan
暴露头寸	baolutoucun
包络线	baoluoxian
暴升	baosheng
宝生银行	baoshengyinhang
保税	baoshui
报税	baoshui
保网	baowang
保险服务	baoxianfuwu
保险公司	baoxiangongsi
保险行业	baoxianhangye
保险经纪	baoxianjingji
保险市场	baoxianshichang
保险索赔	baoxiansuopei
保险业	baoxianye
保险业务	baoxianyewu
保险知识	baoxianzhishi
保险资金	baoxianzijin
包销	baoxiao
包销责任	baoxiaozeren
宝盈基金	baoyingjijin
报于	baoyu
暴涨	baozhang
暴涨现象	baozhangxianxiang
保证金	baozhengjin
保值功能	baozhigongneng
保值增值	baozhizengzhi
北部资产	beibuzichan
被盗	beidao
备抵	beidi
备兑权证	beiduiquanzheng
贝尔斯登	beiersideng
北方金融	beifangjinrong
北方期货	beifangqihuo
北方万盛	beifangwansheng
备付金	beifujin
北海港	beihaigang
北海银行	beihaiyinhang
北京分行	beijingfenhang
北京国投	beijingguotou
北京首放	beijingshoufang
北京首证	beijingshouzheng
北京银行	beijingyinhang
被拒	beiju
北欧银行	beiouyinhang
背书债券	beishuzhaiquan
背书转让	beishuzhuanrang
贝塔	beita
被套	beitao
备忘录	beiwanglu
北亚期货	beiyaqihuo
备用费	beiyongfei
本次发行	bencifaxing
本地股票	bendigupiao
本机构	benjigou
本基金	benjijin
本金	benjin
本金安全	benjinanquan
本金保护	benjinbaohu
本年度	benniandu
本票	benpiao
本通知	bentongzhi
本通知单	bentongzhidan
本土市场	bentushichang
本土投行	bentutouhang
本土优势	bentuyoushi
本土最佳	bentuzuijia
本息	benxi
本意见中	benyijianzhong
本周推荐	benzhoutuijian
崩盘	bengpan
彼得林奇	bidelinqi
弊端	biduan
避风港	bifenggang
比价	bijia
避免出现	bimianchuxian
避免这类	bimianzhelei
必然联系	biranlianxi
避税	bishui
避税销售	bishuixiaoshou
毕苏	bisu
比索	bisuo
比塔斯	bitasi
避险效果	bixianxiaoguo
必须购买	bixugoumai
必须加快	bixujiakuai
币值	bizhi
币种	bizhong
变动范围	biandongfanwei
变动份额	biandongfene
变动记录	biandongjilu
变动日期	biandongriqi
变动原因	biandongyuanyin
变更注册	biangengzhuce
边际分析	bianjifenxi
变现	bianxian
便于重组	bianyuchongzu
贬值货币	bianzhihuobi
标金	biaojin
标普指数	biaopuzhishu
表示股票	biaoshigupiao
表首	biaoshou
标书	biaoshu
表头	biaotou
表现活跃	biaoxianhuoyue
表现强势	biaoxianqiangshi
表现稳定	biaoxianwending
表现一般	biaoxianyiban
标准差	biaozhuncha
标准成本	biaozhunchengben
标准股票	biaozhungupiao
标准普尔	biaozhunpuer
标准银行	biaozhunyinhang
并不乐观	bingbuleguan
并参阅	bingcanyue
并负责	bingfuze
并购策略	binggoucelue
并购领域	binggoulingyu
并购题材	binggouticai
并购战略	binggouzhanlue
并股	binggu
并将结果	bingjiangjieguo
并且使	bingqieshi
病态市场	bingtaishichang
波动规律	bodongguilv
波动率	bodonglv
波动区间	bodongqujian
波动性	bodongxing
波动预期	bodongyuqi
波段操作	boduancaozuo
波段调整	boduantiaozheng
波段性	boduanxing
波峰	bofeng
波峰递减	bofengdijian
拨付	bofu
波幅	bofu
波谷	bogu
渤海投资	bohaitouzi
渤海银行	bohaiyinhang
渤海证券	bohaizhengquan
拨回	bohui
拨款	bokuan
博览财经	bolancaijing
博瑞传播	boruichuanbo
博傻理论	boshalilun
博时	boshi
博时基金	boshijijin
剥息	boxi
博星投资	boxingtouzi
博弈	boyi
波音公司	boyingongsi
拨用	boyong
波兹计划	bozijihua
补办	buban
补仓	bucang
簿册	buce
补偿贷款	buchangdaikuan
不成文法	buchengwenfa
补充贷款	buchongdaikuan
补充协议	buchongxieyi
不当交割	budangjiaoge
不得超过	budechaoguo
不得低于	budediyu
不低于	budiyu
不跌反涨	budiefanzhang
不定期	budingqi
不断上行	buduanshangxing
不断刷新	buduanshuaxin
不断提高	buduantigao
不断增仓	buduanzengcang
不断增加	buduanzengjia
不断增长	buduanzengzhang
不断走强	buduanzouqiang
补发卡片	bufakapian
部分个股	bufengegu
部分股份	bufengufen
部分股权	bufenguquan
部分行业	bufenhangye
部分销售	bufenxiaoshou
部分资金	bufenzijin
不附息票	bufuxipiao
不给贷款	bugeidaikuan
不规范	buguifan
不规则	buguize
不合法	buhefa
不会大涨	buhuidazhang
不会收取	buhuishouqu
不活跃	buhuoyue
补寄账单	bujizhangdan
簿记转账	bujizhuanzhang
补价	bujia
不见收益	bujianshouyi
不洁股票	bujiegupiao
补进	bujin
不景气	bujingqi
不看好	bukanhao
不可比	bukebi
不可撤销	bukechexiao
不可流通	bukeliutong
不可调控	buketiaokong
补空	bukong
不乐观	buleguan
不良贷款	buliangdaikuan
不良记录	buliangjilu
不良资产	buliangzichan
补录类	bululei
部门	bumen
部门间	bumenjian
部门之一	bumenzhiyi
不明确	bumingque
不能办理	bunengbanli
不能代开	bunengdaikai
不能贷款	bunengdaikuan
不能高于	bunenggaoyu
不能获得	bunenghuode
不能交易	bunengjiaoyi
不确定性	buquedingxing
不容忽视	buronghushi
不容乐观	burongleguan
不少散户	bushaosanhu
不少业务	bushaoyewu
不升反跌	bushengfandie
不收费	bushoufei
不受欢迎	bushouhuanying
不受损失	bushousunshi
补贴	butie
补贴对象	butieduixiang
补贴资金	butiezijin
不违规	buweigui
不要质押	buyaozhiya
不要追涨	buyaozhuizhang
不宜过多	buyiguoduo
不宜买进	buyimaijin
不应该以	buyinggaiyi
不愿具名	buyuanjuming
不再具有	buzaijuyou
补涨要求	buzhangyaoqiu
补助金	buzhujin
补足	buzu
财产安全	caichananquan
财产保险	caichanbaoxian
财产管理	caichanguanli
财产资本	caichanziben
财富生活	caifushenghuo
财富时报	caifushibao
财付通	caifutong
财富证券	caifuzhengquan
财富转移	caifuzhuanyi
财华网	caihuawang
财经宽网	caijingkuanwang
财经论坛	caijingluntan
财经媒体	caijingmeiti
财经频道	caijingpindao
财经人家	caijingrenjia
财经人物	caijingrenwu
财经时报	caijingshibao
财经网	caijingwang
财经文画	caijingwenhua
财经周刊	caijingzhoukan
财经传记	caijingzhuanji
财会信报	caikuaixinbao
彩票点	caipiaodian
彩票软件	caipiaoruanjian
彩票投注	caipiaotouzhu
彩票网	caipiaowang
彩票指标	caipiaozhibiao
财税管理	caishuiguanli
财务报表	caiwubaobiao
财务报告	caiwubaogao
财务表现	caiwubiaoxian
财务部	caiwubu
财务方法	caiwufangfa
财务费用	caiwufeiyong
财务风险	caiwufengxian
财务杠杆	caiwuganggan
财务公司	caiwugongsi
财务管理	caiwuguanli
财务结构	caiwujiegou
财务开支	caiwukaizhi
财务会计	caiwukuaiji
财务年度	caiwuniandu
财务情况	caiwuqingkuang
财务清算	caiwuqingsuan
财务数据	caiwushuju
财务压力	caiwuyali
财务预算	caiwuyusuan
财务主管	caiwuzhuguan
财务总监	caiwuzongjian
财险	caixian
财信通	caixintong
财政部	caizhengbu
财政大臣	caizhengdachen
财政收入	caizhengshouru
财政预算	caizhengyusuan
财政债券	caizhengzhaiquan
财政政策	caizhengzhengce
财智	caizhi
财智网	caizhiwang
彩种	caizhong
参保	canbao
参保率	canbaolv
参保人数	canbaorenshu
参加会议	canjiahuiyi
参考文献	cankaowenxian
参考系	cankaoxi
参考依据	cankaoyiju
惨绿	canlv
参与程度	canyuchengdu
参与分红	canyufenhong
参与公司	canyugongsi
残余价值	canyujiazhi
参与凭证	canyupingzheng
参与人	canyuren
参与者	canyuzhe
参与证券	canyuzhengquan
残值	canzhi
残值率	canzhilv
残值债券	canzhizhaiquan
残值证券	canzhizhengquan
仓单	cangdan
仓位	cangwei
仓位变化	cangweibianhua
操纵市场	caozongshichang
操作策略	caozuocelue
操作方式	caozuofangshi
操作风险	caozuofengxian
操作规范	caozuoguifan
操作环节	caozuohuanjie
操作流程	caozuoliucheng
操作频繁	caozuopinfan
操作思路	caozuosilu
操作思维	caozuosiwei
操作员	caozuoyuan
操作指南	caozuozhinan
策略研究	celueyanjiu
差别关税	chabieguanshui
插队卡	chaduika
差额	chae
查封扣押	chafengkouya
差价	chajia
查库	chaku
差头	chatou
差异	chayi
拆股	chaigu
拆伙	chaihuo
拆借市场	chaijieshichang
拆开出售	chaikaichushou
拆细	chaixi
产成品	chanchengpin
产量最大	chanliangzuida
产品案例	chanpinanli
产品服务	chanpinfuwu
产品介绍	chanpinjieshao
产品紧俏	chanpinjinqiao
产品审核	chanpinshenhe
产权导刊	chanquandaokan
产权界定	chanquanjieding
产权市场	chanquanshichang
产业发展	chanyefazhan
产业优势	chanyeyoushi
产业资本	chanyeziben
长城电脑	changchengdiannao
长城基金	changchengjijin
长城卡	changchengka
长城伟业	changchengweiye
长城消费	changchengxiaofei
长城证券	changchengzhengquan
厂房	changfang
偿付	changfu
偿付能力	changfunengli
常规贷款	changguidaikuan
常规期权	changguiqiquan
常规载体	changguizaiti
长江电力	changjiangdianli
长江证券	changjiangzhengquan
场内交易	changneijiaoyi
场内资金	changneizijin
长牛格局	changniugeju
长期不涨	changqibuzhang
长期持有	changqichiyou
长期存款	changqicunkuan
长期贷款	changqidaikuan
长期规划	changqiguihua
长期国债	changqiguozhai
长期看好	changqikanhao
长期看涨	changqikanzhang
长期利率	changqililv
长期利益	changqiliyi
长期牛市	changqiniushi
长期趋势	changqiqushi
长期收益	changqishouyi
长期向好	changqixianghao
长期向上	changqixiangshang
长期预期	changqiyuqi
长期资本	changqiziben
长期资产	changqizichan
长期走势	changqizoushi
常青贷款	changqingdaikuan
长盛基金	changshengjijin
常胜网	changshengwang
长盛中证	changshengzhongzheng
场外等待	changwaidengdai
场外价格	changwaijiage
场外交易	changwaijiaoyi
场外委托	changwaiweituo
长信基金	changxinjijin
长阳	changyang
长远预期	changyuanyuqi
偿债	changzhai
偿债方式	changzhaifangshi
偿债基金	changzhaijijin
超标者	chaobiaozhe
超常增长	chaochangzengzhang
抄底	chaodi
超跌	chaodie
超跌股	chaodiegu
超额工资	chaoegongzi
超额回报	chaoehuibao
超额权益	chaoequanyi
超额认购	chaoerengou
超额收益	chaoeshouyi
炒房	chaofang
炒高	chaogao
炒股	chaogu
炒股吧	chaoguba
超过市值	chaoguoshizhi
超过一半	chaoguoyiban
超过预期	chaoguoyuqi
炒汇者	chaohuizhe
超级股票	chaojigupiao
潮水收购	chaoshuishougou
炒邮网	chaoyouwang
超越大盘	chaoyuedapan
超越权限	chaoyuequanxian
炒作题材	chaozuoticai
彻底摆脱	chedibaituo
彻底结束	chedijieshu
彻底审计	chedishenji
撤回	chehui
撤销	chexiao
撤销交易	chexiaojiaoyi
撤销入库	chexiaoruku
撤销销号	chexiaoxiaohao
撤资	chezi
沉淀成本	chendianchengben
陈述申辩	chenshushenbian
晨星	chenxing
承保范围	chengbaofanwei
成本更低	chengbengengdi
成本基础	chengbenjichu
成本记录	chengbenjilu
成本交割	chengbenjiaoge
成本考虑	chengbenkaolv
成本控制	chengbenkongzhi
成本会计	chengbenkuaiji
成本上升	chengbenshangsheng
成本因素	chengbenyinsu
成本中心	chengbenzhongxin
承贷承还	chengdaichenghuan
承担部分	chengdanbufen
承担风险	chengdanfengxian
承担负债	chengdanfuzhai
承担全部	chengdanquanbu
承担债务	chengdanzhaiwu
承担者	chengdanzhe
承担着	chengdanzhe
成都建投	chengdujiantou
承兑	chengdui
承兑负债	chengduifuzhai
承兑交单	chengduijiaodan
承兑信用	chengduixinyong
成功创业	chenggongchuangye
成功发行	chenggongfaxing
成功进行	chenggongjinxing
成功上市	chenggongshangshi
成功实施	chenggongshishi
成功营销	chenggongyingxiao
承购包销	chenggoubaoxiao
成交	chengjiao
成交放大	chengjiaofangda
成交活跃	chengjiaohuoyue
成交金额	chengjiaojine
成交量	chengjiaoliang
成交日期	chengjiaoriqi
成交萎缩	chengjiaoweisuo
成交席位	chengjiaoxiwei
成就奖网	chengjiujiangwang
承诺费	chengnuofei
诚聘英才	chengpinyingcai
成品油	chengpinyou
澄清公告	chengqinggonggao
诚实磋商	chengshicuoshang
城市银行	chengshiyinhang
成熟市场	chengshushichang
乘数效应	chengshuxiaoying
成熟证券	chengshuzhengquan
承销	chengxiao
承销额	chengxiaoe
承销方式	chengxiaofangshi
承销费用	chengxiaofeiyong
承销活动	chengxiaohuodong
承销机构	chengxiaojigou
成效明显	chengxiaomingxian
承销期	chengxiaoqi
承销商	chengxiaoshang
承销团	chengxiaotuan
承销协议	chengxiaoxieyi
承销折扣	chengxiaozhekou
诚信记录	chengxinjilu
诚信天下	chengxintianxia
诚信通	chengxintong
诚信网	chengxinwang
程序法则	chengxufaze
成员公司	chengyuangongsi
成员机构	chengyuanjigou
成长潜力	chengzhangqianli
成长性	chengzhangxing
成长预期	chengzhangyuqi
承租人	chengzuren
持本单	chibendan
持币	chibi
持币待购	chibidaigou
持币观望	chibiguanwang
持币静观	chibijingguan
持币空仓	chibikongcang
持仓	chicang
持仓不动	chicangbudong
持仓过夜	chicangguoye
持仓市值	chicangshizhi
持仓数量	chicangshuliang
迟付	chifu
持股比例	chigubili
持股董事	chigudongshi
持股公司	chigugongsi
持股期限	chiguqixian
持股上限	chigushangxian
持股数量	chigushuliang
吃进	chijin
吃紧	chijin
持卡	chika
持卡人	chikaren
持票人	chipiaoren
持续分红	chixufenhong
持续购买	chixugoumai
持续上升	chixushangsheng
持续提升	chixutisheng
持续萎缩	chixuweisuo
持续下跌	chixuxiadie
持续性	chixuxing
持续增长	chixuzengzhang
持续走低	chixuzoudi
持续走高	chixuzougao
持续走强	chixuzouqiang
持有费用	chiyoufeiyong
持有价值	chiyoujiazhi
持有人	chiyouren
持有市场	chiyoushichang
持有数量	chiyoushuliang
赤字	chizi
赤字筹资	chizichouzi
赤字融资	chizirongzi
赤字支出	chizizhichu
充分释放	chongfenshifang
充分享受	chongfenxiangshou
充分债券	chongfenzhaiquan
充分总结	chongfenzongjie
重复开户	chongfukaihu
重复扣税	chongfukoushui
重复跑圈	chongfupaoquan
冲高	chonggao
冲高回落	chonggaohuiluo
冲高潜力	chonggaoqianli
冲高受阻	chonggaoshouzu
重估	chonggu
冲击市场	chongjishichang
重庆银行	chongqingyinhang
冲销	chongxiao
冲消交易	chongxiaojiaoyi
重新跌至	chongxindiezhi
重新活跃	chongxinhuoyue
重新开盘	chongxinkaipan
重新转向	chongxinzhuanxiang
重铸硬币	chongzhuyingbi
重装期权	chongzhuangqiquan
重组概念	chongzugainian
重组股	chongzugu
重组计划	chongzujihua
重组力度	chongzulidu
重组难度	chongzunandu
重组题材	chongzuticai
重组状态	chongzuzhuangtai
筹集	chouji
筹集资本	choujiziben
筹集资金	choujizijin
抽奖活动	choujianghuodong
筹码	chouma
筹码清洗	choumaqingxi
抽头转卖	choutouzhuanmai
筹资	chouzi
筹资成本	chouzichengben
筹资金额	chouzijine
筹资总额	chouzizonge
出版日期	chubanriqi
出报告	chubaogao
储备货币	chubeihuobi
储备头寸	chubeitoucun
储备项目	chubeixiangmu
储备银行	chubeiyinhang
初步成型	chubuchengxing
出超	chuchao
初创公司	chuchuanggongsi
触底反弹	chudifantan
处罚措施	chufacuoshi
处罚力度	chufalidu
出国换汇	chuguohuanhui
出货	chuhuo
出货完毕	chuhuowanbi
出价多少	chujiaduoshao
出价购买	chujiagoumai
除净	chujing
出口保理	chukoubaoli
出口配额	chukoupeie
出口人	chukouren
出口商	chukoushang
出口市场	chukoushichang
出口收汇	chukoushouhui
出口贴现	chukoutiexian
出口信贷	chukouxindai
出口押汇	chukouyahui
出口业	chukouye
出票人	chupiaoren
初期操作	chuqicaozuo
出清	chuqing
除权	chuquan
除权日	chuquanri
出让方	churangfang
初试锋芒	chushifengmang
初始股份	chushigufen
初始规模	chushiguimo
初始流通	chushiliutong
出手	chushou
出售方	chushoufang
出售股份	chushougufen
出售股票	chushougupiao
出售股权	chushouguquan
出售意愿	chushouyiyuan
出售资产	chushouzichan
出土文物	chutuwenwu
除息	chuxi
出席会议	chuxihuiyi
除息期	chuxiqi
出现大幅	chuxiandafu
出现反弹	chuxianfantan
出现拐点	chuxianguaidian
出现坏账	chuxianhuaizhang
出现明显	chuxianmingxian
出现泡沫	chuxianpaomo
出现调整	chuxiantiaozheng
出现下滑	chuxianxiahua
出现下降	chuxianxiajiang
储蓄	chuxu
储蓄存单	chuxucundan
储蓄卡	chuxuka
储蓄券	chuxuquan
储蓄银行	chuxuyinhang
储蓄账户	chuxuzhanghu
处于清算	chuyuqingsuan
出运货物	chuyunhuowu
除证	chuzheng
出资额	chuzie
出资购买	chuzigoumai
出资人	chuziren
出租人	chuzuren
川财证券	chuancaizhengquan
传媒行业	chuanmeihangye
船情调查	chuanqingdiaocha
传统贷款	chuantongdaikuan
传统基金	chuantongjijin
传言称	chuanyancheng
传真信息	chuanzhenxinxi
创出新高	chuangchuxingao
创幻财经	chuanghuancaijing
窗口行业	chuangkouhangye
创投	chuangtou
创投公司	chuangtougongsi
创新低	chuangxindi
创新高	chuangxingao
创新类	chuangxinlei
创业板	chuangyeban
创业大赛	chuangyedasai
创业活动	chuangyehuodong
创业基金	chuangyejijin
创业教育	chuangyejiaoyu
创业阶段	chuangyejieduan
创业平台	chuangyepingtai
创业失败	chuangyeshibai
创业投资	chuangyetouzi
创业团队	chuangyetuandui
创业网	chuangyewang
创业行动	chuangyexingdong
创业中	chuangyezhong
创业资金	chuangyezijin
创元期货	chuangyuanqihuo
垂直整合	chuizhizhenghe
纯费用	chunfeiyong
此次发行	cicifaxing
次贷危机	cidaiweiji
次高出价	cigaochujia
次级债	cijizhai
次级债券	cijizhaiquan
次级债务	cijizhaiwu
次级证券	cijizhengquan
此类事件	cileishijian
次日交割	cirijiaoge
次新股	cixingu
促销广告	cuxiaoguanggao
促销宣传	cuxiaoxuanchuan
催缴税款	cuijiaoshuikuan
脆弱数量	cuiruoshuliang
催收	cuishou
催收贷款	cuishoudaikuan
催收货款	cuishouhuokuan
催收追缴	cuishouzhuijiao
存本取息	cunbenquxi
存贷款	cundaikuan
存单	cundan
存单市场	cundanshichang
存定期	cundingqi
存放处	cunfangchu
存管银行	cunguanyinhang
存货	cunhuo
存活期	cunhuoqi
存款保险	cunkuanbaoxian
存款减少	cunkuanjianshao
存款利率	cunkuanlilv
存款利息	cunkuanlixi
存款人	cunkuanren
存款业务	cunkuanyewu
存款银行	cunkuanyinhang
存款增长	cunkuanzengzhang
存款账户	cunkuanzhanghu
存款自愿	cunkuanziyuan
存量股份	cunlianggufen
存量资产	cunliangzichan
存在失真	cunzaishizhen
打包贷款	dabaodaikuan
大背景	dabeijing
大笔资金	dabizijin
达标	dabiao
达标银行	dabiaoyinhang
达标者	dabiaozhe
大差价	dachajia
达成	dacheng
大成股份	dachenggufen
大成基金	dachengjijin
达成交易	dachengjiaoyi
达成一致	dachengyizhi
大大降低	dadajiangdi
大单股	dadangu
大单卖出	dadanmaichu
大单买入	dadanmairu
大单吞吃	dadantunchi
大底	dadi
大豆期货	dadouqihuo
大额存单	daecundan
大额委托	daeweituo
大额现金	daexianjin
大额折让	daezherang
大额转账	daezhuanzhang
大幅波动	dafubodong
大幅低开	dafudikai
大幅动荡	dafudongdang
大幅反弹	dafufantan
大幅高开	dafugaokai
大幅减持	dafujianchi
大幅上扬	dafushangyang
大幅上涨	dafushangzhang
大幅释放	dafushifang
大幅提升	dafutisheng
大幅跳水	dafutiaoshui
大幅调整	dafutiaozheng
大福投资	dafutouzi
大幅下挫	dafuxiacuo
大幅下跌	dafuxiadie
大幅下滑	dafuxiahua
大幅下调	dafuxiatiao
大幅增长	dafuzengzhang
大幅涨价	dafuzhangjia
大哥特	dagete
大行情	dahangqing
大和银行	daheyinhang
大华银行	dahuayinhang
大会纪要	dahuijiyao
大降	dajiang
大交易所	dajiaoyisuo
大金融	dajinrong
大莱卡	dalaika
大力投资	dalitouzi
大力推进	dalituijin
大连宝鼎	dalianbaoding
大量剩余	daliangshengyu
大量外汇	daliangwaihui
大量涌入	daliangyongru
大陆期货	daluqihuo
大迈克	damaike
大摩	damo
大摩投资	damotouzi
大牛市	daniushi
大盘	dapan
大盘出现	dapanchuxian
大盘点评	dapandianping
大盘短线	dapanduanxian
大盘分析	dapanfenxi
大盘股	dapangu
大盘蓝筹	dapanlanchou
大盘上涨	dapanshangzhang
大盘下跌	dapanxiadie
大盘预测	dapanyuce
大盘综述	dapanzongshu
搭配比率	dapeibilv
打破	dapo
达起征点	daqizhengdian
大人物	darenwu
大势回调	dashihuitiao
搭售产品	dashouchanpin
打算持有	dasuanchiyou
大跳水	datiaoshui
大通期货	datongqihuo
大通银行	datongyinhang
大通证券	datongzhengquan
大同证券	datongzhengquan
打下基础	daxiajichu
大萧条	daxiaotiao
大写金额	daxiejine
打新股	daxingu
打压价格	dayajiage
大阳线	dayangxian
打印单	dayindan
大银行	dayinhang
大阴线	dayinxian
大有期货	dayouqihuo
大智慧	dazhihui
大致一样	dazhiyiyang
大众投资	dazhongtouzi
大众证券	dazhongzhengquan
打转	dazhuan
大资金	dazijin
大宗交易	dazongjiaoyi
大宗商品	dazongshangpin
贷报	daibao
代表符号	daibiaofuhao
贷出者	daichuzhe
贷方传票	daifangchuanpiao
贷方余额	daifangyue
呆坏账	daihuaizhang
代开柜台	daikaiguitai
贷款本金	daikuanbenjin
贷款本息	daikuanbenxi
贷款产品	daikuanchanpin
贷款对象	daikuanduixiang
贷款发放	daikuanfafang
贷款方案	daikuanfangan
贷款风险	daikuanfengxian
贷款服务	daikuanfuwu
贷款给	daikuangei
贷款购车	daikuangouche
贷款购房	daikuangoufang
贷款购买	daikuangoumai
贷款过程	daikuanguocheng
贷款计划	daikuanjihua
贷款利率	daikuanlilv
贷款利息	daikuanlixi
贷款买	daikuanmai
贷款买房	daikuanmaifang
贷款难	daikuannan
贷款渠道	daikuanqudao
贷款人	daikuanren
贷款申请	daikuanshenqing
贷款投放	daikuantoufang
贷款限制	daikuanxianzhi
贷款项目	daikuanxiangmu
贷款协议	daikuanxieyi
贷款需求	daikuanxuqiu
贷款占	daikuanzhan
