阿帕网	apawang
办公活动	bangonghuodong
办公流程	bangongliucheng
办公信息系统	bangongxinxixitong
办公自动化	bangongzidonghua
半加器	banjiaqi
半连接	banlianjie
板内时钟分配	banneishizhongfenpei
半色调	bansediao
半色调图案	bansediaotuan
半色调图像	bansediaotuxiang
板上电源分配	banshangdianyuanfenpei
半实物仿真	banshiwufangzhen
半双工传输	banshuanggongchuanshu
伴随条件	bansuitiaojian
半透明	bantouming
板外时钟分配	banwaishizhongfenpei
半线性集	banxianxingji
半影	banying
绑定	bangding
绑定域名	bangdingyuming
帮手主体	bangshouzhuti
帮助主体	bangzhuzhuti
报表	baobiao
报表生成程序	baobiaoshengchengchengxu
报表生成语言	baobiaoshengchengyuyan
报表书写程序	baobiaoshuxiechengxu
报表组件	baobiaozujian
保持依赖分解	baochiyilaifenjie
报酬分析	baochoufenxi
保存当前表单	baocundangqianbiaodan
保存更改	baocungenggai
保存浏览进程	baocunliulanjincheng
保存默认位置	baocunmorenweizhi
保存区	baocunqu
保存网页	baocunwangye
包封	baofeng
暴风影音	baofengyingyin
包过滤	baoguolv
保护地	baohudi
保护方式	baohufangshi
包加密	baojiami
包交换	baojiaohuan
包交换数据网	baojiaohuanshujuwang
包交换网	baojiaohuanwang
包交换总线	baojiaohuanzongxian
报警显示	baojingxianshi
报警信号	baojingxinhao
堡垒主机	baoleizhuji
保留卷	baoliujuan
保留内存	baoliuneicun
保留页选项	baoliuyexuanxiang
保留站	baoliuzhan
保留字	baoliuzi
暴露	baolu
保密	baomi
包式终端	baoshizhongduan
包围盒	baoweihe
报文	baowen
报文捕获	baowenbuhuo
报文加密	baowenjiami
报文鉴别	baowenjianbie
报文交换	baowenjiaohuan
报文摘译	baowenzhaiyi
保形插值	baoxingchazhi
包装拆器	baozhuangchaiqi
包装类	baozhuanglei
背包问题	beibaowenti
被测变量	beicebianliang
被调用者	beidiaoyongzhe
被动查询	beidongchaxun
被动威胁	beidongweixie
被动站	beidongzhan
贝尔	beier
备份	beifen
备份过程	beifenguocheng
备份文件	beifenwenjian
备份与恢复	beifenyuhuifu
备份域控制器	beifenyukongzhiqi
贝济埃曲线	beijiaiquxian
被加密文本	beijiamiwenben
备件	beijian
背景色	beijingse
背景色比例	beijingsebili
背景图层	beijingtuceng
倍密度软盘	beimiduruanpan
贝赛尔	beisaier
贝赛尔曲线	beisaierquxian
贝式统计	beishitongji
贝式学习	beishixuexi
贝叶斯定理	beiyesidingli
贝叶斯分类器	beiyesifenleiqi
贝叶斯分析	beiyesifenxi
贝叶斯逻辑	beiyesiluoji
贝叶斯推理	beiyesituili
备用	beiyong
备用冗余	beiyongrongyu
备用替代冗余	beiyongtidairongyu
备用系统	beiyongxitong
本地存放地址	bendicunfangdizhi
本地代码	bendidaima
本地地址	bendidizhi
本地地址管理	bendidizhiguanli
本地加电	bendijiadian
本地接口	bendijiekou
本地终端	bendizhongduan
本机代码	benjidaima
本体论	bentilun
本影	benying
本原演绎	benyuanyanyi
本质失效	benzhishixiao
崩溃	bengkui
泵作用引理	bengzuoyongyinli
闭包	bibao
必备服务	bibeifuwu
避错	bicuo
闭合式	biheshi
闭合用户群	biheyonghuqun
笔痕长度	bihenchangdu
笔痕尺寸	bihenchicun
笔痕细节	bihenxijie
笔痕压力	bihenyali
笔画	bihua
笔画编码	bihuabianma
笔画码	bihuama
笔画倾斜	bihuaqingxie
笔画显示	bihuaxianshi
闭环控制	bihuankongzhi
笔记本化	bijibenhua
比较并交换	bijiaobingjiaohuan
比较器	bijiaoqi
比较器网络	bijiaoqiwangluo
比较语言学	bijiaoyuyanxue
比例变换	bilibianhuan
比例控制	bilikongzhi
笔数	bishu
笔输入计算机	bishurujisuanji
笔顺	bishun
比特彗星	bitehuixing
比特精灵	bitejingling
比特率	bitelv
比特信令	bitexinling
毕业设计礼包	biyeshejilibao
比值控制	bizhikongzhi
变参	biancan
变参函数	biancanhanshu
变长编码	bianchangbianma
编程	biancheng
编程语言	bianchengyuyan
边覆盖	bianfugai
变更转储	biangengzhuanchu
变化检测	bianhuajiance
变换	bianhuan
变换编码	bianhuanbianma
变换处理	bianhuanchuli
变换分析	bianhuanfenxi
变换规则	bianhuanguize
变换系统	bianhuanxitong
变换语义	bianhuanyuyi
变换中心	bianhuanzhongxin
编辑程序	bianjichengxu
编辑过滤列表	bianjiguolvliebiao
编辑距离	bianjijuli
编辑器	bianjiqi
编辑页面	bianjiyemian
便笺式存储器	bianjianshicunchuqi
变焦	bianjiao
边界	bianjie
边界变异	bianjiebianyi
边界表示	bianjiebiaoshi
边界错误	bianjiecuowu
边界跟踪	bianjiegenzong
边界检测	bianjiejiance
边界建模	bianjiejianmo
边界宽度	bianjiekuandu
边界路由器	bianjieluyouqi
编解码器	bianjiemaqi
边界模型	bianjiemoxing
边界扫描	bianjiesaomiao
边界条件	bianjietiaojian
边界网关	bianjiewangguan
边界网关协议	bianjiewangguanxieyi
边界细节	bianjiexijie
边界像素	bianjiexiangsu
边框	biankuang
遍历	bianli
变量化设计	bianlianghuasheji
变量循环尾	bianliangxunhuanwei
变流器	bianliuqi
编码	bianma
编码表示	bianmabiaoshi
编码簿	bianmabu
编码法	bianmafa
编码方法	bianmafangfa
编码器	bianmaqi
编码效率	bianmaxiaolv
编码形式	bianmaxingshi
编码值	bianmazhi
编码字符	bianmazifu
编码字符集	bianmazifuji
变频器	bianpinqi
扁平电缆	bianpingdianlan
扁平封装	bianpingfengzhuang
变迁	bianqian
变迁规则	bianqianguize
变迁实施速率	bianqianshishisulv
变迁系统	bianqianxitong
变迁序列	bianqianxulie
变迁子网	bianqianziwang
便携式计算机	bianxieshijisuanji
变形	bianxing
变形转换	bianxingzhuanhuan
边沿触发	bianyanchufa
变异	bianyi
编译	bianyi
编译参数	bianyicanshu
编译程序	bianyichengxu
编译类型	bianyileixing
编译器	bianyiqi
编译时错误	bianyishicuowu
变异数方差	bianyishufangcha
编译系统	bianyixitong
编译型语言	bianyixingyuyan
编译选项	bianyixuanxiang
边缘	bianyuan
边缘操作	bianyuancaozuo
边缘测试	bianyuanceshi
边缘触发时钟	bianyuanchufashizhong
边缘错觉	bianyuancuojue
边缘泛化	bianyuanfanhua
边缘分割	bianyuanfenge
边缘故障	bianyuanguzhang
边缘检测	bianyuanjiance
边缘简化	bianyuanjianhua
边缘检验	bianyuanjianyan
边缘精度	bianyuanjingdu
边缘聚焦	bianyuanjujiao
边缘连接	bianyuanlianjie
边缘连接器	bianyuanlianjieqi
边缘拟合	bianyuannihe
边缘匹配	bianyuanpipei
边缘算子	bianyuansuanzi
边缘提取	bianyuantiqu
边缘调整	bianyuantiaozheng|bianyuandiaozheng
边缘图像	bianyuantuxiang
边缘像素	bianyuanxiangsu
边缘增强	bianyuanzengqiang
变址	bianzhi
编址	bianzhi
变址寄存器	bianzhijicunqi
表布局	biaobuju
表层格	biaocengge
表处理	biaochuli
表调度	biaodiaodu
标杠理论	biaoganglilun
标号	biaohao
标号化安全	biaohaohuaanquan
标号可达树	biaohaokedashu
标号佩特里网	biaohaopeiteliwang
标记变量	biaojibianliang
标记类型	biaojileixing
标记流路	biaojiliulu
标记阅读机	biaojiyueduji
表决器	biaojueqi
表决系统	biaojuexitong
标量	biaoliang
标量处理器	biaoliangchuliqi
标量计算机	biaoliangjisuanji
标量流水线	biaoliangliushuixian
表面安装焊接	biaomiananzhuanghanjie
表面安装技术	biaomiananzhuangjishu
表面安装器件	biaomiananzhuangqijian
表面模糊	biaomianmohu
标签分组	biaoqianfenzu
标签集	biaoqianji
标签宽度	biaoqiankuandu
标签栏	biaoqianlan
标签名	biaoqianming
标签跳转	biaoqiantiaozhuan
标签样式	biaoqianyangshi
表示层	biaoshiceng
表头	biaotou
表约束	biaoyueshu
标识	biaozhi|biaoshi
标识变量	biaozhibianliang|biaoshibianliang
标识符	biaozhifu|biaoshifu
标志符	biaozhifu
标识鉴别	biaozhijianbie|biaoshijianbie
标识权标	biaozhiquanbiao|biaoshiquanbiao
标识确认	biaozhiqueren|biaoshiqueren
标志序列	biaozhixulie
标识证明	biaozhizhengming|biaoshizhengming
标准程序法	biaozhunchengxufa
标准程序库	biaozhunchengxuku
标准处理方式	biaozhunchulifangshi
标准错误流	biaozhuncuowuliu
标准单元	biaozhundanyuan
标准对象	biaozhunduixiang
标准幅度带	biaozhunfududai
标准工具栏	biaozhungongjulan
标准扭斜带	biaozhunniuxiedai
标准实施器	biaozhunshishiqi
标准输出	biaozhunshuchu
标准输出流	biaozhunshuchuliu
标准输出文件	biaozhunshuchuwenjian
标准输入	biaozhunshuru
标准输入流	biaozhunshuruliu
标准输入文件	biaozhunshuruwenjian
标准文件	biaozhunwenjian
标准语言	biaozhunyuyan
标准中断	biaozhunzhongduan
别名	bieming
别名分析	biemingfenxi
并串行转换器	bingchuanhangzhuanhuanqi|bingchuanxingzhuanhuanqi
并定理	bingdingli
病毒	bingdu
病毒词汇	bingducihui
病毒签名	bingduqianming
病毒疫情监测	bingduyiqingjiance
并发	bingfa
并发变迁	bingfabianqian
并发操作系统	bingfacaozuoxitong
并发程序设计	bingfachengxusheji
并发处理	bingfachuli
并发读并发写	bingfadubingfaxie
并发仿真	bingfafangzhen
并发公理	bingfagongli
并发故障检测	bingfaguzhangjiance
并发关系	bingfaguanxi
并发进程	bingfajincheng
并发控制	bingfakongzhi
并发控制机制	bingfakongzhijizhi
并发控制系统	bingfakongzhixitong
并发模拟	bingfamoni
并发信息系统	bingfaxinxixitong
并联端接	binglianduanjie
并联匹配	binglianpipei
并列连接	binglielianjie
并行	bingxing
并行编程语言	bingxingbianchengyuyan
并行操作	bingxingcaozuo
并行操作环境	bingxingcaozuohuanjing
并行程序设计	bingxingchengxusheji
并行处理	bingxingchuli
并行处理技术	bingxingchulijishu
并行传输	bingxingchuanshu
并行存储器	bingxingcunchuqi
并行度	bingxingdu
并行端口	bingxingduankou
并行多元联结	bingxingduoyuanlianjie
并行多元连接	bingxingduoyuanlianjie
并行二元联结	bingxingeryuanlianjie
并行二元连接	bingxingeryuanlianjie
并行仿真	bingxingfangzhen
并行感染	bingxingganran
并行工程	bingxinggongcheng
并行化	bingxinghua
并行计算	bingxingjisuan
并行计算机	bingxingjisuanji
并行计算论题	bingxingjisuanlunti
并行加法器	bingxingjiafaqi
并行建模	bingxingjianmo
并行句法剖析	bingxingjufapouxi
并行联结	bingxinglianjie
并行连接	bingxinglianjie
并行模拟	bingxingmoni
并行排序算法	bingxingpaixusuanfa
并行任务	bingxingrenwu
并行任务派生	bingxingrenwupaisheng
并行实时处理	bingxingshishichuli
并行数据库	bingxingshujuku
并行搜索	bingxingsousuo
并行算法	bingxingsuanfa
饼形图	bingxingtu
并行图论算法	bingxingtulunsuanfa
并行图形算法	bingxingtuxingsuanfa
并行外排序	bingxingwaipaixu
并行性	bingxingxing
并行虚拟机	bingxingxuniji
并行选择算法	bingxingxuanzesuanfa
并行指令队列	bingxingzhilingduilie
并行执行	bingxingzhixing
冰雪封情	bingxuefengqing
波导	bodao
玻尔兹曼机	boerzimanji|boercimanji
播放列表	bofangliebiao
播放声音	bofangshengyin
波峰焊	bofenghan
拨号终端	bohaozhongduan
薄膜	baomo|bomo
薄膜磁盘	baomocipan|bomocipan
薄膜磁头	baomocitou|bomocitou
薄膜电路	baomodianlu|bomodianlu
薄膜键盘	baomojianpan|bomojianpan
薄膜晶体管	bomojingtiguan|baomojingtiguan
伯努利盘	bonulipan
波斯特系统	bositexitong
波特	bote
波特后门	botehoumen
波形	boxing
波形流水线	boxingliushuixian
博弈	boyi
博弈论	boyilun
博弈树	boyishu
博弈树搜索	boyishusousuo
不变代码移出	bubiandaimayichu
不变量	bubianliang
不变模式	bubianmoshi
不变式	bubianshi
补偿	buchang
补偿事务	buchangshiwu
补偿网络	buchangwangluo
不等长编码	budengchangbianma
不定词不定式	budingcibudingshi
布尔表达式	buerbiaodashi
布尔查找	buerchazhao
布尔代数	buerdaishu
布尔过程	buerguocheng
布尔搜索	buersousuo
布尔运算	bueryunsuan
部分重画	bufenchonghua
部分函数依赖	bufenhanshuyilai
部分加电	bufenjiadian
部分正确性	bufenzhengquexing
不归零制	buguilingzhi
不合逻辑	buheluoji
捕获异常	buhuoyichang
部件编码	bujianbianma
部件拆分	bujianchaifen
部件控件	bujiankongjian
部件使用频度	bujianshiyongpindu
部件组字频度	bujianzuzipindu
不交付项	bujiaofuxiang
步进	bujin
步进电机	bujindianji
步进控制	bujinkongzhi
布局	buju
布局策略	bujucelue
布局规则	bujuguize
布局接地规则	bujujiediguize
不可抵赖	bukedilai
不可靠进程	bukekaojincheng
不可判定问题	bukepandingwenti
补码	buma
补码器	bumaqi
不启用	buqiyong
不确定性推理	buquedingxingtuili
补色	buse
部署清单	bushuqingdan
部署图	bushutu
布思乘法器	busichengfaqi
布思算法	busisuanfa
不透明度	butoumingdu
不完全性	buwanquanxing
不完全性理论	buwanquanxinglilun
布线	buxian
布线程序	buxianchengxu
布线规则	buxianguize
步序列	buxulie
不一致性	buyizhixing
补语标记	buyubiaoji
不重性	buzhongxing|buchongxing
擦除	cachu
菜单栏	caidanlan
采飞扬	caifeiyang
裁剪曲面	caijianqumian
彩色半调	caisebantiao
彩色打印机	caisedayinji
彩色图像	caisetuxiang
彩色图形阵列	caisetuxingzhenlie
彩色网络	caisewangluo
彩色显示	caisexianshi
彩色显示器	caisexianshiqi
彩信铃声	caixinlingsheng
采样	caiyang
采样插件	caiyangchajian
采样方式	caiyangfangshi
采样分布	caiyangfenbu
采样控制	caiyangkongzhi
采样频率	caiyangpinlv
采样器	caiyangqi
采样速率	caiyangsulv
采样误差	caiyangwucha
采样系统	caiyangxitong
采样噪声	caiyangzaosheng
采样周期	caiyangzhouqi
残错率	cancuolv
参考	cankao
参考电源	cankaodianyuan
参考监控	cankaojiankong
参考码	cankaoma
参考帧	cankaozhen
残留数据	canliushuju
参数	canshu
参数测试	canshuceshi
参数传递	canshuchuandi
参数估计	canshuguji
参数故障	canshuguzhang
参数化类型	canshuhualeixing
参数化设计	canshuhuasheji
参数几何	canshujihe
参数空间	canshukongjian
参数曲面拟合	canshuqumiannihe
参数信息	canshuxinxi
参数约束	canshuyueshu
参与者	canyuzhe
参照完整性	canzhaowanzhengxing
草稿质量	caogaozhiliang
槽排序	caopaixu
操纵杆	caozonggan
操作包	caozuobao
操作表	caozuobiao
操作测试	caozuoceshi
操作符	caozuofu
操作过程	caozuoguocheng
操作开关	caozuokaiguan
操作控制	caozuokongzhi
操作控制器	caozuokongzhiqi
操作码	caozuoma
操作命令	caozuomingling
操作确认	caozuoqueren
操作数	caozuoshu
操作系统	caozuoxitong
操作系统病毒	caozuoxitongbingdu
操作系统功能	caozuoxitonggongneng
操作系统构件	caozuoxitonggoujian
操作语义	caozuoyuyi
操作原理	caozuoyuanli
操作员命令	caozuoyuanmingling
操作员手册	caozuoyuanshouce
侧边栏	cebianlan
测定方法	cedingfangfa
测量范围	celiangfanwei
策略管理机构	celueguanlijigou
测试板	ceshiban
测试报告	ceshibaogao
测试背景	ceshibeijing
测试策略	ceshicelue
测试程序	ceshichengxu
测试存取端口	ceshicunquduankou
测试点	ceshidian
测试覆盖	ceshifugai
测试规约	ceshiguiyue
测试过程	ceshiguocheng
测试环路	ceshihuanlu
测试回路	ceshihuilu
测试计划	ceshijihua
测试阶段	ceshijieduan
测试可重复性	ceshikechongfuxing
测试例程	ceshilicheng
测试命令	ceshimingling
测试评估	ceshipinggu
测试评审	ceshipingshen
测试驱动程序	ceshiqudongchengxu
测试驱动器	ceshiqudongqi
测试任务	ceshirenwu
测试日志	ceshirizhi
测试设备	ceshishebei
测试生成	ceshishengcheng
测试时间	ceshishijian
测试数据	ceshishuju
测试顺序	ceshishunxu
测试台	ceshitai
测试探针	ceshitanzhen
测试套具	ceshitaoju
测试提示	ceshitishi
测试文本	ceshiwenben
测试响应	ceshixiangying
测试仪	ceshiyi
测试用例	ceshiyongli
测试谕示	ceshiyushi
测试语言	ceshiyuyan
测试运行	ceshiyunxing
测试症候	ceshizhenghou
测试指示符	ceshizhishifu
测试指示器	ceshizhishiqi
测试资源	ceshiziyuan
测试综合	ceshizonghe
测试总结	ceshizongjie
侧抑制	ceyizhi
层次存储系统	cengcicunchuxitong
层次分解	cengcifenjie
层次分析处理	cengcifenxichuli
层次结构	cengcijiegou
层次模型	cengcimoxing
层次数据库	cengcishujuku
层次数据模型	cengcishujumoxing
层次网	cengciwang
层次序列键码	cengcixuliejianma
层叠样式表	cengdieyangshibiao
层析成像	cengxichengxiang
层析术	cengxishu
层压板	cengyaban
插补程序	chabuchengxu
插补器	chabuqi
插槽	chacao
差错	chacuo
差错范围	chacuofanwei
差错恢复	chacuohuifu
差错检测	chacuojiance
差错检测码	chacuojiancema
差错校验	chacuojiaoyan|chacuoxiaoyan
差错校验系统	chacuojiaoyanxitong|chacuoxiaoyanxitong
差错控制	chacuokongzhi
差错控制编码	chacuokongzhibianma
差错指示电路	chacuozhishidianlu
差分电压信号	chafendianyaxinhao
差分方式	chafenfangshi
差分脉码调制	chafenmaimatiaozhi|chafenmaimadiaozhi
差分密码分析	chafenmimafenxi
差分双绞线	chafenshuangjiaoxian
叉积	chaji
插件	chajian
插件导轨	chajiandaogui
插件架	chajianjia
插件栏	chajianlan
查看过滤日志	chakanguolvrizhi
查看源代码	chakanyuandaima
插孔	chakong
插孔板	chakongban
查讫符号	chaqifuhao
插入成员	charuchengyuan
插入列	charulie
插入排序	charupaixu
插入位置	charuweizhi
插入文本	charuwenben
插入文本行	charuwenbenxing
插入项目	charuxiangmu
插入异常	charuyichang
插入字节集	charuzijieji
查色表	chasebiao
叉树	chashu
查询优化	chaxunyouhua
查询语言	chaxunyuyan
差压控制器	chayakongzhiqi
查验	chayan
查找	chazhao
查找记录	chazhaojilu
查找时间	chazhaoshijian
插针	chazhen
插针压力	chazhenyali
插值	chazhi
插值法	chazhifa
插座	chazuo
拆分	chaifen
拆线	chaixian
产品安全	chanpinanquan
产品测试	chanpinceshi
产品规格说明	chanpinguigeshuoming
产品规约	chanpinguiyue
产品库	chanpinku
产品认证	chanpinrenzheng
产品数据管理	chanpinshujuguanli
缠绕形式	chanraoxingshi
产生式规则	chanshengshiguize
产生式系统	chanshengshixitong
场地故障	changdiguzhang
场地自治	changdizizhi
唱碟	changdie
长度域	changduyu
常规密码体制	changguimimatizhi
常规信息系统	changguixinxixitong
常见问题	changjianwenti
常量	changliang
常量说明	changliangshuoming
场频	changpin
长期相关性	changqixiangguanxing
常识推理	changshituili
长事务管理	changshiwuguanli
常识语意学	changshiyuyixue
常数传播	changshuchuanbo
常数合并	changshuhebing
常用词	changyongci
长整数	changzhengshu
常驻操作系统	changzhucaozuoxitong
常驻控制程序	changzhukongzhichengxu
超标量	chaobiaoliang
超标量结构	chaobiaoliangjiegou
超长文本	chaochangwenben
超长正文	chaochangzhengwen
超长指令字	chaochangzhilingzi
超驰控制	chaochikongzhi
超导存储器	chaodaocunchuqi
超归结	chaoguijie
超级编译程序	chaojibianyichengxu
超级编译器	chaojibianyiqi
超级操作	chaojicaozuo
超级服务器	chaojifuwuqi
超级计算	chaojijisuan
超级计算机	chaojijisuanji
超级拖放	chaojituofang
超级旋风	chaojixuanfeng
超级巡警	chaojixunjing
超级影碟	chaojiyingdie
抄件	chaojian
超类	chaolei
超立方体	chaolifangti
超链接	chaolianjie
超流水线	chaoliushuixian
超流水线结构	chaoliushuixianjiegou
超媒体	chaomeiti
超前补偿	chaoqianbuchang
超扇区	chaoshanqu
超声波传感器	chaoshengbochuanganqi
超时	chaoshi
超时控制	chaoshikongzhi
超视频	chaoshipin
超图数据结构	chaotushujujiegou
超文本	chaowenben
超文件超文本	chaowenjianchaowenben
超线程	chaoxiancheng
超线程技术	chaoxianchengjishu
朝鲜文	chaoxianwen
超演绎	chaoyanyi
超预解式	chaoyujieshi
撤除	chechu
撤消	chexiao
撤销还原	chexiaohuanyuan|chexiaohaiyuan
撤销列表	chexiaoliebiao
撤消原语	chexiaoyuanyu
衬比度	chenbidu
衬底	chendi
沉浸感	chenjingan
成本效益分析	chengbenxiaoyifenxi
乘法器	chengfaqi
成分结构	chengfenjiegou
成分语义学	chengfenyuyixue
乘积密码	chengjimima
乘积曲面	chengjiqumian
承诺	chengnuo
乘商寄存器	chengshangjicunqi
程式设计语言	chengshishejiyuyan
成熟度	chengshudu
成像	chengxiang
程序	chengxu
程序保护	chengxubaohu
程序变异	chengxubianyi
程序池	chengxuchi
程序重定位	chengxuchongdingwei
程序重试	chengxuchongshi
程序存储	chengxucunchu
程序代数	chengxudaishu
程序调度	chengxudiaodu
程序调度程序	chengxudiaoduchengxu
程序段	chengxuduan
程序段表	chengxuduanbiao
程序对换	chengxuduihuan
程序分页功能	chengxufenyegongneng
程序高手	chengxugaoshou
程序隔离	chengxugeli
程序格式	chengxugeshi
程序规约	chengxuguiyue
程序划分	chengxuhuafen
程序集	chengxuji
程序集变量	chengxujibianliang
程序寄存器	chengxujicunqi
程序集合	chengxujihe
程序集缓存	chengxujihuancun
程序集清单	chengxujiqingdan
程序计数器	chengxujishuqi
程序集元数据	chengxujiyuanshuju
程序界限监控	chengxujiexianjiankong
程序局部性	chengxujubuxing
程序控制	chengxukongzhi
程序库	chengxuku
程序块	chengxukuai
程序扩展	chengxukuozhan
程序理解	chengxulijie
程序逻辑单元	chengxuluojidanyuan
程序敏感故障	chengxuminganguzhang
程序确认	chengxuqueren
程序设计	chengxusheji
程序设计环境	chengxushejihuanjing
程序设计技术	chengxushejijishu
程序设计逻辑	chengxushejiluoji
程序设计语言	chengxushejiyuyan
程序生成	chengxushengcheng
程序生成程序	chengxushengchengchengxu
程序生成器	chengxushengchengqi
程序探测	chengxutance
程序体系结构	chengxutixijiegou
程序修改	chengxuxiugai
程序验证	chengxuyanzheng
程序验证器	chengxuyanzhengqi
程序优先级	chengxuyouxianji
程序员作业	chengxuyuanzuoye
程序暂停	chengxuzanting
程序正确性	chengxuzhengquexing
程序纸	chengxuzhi
程序支持库	chengxuzhichiku
程序质量	chengxuzhiliang
程序转换	chengxuzhuanhuan
程序转换方法	chengxuzhuanhuanfangfa
程序装入操作	chengxuzhuangrucaozuo
程序装入程序	chengxuzhuangruchengxu
程序状态	chengxuzhuangtai
程序综合	chengxuzonghe
城域网	chengyuwang
成员对象	chengyuanduixiang
成员方法	chengyuanfangfa
成员类	chengyuanlei
成员内部类	chengyuanneibulei
成员问题	chengyuanwenti
承轴结构	chengzhoujiegou
成字部件	chengzibujian
成组编码记录	chengzubianmajilu
成组传送	chengzuchuansong
成组传送速率	chengzuchuansongsulv
成组分页	chengzufenye
尺寸驱动	chicunqudong
尺度传感器	chiduchuanganqi
尺度空间	chidukongjian
持久性	chijiuxing
重传	chongchuan
重叠	chongdie
重叠处理	chongdiechuli
重定向	chongdingxiang
重定向操作符	chongdingxiangcaozuofu
重定向符号	chongdingxiangfuhao
重读	chongdu
重发	chongfa
重放攻击	chongfanggongji
重复边界像素	chongfubianjiexiangsu
重复标识	chongfubiaozhi|chongfubiaoshi
重复检验	chongfujianyan
重复性	chongfuxing
重复选择排序	chongfuxuanzepaixu
重构	chonggou
冲击波	chongjibo
重建	chongjian
重建滤波器	chongjianlvboqi
虫孔寻径	chongkongxunjing
重码	chongma
重码字词数	chongmazicishu
重配置	zhongpeizhi|chongpeizhi
重试	chongshi
虫蚀寻径	chongshixunjing
冲突	chongtu
冲突集	chongtuji
冲突鉴别	chongtujianbie
冲突检测	chongtujiance
冲突结构	chongtujiegou
冲突调解	chongtutiaojie|chongtudiaojie
冲突向量	chongtuxiangliang
冲突消解	chongtuxiaojie
重现机器人	chongxianjiqiren
重写	chongxie
重写规则	chongxieguize
重写器病毒	chongxieqibingdu
重新安装	chongxinanzhuang
重新查询	chongxinchaxun
重新连接	chongxinlianjie
重新启动	chongxinqidong
重新启动傲游	chongxinqidongaoyou
重新运行	chongxinyunxing
重演	chongyan
重言式	chongyanshi
重言式规则	chongyanshiguize
重影	chongying
重邮程序	chongyouchengxu
重邮器	chongyouqi
重运行点	chongyunxingdian
重载	chongzai
重载分析	chongzaifenxi
重组	chongzu
重做	chongzuo
丑恶报文	chouebaowen
稠密性	choumixing
抽象	chouxiang
抽象层次	chouxiangcengci
抽象方法	chouxiangfangfa
抽象函数	chouxianghanshu
抽象机	chouxiangji
抽象类	chouxianglei
抽象数据类型	chouxiangshujuleixing
储存库	chucunku
除错	chucuo
出错处理	chucuochuli
出错处理例程	chucuochulilicheng
出错登记程序	chucuodengjichengxu
出错封锁	chucuofengsuo
出错率	chucuolv
出错文件	chucuowenjian
出错中断	chucuozhongduan
出错中断处理	chucuozhongduanchuli
触点	chudian
出点	chudian
触点插拔力	chudianchabali
触点间距	chudianjianju
出度	chudu
除法	chufa
触发对象	chufaduixiang
除法回路	chufahuilu
触发器	chufaqi
除法器	chufaqi
初级视觉	chujishijue
初级输出	chujishuchu
初级输入	chujishuru
触觉通道	chujuetongdao
处理部件	chulibujian
处理单元	chulidanyuan
处理黑版	chuliheiban
处理黄版	chulihuangban
处理机	chuliji
处理机对	chulijidui
处理机利用	chulijiliyong
处理机状态字	chulijizhuangtaizi
处理器	chuliqi
处理器调度	chuliqidiaodu
处理器分配	chuliqifenpei
处理器管理	chuliqiguanli
