阿姆斯里克	amusilike
财团债权	caituanzhaiquan
财务管理	caiwuguanli
财政法	caizhengfa
残疾赔偿金	canjipeichangjin
参见罪状	canjianzuizhuang
仓储保管合同	cangchubaoguanhetong
舱面货物险	cangmianhuowuxian
舱面物	cangmianwu
仓至仓	cangzhicang
草案	caoan
曹诗权	caoshiquan
操纵市场	caozongshichang
策动叛变罪	cedongpanbianzui
策动叛乱罪	cedongpanluanzui
曾代伟	cengdaiwei
查封	chafeng
查封不动产	chafengbudongchan
查封裁定	chafengcaiding
拆借合同	chaijiehetong
拆迁	chaiqian
拆迁安置	chaiqiananzhi
拆迁补偿协议	chaiqianbuchangxieyi
产供销合同	changongxiaohetong
产品标识	chanpinbiaozhi
产品发明	chanpinfaming
产品开发建议书	chanpinkaifajianyishu
产品设计图	chanpinshejitu
产品声誉	chanpinshengyu
产品税	chanpinshui
产品瑕疵	chanpinxiaci
产品责任险	chanpinzerenxian
产品质量标准	chanpinzhiliangbiaozhun
产品质量法	chanpinzhiliangfa
产品质量责任	chanpinzhiliangzeren
产权	chanquan
产权变更	chanquanbiangeng
产权登记	chanquandengji
场内交易	changneijiaoyi
场外交易	changwaijiaoyi
常习犯	changxifan
常业犯	changyefan
常怡	changyi
超出法律范围的	chaochufalvfanweide
抄袭剽窃	chaoxipiaoqie
超越代理权	chaoyuedailiquan
超越共犯	chaoyuegongfan
超越使用范围	chaoyueshiyongfanwei
超越职权	chaoyuezhiquan
超载	chaozai
车船使用税	chechuanshiyongshui
撤回起诉	chehuiqisu
撤回诉讼	chehuisusong
撤回自诉	chehuizisu
车辆买卖合同	cheliangmaimaihetong
车辆损失险	cheliangsunshixian
撤诉	chesu
撤销	chexiao
撤消	chexiao
撤销不起诉决定书	chexiaobuqisujuedingshu
撤销免予起诉决定书	chexiaomianyuqisujuedingshu
撤销判决	chexiaopanjue
撤消判决	chexiaopanjue
撤销权法律关系	chexiaoquanfalvguanxi
陈光中	chenguangzhong
陈桂明	chenguiming
陈弘毅	chenhongyi
陈华彬	chenhuabin
陈俊平	chenjunping
陈瑞华	chenruihua
陈述权	chenshuquan
陈炜恒	chenweiheng
陈新民	chenxinmin
陈兴良	chenxingliang
陈寅恪	chenyinque|chenyinke
陈忠林	chenzhonglin
承包承租	chengbaochengzu
承包合同	chengbaohetong
承包金	chengbaojin
承包经营	chengbaojingying
承包土地权	chengbaotudiquan
承包制	chengbaozhi
承包主体资格	chengbaozhutizige
承担	chengdan
承担原投资公司的法律义务	chengdanyuantouzigongsidefalvyiwu
承兑	chengdui
惩罚性赔偿	chengfaxingpeichang
承付	chengfu
成交确认书	chengjiaoquerenshu
承接	chengjie
承接责任公司	chengjiezerengongsi
承揽合同	chenglanhetong
成年人	chengnianren
承诺	chengnuo
城市房地产管理法	chengshifangdichanguanlifa
诚实信用	chengshixinyong
诚实信用原则	chengshixinyongyuanze
成文法	chengwenfa
承销商	chengxiaoshang
程序	chengxu
程序法	chengxufa
程序合法	chengxuhefa
程序审判	chengxushenpan
程序正义	chengxuzhengyi
承运人	chengyunren
承运人和实际承运人	chengyunrenheshijichengyunren
承运人免责	chengyunrenmianze
承运人赔偿责任限制	chengyunrenpeichangzerenxianzhi
承租权	chengzuquan
承租人	chengzuren
持股公司	chigugongsi
驰名商标	chimingshangbiao
持械聚众叛乱罪	chixiejuzhongpanluanzui
持续犯	chixufan
迟延交付	chiyanjiaofu
迟延履行	chiyanlvxing
持有物	chiyouwu
充分公开	chongfengongkai
重复抵押	chongfudiya
重复签发提单	chongfuqianfatidan
重合性教唆	chonghexingjiaosuo
重婚	chonghun
重婚罪	chonghunzui
冲突规范	chongtuguifan
重新鉴定	chongxinjianding
抽逃资金	choutaozijin
抽象的事实错误	chouxiangdeshishicuowu
抽象的危险犯	chouxiangdeweixianfan
抽象符合说	chouxiangfuheshuo
抽象行政行为	chouxiangxingzhengxingwei
出版发行权	chubanfaxingquan
出版合同	chubanhetong
出版权	chubanquan
出版许可合同	chubanxukehetong
除斥期间	chuchiqijian
处断刑	chuduanxing
处分	chufen
处分权	chufenquan
处分行为	chufenxingwei
初稿设计	chugaosheji
出国劳务合同	chuguolaowuhetong
出借帐户	chujiezhanghu
出口加工区	chukoujiagongqu
出口税	chukoushui
出口替代	chukoutidai
出口贴补	chukoutiebu
出口退税	chukoutuishui
出口信贷	chukouxindai
出卖人	chumairen
出卖人义务	chumairenyiwu
出名营业人	chumingyingyeren
出票	chupiao
出让国有土地使用权	churangguoyoutudishiyongquan
出生	chusheng
出生日期	chushengriqi
出生证明	chushengzhengming
初始保证金	chushibaozhengjin
除外规定	chuwaiguiding
除外责任	chuwaizeren
储蓄	chuxu
出资	chuzi
出资比例	chuzibili
出资额转让	chuziezhuanrang
出资期限	chuziqixian
出租人	chuzuren
出租人的义务	chuzurendeyiwu
船舶保险	chuanbobaoxian
船舶触碰	chuanbochupeng
船舶代理	chuanbodaili
船舶登记	chuanbodengji
船舶抵押权	chuanbodiyaquan
船舶动态	chuanbodongtai
船舶吨位	chuanbodunwei
船舶共有	chuanbogongyou
船舶国籍	chuanboguoji
船舶经营管理	chuanbojingyingguanli
船舶拍卖	chuanbopaimai
船舶碰撞	chuanbopengzhuang
船舶适航	chuanboshihang
船舶所有权	chuanbosuoyouquan
船舶维修费	chuanboweixiufei
船舶物料备品	chuanbowuliaobeipin
船舶修理	chuanboxiuli
船舶营运费用	chuanboyingyunfeiyong
船舶优先权	chuanboyouxianquan
船舶优先权催告	chuanboyouxianquancuigao
船舶占有权	chuanbozhanyouquan
船舶转让	chuanbozhuanrang
船舶租购合同	chuanbozugouhetong
传达不实	chuandabushi
船东	chuandong
船东互保协会	chuandonghubaoxiehui
传唤	chuanhuan
船级	chuanji
传票	chuanpiao
船旗国	chuanqiguo
船期损失	chuanqisunshi
船期延误	chuanqiyanwu
传授犯罪方法罪	chuanshoufanzuifangfazui
传销	chuanxiao
传讯	chuanxun
船员	chuanyuan
船员劳务合同	chuanyuanlaowuhetong
船载货物	chuanzaihuowu
船长	chuanzhang
创意设计	chuangyisheji
创造性	chuangzaoxing
创作	chuangzuo
纯正渎职罪	chunzhengduzhizui
次要责任	ciyaozeren
辞职	cizhi
从犯	congfan
从合同	conghetong
从权利	congquanli
从属关系	congshuguanxi
从属权利要求	congshuquanliyaoqiu
从属专利	congshuzhuanli
从物	congwu
从物权	congwuquan
从行为	congxingwei
从债务人	congzhaiwuren
促进社会和谐	cujinshehuihexie
催告	cuigao
催告期限	cuigaoqixian
催告权	cuigaoquan
崔之元	cuizhiyuan
存单	cundan
存单法律性质	cundanfalvxingzhi
存单挂失	cundanguashi
存单要件瑕疵	cundanyaojianxiaci
存单质押	cundanzhiya
存根	cungen
存款实名制	cunkuanshimingzhi
村民委员会	cunminweiyuanhui
存折的变造	cunzhedebianzao
错告	cuogao
错觉错误	cuojuecuowu
错觉防卫	cuojuefangwei
错误认定	cuowurending
错运货物	cuoyunhuowu
答辩	dabian
大副收据	dafushouju
打击错误	dajicuowu
大陆法系	dalufaxi
大脑机能停止活动说	danaojinengtingzhihuodongshuo
搭售	dashou
代办权	daibanquan
代办商	daibanshang
代保管单	daibaoguandan
逮捕	daibu
待补充的犯罪构成	daibuchongdefanzuigoucheng
逮捕证	daibuzheng
贷款	daikuan
贷款欺诈	daikuanqizha
贷款人	daikuanren
贷款通则	daikuantongze
贷款展期	daikuanzhanqi
代理	daili
代理合同	dailihetong
代理权	dailiquan
代理权的滥用	dailiquandelanyong
代理权的授予	dailiquandeshouyu
代理权的限制	dailiquandexianzhi
代理权的追认	dailiquandezhuiren
代理人	dailiren
代理证书	dailizhengshu
代书遗嘱	daishuyizhu
代替物	daitiwu
代位继承	daiweijicheng
代为给付	daiweijifu|daiweigeifu
代为履行	daiweilvxing
代为清偿	daiweiqingchang
代位清偿	daiweiqingchang
代为清偿制度	daiweiqingchangzhidu
代位求偿	daiweiqiuchang
代位求偿权	daiweiqiuchangquan
代位追偿	daiweizhuichang
代物清偿	daiwuqingchang
代销	daixiao
担保	danbao
担保保证书	danbaobaozhengshu
担保法	danbaofa
担保合同	danbaohetong
担保期	danbaoqi
担保物权	danbaowuquan
单层次的选择构成	dancengcidexuanzegoucheng
单纯的犯罪构成	danchundefanzuigoucheng
单单相符单证相符	dandanxiangfudanzhengxiangfu
担当付款人	dandangfukuanren
单独海损	danduhaisun
单独教唆犯	dandujiaosuofan
单方法律行为	danfangfalvxingwei
单方解除合同	danfangjiechuhetong
单方终止合同	danfangzhongzhihetong
单位犯罪	danweifanzui
单位犯罪主体	danweifanzuizhuti
单务合同	danwuhetong
单行条例	danxingtiaoli
单一的犯罪构成	danyidefanzuigoucheng
单一客体	danyiketi
单证不符	danzhengbufu
当事人	dangshiren
当事人适格	dangshirenshige
当事人主义	dangshirenzhuyi
到岸价格	daoanjiage
盗版	daoban
盗打电话	daodadianhua
道德	daode
盗伐林木罪	daofalinmuzui
倒卖计划供应票证罪	daomaijihuagongyingpiaozhengzui
到期日	daoqiri
倒签提单	daoqiantidan
盗窃公文证件印章罪	daoqiegongwenzhengjianyinzhangzui
盗窃枪支弹药罪	daoqieqiangzhidanyaozui
盗窃罪	daoqiezui
导演再创作的许可范围	daoyanzaichuangzuodexukefanwei
盗运珍贵文物出口罪	daoyunzhenguiwenwuchukouzui
得撤销婚姻	dechexiaohunyin
德沃金	dewojin
德主刑辅	dezhuxingfu
登记	dengji
等同替代	dengtongtidai
等同物替换	dengtongwutihuan
等同原则	dengtongyuanze
邓晓芒	dengxiaomang
邓正来	dengzhenglai
抵偿	dichang
第二审	diershen
第二审程序	diershenchengxu
地方性法规	difangxingfagui
诋毁	dihui
狄骥	diji
递减拍卖	dijianpaimai
缔结条约程序法	dijietiaoyuechengxufa
地区管辖	diquguanxia
第三人	disanren
第三人过错行为	disanrenguocuoxingwei
第三人清偿	disanrenqingchang
第三者责任险	disanzhezerenxian
地上权	dishangquan
抵销	dixiao
抵消权	dixiaoquan
抵押	diya
抵押借款合同	diyajiekuanhetong
抵押权	diyaquan
抵押权的设定	diyaquandesheding
抵押权登记	diyaquandengji
抵押权登记制度	diyaquandengjizhidu
抵押物的转让	diyawudezhuanrang
第一付款责任	diyifukuanzeren
地役权	diyiquan
第一审	diyishen
第一审程序	diyishenchengxu
地域管辖	diyuguanxia
缔约过失	diyueguoshi
典当	diandang
垫付	dianfu
电话计费	dianhuajifei
典权	dianquan
电视作品	dianshizuopin
电影文学剧本	dianyingwenxuejuben
垫资施工	dianzishigong
雕塑作品	diaosuzuopin
钓鱼式合同	diaoyushihetong
订舱单	dingcangdan
定稿创作	dinggaochuangzuo
定金	dingjin
定金罚则	dingjinfaze
定期刑	dingqixing
定期租船合同	dingqizuchuanhetong
定日付款	dingrifukuan
定向募集设立	dingxiangmujisheli
定着物	dingzhewu
定值保险契约	dingzhibaoxianqiyue
定罪结果	dingzuijieguo
定作合同	dingzuohetong
动产	dongchan
动产质权	dongchanzhiquan
冻结	dongjie
董事会	dongshihui
董事会授权	dongshihuishouquan
董事会召开程序	dongshihuizhaokaichengxu
董事解任	dongshijieren
动物致人伤害	dongwuzhirenshanghai
赌博罪	dubozui
独创性	duchuangxing
督促程序	ducuchengxu
杜钢建	dugangjian
赌棍	dugun
独立创作	dulichuangzuo
独立的犯罪构成	dulidefanzuigoucheng
独立法人资格	dulifarenzige
独立呼吸说	dulihuxishuo
独立民事主体	duliminshizhuti
独立权利要求	duliquanliyaoqiu
独立燃烧说	duliranshaoshuo
独立诉讼	dulisusong
独立行使民事权利	dulixingshiminshiquanli
独立制片人	dulizhipianren
赌头	dutou
独占权	duzhanquan
独占实施许可	duzhanshishixuke
独占许可	duzhanxuke
独占许可使用	duzhanxukeshiyong
独占许可证	duzhanxukezheng
渎职案	duzhian
渎职罪	duzhizui
独资公司	duzigongsi
断带说	duandaishuo
短货	duanhuo
短款	duankuan
对比文件	duibiwenjian
对冲	duichong
对第三人的责任	duidisanrendezeren
对公民在适用法律上一律平等	duigongminzaishiyongfalvshangyilvpingdeng
对价	duijia
对偶婚	duiouhun
对人权	duirenquan
对世权	duishiquan
对外经济贸易部	duiwaijingjimaoyibu
对外贸易法	duiwaimaoyifa
对外贸易合同	duiwaimaoyihetong
对物防卫	duiwufangwei
兑现	duixian
对象不能犯	duixiangbunengfan
对象错误	duixiangcuowu
多边贸易	duobianmaoyi
多层次的选择构成	duocengcidexuanzegoucheng
多式联运	duoshilianyun
多数辩护	duoshubianhu
恶意串通	eyichuantong
恶意第三人	eyidisanren
恶意透支	eyitouzhi
恶意占有	eyizhanyou
二重买卖	erchongmaimai
二审	ershen
二审法院	ershenfayuan
法案	faan
发包与承包	fabaoyuchengbao
发表	fabiao
发标	fabiao
发表权	fabiaoquan
法的历史	fadelishi
法的实施	fadeshishi
法的实现	fadeshixian
法的适用	fadeshiyong
法的运行	fadeyunxing
法典编纂	fadianbianzuan
法定案例条件前提下	fadinganlitiaojianqiantixia
法定财产制	fadingcaichanzhi
法定代表人	fadingdaibiaoren
法定代理权	fadingdailiquan
法定代理人	fadingdailiren
法定的事实错误	fadingdeshishicuowu
法定抵押权	fadingdiyaquan
法定犯	fadingfan
法定分类	fadingfenlei
法定符合说	fadingfuheshuo
法定婚龄	fadinghunling
法定继承	fadingjicheng
法定继承人	fadingjichengren
法定监护人	fadingjianhuren
法定监护人职责	fadingjianhurenzhize
法定解除	fadingjiechu
法定赔偿	fadingpeichang
法定期间	fadingqijian
法定期限	fadingqixian
法定强制保险	fadingqiangzhibaoxian
法定情节	fadingqingjie
法定清算人	fadingqingsuanren
法定刑	fadingxing
法定刑上限	fadingxingshangxian
法定刑下限	fadingxingxiaxian
法定许可	fadingxuke
法定孳息	fadingzixi
法官	faguan
法官独立	faguanduli
法官法	faguanfa
法官职业道德	faguanzhiyedaode
法官职业道德基本准则	faguanzhiyedaodejibenzhunze
法官职业化	faguanzhiyehua
法规汇编	faguihuibian
发货代理人	fahuodailiren
罚金	fajin
法警队	fajingdui
法经济学	fajingjixue
法理	fali
法理学	falixue
法律	falv
法律本体	falvbenti
法律本质	falvbenzhi
法律部门	falvbumen
法律不能犯	falvbunengfan
法律擦边球	falvcabianqiu
法律冲突	falvchongtu
法律传统	falvchuantong
法律错误	falvcuowu
法律的实施	falvdeshishi
法律定义	falvdingyi
法律法规	falvfagui
法律法规汇编	falvfaguihuibian
法律法规适用范围	falvfaguishiyongfanwei
法律方法	falvfangfa
法律概念	falvgainian
法律关系	falvguanxi
法律关系混杂	falvguanxihunza
法律关系客体	falvguanxiketi
法律关系主体	falvguanxizhuti
法律规避	falvguibi
法律规则	falvguize
法律汇编	falvhuibian
法律继承	falvjicheng
法律价值	falvjiazhi
法律监督	falvjiandu
法律监督机关	falvjiandujiguan
法律解释	falvjieshi
法律经济学	falvjingjixue
法律判决认定	falvpanjuerending
法律起源	falvqiyuan
法律全球化	falvquanqiuhua
法律事件	falvshijian
法律事实	falvshishi
法律适用	falvshiyong
法律思维	falvsiwei
法律特征	falvtezheng
法律体系	falvtixi
法律条文	falvtiaowen
法律推理	falvtuili
法律文化	falvwenhua
法律文件	falvwenjian
法律文书	falvwenshu
法律文书的大幅论述在于此	falvwenshudedafulunshuzaiyuci
法律现代化	falvxiandaihua
法律现象	falvxianxiang
法律限制和约束	falvxianzhiheyueshu
法律效力	falvxiaoli
法律行为	falvxingwei
法律演进	falvyanjin
法律议案	falvyian
法律意识	falvyishi
法律移植	falvyizhi
法律渊源	falvyuanyuan
法律原则	falvyuanze
法律责任	falvzeren
法律政策研究室	falvzhengceyanjiushi
法律制裁	falvzhicai
法律秩序	falvzhixu
法律职业	falvzhiye
法律职业道德	falvzhiyedaode
法律作用	falvzuoyong
发明	faming
发明人	famingren
发明专利	famingzhuanli
发明专利权	famingzhuanliquan
发明专利权人	famingzhuanliquanren
发盘	fapan
发票人	fapiaoren
发起设立	faqisheli
法人	faren
法人的变更	farendebiangeng
法人的成立	farendechengli
法人的合并	farendehebing
法人的消灭	farendexiaomie
法人的终止	farendezhongzhi
法人分支机构的缔约资格	farenfenzhijigoudediyuezige
法人分支机构的民事责任承担	farenfenzhijigoudeminshizerenchengdan
法人股质押	farenguzhiya
法人名称权	farenmingchengquan
法人名誉	farenmingyu
法人名誉权	farenmingyuquan
法人清算	farenqingsuan
法人型联营	farenxinglianying
法人章程	farenzhangcheng
发声说	fashengshuo
法是规矩的象征	fashiguijudexiangzheng
法条	fatiao
法条竞合	fatiaojinghe
法条竟合	fatiaojinghe
法庭	fating
法系	faxi
发现	faxian
发现权	faxianquan
发现证书	faxianzhengshu
发行放映权	faxingfangyingquan
发行权	faxingquan
法学	faxue
法学家	faxuejia
法学阶梯	faxuejieti
法学院	faxueyuan
法域	fayu
法院	fayuan
法院直接受理的刑事案件	fayuanzhijieshoulidexingshianjian
发展权	fazhanquan
法哲学	fazhexue
法制	fazhi
法治	fazhi
法治国家	fazhiguojia
法治理论	fazhililun
法治社会	fazhishehui
法制史	fazhishi
法制现代化	fazhixiandaihua
法治现代化	fazhixiandaihua
法治政治	fazhizhengzhi
反补贴	fanbutie
反补贴税	fanbutieshui
反补贴条例	fanbutietiaoli
反不正当竞争法	fanbuzhengdangjingzhengfa
樊崇义	fanchongyi
反担保	fandanbao
反动会道门	fandonghuidaomen
反渎局	fanduju
反渎职侵权局	fanduzhiqinquanju
樊纲	fangang
反革命犯	fangemingfan
反革命集团	fangemingjituan
反革命破坏罪	fangemingpohuaizui
反革命杀人罪	fangemingsharenzui
反革命伤人罪	fangemingshangrenzui
反革命宣传煽动罪	fangemingxuanchuanshandongzui
反革命罪	fangemingzui
返还	fanhuan
返还财产	fanhuancaichan
返还责任	fanhuanzeren
范健	fanjian
范进学	fanjinxue
反垄断法	fanlongduanfa
贩卖毒品罪	fanmaidupinzui
贩卖假药罪	fanmaijiayaozui
贩卖淫书淫画罪	fanmaiyinshuyinhuazui
反倾销条例	fanqingxiaotiaoli
反倾销行政案件	fanqingxiaoxingzhenganjian
返售	fanshou
贩私	fansi
反诉	fansu
反贪局	fantanju
反贪污贿赂局	fantanwuhuiluju
反向工程	fanxianggongcheng
反向交割	fanxiangjiaoge
犯刑法错误	fanxingfacuowu
犯意表示	fanyibiaoshi
翻译人员	fanyirenyuan
翻译作品	fanyizuopin
贩运伪造的国家货币罪	fanyunweizaodeguojiahuobizui
反致	fanzhi
繁种协议	fanzhongxieyi
范忠信	fanzhongxin
犯罪	fanzui
犯罪的本质	fanzuidebenzhi
犯罪的概念本质及种类	fanzuidegainianbenzhijizhonglei
犯罪的客观方面	fanzuidekeguanfangmian
犯罪的客观要件	fanzuidekeguanyaojian
犯罪的主观方面	fanzuidezhuguanfangmian
犯罪地点	fanzuididian
犯罪动机	fanzuidongji
犯罪对象	fanzuiduixiang
犯罪方法	fanzuifangfa
犯罪构成	fanzuigoucheng
犯罪构成的分类	fanzuigouchengdefenlei
犯罪构成要件	fanzuigouchengyaojian
犯罪故意	fanzuiguyi
犯罪过程	fanzuiguocheng
犯罪过失	fanzuiguoshi
犯罪既遂	fanzuijisui
犯罪集团	fanzuijituan
犯罪阶段	fanzuijieduan
犯罪结果	fanzuijieguo
犯罪结伙	fanzuijiehuo
犯罪客观要件	fanzuikeguanyaojian
犯罪客体	fanzuiketi
犯罪流露	fanzuiliulu
犯罪目的	fanzuimudi
犯罪牵连行为	fanzuiqianlianxingwei
犯罪时间	fanzuishijian
犯罪手段	fanzuishouduan
犯罪特征	fanzuitezheng
犯罪团伙	fanzuituanhuo
犯罪完成	fanzuiwancheng
犯罪未遂	fanzuiweisui
犯罪未完成	fanzuiweiwancheng
犯罪嫌疑人	fanzuixianyiren
犯罪形态	fanzuixingtai
犯罪行为	fanzuixingwei
犯罪预备	fanzuiyubei
犯罪中断	fanzuizhongduan
犯罪中顿	fanzuizhongdun
犯罪中止	fanzuizhongzhi
犯罪终止	fanzuizhongzhi
犯罪主体	fanzuizhuti
妨碍航行	fangaihangxing
方便旗	fangbianqi
房产变更登记	fangchanbiangengdengji
房产过户	fangchanguohu
房产确权	fangchanquequan
房产入股	fangchanrugu
房产证	fangchanzheng
房地产开发公司	fangdichankaifagongsi
房地产开发企业	fangdichankaifaqiye
房地产权属登记定着物	fangdichanquanshudengjidingzhewu
房地产中介机构	fangdichanzhongjiejigou
方法不能犯	fangfabunengfan
方法发明	fangfafaming
方法专利	fangfazhuanli
