阿纳克	anake
大麻哈鱼	damahayu
大麦町犬	damaidingquan
大青鲨	daqingsha
达氏鳇	dashihuang
大弹涂鱼	datantuyu
大西洋鲱	daxiyangfei
大西洋鲑	daxiyanggui
大西洋鳕	daxiyangxue
大西洋银鲛	daxiyangyinjiao
黛蛤散	daigesan
单鳍鳕	danqixue
弹尾目	danweimu
德国牧羊犬	deguomuyangquan
灯台细辛	dengtaixixin
地必虫	dibichong
地胆草	didancao
第二触角	dierchujiao
地龙	dilong
第一触角	diyichujiao
碘醚柳胺	dianmiliuan
颠茄草	dianqiecao
电鳐	dianyao
雕鸮	diaoxiao
丁公藤	dinggongteng
丁鱥	dinggui
丁癸草	dingguicao
丢了棒	diulebang
东方大苇莺	dongfangdaweiying
东方狐鲣	dongfanghujian
冬葵果	dongkuiguo
东坡墨鱼	dongpomoyu
动物分类学报	dongwufenleixuebao
东西伯利亚茴鱼	dongxiboliyahuiyu
杜父鱼	dufuyu
杜鹃花叶	dujuanhuaye
毒鲉	duyou
煅磁石	duancishi
煅浮海石	duanfuhaishi
煅龙牡	duanlongmu
煅青礞石	duanqingmengshi
煅石膏	duanshigao
煅瓦楞	duanwaleng
煅瓦楞子	duanwalengzi
煅自燃铜	duanzirantong
对氨苯甲酸	duianbenjiasuan
多抗甲素	duokangjiasu
多鳍鱼	duoqiyu
多指鞭冠鮟鱇	duozhibianguanankang
额斑刺蝶鱼	ebancidieyu
俄罗斯梭吻鲈	eluosisuowenlu
俄罗斯鲟	eluosixun
颚足	ezu
二甲胺四环素	erjiaansihuansu
二甲基乙酰胺	erjiajiyixianan
儿脾醒	erpixing
二羟丙茶碱	erqiangbingchajian
耳石	ershi
儿童草	ertongcao
法国斗牛犬	faguodouniuquan
法老王猎犬	falaowangliequan
法落海	faluohai
翻车鲀	fanchetun
反游猫	fanyoumao
纺足目	fangzumu
飞琥珀	feihupo
蜚蠊	feilian
飞廉草	feiliancao
非特异性免疫	feiteyixingmianyi
肺形草	feixingcao
飞杨草	feiyangcao
粉萆薢	fenbixie
芬兰猎犬	fenlanliequan
粉条儿菜	fentiaoercai
凤蝶	fengdie
蜂蜡	fengla
凤尾龙睛	fengweilongjing
麸炒苍术	fuchaocangzhu
麸炒僵蚕	fuchaojiangcan
麸炒枳实	fuchaozhishi
覆翅	fuchi
氟啶酸	fudingsuan
复方阿苯达唑	fufangabendazuo
复方磺胺甲噁唑	fufanghuanganjiaezuo
复方甲苯咪唑	fufangjiabenmizuo
蝠鲼	fufen
氟氯西林钠	fulvxilinna
浮游动物	fuyoudongwu
蜉蝣目	fuyoumu
咖喱鱿鱼	galiyouyu
伽楠香	gananxiang
泔茅术	ganmaozhu|ganmaoshu
鱤鱼	ganyu
杠板归	gangbangui
高鳍鹦嘴鱼	gaoqiyingzuiyu
革翅目	gechimu
蛤蚧	gejie
蛤壳	geke
革兰氏染色阳性	gelanshiranseyangxing
革兰氏染色阴性	gelanshiranseyinxing
格陵兰犬	gelinglanquan
隔山撬	geshanqiao
葛氏鲈塘鳢	geshilutangli
梗通草	gengtongcao
公将如棠观鱼者	gongjiangrutangguanyuzhe
功劳木	gonglaomu
弓鳍鱼	gongqiyu
狗肝草	gougancao
狗鲨	gousha
孤雌生殖	gucishengzhi
谷麦芽	gumaiya
古山龙	gushanlong
固体脂肪	gutizhifang
固着器	guzheqi
瓜螺	gualuo
广翅目	guangchimu
光慈姑	guangcigu
广地龙	guangdilong
广防已	guangfangyi
广霍香	guanghuoxiang
光能自养菌	guangnengziyangjun
光桃仁	guangtaoren
光鳐	guangyao
光枝勾	guangzhigou
贵妇犬	guifuquan
鳜鱼	guiyu
海鲫	haiji
海鳗	haiman
海鲶	hainian
海螵蛸	haipiaoxiao
海平鲉	haipingyou
海扇蛤	haishange
海星纲	haixinggang
海月水母	haiyueshuimu
海哲	haizhe
合成代谢	hechengdaixie
河鲈	helu
鹤虱	heshi
褐石斑鱼	heshibanyu
河鲀	hetun
河蚬	hexian
褐藻门	hezaomen
诃子肉	hezirou
黑斑狗鱼	heibangouyu
黑斑花蛇鳗	heibanhuasheman
黑背西鲱	heibeixifei
黑长鲳	heichangchang
黑蝶贝	heidiebei
黑风藤	heifengteng
黑口红点鲑	heikouhongdiangui
黑老虎根	heilaohugen
黑牛胭脂鱼	heiniuyanzhiyu
黑皮旗鱼	heipiqiyu
黑鲨	heisha
黑顺片	heishunpian
黑尾叉牙七鳃鳗	heiweichayaqisaiman
黑线鳕	heixianxue
黑鱼	heiyu
黑鸢	heiyuan
红边笛鲷	hongbiandidiao
红唇真蛇鳚	hongchunzhenshewei
红大戟	hongdaji
红大麻哈鱼	hongdamahayu
红管药	hongguanyao
红海黄金蝶	honghaihuangjindie
虹鳉	hongjiang
红酵母属	hongjiaomushu
红毛七	hongmaoqi
红毛五加皮	hongmaowujiapi
红珊瑚	hongshanhu
红隼	hongsun
红头草	hongtoucao
红胁蓝尾鸲	hongxielanweiqu
红藻门	hongzaomen
红紫珠	hongzizhu
虹鳟	hongzun
喉咙草	houlongcao
蝴蝶犬	hudiequan
胡蜂	hufeng
虎骨	hugu
胡瓜鱼	huguayu
湖鱥	hugui
胡狼	hulang
葫芦茶	hulucha
湖拟鲤	hunili
琥珀氯霉素	hupolvmeisu
虎鱼	huyu
花白鲢	huabailian
花粉筐	huafenkuang
花高头龙睛	huagaotoulongjing
花狼鱼	hualangyu
花老虎	hualaohu
华丽蝴蝶鱼	hualihudieyu
花鳗鲡	huamanli
化能自养菌	huanengziyangjun
华山参	huashancan
花鼠	huashu
滑鼠蛇	huashushe
华支睾吸虫	huazhigaoxichong
怀氏	huaishi
环节动物门	huanjiedongwumen
磺胺甲氧吡嗪	huanganjiayangbiqin
磺胺嘧啶银	huanganmidingyin
黄斑红点鲑	huangbanhongdiangui
黄背若梅鲷	huangbeiruomeidiao
皇带鱼	huangdaiyu
黄姑鱼	huangguyu
皇冠九间	huangguanjiujian
黄河裸裂尻鱼	huangheluoliekaoyu
皇后石首鱼	huanghoushishouyu
黄鲫	huangji
黄鳍金枪鱼	huangqijinqiangyu
黄颡鱼	huangsangyu
黄尾鰤	huangweishi
黄芫花	huangyuanhua
灰狐	huihu
回盛	huisheng
灰西鲱	huixifei
茴鱼	huiyu
火箭免疫电泳	huojianmianyidianyong
火口	huokou
火口鱼	huokouyu
霍佩兰	huopeilan
极北鳐	jibeiyao
襀翅目	jichimu
肌醇	jichun
姬蜂	jifeng
檵木叶	jimuye
鸡内金	jineijin
寄生鲶	jishengnian
鸡矢藤	jishiteng
棘头虫病	jitouchongbing
吉娃娃	jiwawa
吉娃娃犬	jiwawaquan
鸡尾鹦鹉	jiweiyingwu
棘胸蛙	jixiongwa
脊椎动物	jizhuidongwu
甲虫	jiachong
甲磺灭脓	jiahuangmienong
甲壳纲	jiaqiaogang
甲氰咪胍	jiaqingmigua
甲型肝炎病毒	jiaxingganyanbingdu
甲藻	jiazao
甲藻门	jiazaomen
鉴别染色	jianbieranse
尖吻蝮	jianwenfu
尖吻鲈	jianwenlu
尖吻平鲉	jianwenpingyou
鲣鱼	jianyu
剑鱼	jianyu
僵蚕	jiangcan
姜草果仁	jiangcaoguoren
姜厚朴	jianghoupu
鳉科	jiangke
江鳕	jiangxue
角蝉	jiaochan
绞股兰	jiaogulan
郊狼	jiaolang
接合生殖	jieheshengzhi
接吻鱼	jiewenyu
节肢动物门	jiezhidongwumen
金狗脊	jingouji
金龟	jingui
金环蛇	jinhuanshe
金毛寻回犬	jinmaoxunhuiquan
金礞石	jinmengshi
金钱白花蛇	jinqianbaihuashe
金钱鱼	jinqianyu
金枪鱼	jinqiangyu
金乔麦	jinqiaomai
金铁销	jintiexiao
金线鱼	jinxianyu
金叶金兰	jinyejinlan
金缨子	jinyingzi
金樱子肉	jinyingzirou
京大戟	jingdaji
镜鲤	jingli
荆三棱	jingsanleng
京三棱	jingsanleng
鲸鲨	jingsha
景天三七	jingtiansanqi
酒常山	jiuchangshan
酒川芎	jiuchuanxiong
酒丹参	jiudanshen
酒当归	jiudanggui
酒黄连	jiuhuanglian
酒黄芩	jiuhuangqin
酒女贞子	jiunvzhenzi
九头狮子草	jiutoushizicao
酒乌梢蛇	jiuwushaoshe
酒仙茅	jiuxianmao
九香虫	jiuxiangchong
锯腹脂鲤	jufuzhili
锯盖鱼	jugaiyu
巨鲶鱼	junianyu
爵床	juechuang
军曹鱼	juncaoyu
铠鲨	kaisha
糠虾	kangxia
糠虾幼体	kangxiayouti
抗原决定基	kangyuanjuedingji
柯基犬	kejiquan
克仑特罗	kelunteluo
可蒙犬	kemengquan
苦石莲	kushilian
库图拟鲤	kutunili
苦杏仁酸	kuxingrensuan
苦竹叶	kuzhuye
宽咽鱼	kuanyanyu
葵花凤头鹦鹉	kuihuafengtouyingwu
腊肠犬	lachangquan
拉萨犬	lasaquan
莱芒湖白鲑	laimanghubaigui
蓝布正	lanbuzheng
蓝花参	lanhuashen
蓝鳍金枪鱼	lanqijinqiangyu
蓝枪鱼	lanqiangyu
蓝鳃太阳鱼	lansaitaiyangyu
蓝魣鳕	lanyuxue
蓝圆鲹	lanyuancan
蓝珍珠	lanzhenzhu
狼把草	langbacao
莨菪子	langdangzi
姥鲨	laosha
类鼻疽假单胞菌	leibijujiadanbaojun
雷蚴	leiyou
棱鲱	lengfei
里海拟鲤	lihainili
里海七鳃鳗	lihaiqisaiman
里海西鲱	lihaixifei
犁头鳐	litouyao
镰鱼	lianyu
蓼大青叶	liaodaqingye
辽藁本	liaogaoben
猎狐犬	liehuquan
裂口鲨	liekousha
猎隼	liesun
裂体生殖	lietishengzhi
鳞翅目	linchimu
膦甲酸钠	linjiasuanna
磷虾	linxia
灵枢经	lingshujing
羚羊角	lingyangjiao
鲮鱼	lingyu
硫柳汞	liuliugong
柳珊瑚	liushanhu
硫酸大观霉素	liusuandaguanmeisu
硫酸双氢链霉素	liusuanshuangqinglianmeisu
硫酸小诺霉素	liusuanxiaonuomeisu
六线鱼	liuxianyu
龙头鱼	longtouyu
龙吐珠	longtuzhu
龙涎香	longxianxiang
龙鱼	longyu
蝼蛄	lougu
卤碱	lujian
鹿角珊瑚	lujiaoshanhu
鲈鲤	luli
鹿茸	lurong
鹿胎	lutai
芦竹根	luzhugen
裸腹鲟	luofuxun
罗威纳犬	luoweinaquan
葎草	lvcao
氯氰碘柳胺钠	lvqingdianliuanna
绿青鳕	lvqingxue
驴肾	lvshen
绿头苍蝇	lvtoucangying
氯唑西林	lvzuoxilin
马宝	mabao
马杜霉素铵	madumeisuan
马耳他犬	maertaquan
马舌鲽	mashedie
马尾黄连	maweihuanglian
麦白霉素	maibaimeisu
脉翅目	maichimu
麦迪霉素	maidimeisu
麦螺	mailuo
鳗鲡	manli
蔓足	manzu
盲鱼	mangyu
毛齿	maochi
毛翅目	maochimu
毛蚶	maohan
毛鳞鱼	maolinyu
茅莓	maomei
美国爱斯基摩犬	meiguoaisijimoquan
美国短毛猫	meiguoduanmaomao
美国可卡犬	meiguokekaquan
梅花鲈	meihualu
梅螺	meiluo
美洛西林	meiluoxilin
美鲶	meinian
虻虫	mengchong
蒙古红鲌	mengguhongbo
猛鲑	menggui
孟买猫	mengmaimao
蜜百部	mibaibu
蜜白前	mibaiqian
迷你杜宾	minidubin
蜜枇杷叶	mipipaye
蜜前胡	miqianhu
蜜桑白皮	misangbaipi
蜜胃	miwei
米鱼	miyu
蜜紫菀	miziwan
咪唑苯脲	mizuobenniao
绵萆薢	mianbixie
棉花根	mianhuagen
绵马贯众	mianmaguanzhong
面盘幼体	mianpanyouti
绵鳚	mianwei
明党参	mingdangshen
明天麻	mingtianma
墨头鱼	motouyu
墨元参	moyuanshen|moyuancan
木鳖子	mubiezi
木蜂	mufeng
木蝴喋	muhudie
木槿子	mujinzi
牡荆叶	mujingye
木虱	mushi
牧羊犬	muyangquan
南北沙参	nanbeishashen
南美白对虾	nanmeibaiduixia
南蛇藤果	nanshetengguo
内壳	neike
内维红点鲑	neiweihongdiangui
拟鮟鱇	niankang
泥蚶	nihan
鲵鱼	niyu
捻翅目	nianchimu
鲶科	nianke
鲶鱼	nianyu
牛背鹭	niubeilu
纽芬兰犬	niufenlanquan
纽形动物	niuxingdongwu
农吉利总碱	nongjilizongjian
糯米藤根	nuomitenggen
糯米须	nuomixu
欧白鲑	oubaigui
欧鳊	oubian
欧飘鱼	oupiaoyu
欧洲康吉鳗	ouzhoukangjiman
欧洲无须鳕	ouzhouwuxuxue
排风藤	paifengteng
胚宝胶囊	peibaojiaonang
啤酒花浸膏	pijiuhuajingao
皮颏鱵	pikezhen
平腹多刺鱼	pingfuduociyu
平衡囊	pinghengnang
平胸龟	pingxionggui
泼尼松	ponisong
葡伏堇	pufujin
普鲁卡因青霉素	pulukayinqingmeisu
葡萄牙水犬	putaoyashuiquan
蒲鱼	puyu
蛴螬	qicao
气呼吸	qihuxi
蕲蛇	qishe
祁蛇	qishe
七星鱼	qixingyu
茜草炭	qiancaotan
千里花	qianlihua
前胸背板	qianxiongbeiban
铅鱼	qianyu
蜣螂	qianglang
青蜂	qingfeng
青蛤	qingha|qingge
青鳉	qingjiang
青连翘	qinglianqiao
青鳞鱼	qinglinyu
清汤鱼肚	qingtangyudu
蜻蜓目	qingtingmu
青铜鼠	qingtongshu
青乌	qingwu
青虾	qingxia
青蟹	qingxie
青鳕	qingxue
青叶胆	qingyedan
秋白鲑	qiubaigui
秋刀鱼	qiudaoyu
去甲万古霉素	qujiawangumeisu
拳参	quancan|quanshen
全虫	quanchong
拳师犬	quanshiquan
犬首鮈	quanshouqu
全蝎	quanxie
人工海水	rengonghaishui
人参芦	renshenlu
日本短尾猫	ribenduanweimao
日本秋田犬	ribenqiutianquan
日本血吸虫	ribenxuexichong
溶血反应	rongxuefanying
蕤仁	ruiren
萨摩犬	samoquan
塞凡湖鳟	saifanhuzun
鳃弓	saigong
赛胃安	saiweian
三白草	sanbaicao
三刺鱼	sanciyu
三氮脒	sandanmi
三角帆蚌	sanjiaofanbang
伞形花序	sanxinghuaxu
桑螵蛸	sangpiaoxiao
僧帽水母	sengmaoshuimu
沙丁鱼	shadingyu
沙皮犬	shapiquan
沙塘鳢	shatangli
沙枣叶	shazaoye
山慈姑	shancigu
山东狮子猫	shandongshizimao
闪光鲟	shanguangxun
珊瑚虫	shanhuchong
山鹧鸪	shanzhegu
上口欧鳊	shangkououbian
蛇胆	shedan
射水鱼	sheshuiyu
舌鳎	sheta
深红玫瑰鹦鹉	shenhongmeiguiyingwu
参芪颗粒	shenqikeli
圣伯纳犬	shengbonaquan
生贯众	shengguanzhong
生内金	shengneijin
生物蓄积	shengwuxuji
石莼	shichun
石吊兰	shidiaolan
石蛾	shie
石椒草	shijiaocao
石鲈	shilu
虱目	shimu
石珊瑚	shishanhu
石苇叶	shiweiye
食蚊鱼	shiwenyu
鲥鱼	shiyu
狮子滚绣球	shizigunxiuqiu
狮子鱼	shiziyu
石钻子	shizuanzi
狩猎犬	shouliequan
鼠曲草	shuqucao
舒润	shurun
书鳃	shusai
鼠鲨	shusha
双翅目	shuangchimu
双氯芬酸钾	shuanglvfensuanjia
双氯西林	shuanglvxilin
双氯西林钠	shuanglvxilinna
水老虎	shuilaohu
水蔓青	shuimanqing
水霉目	shuimeimu
水黾	shuimin
水蚯蚓	shuiqiuyin
水丝蚓	shuisiyin
水螳螂	shuitanglang
水蜈蚣	shuiwugong
水杨梅	shuiyangmei
水雉	shuizhi
丝虫	sichong
丝帆鱼	sifanyu
四方藤	sifangteng
四眼鱼	siyanyu
四指马鲅	sizhimaba
松鲷	songdiao
松狮犬	songshiquan
松鼠犬	songshuquan
松香脂	songxiangzhi
苏板兰	subanlan
速脲	suniao
梭鲈	suolu
娑罗子	suoluozi
梭鱼	suoyu
蓑羽鹤	suoyuhe
獭祭鱼	tajiyu
酞磺胺噻唑	taihuangansaizuo
泰诺宁康胶囊	tainuoningkangjiaonang
太阳虫	taiyangchong
太阳鱼	taiyangyu
弹涂鱼	tantuyu
烫狗脊	tanggouji
烫骨碎补	tanggusuibu
塘虱鱼	tangshiyu
烫水蛭	tangshuizhi
绦虫	taochong
桃花水母	taohuashuimu
桃金娘根	taojinnianggen
特异性免疫	teyixingmianyi
替卡西林	tikaxilin
甜地丁	tiandiding
天名精	tianmingjing
条石鲷	tiaoshidiao
铁苋菜	tiexiancai
同翅目	tongchimu
铜鱼	tongyu
铜鱼符	tongyufu
头孢孟多	toubaomengduo
头孢米诺钠	toubaominuona
头孢尼西	toubaonixi
头孢羟氨苄	toubaoqianganbian
头孢噻吩钠	toubaosaifenna
头孢噻肟	toubaosaiwo
头孢西丁	toubaoxiding
头孢唑林	toubaozuolin
头孢唑肟	toubaozuowo
头胸甲	touxiongjia
土鳖虫	tubiechong
土党参	tudangshen
土蜂	tufeng
图冈白鲑	tugangbaigui
土霉素碱	tumeisujian
吐铁	tutie
土佐犬	tuzuoquan
驼背白鲑	tuobeibaigui
驼背太阳鱼	tuobeitaiyangyu
脱硫弧菌	tuoliuhujun
网纹石斑鱼	wangwenshibanyu
威尔士激飞猎犬	weiershijifeiliequan
煨柯子	weikezi
委陵菜	weilingcai
微囊藻	weinangzao
煨肉豆蔻	weiroudoukou
微生物制剂	weishengwuzhiji
文鳊	wenbian
吻部	wenbu
文昌鱼	wenchangyu
文鳐鱼	wenyaoyu
文鱼	wenyu
温郁金	wenyujin
涡虫纲	wochonggang
五步蛇	wubushe
五彩搏鱼	wucaiboyu
武昌鱼	wuchangyu
乌翅真鲨	wuchizhensha
乌骨鸡	wuguji
无脊椎动物	wujizhuidongwu
无节幼体	wujieyouti
乌韭	wujiu
乌克兰七鳃鳗	wukelanqisaiman
乌梢蛇	wushaoshe
乌鱼	wuyu
细胞介导免疫	xibaojiedaomianyi
西伯利亚杜父鱼	xiboliyadufuyu
西伯利亚雪橇犬	xiboliyaxueqiaoquan
西河柳	xiheliu
犀角	xijiao
喜乐蒂牧羊犬	xiledimuyangquan
喜马拉雅猫	ximalayamao
西索米星	xisuomixing
西太公鱼	xitaigongyu
狭翅	xiachi
虾蛄	xiagu
鰕虎鱼	xiahuyu
夏卵	xialuan
虾蟹脱壳促长散	xiaxietuoqiaocuchangsan
仙虫	xianchong
线纹海马	xianwenhaima
象鼻	xiangbi
香果脂	xiangguozhi
湘佳	xiangjia
向天盏	xiangtianzhan
香鱼	xiangyu
小白鲑	xiaobaigui
小齿狼鱼	xiaochilangyu
小丑鱼	xiaochouyu
小颚	xiaoe
小飞扬草	xiaofeiyangcao
硝呋烯腙	xiaofuxizong
小海龙	xiaohailong
小红参	xiaohongshen
小黄鱼	xiaohuangyu
小蓟	xiaoji
小猎犬	xiaoliequan
小体鲟	xiaotixun
小通草	xiaotongcao
鸮形目	xiaoxingmu
小野鸡尾	xiaoyejiwei
斜方鱊	xiefangyu
信前期	xinqianqi
星点东方鲀	xingdiandongfangtun
性丝	xingsi
熊胆	xiongdan
胸脊鲨	xiongjisha
萱草根	xuancaogen
旋毛虫	xuanmaochong
血浆蛋白粉	xuejiangdanbaifen
血猎犬	xueliequan
雪鸮	xuexiao
寻血猎犬	xunxueliequan
哑白	yabai
蚜虫	yachong
亚口鱼	yakouyu
雅罗鱼	yaluoyu
鸦青	yaqing
亚速海拟鲤	yasuhainili
亚卫	yawei
牙鳕	yaxue
鸭跖草	yazhicao
亚洲胡瓜鱼	yazhouhuguayu
盐补骨脂	yanbuguzhi
盐车前子	yancheqianzi
眼点丽鱼	yandianliyu
盐杜仲	yanduzhong
盐黄柏	yanhuangbai
眼镜王蛇	yanjingwangshe
盐橘核	yanjuhe
盐荔枝核	yanlizhihe
咽颅	yanlu
盐盘	yanpan
盐沙苑子	yanshayuanzi
眼生翳膜	yanshengyimo
盐酸敌菌净	yansuandijunjing
盐酸二甲弗林	yansuanerjiafulin
盐酸甲烯土霉素	yansuanjiaxitumeisu
盐酸金刚乙胺	yansuanjingangyian
盐酸克仑特罗	yansuankelunteluo
盐酸强力霉素	yansuanqianglimeisu
盐酸肾上腺素	yansuanshenshangxiansu
盐酸四咪唑	yansuansimizuo
盐酸溴已新	yansuanxiuyixin
盐菟丝子	yantusizi
燕尾	yanwei
盐吴茱萸	yanwuzhuyu
盐小茴香	yanxiaohuixiang
盐益智仁	yanyizhiren
盐知母	yanzhimu
胭脂鱼	yanzhiyu
羊耳菊	yangerju
羊肝	yanggan
摇蚊	yaowen
夜光虫	yeguangchong
伊贝母	yibeimu
异刺鲨	yicisha
一叶荻	yiyedi
衣鱼	yiyu
阴地蕨	yindijue
银喉长尾山雀	yinhouchangweishanque
银环蛇	yinhuanshe
银鲫	yinji
银鸥	yinou
银鱼	yinyu
英国猎狐犬	yingguoliehuquan
鹰头鹦鹉	yingtouyingwu
硬头鳟	yingtouzun
缨尾目	yingweimu
营业费用率	yingyefeiyonglv
庸鲽	yongdie
鳙鱼	yongyu
有翅亚纲	youchiyagang
右旋泛酸钠	youxuanfansuanna
有爪纲	youzhaogang
玉带海雕	yudaihaidiao
鱼符	yufu
鱼户	yuhu
鱼甲	yujia
玉桔梗	yujiegeng
玉米纤维	yumixianwei
鱼契	yuqi
雨伞旗鱼	yusanqiyu
鱼素	yusu
玉屑	yuxie
鱼须	yuxu
鱼轩	yuxuan
魣鳕	yuxue
玉印头	yuyintou
羽鼬鳚	yuyouwei
原肠腔	yuanchangqiang
远东多线鱼	yuandongduoxianyu
圆腹雅罗鱼	yuanfuyaluoyu
圆鳍鱼	yuanqiyu
原生动物门	yuanshengdongwumen
原尾目	yuanweimu
月光蝶	yueguangdie
月鱼	yueyu
云斑海猪鱼	yunbanhaizhuyu
云实根	yunshigen
杂色鲍	zasebao
蚱蜢	zhameng
长嘴鱲	zhangzuila
哲罗鱼	zheluoyu
折衷鹦鹉	zhezhongyingwu
珍鲹	zhencan
珍达锥尾鹦鹉	zhendazhuiweiyingwu
珍菊降压片	zhenjujiangyapian
真柱白鲑	zhenzhubaigui
珍珠鱼	zhenzhuyu
正应	zhengying
制白附子	zhibaifuzi
指背	zhibei
炙必甲	zhibijia
稚虫	zhichong
制黄芪	zhihuangqi
制马兜铃	zhimadouling
芝麻螺	zhimaluo
炙杷叶	zhipaye
炙升麻	zhishengma
栉水母	zhishuimu
制天南星	zhitiannanxing
滞育	zhiyu
制远志	zhiyuanzhi
支柱蓼	zhizhuliao
蜘蛛香	zhizhuxiang
蜘蛛蟹	zhizhuxie
中国冠毛犬	zhongguoguanmaoquan
中国沙皮犬	zhongguoshapiquan
中华鲟	zhonghuaxun
中普	zhongpu
螽斯	zhongsi
肘脉	zhoumai
皱鳃鲨	zhousaisha
竹刀鱼	zhudaoyu
