爱之蔓	aizhiman
阿维菌素	aweijunsu
阿月浑子	ayuehunzi
艾虎	aihu
艾氏剂	aishiji
暗绿色	anlvse
安全区	anquanqu
桉叶素	anyesu
凹叶厚朴	aoyehoupu
拔除	bachu
八角	bajiao
霸王	bawang
白斑	baiban
百部碱	baibujian
白刺	baici
白刺花	baicihua
拜耳	baier
白桦	baihua
白僵菌	baijiangjun
百菌清	baijunqing
白蜡树	bailashu
白兰	bailan
白栎	baili
白梨	baili
白柳	bailiu
柏木	baimu
白千层	baiqianceng
白梭梭	baisuosuo
白蚁	baiyi
白蚁科	baiyike
白鼬	baiyou
白榆	baiyu
半翅目	banchimu
斑点	bandian
板栗	banli
斑蝥素	banmaosu
瓣膜	banmo
半月体	banyueti
半知菌	banzhijun
保护剂	baohuji
保幼激素	baoyoujisu
孢子	baozi
背板	beiban
贝尔曼	beierman
被覆	beifu
背负式	beifushi
倍硫磷	beiliulin
背面	beimian
苯达松	bendasong
苯线磷	benxianlin
苯扎溴胺	benzhaxiuan
吡虫啉	bichonglin
蓖麻	bima
蝙蝠蛾	bianfue
扁桃	biantao
编制	bianzhi
编制工作	bianzhigongzuo
鳖甲	biejia
丙草胺	bingcaoan
柄节	bingjie
槟榔	binglang
病原	bingyuan
波尔多液	boerduoye
波罗蜜	boluomi
波状	bozhuang
捕获率	buhuolv
步甲	bujia
菜豆树	caidoushu
残留量	canliuliang
蚕食	canshi
苍耳	canger
苍鹰	cangying
草地螟	caodiming
草甘膦	caoganlin
草胡椒	caohujiao
草蛉	caoling
草麻黄	caomahuang
草原黄鼠	caoyuanhuangshu
侧凹	ceao
侧柏	cebai
侧板	ceban
侧缝	cefeng
侧片	cepian
茶树	chashu
茶条槭	chatiaoqi
柴油	chaiyou
产孢细胞	chanbaoxibao
蝉科	chanke
产卵量	chanluanliang
产卵器	chanluanqi
铲状	chanzhuang
长苞铁杉	changbaotieshan
猖獗	changjue
常量	changliang
车前草	cheqiancao
沉降	chenjiang
沉降系数	chenjiangxishu
撑篙竹	chenggaozhu
柽柳	chengliu
柽柳科	chengliuke
尺蛾	chie
赤腹松鼠	chifusongshu
翅果油树	chiguoyoushu
尺蠖	chihuo
赤松	chisong
赤杨	chiyang
虫孔	chongkong
虫情调查	chongqingdiaocha
重阳木	chongyangmu
臭椿	chouchun
稠李	chouli
除虫菊酯	chuchongjuzhi
除虫脲	chuchongniao
触角	chujiao
初审	chushen
初始	chushi
传播途径	chuanbotujing
川楝	chuanlian
垂柳	chuiliu
春雷霉素	chunleimeisu
纯林	chunlin
春榆	chunyu
刺蛾	cie
刺槐	cihuai
刺楸	ciqiu
刺突	citu
慈竹	cizhu
醋酸铅	cusuanqian
翠柏	cuibai
大避债蛾	dabizhaie
大红斑	dahongban
大林姬鼠	dalinjishu
哒螨灵	damanling
大薸	dapiao
大青杨	daqingyang
大蒜素	dasuansu
大蚊	dawen
大型	daxing
大叶榕	dayerong
大叶小檗	dayexiaobo
代森锰锌	daisenmengxin
蛋白酶	danbaimei
淡色	danse
淡色库蚊	dansekuwen
弹尾目	danweimu
淡竹	danzhu
稻蓟马	daojima
德国拜耳	deguobaier
灯蛾	denge
灯台树	dengtaishu
敌草隆	dicaolong
敌敌畏	didiwei
第二代	dierdai
第六代	diliudai
低容量	dirongliang
第三代	disandai
地势	dishi
狄氏剂	dishiji
第四代	disidai
第五代	diwudai
地下害虫	dixiahaichong
第一代	diyidai
丁草胺	dingcaoan
啶虫脒	dingchongmi
丁醚脲	dingminiao
冬寒菜	donghancai
冬葵	dongkui
冬苋菜	dongxiancai
豆梨	douli
豆娘	douniang
豆象	douxiang
督导	dudao
毒蛾	due
独角仙	dujiaoxian
杜梨	duli
毒死蜱	dusipi
杜松	dusong
杜仲	duzhong
杜仲科	duzhongke
端部	duanbu
端齿	duanchi
短角	duanjiao
椴树科	duanshuke
堆垛	duiduo
盾片	dunpian
多菌灵	duojunling
鹅耳枥	eerli
二苯胺	erbenan
防灾	fangzai
防治机构	fangzhijigou
纺足目	fangzumu
飞机草	feijicao
蜚蠊	feilian
飞扬草	feiyangcao
肥皂荚	feizaojia
粉单竹	fendanzhu
粉蝶	fendie
分脊	fenji
粉剂	fenji
粉状	fenzhuang
凤蝶	fengdie
凤凰木	fenghuangmu
枫香	fengxiang
凤眼蓝	fengyanlan
凤眼莲	fengyanlian
枫杨	fengyang
腹板	fuban
氟虫胺	fuchongan
氟虫腈	fuchongjing
赋分	fufen
氟化钠	fuhuana
复检	fujian
福建柏	fujianbai
跗节	fujie
氟乐灵	fuleling
氟铃脲	fulingniao
辐射松	fushesong
复叶槭	fuyeqi
蜉蝣	fuyou
蜉蝣目	fuyoumu
柑桔	ganju
橄榄	ganlan
高峰期	gaofengqi
高山榕	gaoshanrong
高效	gaoxiao
高扬程	gaoyangcheng
革翅目	gechimu
格木	gemu
葛藤	geteng
革质	gezhi
根肿病	genzhongbing
功夫	gongfu
工商局	gongshangju
拱形	gongxing
枸杞	gouqi
构树	goushu
狗尾草	gouweicao
谷莠子	guyouzi
管壁	guanbi
冠幅	guanfu
观光木	guanguangmu
观赏树木	guanshangshumu
广翅目	guangchimu
光叶榉	guangyeju
广玉兰	guangyulan
桂花	guihua
桂竹	guizhu
含羞草	hanxiucao
貉子	haozi
褐黑色	heheise
合欢	hehuan
核桃	hetao
核桃楸	hetaoqiu
核质	hezhi
黑腹绒鼠	heifurongshu
黑松	heisong
黑杨	heiyang
横带	hengdai
横隔	hengge
横脉	hengmai
横纹	hengwen
横线	hengxian
红椿	hongchun
红豆杉	hongdoushan
红褐	honghe
红厚壳	honghouke
红毛草	hongmaocao
红楠	hongnan
红皮云杉	hongpiyunshan
红杉	hongshan
红松	hongsong
红隼	hongsun
红蜘蛛	hongzhizhu
后部	houbu
厚朴	houpu|houpo
后缘	houyuan
后足	houzu
蝴蝶果	hudieguo
胡蜂	hufeng
槲栎	huli
胡桃科	hutaoke
胡颓子科	hutuizike
胡杨	huyang
胡枝子	huzhizi
划蝽科	huachunke
花甲	huajia
花椒	huajiao
桦木科	huamuke
花楸	huaqiu
花曲柳	huaquliu
华山松	huashansong
滑石粉	huashifen
花鼠	huashu
槐树	huaishu
环状肽	huanzhuangtai
黄檗	huangbo
蝗虫	huangchong
黄连木	huanglianmu
黄栌	huanglu
黄绿色	huanglvse
黄杞	huangqi
黄杉	huangshan
黄鼬	huangyou
黄榆	huangyu
黄樟	huangzhang
蟪蛄	huigu
回归模型	huiguimoxing
回归系数	huiguixishu
灰褐色	huihese
灰绿色	huilvse
喙突	huitu
混用	hunyong
火炬松	huojusong
火力楠	huolinan
火绳树	huoshengshu
藿香蓟	huoxiangji
活性	huoxing
活性成分	huoxingchengfen
襀翅目	jichimu
吉丁虫	jidingchong
几丁质	jidingzhi
姬蜂	jifeng
机构编制	jigoubianzhi
机具	jiju
剂量	jiliang
基区	jiqu
寄蝇	jiying
机油	jiyou
基准线	jizhunxian
甲胺磷	jiaanlin
家白蚁	jiabaiyi
甲虫	jiachong
蛱蝶	jiadie
蛱蝶科	jiadieke
甲磺隆	jiahuanglong
甲萘威	jianaiwei
颊区	jiaqu
甲霜灵	jiashuangling
甲维盐	jiaweiyan
检测管	jianceguan
监测预报	jianceyubao
监测预警	jianceyujing
鉴定	jianding
箭杆杨	jianganyang
监管	jianguan
坚桦	jianhua
坚甲	jianjia
鲣节虫科	jianjiechongke
箭竹	jianzhu
僵虫	jiangchong
角蝉	jiaochan
胶合板	jiaoheban
交合刺	jiaoheci
交合伞	jiaohesan
节间膜	jiejianmo
接种	jiezhong
金龟	jingui
金龟子	jinguizi
金合欢	jinhehuan
金桔	jinju
金钱松	jinqiansong
经济阈值	jingjiyuzhi
胫节	jingjie
腈菌唑	jingjunzuo
精喹禾灵	jingkuiheling
静止期	jingzhiqi
锯成	jucheng
聚类分析	juleifenxi
卷叶	juanye
菌核	junhe
菌落	junluo
君迁子	junqianzi
菌丝	junsi
菌索	junsuo
均匀分布	junyunfenbu
菌株	junzhu
咖啡	kafei
铠甲	kaijia
康宽	kangkuan
抗性	kangxing
克百威	kebaiwei
刻槽	kecao
颗粒剂	keliji
刻纹	kewen
可研	keyan
可研报告	keyanbaogao
坑道	kengdao
空泡	kongpao
苦木科	kumuke
苦参碱	kushenjian
苦参素	kushensu
苦竹	kuzhu
块状	kuaizhuang
矿物油	kuangwuyou
昆虫	kunchong
阔叶箬竹	kuoyeruozhu
辣椒碱	lajiaojian
滥用	lanyong
莨菪碱	langdangjian
榔榆	langyu
乐果	leguo
隶属	lishu
离心管	lixinguan
荔枝	lizhi
联苯菊酯	lianbenjuzhi
链霉素	lianmeisu
鳞翅目	linchimu
磷肥	linfei
林分	linfen
磷化铝	linhualv
磷化氢	linhuaqing
磷化锌	linhuaxin
林间	linjian
林木	linmu
鳞片	linpian
林业局	linyeju
林缘	linyuan
龄期	lingqi
硫磺	liuhuang
流胶	liujiao
柳杉	liushan
流苏树	liusushu
硫酰氟	liuxianfu
龙虱	longshi
龙眼	longyan
龙珠果	longzhuguo
蝼蛄	lougu
落叶松	luoyesong
裸柱菊	luozhuju
绿僵菌	lvjiangjun
麻黄科	mahuangke
马拉硫磷	malaliulin
麻楝	malian
马氏管	mashiguan
马蹄荷	matihe
马尾松	maweisong
马缨丹	mayingdan
麻竹	mazhu
脉翅目	maichimu
麦蛾	maie
麦仙翁	maixianweng
瞒报	manbao
曼陀罗	mantuoluo
莽草	mangcao
芒果	mangguo
毛白杨	maobaiyang
毛翅目	maochimu
茅栗	maoli
毛泡桐	maopaotong
猫尾木	maoweimu
毛竹	maozhu
蜜蜂	mifeng
蜜环菌	mihuanjun
咪鲜胺	mixianan
灭多威	mieduowei
木本花卉	mubenhuahui
目测	muce
木蜂	mufeng
木荷	muhe
木兰	mulan
木莲	mulian
木麻黄	mumahuang
木棉	mumian
木虱	mushi
木油桐	muyoutong
纳他霉素	natameisu
南岭黄檀	nanlinghuangtan
楠木	nanmu
脑激素	naojisu
内含物	neihanwu
内斜	neixie
捻翅目	nianchimu
柠条	ningtiao
宁夏枸杞	ningxiagouqi
牛肋巴	niuleiba
牛奶子	niunaizi
弄蝶	nongdie
农化	nonghua
农药	nongyao
诺普信	nuopuxin
女贞	nvzhen
喷粉	penfen
喷雾	penwu
喷烟	penyan
枇杷	pipa
瓢虫	piaochong
平车前	pingcheqian
苹果	pingguo
苹婆	pingpo
评审	pingshen
坡度	podu
坡垒	polei
婆婆纳	popona
铺地黍	pudishu
匍匐菌丝	pufujunsi
蒲葵	pukui
朴属	pushu
朴树	pushu|poshu
葡萄	putao
蒲桃	putao
蛴螬	qicao
桤木	qimu
漆树	qishu
槭树科	qishuke
茜草	qiancao
前侧	qiance
前伸	qianshen
前胸背板	qianxiongbeiban
前缘	qianyuan
蜣螂	qianglang
鞘翅	qiaochi
壳斗科	qiaodouke
锹甲科	qiaojiake
乔松	qiaosong
氰氨化钙	qinganhuagai
轻度危害	qingduweihai
青蜂	qingfeng
青冈	qinggang
氰化钠	qinghuana
青皮	qingpi
青皮竹	qingpizhu
蜻蜓	qingting
蜻蜓目	qingtingmu
青杨	qingyang
氢氧化铜	qingyanghuatong
青榨槭	qingzhaqi
轻中重	qingzhongzhong
秋枫	qiufeng
楸树	qiushu
驱避剂	qubiji
蠼螋	qusou
取样	quyang
炔螨特	quemante
绕丝	raosi
人工费	rengongfei
人面子	renmianzi
韧皮	renpi
榕树	rongshu
肉桂	rougui
肉瘤	rouliu
乳白色	rubaise
噻虫嗪	saichongqin
赛葵	saikui
噻螨酮	saimantong
噻嗪酮	saiqintong
三尖杉	sanjianshan
三唑磷	sanzuolin
三唑锡	sanzuoxi
桑树	sangshu
森防站	senfangzhan
杀虫脒	shachongmi
沙拐枣	shaguaizao
沙狐	shahu
沙棘	shaji
杀菌剂	shajunji
杀铃脲	shalingniao
杉木	shanmu|shamu
杀扑磷	shapulin
沙枣	shazao
山苍子	shancangzi
山茶花	shanchahua
山合欢	shanhehuan
山核桃	shanhetao
山胡椒	shanhujiao
山荆子	shanjingzi
杉科	shanke
山莨菪碱	shanliangdangjian|shanlangdangjian
山里红	shanlihong
山乌桕	shanwujiu
山香	shanxiang
山楂	shanzha
上半部	shangbanbu
上颚	shange
上颊	shangjia
上缘	shangyuan
稍粗	shaocu
涉木	shemu
蛇婆子	shepozi
深凹	shenao
深褐色	shenhese
深紫色	shenzise
生命表	shengmingbiao
生态效益	shengtaixiaoyi
生有	shengyou
省站	shengzhan
市场前景	shichangqianjing
世代	shidai
世代交替	shidaijiaoti
石蛾	shie
始发期	shifaqi
示范区	shifanqu
石栎	shili
石栗	shili
石榴	shiliu
虱目	shimu
石楠	shinan
实施方案	shishifangan
柿树	shishu
柿树科	shishuke
施药	shiyao
食叶	shiye
虱子	shizi
受体	shouti
树冠	shuguan
树锦鸡儿	shujinjier
鼠李科	shulike
数理统计	shulitongji
衰退	shuaitui
双翅目	shuangchimu
双甲脒	shuangjiami
水胺硫磷	shuianliulin
水薄荷	shuibohe
水葫芦	shuihulu
水花生	shuihuasheng
水茄	shuiqie
水青树	shuiqingshu
水曲柳	shuiquliu
水杉	shuishan
水松	shuisong
水杨酸	shuiyangsuan
水杨酸钠	shuiyangsuanna
松林	songlin
松萝	songluo
酸枣	suanzao
随机取样	suijiquyang
髓心	suixin
台账	taizhang
螳螂	tanglang
体壁	tibi
天蚕	tiancan
天蛾	tiane
天牛	tianniu
天女花	tiannvhua
天山花楸	tianshanhuaqiu
跳虫	tiaochong
跳蚤	tiaozao
铁刀木	tiedaomu
铁甲	tiejia
同翅目	tongchimu
头顶	touding
投药	touyao
突发	tufa
突发性	tufaxing
土蜂	tufeng
土荆芥	tujingjie
土霉素	tumeisu
土壤质地	turangzhidi
秃杉	tushan
土室	tushi
蜕皮激素	tuipijisu
褪色	tuise|tuishai
臀棘	tunji
椭圆形	tuoyuanxing
外衬	waichen
外线	waixian
完整	wanzheng
望天树	wangtianshu
尾端	weiduan
危害	weihai
微环境	weihuanjing
微胶囊	weijiaonang
微小按蚊	weixiaoanwen
文冠果	wenguanguo
无花果	wuhuaguo
无患子	wuhuanzi
乌桕	wujiu
乌榄	wulan
梧桐	wutong
无性孢子	wuxingbaozi
五爪金龙	wuzhaojinlong
戊唑醇	wuzuochun
烯啶虫胺	xidingchongan
细粒	xili
喜食	xishi
喜树	xishu
蟋蟀	xishuai
烯酰吗啉	xixianmalin
细叶小檗	xiyexiaobo
下凹	xiaao
下半部	xiabanbu
狭长	xiachang
下斜	xiaxie
下一世代	xiayishidai
线虫	xianchong
纤维板	xianweiban
线性关系	xianxingguanxi
先正达	xianzhengda
香椿	xiangchun
香根草	xianggencao
相关性	xiangguanxing
橡胶树	xiangjiaoshu
相思树	xiangsishu
香杨	xiangyang
消化道	xiaohuadao
斜面	xiemian
辛硫磷	xinliulin
行道树	xingdaoshu
星天牛	xingtianniu
性信息素	xingxinxisu
雄虫	xiongchong
溴虫腈	xiuchongjing
修订版	xiudingban
溴甲烷	xiujiawan
休眠	xiumian
休眠体	xiumianti
虚报	xubao
悬浮剂	xuanfuji
悬铃木	xuanlingmu
悬铃木科	xuanlingmuke
血根碱	xuegenjian
雪松	xuesong
熏蒸	xunzheng
芽管	yaguan
盐肤木	yanfumu
烟碱	yanjian
氧化亚铜	yanghuayatong
洋梨	yangli
杨柳科	yangliuke
羊蹄	yangti
羊蹄甲	yangtijia
药剂	yaoji
药械	yaoxie
夜蛾科	yeeke
野甘草	yegancao
野核桃	yehetao
叶面	yemian
野蘑菇	yemogu
野兔	yetu
野西瓜苗	yexiguamiao
野燕麦	yeyanmai
椰子	yezi
异丙威	yibingwei
依法治理	yifazhili
乙磷铝	yilinlv
一年蓬	yinianpeng
疫区	yiqu
衣鱼	yiyu
一枝黄花	yizhihuanghua
隐蔽处	yinbichu
银蛾	yine
银合欢	yinhehuan
银桦	yinhua
银胶菊	yinjiaoju
茚三酮	yinsantong
银杏	yinxing
引诱剂	yinyouji
瘿蜂	yingfeng
应急	yingji
应急响应	yingjixiangying
应急预案	yingjiyuan
映山红	yingshanhong
樱桃	yingtao
缨尾目	yingweimu
营造	yingzao
诱捕	youbu
油茶	youcha
有翅亚纲	youchiyagang
油橄榄	youganlan
油剂	youji
有机硅	youjigui
幼林	youlin
柚木	youmu
诱杀	yousha
油杉	youshan
油松	yousong
油酸	yousuan
油桐	youtong
郁闭度	yubidu
预防措施	yufangcuoshi
预防为主	yufangweizhu
余甘子	yuganzi
羽化	yuhua
玉兰	yulan
鱼藤酮	yutengtong
鱼香草	yuxiangcao
圆柏	yuanbai
远端	yuanduan
原生质	yuanshengzhi
原尾目	yuanweimu
越冬	yuedong
云南松	yunnansong
云南油杉	yunnanyoushan
云杉	yunshan
运输费	yunshufei
芸香科	yunxiangke
栽植	zaizhi
皂荚	zaojia
枣树	zaoshu
增殖	zengzhi
蚱蝉	zhachan
蚱蜢	zhameng
樟科	zhangke
蟑螂	zhanglang
樟树	zhangshu
照山白	zhaoshanbai
蛰伏	zhefu
赭褐色	zhehese
柘树	zheshu
针状	zhenzhuang
整改	zhenggai
致病性	zhibingxing
脂肪酶	zhifangmei
脂肪体	zhifangti
质量标准	zhiliangbiaozhun
致死	zhisi
枝桠	zhiya
滞育	zhiyu
中度危害	zhongduweihai
中段	zhongduan
中额	zhonge
中华按蚊	zhonghuaanwen
种群	zhongqun
种群密度	zhongqunmidu
螽斯	zhongsi
中型	zhongxing
中胸	zhongxiong
中胸盾片	zhongxiongdunpian
中胸节	zhongxiongjie
种源	zhongyuan
竹柏	zhubai
主干	zhugan
逐行	zhuhang|zhuxing
竹节虫	zhujiechong
竹象鼻虫	zhuxiangbichong
注药	zhuyao
转节	zhuanjie
锥栗	zhuili
着色力	zhuoseli
紫丁香	zidingxiang
紫红色	zihongse
紫荆	zijing
紫茉莉	zimoli
紫杉	zishan
综合治理	zonghezhili
棕榈	zonglv
钻天杨	zuantianyang
柞蚕	zuocan
作用机理	zuoyongjili
阿波罗	aboluo
巴丹	badan
巴沙	basha
宝路	baolu
北极星	beijixing
大功臣	dagongchen
大生	dasheng
杜尔	duer
飞达	feida
奋斗呐	fendouna
福星	fuxing
果尔	guoer
合力	heli
虎威	huwei
环丙胺	huanbingan
甲草胺	jiacaoan
甲马	jiama
甲氰菊酯	jiaqingjuzhi
金星	jinxing
巨星	juxing
聚乙醛	juyiquan
抗菌剂	kangjunji
抗生素	kangshengsu
快克	kuaike
拉索	lasuo
林丹	lindan
灵福	lingfu
马拉松	malasong
纽瓦克	niuwake
农家宝	nongjiabao
牵牛星	qianniuxing
赛克	saike
赛美特	saimeite
双井	shuangjing
水星	shuixing
速扑杀	supusha
田安	tianan
天王星	tianwangxing
万灵	wanling
万宁	wanning
威霸	weiba
五氯酚钠	wulvfenna
新星	xinxing
氧化乐果	yanghualeguo
应得	yingde
矮化栽培	aihuazaipei
矮化砧	aihuazhen
矮脚蕉	aijiaojiao
矮雪轮	aixuelun
暗管	anguan
氨化	anhua
按件记工	anjianjigong
桉树	anshu
氨水	anshui
铵态氮	antaidan
铵态氮肥	antaidanfei
螯合剂	aoheji
澳洲坚果	aozhoujianguo
巴旦杏	badanxing
耙地	badi
拔节期	bajieqi
耙田	batian
八位位组	baweiweizu
八位字节	baweizijie
巴西木	baximu
八仙花	baxianhua
白斑病	baibanbing
白扁豆	baibiandou
白菜	baicai
白草	baicao
白喉	baihou
白蝴蝶	baihudie
白化	baihua
白兰花	bailanhua
百里香	bailixiang
白米分级	baimifenji
百日草	bairicao
百日菊	bairiju
柏树	baishu
白头翁	baitouweng
半冬性	bandongxing
拌和	banhuo
半寄生物	banjishengwu
半夏	banxia
斑疹伤寒	banzhenshanghan
半支莲	banzhilian
拌种机	banzhongji
报春花	baochunhua
包谷秆	baogugan
雹害	baohai
饱和湿度	baoheshidu
保护地	baohudi
爆粒玉米	baoliyumi
包膜肥料	baomofeiliao
苞片	baopian
曝气池	baoqichi
苞叶	baoye
包衣	baoyi
胞质杂种	baozhizazhong
包装胶带	baozhuangjiaodai
抱子甘蓝	baoziganlan
孢子体	baoziti
被害率	beihailv
本国货币	benguohuobi
苯菌灵	benjunling
本生灯	benshengdeng
避病性	bibingxing
必需元素	bixuyuansu
避役	biyi
边沟	biangou
边际效应	bianjixiaoying
编码员	bianmayuan
变性	bianxing
变异系数	bianyixishu
变异性	bianyixing
标记技术	biaojijishu
表土	biaotu
标准差	biaozhuncha
标准误差	biaozhunwucha
病毒病	bingdubing
饼肥	bingfei
病害	binghai
病害循环	binghaixunhuan
菠菜	bocai
波段	boduan
薄荷	bohe
播量	boliang
菠萝	boluo
菠萝蜜	boluomi
薄壳	boqiao
波斯菊	bosiju
播种机	bozhongji
波状热	bozhuangre
捕虫	buchong
捕虫网	buchongwang
布告牌	bugaopai
补贴资金	butiezijin
不育性	buyuxing
补助金	buzhujin
擦米	cami
擦鞋童	caxietong
菜瓜	caigua
菜螟	caiming
菜薹	caitai
菜园	caiyuan
采摘期	caizhaiqi
菜籽油	caiziyou
蚕蛾	cane
残留	canliu
参数	canshu
草甸	caodian
草甘磷	caoganlin
草灵	caoling
草莓	caomei
糙米	caomi
草棉	caomian
草木灰	caomuhui
草木樨	caomuxi
草坪栽植	caopingzaizhi
草田轮作	caotianlunzuo
草乌	caowu
操纵子	caozongzi
测交	cejiao
测距器	cejuqi
测验	ceyan
茶短须螨	chaduanxuman
茶二叉蚜	chaerchaya
茶角蜡蚧	chajiaolajie
插接	chajie
插苗	chamiao
查票员	chapiaoyuan
茶梢蛀蛾	chashaozhue
茶园	chayuan
茶皂素	chazaosu
产量模式	chanliangmoshi
长柄锤	changbingchui
长春花	changchunhua
常春藤	changchunteng
常年包工	changnianbaogong
长日照	changrizhao
长日照型	changrizhaoxing
长山核桃	changshanhetao
长椭圆形	changtuoyuanxing
长效	changxiao
偿债基金	changzhaijijin
超低温	chaodiwen
超滤	chaolv
超亲遗传	chaoqinyichuan
超亲优势	chaoqinyoushi
炒青	chaoqing
潮土	chaotu
朝鲜蓟	chaoxianji
沉积物	chenjiwu
柽麻	chengma
成批处理	chengpichuli
成熟期	chengshuqi
程序编制	chengxubianzhi
赤霉素	chimeisu
齿耙	chipa
重茬	chongcha
重叠	chongdie
重复	chongfu
冲积扇	chongjishan
冲积土	chongjitu
虫瘿	chongying
虫源	chongyuan
重组子	chongzuzi
抽样	chouyang
除草剂	chucaoji
锄地	chudi
初花	chuhua
初级产品	chujichanpin
雏菊	chuju
处理	chuli
处理部件	chulibujian
初侵染	chuqinran
触杀剂	chushaji
处暑	chushu
初霜	chushuang
出芽	chuya
储运	chuyun
传播	chuanbo
穿孔	chuankong
穿孔纸带	chuankongzhidai
川楝素	chuanliansu
传统农业	chuantongnongye
穿透深度	chuantoushendu
穿心莲	chuanxinlian
创办资本	chuangbanziben
莼菜	chuncai
纯氮	chundan
春化	chunhua
春兰	chunlan
春性	chunxing
春玉米	chunyumi
纯种马	chunzhongma
磁存储器	cicunchuqi
刺儿菜	ciercai
慈菇	cigu
慈姑	cigu
刺梨	cili
雌蕊	cirui
磁选	cixuan
葱头	congtou
醋粟	cusu
醋酸盐	cusuanyan
粗纤维	cuxianwei
催化剂	cuihuaji
翠菊	cuiju
催芽	cuiya
存活曲线	cunhuoquxian
村民小组	cunminxiaozu
大白菜	dabaicai
大波斯菊	dabosiju
大刺儿菜	daciercai
大葱	dacong
大村	dacun
大豆油	dadouyou
大对虾	daduixia
大海鲢	dahailian
大寒	dahan
大丽花	dalihua
大菱鲆	dalingping
大麦	damai
打麦	damai
大气	daqi
大气窗	daqichuang
大气监测	daqijiance
大气污染	daqiwuran
大气质量	daqizhiliang
大暑	dashu
大田	datian
大叶黄杨	dayehuangyang
大雨	dayu
大众报纸	dazhongbaozhi
大竺葵	dazhukui
代代花	daidaihua
带毒者	daiduzhe
袋口	daikou
带土	daitu
带职	daizhi
丹毒	dandu
单峰驼	danfengtuo
氮固持	danguchi
氮矿化	dankuanghua
单粒传法	danlichuanfa
单式簿记	danshibuji
氮损失	dansunshi
氮循环	danxunhuan
氮源	danyuan
氮周转	danzhouzhuan
担子菌	danzijun
倒春寒	daochunhan
刀豆	daodou
倒挂金钟	daoguajinzhong
倒捻子	daonianzi
导热率	daorelv
稻田养鱼	daotianyangyu
稻瘿蚊	daoyingwen
等地温线	dengdiwenxian
登海	denghai
灯笼花	denglonghua
等温线	dengwenxian
灯芯草	dengxincao
灯心草	dengxincao
地丁	diding
滴定管	didingguan
低酚棉	difenmian
