阿贝聚光镜	abeijuguangjing
安科海绵铁粉	ankehaimiantiefen
胺类	anlei
胺类萃取剂	anleicuiquji
胺类化合物	anleihuahewu
胺类溶剂	anleirongji
氨冷冻剂	anlengdongji
氨冷凝器	anlengningqi
氨冷却管	anlengqueguan
氨冷却器	anlengqueqi
氨离解	anlijie
氨离解分离器	anlijiefenliqi
氨离解器	anlijieqi
按量分配室	anliangfenpeishi
按量规加工	anliangguijiagong
暗亮煤型	anliangmeixing
暗裂纹	anliewen
按列相加程序	anliexiangjiachengxu
氨络	anluo
氨络合物	anluohewu
氨络物	anluowu
氨络物溶液	anluowurongye
暗冒口	anmaokou
暗煤型	anmeixing
氨明矾	anmingfan
暗镍蛇纹石	annieshewenshi
按钮操纵	anniucaozong
按钮开关	anniukaiguan
按钮控制板	anniukongzhiban
按钮控制卸料	anniukongzhixieliao
按钮式操纵器	anniushicaozongqi
按钮罩	anniuzhao
安诺石	annuoshi
安培度量	anpeiduliang
安培计分流器	anpeijifenliuqi
暗配线	anpeixian
安培小时定额	anpeixiaoshidinge
氨气洗涤器	anqixidiqi
氨气压缩机	anqiyasuoji
鞍桥	anqiao
安全棒	anquanbang
安全标准	anquanbiaozhun
安全玻璃	anquanboli
安全操作温度	anquancaozuowendu
安全程度	anquanchengdu
安全挡板	anquandangban
安全灯照明	anquandengzhaoming
安全垫	anquandian
安全点火装置	anquandianhuozhuangzhi
安全电缆	anquandianlan
安全阀	anquanfa
安全阀接口	anquanfajiekou
安全阀螺母	anquanfaluomu
安全阀座	anquanfazuo
安全范围	anquanfanwei
安全防爆装置	anquanfangbaozhuangzhi
安全分离钩	anquanfenligou
安全负载	anquanfuzai
安全杆	anquangan
安全拱	anquangong
安全工程	anquangongcheng
安全工作温度	anquangongzuowendu
安全工作应力	anquangongzuoyingli
安全钩	anquangou
安全盒	anquanhe
安全荷载	anquanhezai
安全继电器	anquanjidianqi
安全技术	anquanjishu
安全技术措施	anquanjishucuoshi
安全技术条件	anquanjishutiaojian
安全极限	anquanjixian
安全加热极限	anquanjiarejixian
安全间隙	anquanjianxi
安全界限	anquanjiexian
安全臼	anquanjiu
安全联锁	anquanliansuo
安全联锁装置	anquanliansuozhuangzhi
安全联轴器	anquanlianzhouqi
安全零件	anquanlingjian
安全螺旋	anquanluoxuan
安全排气阀	anquanpaiqifa
安全屏	anquanping
安全熔断器	anquanrongduanqi
安全设计程序	anquanshejichengxu
安全寿命	anquanshouming
安全索	anquansuo
安全弹簧	anquantanhuang
安全条例	anquantiaoli
安全通风道	anquantongfengdao
安全隙	anquanxi
安全旋塞	anquanxuansai
安全因数	anquanyinshu
安全应力	anquanyingli
安全渣口	anquanzhakou
安全渣口塞	anquanzhakousai
安全罩	anquanzhao
安全指标	anquanzhibiao
安全止动螺灯	anquanzhidongluodeng
安全重量	anquanzhongliang
安全装	anquanzhuang
安全装置	anquanzhuangzhi
按日计工	anrijigong
胺溶剂	anrongji
胺溶液	anrongye
暗色浸蚀区	ansejinshiqu
暗色煤	ansemei
暗色碎片	ansesuipian
岸砂	ansha
按时测量	anshiceliang
暗视场	anshichang
暗视场法	anshichangfa
暗视场反射法	anshichangfanshefa
暗视场观察	anshichangguancha
暗视场像	anshichangxiang
暗视场照明器	anshichangzhaomingqi
暗室灯	anshideng
安时计	anshiji
按湿量	anshiliang
安时容量	anshirongliang
暗室设备	anshishebei
鞍式运输机	anshiyunshuji
鞍式支座	anshizhizuo
暗数导线	anshudaoxian
氨水溶液	anshuirongye
胺酸	ansuan
氨碳共渗	antangongshen
按碳含量出钢	antanhanliangchugang
铵梯炸药	antizhayao
铵铁矾	antiefan
按位计算	anweijisuan
安息坡	anxipo
暗线光谱	anxianguangpu
暗线装置系统	anxianzhuangzhixitong
暗箱长度	anxiangchangdu
按项目前进	anxiangmuqianjin
鞍形板	anxingban
鞍形步进梁	anxingbujinliang
鞍形存放卷座	anxingcunfangjuanzuo
鞍形键	anxingjian
鞍形件	anxingjian
鞍形卷座	anxingjuanzuo
鞍形连接	anxinglianjie
鞍形量规	anxinglianggui
鞍型汽缸座	anxingqigangzuo
鞍形曲线	anxingquxian
鞍形物	anxingwu
鞍形座	anxingzuo
氨熏晒图	anxunshaitu
氨压计	anyaji
胺盐	anyan
按样板加工	anyangbanjiagong
氨液浸出	anyejinchu
暗樱红热	anyinghongre
暗樱红色	anyinghongse
铵油炸药	anyouzhayao
按月检查	anyuejiancha
按照事实本身	anzhaoshishibenshen
氨蒸馏加料槽	anzhengliujialiaocao
氨蒸馏器	anzhengliuqi
氨蒸馏柱	anzhengliuzhu
安置初始值	anzhichushizhi
安置刚性箍筋	anzhigangxinggujin
氨质气氛	anzhiqifen
安置轧辊	anzhizhagun
按重量配料	anzhongliangpeiliao
暗中破坏者	anzhongpohuaizhe
安装材料	anzhuangcailiao
安装垂度	anzhuangchuidu
安装地点	anzhuangdidian
安装费用	anzhuangfeiyong
安装规程	anzhuangguicheng
安装焊工	anzhuanghangong
安装技术员	anzhuangjishuyuan
安装夹具	anzhuangjiaju
安装孔	anzhuangkong
安装连接	anzhuanglianjie
安装螺栓	anzhuangluoshuan
安装能力	anzhuangnengli
安装人员	anzhuangrenyuan
安装设计	anzhuangsheji
安装时间	anzhuangshijian
安装试验	anzhuangshiyan
安装台	anzhuangtai
安装头	anzhuangtou
安装图样	anzhuangtuyang
安装误差	anzhuangwucha
安装系统图	anzhuangxitongtu
安装用夹具	anzhuangyongjiaju
安装用起重机	anzhuangyongqizhongji
安装用起重架	anzhuangyongqizhongjia
安装用人字架	anzhuangyongrenzijia
安装原处	anzhuangyuanchu
安装者	anzhuangzhe
安装组合件	anzhuangzuhejian
鞍座轭	anzuoe
鞍座形步进梁	anzuoxingbujinliang
凹刨	aobao
凹刨刨刀	aobaobaodao
凹边	aobian
凹边锉	aobiancuo
凹边方孔型	aobianfangkongxing
凹边方形	aobianfangxing
凹槽	aocao
凹碴床	aochachuang
凹冲模	aochongmu
凹底椭圆孔型	aodituoyuankongxing
凹锭夹钳	aodingjiaqian
奥顿测温锥	aoduncewenzhui
奥厄发火合金	aoefahuohejin
凹缝焊接	aofenghanjie
凹辊环	aogunhuan
螯合萃取	aohecuiqu
螯合滴定	aohediding
螯合物	aohewu
螯合物萃取	aohewucuiqu
螯合物树脂	aohewushuzhi
凹角焊	aojiaohan
奥卡铸造黄铜	aokazhuzaohuangtong
奥克潘	aokepan
奥克特油	aoketeyou
凹坑表面缺陷	aokengbiaomianquexian
奥雷德黄铜	aoleidehuangtong
奥雷德镍黄铜	aoleideniehuangtong
奥利弗隔膜泵	aolifugemobeng
奥利弗滤器	aolifulvqi
奥立恰尔黄铜	aoliqiaerhuangtong
奥利特合金	aolitehejin
奥罗万方程	aoluowanfangcheng
奥罗万效应	aoluowanxiaoying
凹帽头	aomaotou
奥米伽螺纹	aomijialuowen
凹面	aomian
凹面承坯架	aomianchengpijia
凹面对焊	aomianduihan
凹面反射器	aomianfansheqi
凹面防护圆盘	aomianfanghuyuanpan
凹面辊	aomiangun
凹面焊缝	aomianhanfeng
凹面坯块	aomianpikuai
凹面轧辊	aomianzhagun
凹模	aomo
凹模固定板	aomogudingban
凹模拉延	aomolayan
奥内拉铬化法	aoneilagehuafa
凹腔型	aoqiangxing
凹球面铝阴极	aoqiumianlvyinji
凹曲度	aoqudu
奥萨特分析法	aosatefenxifa
奥氏体	aoshiti
奥氏体不锈钢	aoshitibuxiugang
奥氏体成分	aoshitichengfen
奥氏体分解	aoshitifenjie
奥氏体合金	aoshitihejin
奥氏体化	aoshitihua
奥氏体化处理	aoshitihuachuli
奥氏体化炉	aoshitihualu
奥氏体化温度	aoshitihuawendu
奥氏体回火钢	aoshitihuihuogang
奥氏体基体	aoshitijiti
奥氏体晶界	aoshitijingjie
奥氏体晶粒	aoshitijingli
奥氏体晶粒度	aoshitijinglidu
奥氏体锰钢	aoshitimenggang
奥氏体耐热钢	aoshitinairegang
奥氏体区	aoshitiqu
奥氏体区域	aoshitiquyu
奥氏体生铁	aoshitishengtie
奥氏体时效	aoshitishixiao
奥氏体时效钢	aoshitishixiaogang
奥氏体退火	aoshitituihuo
奥氏体稳定剂	aoshitiwendingji
奥氏体细晶粒	aoshitixijingli
奥氏体形变	aoshitixingbian
奥氏体再结晶	aoshitizaijiejing
奥氏体铸铁	aoshitizhutie
奥氏体状态	aoshitizhuangtai
奥氏体组织	aoshitizuzhi
奥氏蒸馏塔	aoshizhengliuta
奥斯蒙铁	aosimengtie
奥斯体范围	aositifanwei
奥斯汀式坝	aositingshiba
奥特钢联	aoteganglian
凹铜	aotong
凹头螺钉	aotouluoding
凹凸透镜	aotutoujing
奥托式焦炉	aotuoshijiaolu
奥托铜锡合金	aotuotongxihejin
凹线辊型	aoxiangunxing
凹陷露天矿	aoxianlutiankuang
凹形板尾	aoxingbanwei
凹形反射面	aoxingfanshemian
凹形辊身	aoxinggunshen
螯形化合物	aoxinghuahewu
凹形剪	aoxingjian
凹形角焊	aoxingjiaohan
凹穴	aoxue
凹衍射光栅	aoyansheguangshan
凹圆接缝	aoyuanjiefeng
凹座	aozuo
拔棒	babang
耙臂	babi
巴比合金	babihejin
巴比合金层	babihejinceng
巴比合金轴承	babihejinzhoucheng
耙柄	babing
钯铂精矿	babojingkuang
拔长	bachang
拔长锻造	bachangduanzao
拔长模槽	bachangmocao
把持筒	bachitong
八寸轧辊轴	bacunzhagunzhou
八单位码	badanweima
拔道钉机	badaodingji
靶电极	badianji
八叠板	badieban
扒钉	bading
拔钉斧	badingfu
坝顶栏墙	badinglanqiang
拔锭起重机	badingqizhongji
拔钉钳	badingqian
拔动杆	badonggan
耙动机构	badongjigou
耙斗装载机	badouzhuangzaiji
八垛式炉台	baduoshilutai
巴尔巴相似律	baerbaxiangsilv
巴尔末系列	baermoxilie
耙杆	bagan
疤钢	bagang
钯隔板检漏器	bagebanjianlouqi
钯铬黑	bagehei
巴格利法	bagelifa
拔根机	bagenji
钯汞齐	bagongqi
拔管小车	baguanxiaoche
钯黑	bahei
拔火	bahuo
拔火棒	bahuobang
拔火孔	bahuokong
坝基截水墙槽	bajijieshuiqiangcao
靶极金属	bajijinshu
耙架	bajia
八价	bajia
靶加热器	bajiareqi
八角棒材	bajiaobangcai
八角钢	bajiaogang
八角管底	bajiaoguandi
坝脚抛石	bajiaopaoshi
八角体	bajiaoti
八角型钢	bajiaoxinggang
钯金合金	bajinhejin
八进位法	bajinweifa
八进制计数法	bajinzhijishufa
巴科尔硬度计	bakeeryingduji
巴克豪森效应	bakehaosenxiaoying
靶可换阳极	bakehuanyangji
耙矿巷道	bakuanghangdao
耙矿装置	bakuangzhuangzhi
巴拉斯金刚石	balasijingangshi
拔拉阻力	balazuli
巴雷特作用	baleitezuoyong
扒料	baliao
拔料板	baliaoban
耙料机	baliaoji
拔料机	baliaoji
耙料器	baliaoqi
巴林比重计	balinbizhongji
巴林浮计	balinfuji
巴林杰湿度计	balinjieshiduji
八流连铸机	baliulianzhuji
八流连铸设备	baliulianzhushebei
扒炉	balu
耙路机	baluji
靶面	bamian
八面石	bamianshi
八面体变形	bamiantibianxing
八面体粉粒	bamiantifenli
八面体滑移	bamiantihuayi
八面体间隙	bamiantijianxi
八面体剪应力	bamiantijianyingli
八面体空位	bamiantikongwei
八面体空隙	bamiantikongxi
八面体空穴	bamiantikongxue
八面体面	bamiantimian
八面体铁矿	bamiantitiekuang
八面体位置	bamiantiweizhi
八面体座	bamiantizuo
靶面污染	bamianwuran
拔模	bamo
拔模角	bamojiao
拔模外斜度	bamowaixiedu
拔模斜度	bamoxiedu
巴尼特效应	banitexiaoying
疤皮	bapi
扒平	baping
靶平面	bapingmian
耙式分级机	bashifenjiji
耙式分级器	bashifenjiqi
耙式混合器	bashihunheqi
耙式浓缩机	bashinongsuoji
巴氏硬度计	bashiyingduji
八水合刊酸钴	bashuihekansuangu
拔丝包装装置	basibaozhuangzhuangzhi
拔丝车间	basichejian
巴思脆性白铜	basicuixingbaitong
拔丝冷却剂	basilengqueji
钯酸	basuan
巴索测深器	basuoceshenqi
巴索平炉	basuopinglu
巴塔克跳汰机	bataketiaotaiji
巴特海军黄铜	batehaijunhuangtong
巴特勒	batele
巴特利	bateli
耙提升装置	batishengzhuangzhi
扒铁晶过早	batiejingguozao
钯铜合金	batonghejin
耙土机	batuji
八位位组	baweiweizu
巴西褐铁矿	baxihetiekuang
巴西裂试验	baxilieshiyan
巴西特生铁法	baxiteshengtiefa
巴西棕榈酸	baxizonglvsuan
拔线原理	baxianyuanli
拔销角	baxiaojiao
靶型流量计	baxingliuliangji
钯银合金	bayinhejin
八隅	bayu
八隅体	bayuti
靶原子	bayuanzi
扒渣	bazha
扒渣耙	bazhaba
扒渣棒	bazhabang
扒渣并造渣	bazhabingzaozha
扒渣侧	bazhace
扒渣口	bazhakou
扒渣期	bazhaqi
扒渣勺	bazhashao
八张迭轧	bazhangdieya
拔爪移送机	bazhaoyisongji
拔制钢	bazhigang
靶至胶片距离	bazhijiaopianjuli
八重线	bazhongxian
扒中渣	bazhongzha
钯轴承合金	bazhouchenghejin
靶子部件	bazibujian
靶子过热	baziguore
靶子面积	bazimianji
靶子热耗	bazirehao
八字试块	bazishikuai
百磅重	baibangzhong
白冰铜	baibingtong
白层	baiceng
白炽带	baichidai
白炽灯泡	baichidengpao
白炽灯丝	baichidengsi
白炽光	baichiguang
摆锤粘度计	baichuinianduji
摆锤式磨机	baichuishimoji
摆锤式粘度计	baichuishinianduji
摆锤塑度计	baichuisuduji
白碲金矿	baidijinkuang
白点钢	baidiangang
白点敏感性	baidianminganxing
摆动齿轮	baidongchilun
摆动幅度	baidongfudu
摆动负载	baidongfuzai
摆动杆	baidonggan
摆动缸	baidonggang
摆动角	baidongjiao
摆动犁铧	baidonglihua
摆动力偶	baidongliou
摆动连杆导轨	baidongliangandaogui
摆动流槽	baidongliucao
摆动溜槽	baidongliucao
摆动流嘴	baidongliuzui
摆动面	baidongmian
摆动粘度计	baidongnianduji
摆动盘法	baidongpanfa
摆动汽缸	baidongqigang
摆动曲柄	baidongqubing
摆动曲柄装置	baidongqubingzhuangzhi
摆动升降台	baidongshengjiangtai
摆动式布料器	baidongshibuliaoqi
摆动式储料台	baidongshichuliaotai
摆动示法	baidongshifa
摆动式给料机	baidongshigeiliaoji
摆动式联样器	baidongshilianyangqi
摆动式流槽	baidongshiliucao
摆动式炉	baidongshilu
摆动式排烟罩	baidongshipaiyanzhao
摆动式圆锯	baidongshiyuanju
摆动式运输机	baidongshiyunshuji
摆动式闸门	baidongshizhamen
摆动随动件	baidongsuidongjian
摆动台	baidongtai
摆动调节器	baidongtiaojieqi
摆动箱体	baidongxiangti
摆动星轮	baidongxinglun
摆动压缸	baidongyagang
摆动圆锯机	baidongyuanjuji
摆动辗压	baidongzhanya
摆动值	baidongzhi
摆动支座	baidongzhizuo
摆动轴	baidongzhou
摆动轴承	baidongzhoucheng
摆动周期	baidongzhouqi
摆锻锤头	baiduanchuitou
摆锻机	baiduanji
白断口	baiduankou
白垩灰浆	baiehuijiang
白垩涂层试验	baietucengshiyan
拜耳法	baierfa
拜耳法溶液	baierfarongye
拜尔培层	baierpeiceng
拜耳石	baiershi
拜耳体	baierti
百分比测试	baifenbiceshi
百分比分析	baifenbifenxi
百分比率	baifenbilv
百分位数	baifenweishu
百分温标	baifenwenbiao
百分温度	baifenwendu
百分温度计	baifenwenduji
白辐射	baifushe
白坩埚	baiganguo
白钢车刀	baigangchedao
柏格哈特指数	baigehatezhishu
柏格斯回路	baigesihuilu
柏格斯矢量	baigesishiliang
柏格斯位错	baigesiweicuo
白光照明	baiguangzhaoming
白硅石	baiguishi
白合金	baihejin
败坏现象	baihuaixianxiang
白金杯	baijinbei
白金箔	baijinbo
白金坩埚	baijinganguo
白金钢	baijingang
柏金罕定理	baijinhandingli
白金焊料	baijinhanliao
白金皿	baijinmin
白金首饰合金	baijinshoushihejin
白金线圈	baijinxianquan
白金域埚	baijinyuguo
摆锯	baiju
白口生铁	baikoushengtie
白口铁铸件	baikoutiezhujian
白口铸铁	baikouzhutie
白锍	bailiu
摆轮式混砂机	bailunshihunshaji
白氯铅矿	bailvqiankuang
白煤生铁	baimeishengtie
柏纳耳图表	bainaertubiao
白泥浆	bainijiang
白粘土	bainiantu
白铍石	baipishi
摆频振荡器	baipinzhendangqi
白铅粉	baiqianfen
白铅矿	baiqiankuang
白铅油漆	baiqianyouqi
白青铜	baiqingtong
白热丝	bairesi
白热温度	bairewendu
白色代银合金	baisedaiyinhejin
白色氮化物层	baisedanhuawuceng
白色光亮金属	baiseguangliangjinshu
白色合金	baisehejin
白色浸蚀区域	baisejinshiquyu
白色金银合金	baisejinyinhejin
白色水泥	baiseshuini
白色锈层	baisexiuceng
白蛇纹石	baishewenshi
摆式安全器	baishianquanqi
摆式冲击试验	baishichongjishiyan
摆式磁强计	baishiciqiangji
摆式打桩机	baishidazhuangji
摆式给矿机	baishigeikuangji
摆式给料器	baishigeiliaoqi
摆式加热器	baishijiareqi
摆式加速表	baishijiasubiao
摆式剪	baishijian
摆式锯	baishiju
白石墨	baishimo
摆式取样器	baishiquyangqi
摆式热锯	baishireju
摆式塑性计	baishisuxingji
摆式压力块	baishiyalikuai
白石英	baishiying
摆式硬度试验	baishiyingdushiyan
摆式轧机	baishizhaji
摆式撞击硬度	baishizhuangjiyingdu
白刷料	baishualiao
白丝状石棉	baisizhuangshimian
白酸洗	baisuanxi
白铁矿	baitiekuang
白铜	baitong
白透辉石	baitouhuishi
白退火	baituihuo
百万兆百亿亿	baiwanzhaobaiyiyi
白钨矿	baiwukuang
白钨矿分解器	baiwukuangfenjieqi
摆线式分选机	baixianshifenxuanji
摆线式旋流器	baixianshixuanliuqi
摆线凸轮	baixiantulun
白心可锻铸铁	baixinkeduanzhutie
白锈	baixiu
白锈腐蚀	baixiufushi
白药	baiyao
百页卷折机	baiyejuanzheji
白银炼铜法	baiyinliantongfa
柏油混凝土	baiyouhunningtu
柏油毡	baiyouzhan
白云母	baiyunmu
白云石	baiyunshi
白云石车间	baiyunshichejian
白云石煅烧窑	baiyunshiduanshaoyao
白云石粉	baiyunshifen
白云石粉末	baiyunshifenmo
白云石灰岩	baiyunshihuiyan
白云石加球团	baiyunshijiaqiutuan
白云石矿	baiyunshikuang
白云石离心机	baiyunshilixinji
白云石喷补器	baiyunshipenbuqi
白云石喷枪	baiyunshipenqiang
白云石砌块	baiyunshiqikuai
白云石熔剂	baiyunshirongji
白云石砂	baiyunshisha
白云石石灰	baiyunshishihui
白云石投射机	baiyunshitousheji
白云石质材料	baiyunshizhicailiao
白云石质铬砖	baiyunshizhigezhuan
白云石砖	baiyunshizhuan
白渣	baizha
白渣熔炼	baizharonglian
摆振	baizhen
摆轴精研机	baizhoujingyanji
摆柱	baizhu
白铸铁	baizhutie
白砖体	baizhuanti
半安定白硅石	banandingbaiguishi
半奥式体钢	banaoshitigang
半奥氏体钢	banaoshitigang
斑疤	banba
班疤	banba
班报表	banbaobiao
半焙烧	banbeishao
半杯形断口	banbeixingduankou
半闭路收尘器	banbilushouchenqi
半闭式锭模	banbishidingmu
半闭式叶轮	banbishiyelun
板边加工机床	banbianjiagongjichuang
半波	banbo
半波长	banbochang
半波单元	banbodanyuan
半波辐射器	banbofusheqi
半波元件	banboyuanjian
半波振子	banbozhenzi
半波整流电路	banbozhengliudianlu
半不锈钢	banbuxiugang
板材刨边机	bancaibaobianji
板材边棱刨床	bancaibianlengbaochuang
板材标号	bancaibiaohao
板材冲床	bancaichongchuang
板材冲压件	bancaichongyajian
板材倒角机	bancaidaojiaoji
板材倒棱机	bancaidaolengji
板材剪切机	bancaijianqieji
板材矫正机	bancaijiaozhengji
板材精整机	bancaijingzhengji
板材精整跨	bancaijingzhengkua
板材开裂	bancaikailie
板材劈裂	bancaipilie
板材热矫直机	bancairejiaozhiji
板材试验	bancaishiyan
板材弯边机	bancaiwanbianji
板材弯曲塑性	bancaiwanqusuxing
板材轧辊	bancaizhagun
板材轧机	bancaizhaji
板材轧机机座	bancaizhajijizuo
板材粘辊	bancaizhangun
板材折叠	bancaizhedie
班产量	banchanliang
半成品钢	banchengpingang
半成品丝材	banchengpinsicai
半成品压力机	banchengpinyaliji
半成品轧材	banchengpinzhacai
半成品轧钢机	banchengpinzhagangji
半成品轧机	banchengpinzhaji
板成型	banchengxing
半充满能带	banchongmannengdai
半冲填坝	banchongtianba
半穿式公路	banchuanshigonglu
板村拉伸	bancunlashen
半搭连接	bandalianjie
板带式运输机	bandaishiyunshuji
半当量溶液	bandangliangrongye
半导电性	bandaodianxing
半导体材料	bandaoticailiao
半导体单晶	bandaotidanjing
半导体二级管	bandaotierjiguan
半导体工业	bandaotigongye
半导体合金	bandaotihejin
半导体激光	bandaotijiguang
半导体计数器	bandaotijishuqi
半导体结	bandaotijie
半导体晶体	bandaotijingti
半导体器件	bandaotiqijian
半导体热电堆	bandaotirediandui
半导体四极管	bandaotisijiguan
半导体冶金	bandaotiyejin
半导体应变片	bandaotiyingbianpian
半低架式机组	bandijiashijizu
半地下式设备	bandixiashishebei
斑点表皮组织	bandianbiaopizuzhi
半电池	bandianchi
半电池电势	bandianchidianshi
半电池电位	bandianchidianwei
半电池反应	bandianchifanying
斑点断口铁	bandianduankoutie
斑点腐蚀	bandianfushi
斑点模糊	bandianmohu
斑点衍射花样	bandianyanshehuayang
斑点坐标读数	bandianzuobiaodushu
板叠翻转机	bandiefanzhuanji
板叠分开掀板	bandiefenkaixianban
半蝶式孔型	bandieshikongxing
半定量法	bandingliangfa
半定量分析	bandingliangfenxi
扳动装置	bandongzhuangzhi
半读出脉冲	banduchumaichong
半对称晶体	banduichenjingti
半对称形	banduichenxing
半对数坐标图	banduishuzuobiaotu
板垛	banduo
板垛高度	banduogaodu
板垛重量	banduozhongliang
板阀	banfa
瓣阀	banfa
半发光涂层	banfaguangtuceng
瓣阀式密封	banfashimifeng
板放机构	banfangjigou
半肥型砂	banfeixingsha
半风	banfeng
半缝	banfeng
半封闭炉	banfengbilu
半缝式缩缝	banfengshisuofeng
半浮式轴	banfushizhou
半幅阻尼	banfuzuni
半干法成型	banganfachengxing
半干粘土器皿	banganniantuqimin
半钢	bangang
板刚度	bangangdu
半刚性结合	bangangxingjiehe
半钢铸件	bangangzhujian
半割阶	bangejie
半隔焰炉	bangeyanlu
半供电压原则	bangongdianyayuanze
半共格界面	bangonggejiemian
半工业规模	bangongyeguimo
半工业试验	bangongyeshiyan
半工业试验塔	bangongyeshiyanta
半工业试验柱	bangongyeshiyanzhu
半工业性规模	bangongyexingguimo
半工业性试验	bangongyexingshiyan
半工业装置	bangongyezhuangzhi
半固定层	bangudingceng
半固定床	bangudingchuang
半管形铆钉	banguanxingmaoding
半光亮涂层	banguangliangtuceng
半光制垫圈	banguangzhidianquan
半贵金属	banguijinshu
半硅酸盐	banguisuanyan
半硅酸渣	banguisuanzha
半硅质耐才料	banguizhinaicailiao
半硅砖	banguizhuan
拌合槽	banhecao
拌合计数器	banhejishuqi
拌合器	banheqi
半厚	banhou
板厚	banhou
