abuzhabi 阿布扎比
aomiaowuqiong 奥妙无穷
aorantingli 傲然挺立
aorenzhiao 澳人治澳
aosikajiang 奥斯卡奖
aotubuping 凹凸不平
aoxuelingshuang 傲雪凌霜
aoyoutaikong 遨游太空
apalaqi 阿帕拉契
asaibaijiang 阿塞拜疆
asensongdao 阿森松岛
asibatian 阿斯巴甜
asipilin 阿司匹林
asitana 阿斯塔纳
atelasi 阿特拉斯
aximofu 阿西莫夫
babaduosi 巴巴多斯
babamama 爸爸妈妈
badahutong 八大胡同
badashanren 八大山人
badierqi 拔地而起
baerdimo 巴尔的摩
baerzhake 巴尔扎克
bafaliya 巴伐利亚
bafenyinfu 八分音符
baguolianjun 八国联军
bahebisai 拔河比赛
baibaijingjing 白白净净
baichuanguihai 百川归海
baidubuyan 百读不厌
baieluosi 白俄罗斯
baifacangcang 白发苍苍
baifeidaixing 百废待兴
baifeijuxing 百废具兴
baifeiliqi 白费力气
baifenzhibai 百分之百
baifenzhiji 百分之几
baifenzhishi 百分之十
baifenzhiyi 百分之一
baiganjiaoji 百感交集
baigezhengliu 百舸争流
baihongguanri 白虹贯日
baihuadiaoling 百花凋零
baihuaqifang 百花齐放
baihuashengkai 百花盛开
baihuazhengyan 百花争艳
baihuodalou 百货大楼
baihuogongsi 百货公司
baihuoshangchang 百货商场
baihuoshangdian 百货商店
baijiazhengming 百家争鸣
baijinhangong 白金汉宫
baijinzhuyi 拜金主义
baikequanshu 百科全书
baikezhishi 百科知识
baikoumobian 百口莫辩
bailinghaixia 白令海峡
baimafeima 白马非马
baimisaipao 百米赛跑
bainiandaji 百年大计
bainianyiyu 百年一遇
bainianzhanzheng 百年战争
bainianzhihou 百年之后
bainiaochaofeng 百鸟朝凤
bairiweixin 百日维新
baiseqiyi 百色起义
baisewuran 白色污染
baishangdihui 拜上帝会
baishanheishui 白山黑水
baishixueyi 拜师学艺
baishouqijia 白手起家
baisuilaoren 百岁老人
baitianheiye 白天黑夜
baitouxielao 白头偕老
baituandazhan 百团大战
baituokunjing 摆脱困境
baiwanfuweng 百万富翁
baiwanqianwa 百万千瓦
baiwanxiongshi 百万雄师
baiwuliaolai 百无聊赖
baixingshenghuo 百姓生活
baixueaiai 白雪皑皑
baixuegongzhu 白雪公主
baiyexingwang 百业兴旺
baiyitianshi 白衣天使
baiyizhanshi 白衣战士
baizaimianqian 摆在面前
baizaiqianmian 摆在前面
baizaishouwei 摆在首位
baizhanbaisheng 百战百胜
baizhebuhui 百折不回
baizhebunao 百折不挠
baizhiheizi 白纸黑字
bajisitan 巴基斯坦
baleiwuju 芭蕾舞剧
baleiwutuan 芭蕾舞团
baleiwuzhe 芭蕾舞者
balesitan 巴勒斯坦
balidaxue 巴黎大学
baligongshe 巴黎公社
balihehui 巴黎和会
balinzuoqi 巴林左旗
balunzhihai 巴伦支海
baluokeshi 巴洛克式
bamianlaifeng 八面来风
banbufalv 颁布法律
banbushishi 颁布实施
bandongbudong 半懂不懂
bangeshiji 半个世纪
bangkuoyaoyuan 膀阔腰圆
bangongbandu 半工半读
bangongdalou 办公大楼
bangonghuiyi 办公会议
bangongshebei 办公设备
bangongyongpin 办公用品
bangpaitixi 帮派体系
bangshangyouming 榜上有名
banguangansuan 半胱氨酸
bangwanshihou 傍晚时候
bangzhuwenjian 帮助文件
banjiangdianli 颁奖典礼
banjiangyishi 颁奖仪式
banlaibanqu 搬来搬去
banmennongfu 班门弄斧
banmiansheji 版面设计
banmingbanan 半明半暗
bannongbanyi 半农半医
bannongshifei 搬弄是非
banquansuoyou 版权所有
banshijigou 办事机构
banshixiaolv 办事效率
banshuyishang 半数以上
bansibanlv 半丝半缕
bansibuhuo 半死不活
bantuerfei 半途而废
banxinbanyi 半信半疑
banzhenbanjia 半真半假
banzhenshanghan 斑疹伤寒
banzhimindi 半殖民地
baobanhunyin 包办婚姻
baochandaohu 包产到户
baochengtielu 宝成铁路
baochichenmo 保持沉默
baochijingti 保持警惕
baochilianxi 保持联系
baochipingheng 保持平衡
baochiqingjie 保持清洁
baochiwending 保持稳定
baochiyizhi 保持一致
baochizhongli 保持中立
baocunqilai 保存起来
baofengzhouyu 暴风骤雨
baogandaohu 包干到户
baogangjituan 宝钢集团
baogaowenxue 报告文学
baoguicaifu 宝贵财富
baoguijihui 宝贵机会
baoguishijian 宝贵时间
baoguiyijian 宝贵意见
baoherongye 饱和溶液
baohezhuangtai 饱和状态
baohucuoshi 保护措施
baohufangshi 保护方式
baohuhuanjing 保护环境
baohushili 保护视力
baohuyishi 保护意识
baohuzhuangzhi 保护装置
baohuzhuyi 保护主义
baojiahuhang 保驾护航
baojialiya 保加利亚
baojianliansi 胞间连丝
baojianshipin 保健食品
baojianzhishi 保健知识
baojianzuoyong 保健作用
baojiaweiguo 保家卫国
baojingcangsang 饱经沧桑
baojingfengshuang 饱经风霜
baojingxinhao 报警信号
baojingzhuangzhi 报警装置
baokanshuji 报刊书籍
baokanzazhi 报刊杂志
baoligeming 暴力革命
baolishijian 暴力事件
baolishouduan 暴力手段
baoliujiemu 保留节目
baoluowanxiang 包罗万象
baomigongzuo 保密工作
baonvewudao 暴虐无道
baoshizhongri 饱食终日
baoshoushili 保守势力
baoshouzhuyi 保守主义
baotiaorulei 暴跳如雷
baotoutongku 抱头痛哭
baoweiguojia 保卫国家
baoweiheping 保卫和平
baoweiqilai 包围起来
baoweizuguo 保卫祖国
baowencailiao 保温材料
baowenjiaohuan 报文交换
baoxiangongsi 保险公司
baoxianjine 保险金额
baoxiantiaoli 保险条例
baoxianzhidu 保险制度
baoxianzhuangzhi 保险装置
baoxiaozuguo 报效祖国
baoxinjiuhuo 抱薪救火
baoyibodai 褒衣博带
baoyinbaoshi 暴饮暴食
baoyouchuliang 保有储量
baoyouhuanxiang 抱有幻想
baoyuchengzai 暴雨成灾
baozhangjizhi 保障机制
baozhangrenquan 保障人权
baozhangtixi 保障体系
baozhangxitong 保障系统
baozhangzhidu 保障制度
baozhengxitong 保证系统
baozhengzhiliang 保证质量
baozhiyili 报之以李
baozhuangcailiao 包装材料
baozhuanggongren 包装工人
baqizidi 八旗子弟
baquanzhuyi 霸权主义
basailuona 巴塞罗那
bashansheshui 跋山涉水
bashanshushui 巴山蜀水
bashanyeyu 巴山夜雨
bashidiyu 巴士底狱
bashihaixia 巴士海峡
bashiniandai 八十年代
bashiwusui 八十五岁
bawangbieji 霸王别姬
baxiangzhuyi 八项注意
baxiliya 巴西利亚
beiaierlan 北爱尔兰
beibaoxianren 被保险人
beibiwuchi 卑鄙无耻
beicanshenghuo 悲惨生活
beicanshijie 悲惨世界
beicanzaoyu 悲惨遭遇
beichangjianxin 备尝艰辛
beicongzhonglai 悲从中来
beidaoerchi 背道而驰
beidaxiyang 北大西洋
beidiaochazhe 被调查者
beidongaida 被动挨打
beidongyutai 被动语态
beidouqixing 北斗七星
beifangdiqu 北方地区
beifangfangyan 北方方言
beifanglingtu 北方领土
beifazhanzheng 北伐战争
beifenwenjian 备份文件
beiguanlizhe 被管理者
beiguanlundiao 悲观论调
beiguanshiwang 悲观失望
beiguofengguang 北国风光
beihaigongyuan 北海公园
beihaijiandui 北海舰队
beihuanlihe 悲欢离合
beihuiguixian 北回归线
beijiaerhu 贝加尔湖
beijingdaxue 北京大学
beijingdiqu 北京地区
beijingditie 北京地铁
beijingfandian 北京饭店
beijinggugong 北京故宫
beijinghuayuan 北京画院
beijingjiaoqu 北京郊区
beijingjietou 北京街头
beijingjunqu 北京军区
beijingkaoya 北京烤鸭
beijinglixiang 背井离乡
beijingribao 北京日报
beijingshimin 北京市民
beijingxizhan 北京西站
beijingyinyue 背景音乐
beijuchongyan 悲剧重演
beiouguojia 北欧国家
beishanmianshui 背山面水
beisongkewen 背诵课文
beitianminren 悲天悯人
beitongyujue 悲痛欲绝
beitongzhizhe 被统治者
beixinqiyi 背信弃义
beixuanjuquan 被选举权
beiyangjunfa 北洋军阀
beiyangshuishi 北洋水师
beiyangzhengfu 北洋政府
beiyongluntai 备用轮胎
beizhixingren 被执行人
beizizhiwu 被子植物
benbenzhuyi 本本主义
benbingansuan 苯丙氨酸
bencaogangmu 本草纲目
bengbengtiaotiao 蹦蹦跳跳
benjiasuanna 苯甲酸钠
benlaimianmu 本来面目
benmodaozhi 本末倒置
bentoubennao 笨头笨脑
benweihuobi 本位货币
benxiangbentu 本乡本土
benzhigongzuo 本职工作
benzhiqubie 本质区别
benzhishuxing 本质属性
benzhitezheng 本质特征
benzouxianggao 奔走相告
bianbiechulai 辨别出来
bianbieshifei 辨别是非
bianbiezhenjia 辨别真假
bianbuquanguo 遍布全国
bianbuzhengge 遍布整个
bianchangmoji 鞭长莫及
bianchengrenyuan 编程人员
bianchengsheji 编程设计
bianchengyuyan 编程语言
biandikaihua 遍地开花
bianfaweixin 变法维新
bianfeiweibao 变废为宝
biangeshidai 变革时代
bianhuaduoduan 变化多端
bianhuaguilv 变化规律
bianhuamoce 变化莫测
bianhuanmoce 变幻莫测
bianhuanwuqiong 变幻无穷
bianhuaqushi 变化趋势
bianhuawuchang 变化无常
bianhuawuqiong 变化无穷
bianjiangdiqu 边疆地区
bianjiangminzu 边疆民族
bianjiaojingtou 变焦镜头
bianjichuban 编辑出版
bianjietiaojian 边界条件
bianjiewenti 边界问题
bianjingdiqu 边境地区
bianlaibianqu 变来变去
bianmabiaoshi 编码表示
bianmafangan 编码方案
bianmafangshi 编码方式
bianmashuju 编码数据
bianminfuwu 便民服务
biansuyundong 变速运动
biantaotiyan 扁桃体炎
bianwendongwu 变温动物
bianxianfaqiu 边线发球
bianxiechengxu 编写程序
bianxingyundong 变形运动
bianyixingshi 便宜行事
bianyuandiqu 边远地区
bianyuguanli 便于管理
bianzhengguanxi 辩证关系
bianzhenglunzhi 辨证论治
bianzhengluoji 辩证逻辑
bianzhengtongyi 辩证统一
bianzoubianxiang 边走边想
bianzouqushi 变奏曲式
biaobingshice 彪炳史册
biaodachulai 表达出来
biaodafangfa 表达方法
biaodafangshi 表达方式
biaodanengli 表达能力
biaodaqingxi 表达清晰
biaodasixiang 表达思想
biaodaxingshi 表达形式
biaodayijian 表达意见
biaodianfuhao 标点符号
biaoliyizhi 表里一致
biaomianwendu 表面温度
biaomianwenzhang 表面文章
biaomianxianxiang 表面现象
biaomianzhangli 表面张力
biaoqingfengfu 表情丰富
biaoshiganxie 表示感谢
biaoshiqianyi 表示歉意
biaoshitongqing 表示同情
biaoshitongyi 表示同意
biaoshiyihan 表示遗憾
biaoshizhuhe 表示祝贺
biaotixinwen 标题新闻
biaotiyinyue 标题音乐
biaoxianshoufa 表现手法
biaoxianxingshi 表现形式
biaoxianzhuyi 表现主义
biaoxinliyi 标新立异
biaoyanyishu 表演艺术
biaozhangdahui 表彰大会
biaozhunguifan 标准规范
biaozhunjiekou 标准接口
biaozhunrongye 标准溶液
biaozhunzhuangkuang 标准状况
bibeitiaojian 必备条件
bibijieshi 比比皆是
bibodangyang 碧波荡漾
bibukeque 必不可缺
bibukeshao 必不可少
bicizhijian 彼此之间
bidedadi 彼得大帝
bidegele 彼得格勒
bideyishi 彼得一世
biechuxincai 别出心裁
biejujiangxin 别具匠心
biejuyige 别具一格
bierbae 毕尔巴鄂
biewuqita 别无其他
biewutafa 别无他法
bieyoudongtian 别有洞天
bieyoufengwei 别有风味
bieyouyongxin 别有用心
bigongbijing 毕恭毕敬
biguansuoguo 闭关锁国
biguanzishou 闭关自守
bihedianlu 闭合电路
bihuankongzhi 闭环控制
bijiaoeryan 比较而言
bijiaofada 比较发达
bijiaofanrong 比较繁荣
bijiaofuza 比较复杂
bijiaojiandan 比较简单
bijiaoluohou 比较落后
bijiaoqingchu 比较清楚
bijiaoshunli 比较顺利
bijiaotuchu 比较突出
bijiaowanshan 比较完善
bijiaowending 比较稳定
bijiaoxianzhu 比较显著
bijiaoyanzhong 比较严重
bijingjieduan 必经阶段
bijingzhidi 必经之地
bijingzhilu 必经之路
bikoubutan 闭口不谈
bilikongzhi 比例控制
biliqianren 壁立千仞
bilulanlv 筚路蓝缕
bimenxieke 闭门谢客
bimenzaoche 闭门造车
bimianlangfei 避免浪费
bimozhiyan 笔墨纸砚
bimuyangshen 闭目养神
binbinyouli 彬彬有礼
bingbudengyu 并不等于
bingbumaodun 并不矛盾
bingburenwei 并不认为
bingbuweiguo 并不为过
bingbuxiangtong 并不相同
bingbuxuyao 并不需要
bingbuyiding 并不一定
bingbuzhidao 并不知道
bingcongkouru 病从口入
bingduganran 病毒感染
bingduojiangguang 兵多将广
bingduxuejia 病毒学家
bingfeiruci 并非如此
bingfeiyishi 并非易事
binggongzhifa 秉公执法
bingheshiqi 冰河时期
binghuangmaluan 兵荒马乱
bingjianzuozhan 并肩作战
binglibianhua 病理变化
bingliejiegou 并列结构
binglinchengxia 兵临城下
bingmochanshen 病魔缠身
bingqiangmazhuang 兵强马壮
bingqiangzemie 兵强则灭
bingqingehua 病情恶化
bingqingyujie 冰清玉洁
bingrongxiangjian 兵戎相见
bingshangyundong 冰上运动
bingshanyijiao 冰山一角
bingtanghulu 冰糖葫芦
bingtianxuedi 冰天雪地
binguanfandian 宾馆饭店
bingwubudang 并无不当
bingxingchuli 并行处理
bingxingganyan 丙型肝炎
bingxinggongcheng 并行工程
bingxingjisuan 并行计算
bingyizhidu 兵役制度
bingzhuhuxi 屏住呼吸
binhaixinqu 滨海新区
binlinjuejing 濒临绝境
binlinmiejue 濒临灭绝
binlinpochan 濒临破产
binweidongwu 濒危动物
binzhirugui 宾至如归
biranguilv 必然规律
biranjieguo 必然结果
biranlianxi 必然联系
biranqushi 必然趋势
biranxuanze 必然选择
bisaichangdi 比赛场地
bisaiguize 比赛规则
bisaijieguo 比赛结果
bisaixiangmu 比赛项目
bishangliangshan 逼上梁山
bishangyanjing 闭上眼睛
bishengjingli 毕生精力
bishengxinnian 必胜信念
bishijiuxu 避实就虚
bishikaike 比什凯克
bishushanzhuang 避暑山庄
bisikaiwan 比斯开湾
bisiwuyi 必死无疑
bitelake 彼特拉克
bixiukecheng 必修课程
biyaocuoshi 必要措施
biyaotiaojian 必要条件
biyedianli 毕业典礼
biyesheji 毕业设计
biyibuxie 鄙夷不屑
biyiqifei 比翼齐飞
biyishuangfei 比翼双飞
biyouwoshi 必有我师
biyouzhilu 必由之路
bizizuiba 鼻子嘴巴
boboshengji 勃勃生机
bocaizhongchang 博采众长
bociwana 博茨瓦纳
bodajingshen 博大精深
bodaxionghuai 博大胸怀
boduolige 波多黎各
boerduoye 波尔多液
bogedafeng 博格达峰
boguanglinlin 波光粼粼
bohaoshangwang 拨号上网
bojiqunshu 博极群书
bojuefuren 伯爵夫人
bolamusi 勃拉姆斯
bolanbujing 波澜不惊
bolanqifu 波澜起伏
bolanqunshu 博览群书
bolanzhuangkuo 波澜壮阔
bolexiangma 伯乐相马
bolimuqiang 玻璃幕墙
boliqimin 玻璃器皿
boliwaer 玻利瓦尔
boliweiya 玻利维亚
bolixianwei 玻璃纤维
boluanfanzheng 拨乱反正
boluodihai 波罗的海
boluoniya 博洛尼亚
borandanu 勃然大怒
boshilunwen 博士论文
boshixuewei 博士学位
bosiniya 波斯尼亚
bositenghu 博斯腾湖
botaogungun 波涛滚滚
botaoxiongyong 波涛汹涌
bowuxuejia 博物学家
boxueduocai 博学多才
boxuejieji 剥削阶级
boxuezhidu 剥削制度
bozhongmianji 播种面积
buanshishi 不谙世事
bubazhizhi 不拔之志
bubeibukang 不卑不亢
buchangchuxian 不常出现
buchengfangyuan 不成方圆
buchixiawen 不耻下问
buchongxieyi 补充协议
bucierbie 不辞而别
bucixinku 不辞辛苦
bucixinlao 不辞辛劳
budakeneng 不大可能
budalagong 布达拉宫
budandanshi 不单单是
budapeisi 布达佩斯
budeerzhi 不得而知
budeqifa 不得其法
buderenxin 不得人心
budeyaoling 不得要领
budiaoyizhi 步调一致
budingguanci 不定冠词
budongshengse 不动声色
buduanchuangxin 不断创新
buduanfengfu 不断丰富
buduangaijin 不断改进
buduangengxin 不断更新
buduanjiaqiang 不断加强
buduanjinbu 不断进步
buduanjinqu 不断进取
buduankuoda 不断扩大
buduanqianjin 不断前进
buduanshenru 不断深入
buduanwanshan 不断完善
buduichenxing 不对称性
buerdaishu 布尔代数
buerfamen 不二法门
buerqiaoya 布尔乔亚
bueryunsuan 布尔运算
bufafenzi 不法分子
bufaqinhai 不法侵害
bufazhitu 不法之徒
bufengzhuoying 捕风捉影
bufenzhouye 不分昼夜
bufucunzai 不复存在
bufuzeren 不负责任
bugaiqile 不改其乐
buganbujing 不干不净
bugankending 不敢肯定
buganxiangxin 不敢相信
buganxingqu 不感兴趣
bugongzipo 不攻自破
bugouyanxiao 不苟言笑
bugouyisi 不够意思
buguanbugu 不管不顾
buguanzenyang 不管怎样
buguoruci 不过如此
bugusihuo 不顾死活
buguyiqie 不顾一切
buhanerli 不寒而栗
buhaoyisi 不好意思
buhegepin 不合格品
buheluoji 不合逻辑
buheqingli 不合情理
buheshiyi 不合时宜
buhuaihaoyi 不怀好意
buhuanersan 不欢而散
buhuangbumang 不慌不忙
bujiakaolv 不加考虑
bujiandangnian 不减当年
bujiangdaoli 不讲道理
bujiansenlin 不见森林
bujianzongying 不见踪影
bujiaobuzao 不骄不躁
bujiasisuo 不假思索
bujibuhan 不饥不寒
bujideshi 不计得失
bujieguoshi 不结果实
bujiezhimi 不解之谜
bujiezhiyuan 不解之缘
bujikuibu 不积跬步
bujingquexing 不精确性
bujinheli 不尽合理
bujinruci 不仅如此
bujinxiangtong 不尽相同
bujinyizhi 不尽一致
bujinzetui 不进则退
bujiqishu 不计其数
bujiucuoshi 补救措施
bujuerulv 不绝如缕
bujueyuer 不绝于耳
bujuheli 布局合理
bujuxiaojie 不拘小节
bujuyige 不拘一格
bukanhuishou 不堪回首
bukanqiyou 不堪其忧
bukanshexiang 不堪设想
bukanzhongfu 不堪重负
bukebimian 不可避免
bukedongyao 不可动摇
bukeduode 不可多得
bukefenge 不可分割
bukefouren 不可否认
bukeguliang 不可估量
bukehuoque 不可或缺
bukejiuyao 不可救药
bukekaijiao 不可开交
bukekangli 不可抗力
bukemingzhuang 不可名状
bukemomie 不可磨灭
bukenixing 不可逆性
bukenizhuan 不可逆转
bukepianfei 不可偏废
bukeshoushi 不可收拾
bukesiyi 不可思议
bukeyanchuan 不可言传
bukeyuyue 不可逾越
bukezhilun 不可知论
bukezhuomo 不可捉摸
bukuaibuman 不快不慢
bulangyundong 布朗运动
bulaoerhuo 不劳而获
buliangfanying 不良反应
buliangqingxu 不良情绪
buliangshihao 不良嗜好
buliangxianxiang 不良现象
buliangxiguan 不良习惯
buliangxingwei 不良行为
buliangxinxi 不良信息
buliangxiqi 不良习气
buliangyingxiang 不良影响
buliaoliaozhi 不了了之
bulietani 布列塔尼
bulincijiao 不吝赐教
bulisiban 布里斯班
bulitiaojian 不利条件
buliuyudi 不留余地
buliyinsu 不利因素
buluhenji 不露痕迹
bulukelin 布鲁克林
bulunzenyang 不论怎样
buluokejiu 不落窠臼
buluosutao 不落俗套
bulusaier 布鲁塞尔
bumanbuzhi 不蔓不枝
bumanninshuo 不瞒您说
bumaozhidi 不毛之地
bumenguizhang 部门规章
bumingzhenxiang 不明真相
bumouerhe 不谋而合
bunankanchu 不难看出
bunanxiangxiang 不难想象
bunengdaoda 不能到达
bunengfenjie 不能分解
bunengquxiao 不能取消
bunengrongren 不能容忍
bunengshengcun 不能生存
bunengyizhi 不能抑制
bunengzhiyu 不能治愈
bunengziba 不能自拔
bunengziyi 不能自已
bupakunnan 不怕困难
bupaxisheng 不怕牺牲
bupianbuyi 不偏不倚
bupinghengxing 不平衡性
bupingzeming 不平则鸣
buqiadangde 不恰当地
buqiangsheji 步枪射击
buqieryu 不期而遇
buqierzhi 不期而至
buqieshiji 不切实际
buqingzilai 不请自来
buqiushenjie 不求甚解
buqiuwenda 不求闻达
buqizuoyong 不起作用
buqubunao 不屈不挠
buquedingxing 不确定性
burandehua 不然的话
burongfenshuo 不容分说
buronghushi 不容忽视
burongleguan 不容乐观
burongzhiyi 不容置疑
burudongwu 哺乳动物
burushiming 不辱使命
burushuoshi 不如说是
buruzhenggui 步入正轨
busanbusi 不三不四
bushengbumie 不生不灭
bushengbuxiang 不声不响
bushengmeiju 不胜枚举
bushezhouye 不舍昼夜
bushiguyi 不是故意
bushihaodai 不识好歹
bushishiji 不失时机
bushishiwu 不识时务
bushiweier 不是味儿
bushizhousu 不食周粟
busijinqu 不思进取
busuanshenme 不算什么
butaikeneng 不太可能
butongfanxiang 不同凡响
butongxunchang 不同寻常
butongzhichu 不同之处
buweijiannan 不畏艰难
buweijianxian 不畏艰险
buweinongshi 不违农时
buweiqiangbao 不畏强暴
buweiqiangdi 不畏强敌
buweirenzhi 不为人知
buweisuodong 不为所动
buwenbuhuo 不温不火
buwendingxing 不稳定性
buwuzhengye 不务正业
buxiangshangxia 不相上下
buxiangshiying 不相适应
buxienuli 不懈努力
buxingrenshi 不省人事
buxingyunan 不幸遇难
buxinrenan 不信任案
buxiubianfu 不修边幅
buxixisheng 不惜牺牲
buxixuexiao 补习学校
buxiyiqie 不惜一切
buxucixing 不虚此行
buyaneryu 不言而喻
buyanqifan 不厌其烦
buyiburao 不依不饶
buyierfei 不翼而飞
buyierzu 不一而足
buyihuier 不一会儿
buyikongzhi 不易控制
buyilehu 不亦乐乎
buyiweiran 不以为然
buyiweiyi 不以为意
buyiyuanhu 不亦远乎
buyoufenshuo 不由分说
buyouzizhu 不由自主
buyuanqianli 不远千里
buyuanwanli 不远万里
buyueertong 不约而同
buyukaolv 不予考虑
buyuzefei 不预则废
buzaihuaxia 不在话下
buzenmeyang 不怎么样
buzhanersheng 不战而胜
buzhanghuiyi 部长会议
buzhanzibai 不战自败
buzhebunao 不折不挠
buzhengzhifeng 不正之风
buzhibujue 不知不觉
buzhifanji 不知凡几
buzhihaodai 不知好歹
buzhipijuan 不知疲倦
buzhiqike 不知其可
buzhisuocuo 不知所措
buzhisuoyan 不知所言
buzhisuoyun 不知所云
buzhitengyang 不知疼痒
buzhiyici 不止一次
buzhiyouhan 不知有汉
buzhizhizheng 不治之症
buzuweiju 不足为据
buzuzhichu 不足之处
caichanbaoxian 财产保险
caichanjicheng 财产继承
caichanquanli 财产权利
caichansunshi 财产损失
caifangbaodao 采访报道
caihuahengyi 才华横溢
caijuntanpan 裁军谈判
caikuanggongcheng 采矿工程
cailiaokexue 材料科学
caiqucuoshi 采取措施
caiquxingdong 采取行动
caiseboli 彩色玻璃
caisedonghua 彩色动画
caisetuxiang 彩色图像
caisexianshi 彩色显示
caiwubumen 财务部门
caiwuguanli 财务管理
caiwukuaiji 财务会计
caiwuyusuan 财务预算
caizhengbokuan 财政拨款
caizhengbumen 财政部门
caizhengbutie 财政补贴
caizhengfudan 财政负担
caizhengkunnan 财政困难
caizhengshouru 财政收入
caizhengshouzhi 财政收支
caizhengtouru 财政投入
caizhengweiji 财政危机
caizhengyusuan 财政预算
caizhengzhengce 财政政策
caizhengzhichu 财政支出
caizijiaren 才子佳人
cajianerguo 擦肩而过
caliangyanjing 擦亮眼睛
candanjingying 惨淡经营
cangcuyingzhan 仓促应战
cangenglengzhi 残羹冷炙
canghaisangtian 沧海桑田
canghaiyisu 沧海一粟
canghuangchutao 仓皇出逃
cangmangdadi 苍茫大地
cangwunagou 藏污纳垢
canjiaduanlian 参加锻炼
canjiakaoshi 参加考试
canjiertong 残疾儿童
canjuerenhuan 惨绝人寰
cankaodaan 参考答案
cankaojiazhi 参考价值
cankaoziliao 参考资料
cankuwuqing 残酷无情
canlanhuihuang 灿烂辉煌
canquebuquan 残缺不全
canruofanxing 灿若繁星
cansaixuanshou 参赛选手
canshushezhi 参数设置
cantiandashu 参天大树
canwurendao 惨无人道
canyuanduanbi 残垣断壁
canzaoshahai 惨遭杀害
canzhengyizheng 参政议政
canzhizhengshi 参知政事
canzhongliangyuan 参众两院
canzhuanduanwa 残砖断瓦
caobenzhiwu 草本植物
caocaoqieqie 嘈嘈切切
caochongchengxiang 曹冲称象
caochuanjiejian 草船借箭
caolaoguodu 操劳过度
caomangyingxiong 草莽英雄
caoshuaicongshi 草率从事
caoshuailiaoshi 草率了事
caoyuanqihou 草原气候
caozhangyingfei 草长莺飞
caozuobuzhou 操作步骤
caozuofangfa 操作方法
caozuoguicheng 操作规程
caozuoguocheng 操作过程
caozuojineng 操作技能
caozuokongzhi 操作控制
caozuomingling 操作命令
caozuonengli 操作能力
caozuoshiwu 操作失误
caozuoxitong 操作系统
cedingfangfa 测定方法
celiangfangfa 测量方法
celiangfanwei 测量范围
celiangwucha 测量误差
cemuershi 侧目而视
cencibuqi 参差不齐
cencicuoluo 参差错落
cengcengdiedie 层层叠叠
cengchubuqiong 层出不穷
cengcifenming 层次分明
cengcijiegou 层次结构
