安定区	Andingqu
滑县	Huaxian
华阴市	Huayinshi
淮南市	Huainanshi
淮阳区	Huaiyangqu
环江毛南族自治县	Huanjiangmaonanzuzizhixian
环县	Huanxian
黄埔区	Huangpuqu
黄浦区	Huangpuqu
惠城区	Huichengqu
惠济区	Huijiqu
徽县	Huixian
惠阳区	Huiyangqu
惠州市	Huizhoushi
吉林省	Jilinsheng
济南市	Jinanshi
济宁市	Jiningshi
嘉陵区	Jialingqu
郏县	Jiaxian
嘉兴市	Jiaxingshi
涧西区	Jianxiqu
江北区	Jiangbeiqu
江汉区	Jianghanqu
江津区	Jiangjinqu
江南区	Jiangnanqu
江苏省	Jiangsusheng
江西省	Jiangxisheng
绛县	Jiangxian
江阴市	Jiangyinshi
郊区	Jiaoqu
解放区	Jiefangqu
金凤区	Jinfengqu
金华市	Jinhuashi
金水区	Jinshuiqu
晋州市	Jinzhoushi
景东彝族自治县	Jingdongyizuzizhixian
静乐县	Jinglexian
景泰县	Jingtaixian
泾县	Jingxian
九龙坡区	Jiulongpoqu
莒县	Juxian
巨野县	Juyexian
开平市	Kaipingshi
矿区	Kuangqu
奎文区	Kuiwenqu
莱芜区	Laiwuqu
岚县	Lanxian
老城区	Laochengqu
耒阳市	Leiyangshi
历城区	Lichengqu
利川市	Lichuanshi
礼泉县	Liquanxian
礼县	Lixian
蠡县	Lixian
辽宁省	Liaoningsheng
临汾市	Linfenshi
临高县	Lingaoxian
临县	Linxian
龙山区	Longshanqu
陇县	Longxian
洛阳市	Luoyangshi
马边彝族自治县	Mabianyizuzizhixian
眉县	Meixian
蒙阴县	Mengyinxian
绵阳市	Mianyangshi
岷县	Minxian
木垒哈萨克自治县	Muleihasakezizhixian
南岸区	Nananqu
南昌市	Nanchangshi
南开区	Nankaiqu
南雄市	Nanxiongshi
南阳市	Nanyangshi
南岳区	Nanyuequ
内蒙古自治区	Neimengguzizhiqu
内乡县	Neixiangxian
宁德市	Ningdeshi
宁海县	Ninghaixian
宁县	Ningxian
宁阳县	Ningyangxian
怒江傈僳族自治州	Nujianglisuzuzizhizhou
番禺区	Panyuqu
沛县	Peixian
平房区	Pingfangqu
平江县	Pingjiangxian
平邑县	Pingyixian
蒲城县	Puchengxian
浦东新区	Pudongxinqu
蒲县	Puxian
祁东县	Qidongxian
岐山县	Qishanxian
杞县	Qixian
淇县	Qixian
祁县	Qixian
乾县	Qianxian
秦皇岛市	Qinhuangdaoshi
沁源县	Qinyuanxian
青岛市	Qingdaoshi
青海省	Qinghaisheng
清河县	Qinghexian
青县	Qingxian
琼海市	Qionghaishi
曲阜市	Qufushi
渠县	Quxian
确山县	Queshanxian
荣成市	Rongchengshi
容县	Rongxian
荣县	Rongxian
汝南县	Runanxian
汝阳县	Ruyangxian
三河市	Sanheshi
三沙市	Sanshashi
三亚市	Sanyashi
沙坪坝区	Shapingbaqu
沙坡头区	Shapotouqu
沙县	Shaxian
山东省	Shandongsheng
山西省	Shanxisheng
陕西省	Shanxisheng
单县	Shanxian
上城区	Shangchengqu
上海市	Shanghaishi
上街区	Shangjiequ
歙县	Shexian
涉县	Shexian
沈河区	Shenhequ
莘县	Shenxian
沈阳市	Shenyangshi
深圳市	Shenzhenshi
石鼓区	Shiguqu
石家庄市	Shijiazhuangshi
石景山区	Shijingshanqu
石龙区	Shilongqu
石门县	Shimenxian
十堰市	Shiyanshi
师宗县	Shizongxian
寿县	Shouxian
双桥区	Shuangqiaoqu
四川省	Sichuansheng
嵩县	Songxian
松原市	Songyuanshi
绥宁县	Suiningxian
遂平县	Suipingxian
随县	Suixian
泰安市	Taianshi
太白县	Taibaixian
台湾省	Taiwansheng
太原市	Taiyuanshi
唐县	Tangxian
藤县	Tengxian
天津市	Tianjinshi
天水市	Tianshuishi
通化县	Tonghuaxian
桐庐县	Tongluxian
通州区	Tongzhouqu
屯昌县	Tunchangxian
万宁市	Wanningshi
万州区	Wanzhouqu
围场满族蒙古族自治县	Weichangmanzumengguzuzizhixian
潍城区	Weichengqu
卫东区	Weidongqu
潍坊市	Weifangshi
威海市	Weihaishi
威县	Weixian
魏县	Weixian
文昌市	Wenchangshi
文山壮族苗族自治州	Wenshanzhuangzumiaozuzizhizhou
汶上县	Wenshangxian
文县	Wenxian
温县	Wenxian
温州市	Wenzhoushi
婺城区	Wuchengqu
武汉市	Wuhanshi
五华区	Wuhuaqu
巫山县	Wushanxian
五通桥区	Wutongqiaoqu
武威市	Wuweishi
武乡县	Wuxiangxian
五指山市	Wuzhishanshi
西安市	Xianshi
西昌市	Xichangshi
西城区	Xichengqu
西宁市	Xiningshi
西平县	Xipingxian
西青区	Xiqingqu
西区	Xiqu
西夏区	Xixiaqu
息县	Xixian
隰县	Xixian
西藏自治区	Xizangzizhiqu
下城区	Xiachengqu
夏县	Xiaxian
献县	Xianxian
芗城区	Xiangchengqu
香港特别行政区	Xianggangtebiexingzhengqu
镶黄旗	Xianghuangqi
襄垣县	Xiangyuanxian
萧县	Xiaoxian
新北区	Xinbeiqu
新蔡县	Xincaixian
新城区	Xinchengqu
新华区	Xinhuaqu
新疆维吾尔自治区	Xinjiangweiwuerzizhiqu
新密市	Xinmishi
新泰市	Xintaishi
新乡市	Xinxiangshi
新郑市	Xinzhengshi
忻州市	Xinzhoushi
兴山县	Xingshanxian
兴县	Xingxian
荥阳市	Xingyangshi
雄县	Xiongxian
许昌市	Xuchangshi
浚县	Xunxian
雁峰区	Yanfengqu
沿河土家族自治县	Yanhetujiazuzizhixian
阳谷县	Yangguxian
洋县	Yangxian
叶县	Yexian
驿城区	Yichengqu
伊犁哈萨克自治州	Yilihasakezizhizhou
伊宁市	Yiningshi
义县	Yixian
易县	Yixian
黟县	Yixian
宜兴市	Yixingshi
银川市	Yinchuanshi
营口市	Yingkoushi
应县	Yingxian
迎泽区	Yingzequ
永嘉县	Yongjiaxian
永康市	Yongkangshi
永清县	Yongqingxian
攸县	Youxian
渝北区	Yubeiqu
榆林市	Yulinshi
榆社县	Yushexian
玉田县	Yutianxian
盂县	Yuxian
蔚县	Yuxian
余姚市	Yuyaoshi
渝中区	Yuzhongqu
岳阳市	Yueyangshi
郓城县	Yunchengxian
运河区	Yunhequ
云南省	Yunnansheng
札达县	Zhadaxian
湛河区	Zhanhequ
章贡区	Zhanggongqu
浙江省	Zhejiangsheng
正蓝旗	Zhenglanqi
蒸湘区	Zhengxiangqu
郑州市	Zhengzhoushi
中牟县	Zhongmuxian
中卫市	Zhongweishi
忠县	Zhongxian
中原区	Zhongyuanqu
周口市	Zhoukoushi
周至县	Zhouzhixian
珠晖区	Zhuhuiqu
驻马店市	Zhumadianshi
竹山县	Zhushanxian
秭归县	Ziguixian
邹城市	Zouchengshi
中国	Zhongguo
北京	Beijing
美国	Meiguo
医院	Yiyuan
学校	Xuexiao
法院	Fayuan
小区	Xiaoqu
市委	Shiwei
公园	Gongyuan
南方	Nanfang
市政府	Shizhengfu
公安	Gongan
公安局	Gonganju
派出所	Paichusuo
酒店	Jiudian
广场	Guangchang
公交	Gongjiao
小学	Xiaoxue
学院	Xueyuan
机场	Jichang
德国	Deguo
图书馆	Tushuguan
公路	Gonglu
亚洲	Yazhou
电视台	Dianshitai
省政府	Shengzhengfu
大陆	Dalu
西方	Xifang
高速公路	Gaosugonglu
游泳池	Youyongchi
中学	Zhongxue
气象台	Qixiangtai
地下	Dixia
新兴	Xinxing
北川	Beichuan
炼油厂	Lianyouchang
玄武	Xuanwu
商家	Shangjia
工厂	Gongchang
长江	Changjiang
内地	Neidi
研究院	Yanjiuyuan
车站	Chezhan
南都	Nandu
路口	Lukou
幼儿园	Youeryuan
大厅	Dating
东北	Dongbei
村里	Cunli
大道	Dadao
海洋	Haiyang
源头	Yuantou
服务中心	Fuwuzhongxin
马路	Malu
沿海	Yanhai
自治区	Zizhiqu
商场	Shangchang
博物馆	Bowuguan
车道	Chedao
大楼	Dalou
水库	Shuiku
西南	Xinan
大桥	Daqiao
市政	Shizheng
火车站	Huochezhan
教育部	Jiaoyubu
停车场	Tingchechang
办事处	Banshichu
会同	Huitong
北方	Beifang
宾馆	Binguan
台北	Taibei
区内	Qunei
餐厅	Canting
新一	Xinyi
县政府	Xianzhengfu
旅游局	Lvyouju
航空公司	Hangkonggongsi
码头	Matou
温州	Wenzhou
西班牙	Xibanya
华南	Huanan
港口	Gangkou
阿富汗	Afuhan
楼下	Louxia
大洋	Dayang
北京大学	Beijingdaxue
俱乐部	Julebu
大会堂	Dahuitang
华西	Huaxi
商店	Shangdian
上都	Shangdou
车厢	Chexiang
花园	Huayuan
海关	Haiguan
大都	Dadou|dadu
省人大	Shengrenda
园林	Yuanlin
三角	Sanjiao
村委会	Cunweihui
新城	Xincheng
南昌	Nanchang
东南	Dongnan
区政府	Quzhengfu
南非	Nanfei
大厦	Dasha
新华	Xinhua
仓库	Cangku
国道	Guodao
管委会	Guanweihui
河流	Heliu
振兴	Zhenxing
龙头	Longtou
工商局	Gongshangju
国际机场	Guojijichang
西北部	Xibeibu
居委会	Juweihui
北大	Beida
保险公司	Baoxiangongsi
出版社	Chubanshe
卫生局	Weishengju
印尼	Yinni
京城	Jingcheng
收费站	Shoufeizhan
丝绸之路	Sichouzhilu
中原	Zhongyuan
上新	Shangxin
遗址	Yizhi
直辖市	Zhixiashi
楼上	Loushang
市政协	Shizhengxie
电台	Diantai
上方	Shangfang
汶川	Wenchuan
高地	Gaodi
交警支队	Jiaojingzhidui
批发市场	Pifashichang
清华	Qinghua
浦东	Pudong
元和	Yuanhe
台上	Taishang
云集	Yunji
经济带	Jingjidai
党校	Dangxiao
首府	Shoufu
看守所	Kanshousuo
古城	Gucheng
美的	Meidi
隶属	Lishu
复旦大学	Fudandaxue
中都	Zhongdu
总统府	Zongtongfu
城里	Chengli
邮政	Youzheng
洛杉矶	Luoshanji
加油站	Jiayouzhan
株洲	Zhuzhou
铁路局	Tieluju
消防支队	Xiaofangzhidui
农贸市场	Nongmaoshichang
商业银行	Shangyeyinhang
万家	Wanjia
湘潭	Xiangtan
中山大学	Zhongshandaxue
草坪	Caoping
安定	Anding
集成	Jicheng
体育馆	Tiyuguan
省道	Shengdao
岳阳	Yueyang
珠江	Zhujiang
立交桥	Lijiaoqiao
北美	Beimei
林业局	Linyeju
产业园区	Chanyeyuanqu
菜市场	Caishichang
动物园	Dongwuyuan
司法局	Sifaju
高雄	Gaoxiong
海淀	Haidian
长城	Changcheng
行政区	Xingzhengqu
森林公园	Senlingongyuan
中韩	Zhonghan
科学院	Kexueyuan
三峡	Sanxia
客运站	Keyunzhan
台北市	Taibeishi
购物中心	Gouwuzhongxin
岭南	Lingnan
番禺	Panyu
江北	Jiangbei
管理学院	Guanlixueyuan
大河	Dahe
苏宁	Suning
高山	Gaoshan
革新	Gexin
天桥	Tianqiao
中医院	Zhongyiyuan
衡阳	Hengyang
矿山	Kuangshan
美术馆	Meishuguan
小店	Xiaodian
巴勒斯坦	Balesitan
气象局	Qixiangju
大山	Dashan
剧院	Juyuan
南站	Nanzhan
教学楼	Jiaoxuelou
福田	Futian
海底	Haidi
殡仪馆	Binyiguan
东城	Dongcheng
市里	Shili
步行街	Buxingjie
金陵	Jinling
天河	Tianhe
桥下	Qiaoxia
中国银行	Zhongguoyinhang
沙漠	Shamo
大江	Dajiang
汽车站	Qichezhan
矿产资源	Kuangchanziyuan
万里	Wanli
会展中心	Huizhanzhongxin
一中	Yizhong
湘江	Xiangjiang
故宫	Gugong
西湖	Xihu
江汉	Jianghan
检查站	Jianchazhan
电站	Dianzhan
台中	Taizhong
体育场	Tiyuchang
加工厂	Jiagongchang
城内	Chengnei
沙滩	Shatan
热带风暴	Redaifengbao
医科大学	Yikedaxue
安全局	Anquanju
电影院	Dianyingyuan
邵阳	Shaoyang
住宅小区	Zhuzhaixiaoqu
交通局	Jiaotongju
敬老院	Jinglaoyuan
山林	Shanlin
欧亚	Ouya
近海	Jinhai
后门	Houmen
公交车站	Gongjiaochezhan
桥上	Qiaoshang
桥面	Qiaomian
新风	Xinfeng
遗迹	Yiji
中心医院	Zhongxinyiyuan
军营	Junying
青山	Qingshan
林地	Lindi
武汉大学	Wuhandaxue
东湖	Donghu
南航	Nanhang
北站	Beizhan
西城	Xicheng
黄埔	Huangpu
中关村	Zhongguancun
培训中心	Peixunzhongxin
福利院	Fuliyuan
电厂	Dianchang
丰台	Fengtai
儿童医院	Ertongyiyuan
南门	Nanmen
商业街	Shangyejie
黎巴嫩	Libanen
阿联酋	Alianqiu
三甲	Sanjia
三中	Sanzhong
滨江	Binjiang
文化广场	Wenhuaguangchang
开封	Kaifeng
海滨	Haibin
城北	Chengbei
建设局	Jiansheju
新开	Xinkai
南疆	Nanjiang
工商银行	Gongshangyinhang
芦山	Lushan
法学院	Faxueyuan
渤海	Bohai
大同	Datong
首都机场	Shoudujichang
中和	Zhonghe
展览馆	Zhanlanguan
大坝	Daba
村口	Cunkou
安监局	Anjianju
体育中心	Tiyuzhongxin
增城	Zengcheng
西岸	Xian
南京大学	Nanjingdaxue
医学院	Yixueyuan
前海	Qianhai
宜宾	Yibin
长治	Changzhi
罗湖	Luohu
急救中心	Jijiuzhongxin
科技园	Kejiyuan
果园	Guoyuan
九江	Jiujiang
芜湖	Wuhu
台南	Tainan
城南	Chengnan
巷子	Xiangzi
山下	Shanxia
运河	Yunhe
八一	Bayi
南美	Nanmei
植物园	Zhiwuyuan
房山	Fangshan
消防局	Xiaofangju
乡政府	Xiangzhengfu
东门	Dongmen
丝路	Silu
分店	Fendian
龙华	Longhua
夏威夷	Xiaweiyi
绍兴	Shaoxing
公墓	Gongmu
交通银行	Jiaotongyinhang
虹桥	Hongqiao
邮局	Youju
北路	Beilu
越秀	Yuexiu
消防队	Xiaofangdui
沃尔玛	Woerma
北门	Beimen
远洋	Yuanyang
人才市场	Rencaishichang
水电站	Shuidianzhan
大胜	Dasheng
江边	Jiangbian
税务局	Shuiwuju
深山	Shenshan
建筑设计	Jianzhusheji
新天地	Xintiandi
文化馆	Wenhuaguan
自治州	Zizhizhou
建设银行	Jiansheyinhang
山脚	Shanjiao
工行	Gonghang
钱江	Qianjiang
石油公司	Shiyougongsi
家乐福	Jialefu
市工商局	Shigongshangju
桥头	Qiaotou
泵站	Bengzhan
沿河	Yanhe
同济大学	Tongjidaxue
变电站	Biandianzhan
义乌	Yiwu
水井	Shuijing
稻田	Daotian
火山	Huoshan
科技馆	Kejiguan
实验中学	Shiyanzhongxue
南城	Nancheng
菜地	Caidi
南湖	Nanhu
山头	Shantou
南区	Nanqu
丰盛	Fengsheng
维吾尔族	Weiwuerzu
西门	Ximen
城中	Chengzhong
华润	Huarun
泰山	Taishan
道口	Daokou
山坡上	Shanposhang
美术学院	Meishuxueyuan
墨尔本	Moerben
站前	Zhanqian
地震局	Dizhenju
外滩	Waitan
特拉维夫	Telaweifu
牧场	Muchang
河堤	Hedi
承德	Chengde
迎春	Yingchun
前门	Qianmen
二中	Erzhong
丰满	Fengman
牡丹	Mudan
黑马	Heima
湖边	Hubian
大水	Dashui
湖畔	Hupan
后院	Houyuan
茶园	Chayuan
证券公司	Zhengquangongsi
建筑公司	Jianzhugongsi
中南大学	Zhongnandaxue
舟山	Zhoushan
邮政局	Youzhengju
化工厂	Huagongchang
城东	Chengdong
二环路	Erhuanlu
桥墩	Qiaodun
清真寺	Qingzhensi
创业园	Chuangyeyuan
纽约州	Niuyuezhou
泥沙	Nisha
省辖市	Shengxiashi
城西	Chengxi
暨南大学	Jinandaxue
田里	Tianli
老城	Laocheng
南开大学	Nankaidaxue
富士康	Fushikang
省军区	Shengjunqu
葫芦	Hulu
洼地	Wadi
检测中心	Jiancezhongxin
苗族	Miaozu
中兴	Zhongxing
密云	Miyun
新街口	Xinjiekou
中山路	Zhongshanlu
华龙	Hualong
南郊	Nanjiao
山城	Shancheng
颐和园	Yiheyuan
斜坡	Xiepo
交大	Jiaoda
路桥	Luqiao
公馆	Gongguan
设计院	Shejiyuan
萧山	Xiaoshan
珠江新城	Zhujiangxincheng
泉水	Quanshui
舟曲	Zhouqu
训练基地	Xunlianjidi
供电局	Gongdianju
王府井	Wangfujing
轮渡	Lundu
小道	Xiaodao
医疗中心	Yiliaozhongxin
洞口	Dongkou
小岛	Xiaodao
绿洲	Lvzhou
北京站	Beijingzhan
造纸	Zaozhi
广袤	Guangmao
闵行	Minhang
大洲	Dazhou
协和医院	Xieheyiyuan
海港	Haigang
烈士陵园	Lieshilingyuan
下坡	Xiapo
人民大学	Renmindaxue
南坪	Nanping
新北	Xinbei
市委党校	Shiweidangxiao
解放路	Jiefanglu
边检站	Bianjianzhan
牌坊	Paifang
西洋	Xiyang
徐家汇	Xujiahui
人民广场	Renminguangchang
遵义	Zunyi
西郊	Xijiao
肿瘤医院	Zhongliuyiyuan
伊犁	Yili
新华书店	Xinhuashudian
自治县	Zizhixian
东岸	Dongan
万州	Wanzhou
东北角	Dongbeijiao
师大	Shida
北京西站	Beijingxizhan
浦口	Pukou
陵园	Lingyuan
国防大学	Guofangdaxue
利比里亚	Libiliya
东南大学	Dongnandaxue
宁乡	Ningxiang
坪山	Pingshan
少年宫	Shaoniangong
北疆	Beijiang
中澳	Zhongao
中行	Zhonghang
陆家嘴	Lujiazui
石油化工	Shiyouhuagong
花城	Huacheng
黄浦江	Huangpujiang
澳门特区	Aomentequ
长安街	Changanjie
渝北	Yubei
东郊	Dongjiao
水沟	Shuigou
横琴	Hengqin
抚顺	Fushun
金黄	Jinhuang
市规划局	Shiguihuaju
黄浦	Huangpu
南京路	Nanjinglu
浦东机场	Pudongjichang
展览中心	Zhanlanzhongxin
涪陵	Fuling
回族	Huizu
蒙古族	Mengguzu
绿城	Lvcheng
大礼堂	Dalitang
祠堂	Citang
冷库	Lengku
新桥	Xinqiao
欧洲联盟	Ouzhoulianmeng
山沟	Shangou
中心广场	Zhongxinguangchang
兴业银行	Xingyeyinhang
和美	Hemei
深圳大学	Shenzhendaxue
华美	Huamei
西南角	Xinanjiao
台东	Taidong
西江	Xijiang
南洋	Nanyang
龙潭	Longtan
四海	Sihai
音乐学院	Yinyuexueyuan
大路	Dalu
草场	Caochang
东江	Dongjiang
洪山	Hongshan
湖南大学	Hunandaxue
后应	Houying
水口	Shuikou
新竹	Xinzhu
永川	Yongchuan
建新	Jianxin
麦田	Maitian
市物价局	Shiwujiaju
华侨城	Huaqiaocheng
龙湖	Longhu
俄国	Eguo
解放碑	Jiefangbei
工农	Gongnong
天台	Tiantai
康复中心	Kangfuzhongxin
新都	Xindu
屠宰场	Tuzaichang
西单	Xidan
北郊	Beijiao
复建	Fujian
中心城	Zhongxincheng
紫金山	Zijinshan
水田	Shuitian
鲁甸	Ludian
科技城	Kejicheng
一公司	Yigongsi
分水岭	Fenshuiling
国家公园	Guojiagongyuan
白云山	Baiyunshan
档案局	Danganju
西关	Xiguan
花园小区	Huayuanxiaoqu
四合院	Siheyuan
奉贤	Fengxian
崇明	Chongming
新楼	Xinlou
观音桥	Guanyinqiao
家属院	Jiashuyuan
溧水	Lishui
昆仑	Kunlun
青浦	Qingpu
金三角	Jinsanjiao
湖中	Huzhong
苗圃	Miaopu
塞拉利昂	Sailaliang
秦淮	Qinhuai
行政中心	Xingzhengzhongxin
老年公寓	Laoniangongyu
中山公园	Zhongshangongyuan
渡口	Dukou
书城	Shucheng
浦江	Pujiang
彝族	Yizu
财源	Caiyuan
琶洲	Pazhou
钟楼	Zhonglou
铜陵	Tongling
主楼	Zhulou
梨园	Liyuan
星城	Xingcheng
游泳馆	Youyongguan
上首	Shangshou
嘉义	Jiayi
高淳	Gaochun
麒麟	Qilin
仙境	Xianjing
珊瑚	Shanhu
嘉陵江	Jialingjiang
香山	Xiangshan
夫子庙	Fuzimiao
新港	Xingang
蛇口	Shekou
菜园	Caiyuan
平谷	Pinggu
新泽西州	Xinzexizhou
平潭	Pingtan
东街	Dongjie
游乐园	Youleyuan
食品公司	Shipingongsi
时代广场	Shidaiguangchang
黄陂	Huangpi
水泥厂	Shuinichang
三联	Sanlian
几内亚	Jineiya
清正	Qingzheng
信用社	Xinyongshe
服装厂	Fuzhuangchang
津巴布韦	Jinbabuwei
碧桂园	Biguiyuan
自来水厂	Zilaishuichang
城阳	Chengyang
温岭	Wenling
巴州	Bazhou
建设路	Jianshelu
北京南站	Beijingnanzhan
九龙坡	Jiulongpo
招商局	Zhaoshangju
协和	Xiehe
江夏	Jiangxia
理工学院	Ligongxueyuan
公路局	Gongluju
燕山	Yanshan
新洲	Xinzhou
龙城	Longcheng
文化公园	Wenhuagongyuan
金牛	Jinniu
浙大	Zheda
小林	Xiaolin
公社	Gongshe
修理厂	Xiulichang
检测站	Jiancezhan
上饶	Shangrao
城门	Chengmen
滨湖	Binhu
上水	Shangshui
林中	Linzhong
船厂	Chuanchang
技工学校	Jigongxuexiao
环山	Huanshan
西海	Xihai
福地	Fudi
金花	Jinhua
庭前	Tingqian
后山	Houshan
双城	Shuangcheng
铁路桥	Tieluqiao
始发站	Shifazhan
欢乐谷	Huanlegu
山塘	Shantang
余杭	Yuhang
大义	Dayi
通化	Tonghua
三桥	Sanqiao
中粮集团	Zhongliangjituan
格力	Geli
小溪	Xiaoxi
酒厂	Jiuchang
造船厂	Zaochuanchang
光华	Guanghua
黄花	Huanghua
本溪	Benxi
大城	Dacheng
合川	Hechuan
老屋	Laowu
宜兰	Yilan
后任	Houren
开元	Kaiyuan
松花江	Songhuajiang
唐人街	Tangrenjie
地坛	Ditan
公元前	Gongyuanqian
金店	Jindian
金桥	Jinqiao
油气资源	Youqiziyuan
上头	Shangtou
雨花	Yuhua
北街	Beijie
丰产	Fengchan
少林寺	Shaolinsi
血站	Xuezhan
印刷厂	Yinshuachang
马里兰州	Malilanzhou
华府	Huafu
火车南站	Huochenanzhan
花市	Huashi
江海	Jianghai
民族风情	Minzufengqing
大漠	Damo
开源	Kaiyuan
春光	Chunguang
铁岭	Tieling
海防	Haifang
辽阳	Liaoyang
河滩	Hetan
华联	Hualian
温江	Wenjiang
汽车城	Qichecheng
加气站	Jiaqizhan
渔村	Yucun
珀斯	Posi
县委办	Xianweiban
玄武湖	Xuanwuhu
金刚	Jingang
辰溪	Chenxi
湖里	Huli
天坛	Tiantan
边境线	Bianjingxian
圆明园	Yuanmingyuan
大观园	Daguanyuan
浦发银行	Pufayinhang
东四	Dongsi
兵营	Bingying
东风路	Dongfenglu
商务中心	Shangwuzhongxin
文化宫	Wenhuagong
临夏	Linxia
南川	Nanchuan
卫生所	Weishengsuo
四代	Sidai
东进	Dongjin
深坑	Shenkeng
金龙	Jinlong
油库	Youku
下边	Xiabian
南开	Nankai
高桥	Gaoqiao
上家	Shangjia
武隆	Wulong
加力	Jiali
沙田	Shatian
吉安	Jian
渭河	Weihe
杨家坪	Yangjiaping
孟加拉	Mengjiala
凉亭	Liangting
兵马俑	Bingmayong
东直门	Dongzhimen
接待中心	Jiedaizhongxin
俄亥俄州	Ehaiezhou
钟头	Zhongtou
湖滨	Hubin
小桥	Xiaoqiao
硚口	Qiaokou
人寿保险	Renshoubaoxian
居民点	Jumindian
新会	Xinhui
钱庄	Qianzhuang
养鸡场	Yangjichang
海河	Haihe
杭州湾	Hangzhouwan
板桥	Banqiao
华阳	Huayang
新化	Xinhua
长江路	Changjianglu
向阳	Xiangyang
天和	Tianhe|tianhu
武陵源	Wulingyuan
红树林	Hongshulin
王宫	Wanggong
葡萄园	Putaoyuan
下都	Xiadou
上海大学	Shanghaidaxue
防护林	Fanghulin
上铺	Shangpu
沙湾	Shawan
神木	Shenmu
槟榔	Binglang
黄兴	Huangxing
热电厂	Redianchang
东非	Dongfei
五路	Wulu
澄迈	Chengmai
满城	Mancheng
刚果	Gangguo
大亚湾	Dayawan
小山村	Xiaoshancun
城市广场	Chengshiguangchang
浏阳河	Liuyanghe
三班	Sanban
中山陵	Zhongshanling
鹏城	Pengcheng
天津大学	Tianjindaxue
澎湖	Penghu
凤凰山	Fenghuangshan
体坛	Titan
人民公园	Renmingongyuan
昆曲	Kunqu
深井	Shenjing
门头	Mentou
水边	Shuibian
金城	Jincheng
酉阳	Youyang
瑶族	Yaozu
冰山	Bingshan
路南	Lunan
华工	Huagong
柴油车	Chaiyouche
永嘉	Yongjia
巨龙	Julong
东方明珠	Dongfangmingzhu
临潼	Lintong
影剧院	Yingjuyuan
疗养院	Liaoyangyuan
荷塘	Hetang
江东	Jiangdong
西北大学	Xibeidaxue
紫荆	Zijing
大湖	Dahu
名古屋	Mingguwu
鹿城	Lucheng
白花	Baihua
国泰	Guotai
佛教协会	Fojiaoxiehui
新田	Xintian
西柏坡	Xibaipo
八家	Bajia
大坪	Daping
南大门	Nandamen
机场路	Jichanglu
天井	Tianjing
华电	Huadian
虹桥机场	Hongqiaojichang
石桥	Shiqiao
永乐	Yongle
香江	Xiangjiang
莲花山	Lianhuashan
密苏里州	Misulizhou
金堂	Jintang
诸暨	Zhuji
大乐	Dale
芳村	Fangcun
条子	Tiaozi
东大街	Dongdajie
格林	Gelin
二桥	Erqiao
璧山	Bishan
西大街	Xidajie
大马路	Damalu
砖厂	Zhuanchang
平头	Pingtou
少林	Shaolin
新发地	Xinfadi
维新	Weixin
国发	Guofa
长清	Changqing
奉节	Fengjie
雨花台	Yuhuatai
正定	Zhengding
