aaa 啊啊啊
baiyujia 百余家
baiyuming 百余名
baiyunpeng 白云鹏
baiyunyan 白云岩
baiyuren 百余人
baiyuxian 白玉县
baizhanting 拜占庭
baizhequn 百褶裙
baizhifang 白纸坊
baizhongren 白种人
bajiaogu 八角鼓
bajiaojie 八角街
bajiaomao 八角帽
bajiaoshan 芭蕉扇
bajiaoxing 八角形
bajinzhi 八进制
bajiusui 八九岁
bakuojie 八廓街
balagui 巴拉圭
balake 巴拉克
baleiwu 芭蕾舞
balidao 巴厘岛
balujun 八路军
baluoke 巴洛克
bamake 巴马科
banama 巴拿马
banbeizi 半辈子
banbiantian 半边天
banbudao 办不到
banchengpin 半成品
bandaoti 半导体
bandehao 办得好
bandianer 半点儿
banfengjian 半封建
banfenzhong 半分钟
banganbu 班干部
banganhan 半干旱
bangbangmang 帮帮忙
bangjile 棒极了
bangonglou 办公楼
bangongqu 办公区
bangongshi 办公室
bangongting 办公厅
bangongyi 办公椅
bangongzhuo 办公桌
banguanfang 半官方
bangziqiang 梆子腔
banhuajia 版画家
banianji 八年级
banjiaoshi 绊脚石
banjiti 班集体
banjuesai 半决赛
bankongzhong 半空中
banlangen 板蓝根
banlushang 半路上
banmaxian 斑马线
banmendian 板门店
banqiuxing 半球形
banrutang 半乳糖
banshanyao 半山腰
banshenxiang 半身像
banshichu 办事处
banshiji 半世纪
banshirun 半湿润
banshishi 办实事
banshiye 半失业
banshuaiqi 半衰期
bantouming 半透明
bantoumo 半透膜
bantouyan 斑头雁
banweihui 班委会
banwenmang 半文盲
banxiaoshi 半小时
banxishi 办喜事
banyanzhe 扮演着
banyeli 半夜里
banyinjie 半音阶
banyuanxing 半圆形
banyuekan 半月刊
banyuexing 半月形
banyunfei 搬运费
banyungong 搬运工
banzhelian 板着脸
banzhipin 半制品
banzhuren 班主任
banzidong 半自动
banzoudai 伴奏带
baoantuan 保安团
baoanzu 保安族
baobeier 宝贝儿
baobuping 抱不平
baocunqi 保存期
baodinglu 保定路
baodingshi 保定市
baofali 爆发力
baofashi 爆发式
baofaxing 爆发性
baofengxian 宝丰县
baofengxue 暴风雪
baofengyu 暴风雨
baofuxing 报复性
baogaodan 报告单
baogaohui 报告会
baogaoshu 报告书
baohaosi 包豪斯
baohedian 保和殿
baohedu 饱和度
baohuasheng 剥花生
baohuceng 保护层
baohudi 保护地
baohufa 保护法
baohuguo 保护国
baohujia 保护价
baohumo 保护膜
baohuqi 保护期
baohuqu 保护区
baohuse 保护色
baohuzhe 保护者
baojianfeng 宝剑锋
baojianpin 保健品
baojiaohuan 包交换
baojingqi 报警器
baojishi 宝鸡市
baolengmen 爆冷门
baoliandeng 宝莲灯
baolingqiu 保龄球
baolisi 鲍里斯
baoluchu 暴露出
baomiding 胞嘧啶
baomihua 爆米花
baomixing 保密性
baonuanxing 保暖性
baopingan 报平安
baopotong 爆破筒
baopozu 爆破组
baorongxing 包容性
baoshanlu 宝山路
baoshanqu 宝山区
baoshengong 包身工
baoshoudang 保守党
baoshoupai 保守派
baoshuiqu 保税区
baoshuya 鲍叔牙
baotashan 宝塔山
baoweiquan 包围圈
baoweizhan 保卫战
baoweizhe 保卫者
baowenbei 保温杯
baowenping 保温瓶
baowenxiang 保温箱
baoxialai 包下来
baoxiandeng 保险灯
baoxianfei 保险费
baoxiangui 保险柜
baoxianjin 保险金
baoxianren 保险人
baoxiansi 保险丝
baoxianxiang 保险箱
baoxianye 保险业
baoxiudan 保修单
baoxiuqi 保修期
baoyici 褒义词
baoyouliang 保有量
baozhangfa 保障法
baozhangjin 保障金
baozhangju 保障局
baozhangxing 保障性
baozhawu 爆炸物
baozhaxing 爆炸性
baozhendu 保真度
baozhengjin 保证金
baozhengshu 保证书
baozhiqi 保质期
baozhuangdai 包装袋
baozhuangfei 包装费
baozhuanghe 包装盒
baozhuangxiang 包装箱
baozhuangzhi 包装纸
baozhusheng 爆竹声
baozinang 孢子囊
baozitou 豹子头
baqilai 拔起来
basaier 巴塞尔
bashiba 八十八
bashijiu 八十九
bashisi 八十四
bashisui 八十岁
bashiwan 八十万
bashiyi 八十一
baside 巴斯德
batele 巴特勒
bawanglong 霸王龙
bawozhu 把握住
baxianzhuo 八仙桌
baxiaoshi 八小时
baxigui 巴西龟
beibanqiu 北半球
beibingyang 北冰洋
beibuchu 背不出
beichengzuo 被称作
beichushu 被除数
beidacang 北大仓
beidahuang 北大荒
beidajie 北大街
beidaluan 被打乱
beidanci 背单词
beidijun 北地郡
beidili 背地里
beidiyin 倍低音
beidongshi 被动式
beidouxing 北斗星
beiduizhe 背对着
beiduofen 贝多芬
beiergen 卑尔根
beierna 贝尔纳
beifajun 北伐军
beifangzhe 被访者
beifengchu 背风处
beifengchui 北风吹
beifuzhe 背负着
beigaoren 被告人
beigeer 贝格尔
beigulou 北固楼
beigushan 北固山
beihaidao 北海道
beihairen 被害人
beihandai 北寒带
beihushi 被忽视
beijianshu 被减数
beijiguang 北极光
beijingcheng 北京城
beijingse 背景色
beijingshi 北京市
beijingtu 背景图
beijingya 北京鸭
beijiquan 北极圈
beijixing 北极星
beijixiong 北极熊
beijugao 被举高
beikaobei 背靠背
beikelei 贝壳类
beileimao 贝雷帽
beiliede 卑劣地
beilute 贝鲁特
beimeizhou 北美洲
beishangde 悲伤地
beiwanglu 备忘录
beiwendai 北温带
beixialai 背下来
beixiangnan 北向南
beixiangzhe 背向着
beixuanwei 被选为
beiyapo 被压迫
beiyiqi 被遗弃
beiyueshi 背越式
beiyuming 贝聿铭
beiyunhe 北运河
beiyuwei 被誉为
beizheshou 背着手
beizhongjiu 杯中酒
benbaoxun 本报讯
bendiren 本地人
bengfachu 迸发出
benhangye 本行业
benhetong 本合同
benhuangsuan 苯磺酸
benjiasuan 苯甲酸
benjieming 本杰明
benkesheng 本科生
benshiji 本世纪
bentuhua 本土化
benxueke 本学科
benxuenian 本学年
benxueqi 本学期
benyixi 苯乙烯
benyuedi 本月底
benzhoudao 本州岛
bianbuqing 辨不清
bianchangbian 边唱边
bianchengqi 编程器
biandianzhan 变电站
bianfangjun 边防军
bianhouji 编后记
bianhualv 变化率
bianhuanqi 变换器
bianhuci 辩护词
bianhuren 辩护人
bianjianben 便笺本
bianjiaoliao 边角料
bianjibu 编辑部
bianjiexing 便捷性
bianjiqi 编辑器
bianjishi 编辑室
bianjizhe 编辑者
bianleyang 变了样
bianliangming 变量名
bianliangzhi 变量值
bianlidian 便利店
bianlihua 便利化
bianlixing 便利性
bianlunhui 辩论会
bianlunsai 辩论赛
bianmaqi 编码器
biannianshi 编年史
biannianti 编年体
bianpinghua 扁平化
bianrenchu 辨认出
biansaishi 边塞诗
bianselong 变色龙
bianshengqi 变声期
biansugan 变速杆
biansuxiang 变速箱
biantanbian 边谈边
bianweihui 编委会
bianxiechu 编写出
bianxieshi 便携式
bianxiezhe 编写者
bianxingchong 变形虫
bianxingji 变性剂
bianyaqi 变压器
bianyicheng 编译成
bianyici 贬义词
bianyiqi 编译器
bianyixing 变异性
bianyuanhua 边缘化
bianyuanxing 扁圆形
bianzetong 变则通
bianzhean 编者按
bianzhengfa 辩证法
bianzhicheng 编织成
bianzhiyan 变质岩
bianzouqu 变奏曲
bianzuqi 变阻器
bianzuzhan 编组站
biaochulai 标出来
biaodafa 表达法
biaodashi 表达式
biaodie 标的额
biaojuequan 表决权
biaoluchu 表露出
biaomianceng 表面层
biaomianji 表面积
biaomianmin 表面皿
biaomianshang 表面上
biaoshifa 表示法
biaoshihao 标识号
biaotilan 标题栏
biaoxianli 表现力
biaoxianxing 表现型
biaoxiongdi 表兄弟
biaoxiongmei 表兄妹
biaoyanchang 表演唱
biaoyanjia 表演家
biaoyanxing 表演性
biaoyanzhe 表演者
biaozhipai 标志牌
biaozhiwu 标志物
biaozhixing 标志性
biaozhongbiao 表中表
biaozhunbiao 标准表
biaozhuncha 标准差
biaozhunfen 标准分
biaozhunhua 标准化
biaozhunjian 标准件
biaozhunju 标准局
biaozhunmei 标准煤
biaozhuntu 标准图
biaozhunwu 标准舞
biaozhunyin 标准音
biaozhunzhi 标准值
bibeipin 必备品
bibushang 比不上
bichier 鼻翅儿
bichulai 逼出来
bicijian 彼此间
bidebao 彼得堡
bideshang 比得上
biduochun 吡哆醇
biegenwo 别跟我
biewangle 别忘了
bieyiwei 别以为
biezhaoji 别着急
bifangshuo 比方说
bifenggang 避风港
bifenshu 比分数
biguashi 壁挂式
bihexing 闭合性
bihusuo 庇护所
bijiaofa 比较法
bijiaoji 比较级
bijiaoman 比较慢
bijiaomang 比较忙
bijiashan 笔架山
bijiasuo 毕加索
bijiben 笔记本
bileizhen 避雷针
bilibiao 比例表
bilichi 比例尺
bilishi 比利时
biluren 秘鲁人
bimushi 闭幕式
bimuyu 比目鱼
bingansuan 丙氨酸
bingbubi 并不比
bingbuda 并不大
bingbuduo 并不多
bingchizhe 秉持着
bingchonghai 病虫害
bingcusuan 冰醋酸
bingdilian 并蒂莲
bingdongqi 冰冻期
bingduku 病毒库
bingduxing 病毒性
bingduxue 病毒学
bingfazheng 并发症
binggongchang 兵工厂
bingguner 冰棍儿
binghuanzhe 病患者
bingjiling 冰激凌
binglieju 并列句
binglike 病理科
binglixing 病理性
binglixue 病理学
bingmayong 兵马俑
bingqilin 冰淇淋
bingsilv 病死率
bingtongsuan 丙酮酸
bingxiangmen 冰箱门
bingxijing 丙烯腈
bingxisuan 丙烯酸
bingxuejie 冰雪节
bingyanyan 病恹恹
bingyifa 兵役法
bingyuanti 病原体
binhelu 滨河路
biqiuni 比丘尼
biranxing 必然性
birerong 比热容
birushuo 比如说
bisaichang 比赛场
bishangyan 闭上眼
bishumin 毕淑敏
bisimai 俾斯麦
biwoqiang 比我强
bixiuke 必修课
bixupin 必需品
biyanhu 鼻烟壶
biyaoxing 必要性
biyesheng 毕业生
biyibi 比一比
biyinjie 闭音节
biyuzan 碧玉簪
bizijian 鼻子尖
bocitan 波茨坦
bodianzu 铂电阻
bodongxing 波动性
boensi 伯恩斯
boerni 伯尔尼
bofangji 播放机
bofangqi 播放器
bofenghan 波峰焊
bofuwa 波伏瓦
bogeda 波哥大
bohaiwan 渤海湾
bohaopan 拨号盘
bokeli 伯克利
bolangfeng 勃朗峰
bolangshi 波浪式
bolangte 勃朗特
bolanhui 博览会
bolatu 柏拉图
boliban 玻璃板
bolibang 玻璃棒
bolibei 玻璃杯
bolichuang 玻璃窗
boligang 玻璃钢
boliguan 玻璃管
bolihua 玻璃花
bolimen 玻璃门
bolinqiang 柏林墙
bolipian 玻璃片
boliping 玻璃瓶
boliqiu 玻璃球
bolisi 波利斯
boliti 玻璃体
bolizhao 玻璃罩
bolizhi 玻璃纸
bolizhuan 玻璃砖
bolizi 伯利兹
bominghan 伯明翰
bonade 伯纳德
boqinhuai 泊秦淮
boshidun 波士顿
boshisheng 博士生
bosiwan 波斯湾
bosiyu 波斯语
botelv 波特率
bowuguan 博物馆
bowuyuan 博物院
boxingtu 波形图
boxuezhe 剥削者
boyilun 博弈论
boyinyuan 播音员
bozhongji 播种机
bubaohe 不饱和
bubianxing 不变性
bubinglian 步兵连
bubiyao 不必要
buchangfa 补偿法
buchangfei 补偿费
buchangxing 补偿性
buchenghua 不成话
buchengqi 不成器
buchengxing 不成形
buchenzhi 不称职
budahao 不大好
budaishuo 不待说
budajin 不打紧
budaode 不道德
budaoweng 不倒翁
budebu 不得不
budele 不得了
budengliang 不等量
budengshi 不等式
budeti 不得体
budeyi 不得已
budezhi 不得志
budingqi 不定期
budingshi 不定式
budongchan 不动产
budonggang 不冻港
budongshi 不懂事
buduijin 不对劲
buduojian 不多见
buduoshi 不多时
buerzhi 布尔值
bufangguo 不放过
bufuqi 不服气
bufushu 不服输
bugandang 不敢当
bugaolan 布告栏
buguize 不规则
buguniao 布谷鸟
buguoyi 不过意
buhanhu 不含糊
buhaoshou 不好受
buheli 不合理
buhesuan 不合算
buhuasuan 不划算
buhuicuo 不会错
buhuigai 不悔改
bujiande 不见得
bujianduan 不间断
bujiemeng 不结盟
bujieyi 不介意
bujige 不及格
bujingqi 不景气
bujingyi 不经意
bujinjin 不仅仅
bujinran 不尽然
bujipin 补给品
bujiuqian 不久前
bujixian 补给线
bujuni 不拘泥
bujunshou 不龟手
bukannan 布坎南
bukebu 不可不
bukeqi 不客气
bukeshu 不可数
bukewei 不可违
bulage 布拉格
bulaike 布莱克
bulake 布拉克
bulangji 布朗基
bulangzu 布朗族
bulaohu 布老虎
bulaoye 捕捞业
buleyi 不乐意
buliangli 不量力
bulianglv 不良率
bulianguan 不连贯
buliedian 不列颠
buliqi 布里奇
buliyu 不利于
bulongdi 布隆迪
bulunshi 不论是
buluofen 布洛芬
buluohe 布洛赫
buluoke 布洛克
bulusi 布鲁斯
bumaizhang 不买账
bumanzhe 不满者
bumingzhi 不明智
bunaifan 不耐烦
bunengbu 不能不
bupasi 不怕死
buqiuren 不求人
buqiyan 不起眼
buquanshi 不全是
burendao 不人道
burenxin 不忍心
burenzhang 不认账
burulei 哺乳类
buruqi 哺乳期
buruyi 不如意
bushengren 不胜任
bushigan 不适感
bushiwei 不失为
bushizhe 捕食者
bushunxin 不顺心
busuanzi 卜算子
butaichang 不太长
butaigao 不太高
butaihao 不太好
butaikuai 不太快
butaiqiang 不太强
butingdun 不停顿
butinghua 不听话
butingxi 不停息
butongdian 不同点
butongyu 不同于
butouguang 不透光
butouqi 不透气
butoushui 不透水
buwaihu 不外乎
buwaishi 不外是
buwangben 不忘本
buwawa 布娃娃
buweiju 部委局
buwengu 不稳固
buxiangchen 不相称
buxianggan 不相干
buxianghua 不像话
buxiangrong 不相容
buxiangyang 不像样
buxiaoshuo 不消说
buxiayu 不下雨
buxiban 补习班
buxieyu 不屑于
buxingjie 步行街
buxingzhe 步行者
buxiugang 不锈钢
buyaguan 不雅观
buyaojin 不要紧
buyaolian 不要脸
buyayu 不亚于
buyecheng 不夜城
buyiding 不一定
buyihui 不一会
buyizu 布依族
buyongshuo 不用说
buyoude 不由得
buyuanchu 不远处
buyuye 捕鱼业
buyuzheng 不育症
buzaihu 不在乎
buzaiyi 不在意
buzenme 不怎么
buzhangji 部长级
buzhanguo 不粘锅
buzhengjie 不整洁
buzhengqi 不争气
buzhengshi 布政使
buzhiyu 不至于
buzhongyong 不中用
buzhouyan 不周延
buzhufei 补助费
buzhujin 补助金
buzhuodao 捕捉到
buzudao 不足道
buzuosheng 不作声
buzuqu 不足取
buzuyi 不足以
cabianqiu 擦边球
caicaikan 猜猜看
caichanquan 财产权
caichanshui 财产税
caichaxi 采茶戏
caichulai 猜出来
caidanlan 菜单栏
caidanxiang 菜单项
caidechu 猜得出
caifangzhe 采访者
caifendie 菜粉蝶
caigaoqiao 踩高跷
caigouwang 采购网
caihesen 蔡和森
caihongnv 彩虹女
caihuaile 踩坏了
caijika 采集卡
caijizhe 采集者
caijueshu 裁决书
caikuangye 采矿业
caimiyu 猜谜语
caimogu 采蘑菇
caipanquan 裁判权
caipanyuan 裁判员
caiqingchong 菜青虫
caisangzi 采桑子
caisezhi 彩色纸
caishichang 菜市场
caishikou 菜市口
caitingkai 蔡廷锴
caiwenji 蔡文姬
caixiangdao 猜想到
caixiaqu 踩下去
caiyanglv 采样率
caiyuanpei 蔡元培
caizhengbu 财政部
caizhidao 裁纸刀
caizimi 猜字谜
caiziyou 菜籽油
canaohui 残奥会
cangbaise 苍白色
cangchushi 仓储式
cangjingdong 藏经洞
canglangting 沧浪亭
cangniyu 藏匿于
cangshujia 藏书家
cangshupiao 藏书票
cangshushi 藏书室
canguanquan 参观券
canguanzhe 参观者
cangzhoushi 沧州市
canhuizhe 参会者
canjiazhe 参加者
canjinzhi 餐巾纸
canjiren 残疾人
canjizhe 残疾者
cankaoshu 参考书
canliuliang 残留量
canmouchu 参谋处
canmouzhang 参谋长
cansaidui 参赛队
cansaizhe 参赛者
canshubiao 参数表
canyihui 参议会
canyiyuan 参议院
canyugan 参与感
canyuquan 参与权
canyuxing 参与性
canyuzhe 参与者
canzhanguo 参战国
canzhaowu 参照物
canzhaoxi 参照系
canzhengdang 参政党
canzhenghui 参政会
canzhengyuan 参政员
canzhuoshang 餐桌上
canzhuoyi 餐桌椅
caochangshang 操场上
caocongli 草丛里
caofeidian 曹妃甸
caojinghua 曹靖华
caoliaochang 草料场
caolvchong 草履虫
caomengde 曹孟德
caomuhui 草木灰
caopingdeng 草坪灯
caoqunwu 草裙舞
caorulin 曹汝霖
caoxueqin 曹雪芹
caozasheng 嘈杂声
caozonggan 操纵杆
caozuofu 操作符
caozuoshu 操作数
caozuotai 操作台
caozuoxing 操作性
caozuoyuan 操作员
caozuozhe 操作者
cehuashu 策划书
cehuazhe 策划者
cejuyi 测距仪
celiangchuan 测量船
celiangfa 测量法
celiangxue 测量学
celiangyi 测量仪
celiji 测力计
celvexing 策略性
cengcigan 层次感
cengcixing 层次性
cengdangguo 曾当过
cengduoci 曾多次
cengjiyun 层积云
cengyidu 曾一度
ceshiti 测试题
ceshitu 侧视图
ceshiyi 测试仪
ceshizhe 测试者
cetiwen 测体温
ceweiqi 测微器
cewowei 侧卧位
ceyice 测一测
ceyuandi 策源地
cezhongdian 侧重点
cezhongyu 侧重于
chabuduo 差不多
chadeyuan 差得远
chadianer 差点儿
chadili 刹帝利
chaersi 查尔斯
chahaer 察哈尔
chahaotai 查号台
chahetai 察合台
chahuanv 茶花女
chaixialai 拆下来
chaiyouche 柴油车
chaiyouji 柴油机
chajinlai 插进来
chajuedao 察觉到
chaliman 查理曼
chanajian 刹那间
chanchulv 产出率
chandanliang 产蛋量
chandanlv 产蛋率
chanfuzhe 搀扶着
changancheng 长安城
changanjie 长安街
changanqu 长安区
changbaishan 长白山
changbanpo 长坂坡
changbeijun 常备军
changbiyuan 长臂猿
changchulai 唱出来
changchunshi 长春市
changdaole 尝到了
changdaozhe 倡导者
changduanju 长短句
changduanqi 长短期
changfangti 长方体
changfangxing 长方形
changguixing 常规性
changguoge 唱国歌
changhenge 长恨歌
changhuijia 常回家
changjianbing 常见病
changjiangkou 长江口
changjianyu 常见于
changjinglu 长颈鹿
changjingtou 长镜头
changjinhu 长津湖
changjuli 长距离
changlvshu 常绿树
changmaoxiang 长毛象
changmingsuo 长命锁
changningqu 长宁区
changningxian 长宁县
changpengche 敞篷车
changpingqu 昌平区
changqige 唱起歌
changqilai 唱起来
changqixing 长期性
changrongmao 肠绒毛
changrongmian 长绒棉
changsanjiao 长三角
changsharen 长沙人
changshashi 长沙市
changshengdian 长生殿
changshiban 唱诗班
changshijian 长时间
changshixing 尝试性
changtiaoxing 长条形
changtiaozhuang 长条状
changtingdao 常听到
changweiba 长尾巴
changweihui 常委会
changwenxia 常温下
changxiangyu 常香玉
changxiaoshu 畅销书
changxindian 长辛店
changxingdao 长兴岛
changxingxian 长兴县
changyandao 常言道
changyangyu 徜徉于
changyanshuo 常言说
changyichang 尝一尝
changyishu 倡议书
changyongyu 常用语
changzhege 唱着歌
changzhenglu 长征路
changzhishi 长治市
changzhoushi 常州市
chanhuilu 忏悔录
chanluanchang 产卵场
chanluanqi 产卵期
channailiang 产奶量
chanpinhua 产品化
chanraozhe 缠绕着
chanweiwei 颤巍巍
chanxueyan 产学研
chanyedai 产业带
chanyehua 产业化
chanyejie 产业界
chanyelian 产业链
chanyequ 产业区
chanyouguo 产油国
chaocaiguo 炒菜锅
chaodaoti 超导体
chaodaxing 超大型
chaodiwen 超低温
chaofuhe 超负荷
chaogaoceng 超高层
chaogaopin 超高频
chaogaowen 超高温
chaogaoya 超高压
chaoguojia 超国家
chaohushi 巢湖市
chaojiandai 潮间带
chaolianjie 超链接
chaolinjie 超临界
chaolvmo 超滤膜
chaonaosheng 吵闹声
chaoshengbo 超声波
chaoshengzhe 朝圣者
chaoshuiban 潮水般
chaoshuiping 超水平
chaowenben 超文本
chaoxialai 抄下来
chaoxianren 朝鲜人
chaoxianyu 朝鲜语
chaoxianzu 朝鲜族
chaoxiaoxing 超小型
chaoxineng 潮汐能
chaoxinxing 超新星
chaoyangmen 朝阳门
chaoyangqu 朝阳区
chaoyiliu 超一流
chaoyinsu 超音速
chaozhoushi 潮州市
chaoziran 超自然
charuyu 插入语
chashangqu 插上去
chawenhua 茶文化
chaxuntai 查询台
chayangji 插秧机
chayicha 查一查
chayidian 差一点
chayihua 差异化
chayixing 差异性
chazidian 查字典
chaziliao 查资料
chebashi 车把式
chehuiqu 撤回去
chekuli 车库里
cheliuliang 车流量
chelunzi 车轮子
chenboda 陈伯达
chendanqing 陈丹青
chendianchi 沉淀池
chendiandian 沉甸甸
chendianwu 沉淀物
chenduxiu 陈独秀
chengbanzhe 承办者
chengbaodi 承包地
chengbaoshang 承包商
chengbendi 成本低
chengbenjia 成本价
chengbucheng 成不成
chengbuzhu 撑不住
chengchengxian 澄城县
chengdanzhe 承担者
chengdeshang 称得上
chengdeshi 承德市
chengdexian 承德县
chengduier 成对儿
chengdushi 成都市
chengfanbi 成反比
chengfaqi 乘法器
chengfaxing 惩罚性
chengfeiji 乘飞机
chenggantiao 撑竿跳
chenggonggan 成功感
chenggonglv 成功率
chenggongzhe 成功者
chengguanju 城管局
chenghongse 橙红色
chenghuangmiao 城隍庙
chenghuangse 橙黄色
chenghuoche 乘火车
chenghuolv 成活率
chengjiangxian 澄江县
chengjiaoe 成交额
chengjibiao 成绩表
chengjiugan 成就感
chengjiujiang 成就奖
chenglingji 城陵矶
chengliren 城里人
chengmingzuo 成名作
chengnianqi 成年期
chengnianren 成年人
chengnuozhi 承诺制
chengpinyou 成品油
chengqilai 撑起来
chengrenqi 成人期
chengshibu 呈示部
chengshihua 城市化
chengshiqun 城市群
chengshouli 承受力
chengshouzhe 承受者
chengsuanxing 呈酸性
chengtiansi 承天寺
chenguanzhuang 陈官庄
chengwenfa 成文法
chengwenti 成问题
chengwuxian 成武县
chengwuyuan 乘务员
chengxianchu 呈现出
chengxubao 程序包
chengxufa 程序法
chengxuhua 程序化
chengxuxing 程序性
chengxuyuan 程序员
chengyanqiu 程砚秋
chengyashui 承压水
chengyingxiong 逞英雄
chengyuanguo 成员国
chengyuanxing 呈圆形
chengyuwang 城域网
chengzaili 承载力
chengzhangqi 成长期
chengzhangshi 成长史
chengzhangxing 成长型
chengzhaocai 成兆才
chengzhengbi 成正比
chengzhenhua 城镇化
chengzhiwei 称之为
chengzhongqiang 承重墙
chengzuzhe 承租者
chenhongshou 陈洪绶
chenhuacheng 陈化成
chenjiageng 陈嘉庚
chenjingrun 陈景润
chenjinyu 沉浸于
chenjiongming 陈炯明
chenjiwu 沉积物
chenjiyan 沉积岩
chenlieguan 陈列馆
chenlieshi 陈列室
chenmiyu 沉迷于
