aba 阿巴
aoguo 熬过
aohe 螯合
aohen 凹痕
aohui 懊悔
aojin 凹进
aokeng 凹坑
aokou 拗口
aolan 奥兰
aoli 傲立
aoman 傲慢
aomao 澳毛
aomei 奥美
aomen 澳门
aomi 奥秘
aomian 凹面
aomiao 奥妙
aonao 懊恼
aoni 奥尼
aoran 傲然
aosai 奥赛
aosang 懊丧
aoshi 傲视
aote 奥特
aotu 凹凸
aotuo 奥托
aoxia 凹下
aoxian 凹陷
aoxiang 翱翔
aoxing 凹形
aoye 熬夜
aoyou 遨游
aoyuan 鳌园
aoyun 奥运
aozhan 鏖战
aozhi 熬制
aqi 阿七
asao 阿嫂
ase 阿瑟
ata 阿塔
axi 阿西
axiong 阿兄
axiu 阿秀
aya 啊呀
aye 阿爷
ayi 阿姨
aza 腌臜
baba 爸爸
babai 八百
babao 八宝
babing 把柄
babu 巴布
bacheng 八成
bachi 把持
bachu 拔出
bada 八大
badao 霸道
badian 八点
badiao 拔掉
badong 巴东
badou 笆斗
badu 八度
badun 巴顿
baer 把儿
bafang 八方
bafen 八分
bagao 拔高
bage 八个
bagong 罢工
bagu 八股
bagua 八卦
baguan 把关
bahe 拔河
bahen 疤痕
baibai 拜拜
baiban 百般
baibei 百倍
baibi 败笔
baibian 百变
baibing 百病
baibu 摆布
baicai 白菜
baicao 百草
baicha 白茶
baicheng 摆成
baichi 白痴
baichu 摆出
baichuan 百川
baichui 摆锤
baici 百次
baidai 百代
baidao 摆到
baide 摆得
baideng 白等
baidi 白底
baidian 白点
baiding 白丁
baidong 摆动
baidu 百度
baiduan 掰断
baidun 百吨
baie 白鹅
baifa 白发
baifang 摆放
baifei 白费
baifen 白粉
baifo 拜佛
baigan 摆杆
baige 白鸽
baigei 败给
baigong 白宫
baigu 白骨
baiguan 百官
baiguang 白光
baiguo 白果
baihai 白海
baihao 摆好
baihe 百合
baihou 白喉
baihu 白虎
baihua 百花
baihuai 败坏
baihui 拜会
baihuo 百货
baiji 败绩
baijia 百家
baijian 拜见
baijiang 白讲
baijiao 白胶
baijin 百斤
baijing 白净
baijiu 白酒
baiju 败局
baijun 败军
baikai 摆开
baike 百科
baila 白蜡
bailan 白兰
bailei 败类
baili 百里
bailian 白脸
bailin 白磷
bailing 白领
bailong 白龙
bailu 白鹭
bailun 拜伦
bailuo 败落
bailv 百侣
baima 白马
baiman 摆满
baimang 百忙
baimao 白猫
baimi 百米
baimian 白面
baimiao 白描
baimo 白沫
baimu 百亩
bainen 白嫩
baini 白腻
bainian 百年
bainiao 百鸟
bainong 摆弄
baipang 白胖
baiping 摆平
baiqi 白棋
baiqian 百千
baiqiang 白墙
baiqing 拜请
baiqiu 白球
baiquan 摆拳
baiqun 白裙
bairen 百人
bairi 百日
bairuo 白若
baise 白色
baisha 白沙
baishang 摆上
baishe 摆设
baishi 百事
baishou 摆手
baishu 柏树
baishuang 白霜
baishui 白水
baisong 白送
baisu 败诉
baisui 百岁
baita 白塔
baitai 百态
baitang 白糖
baiti 白体
baitian 白天
baitong 白铜
baitou 白头
baitu 白兔
baitui 败退
baituo 拜托
baiwan 百万
baiwang 拜望
baiwei 百味
baiwen 白文
baiwu 白雾
baixi 白皙
baixia 摆下
baixian 白线
baixiang 白象
baixie 拜谢
baixing 百姓
baixu 白须
baixuan 败选
baixue 白雪
baiyan 白眼
baiyang 白羊
baiye 拜谒
baiyi 白衣
baiyin 白银
baiyou 柏油
baiyu 百余
baiyuan 百元
baiyue 白月
baiyun 白云
baizai 摆在
baizhan 百战
baizhang 百丈
baizhao 百兆
baizhe 摆着
baizheng 摆正
baizhi 白纸
baizhong 百种
baizhou 白昼
baizi 白字
baizu 白族
bajian 拔剑
bajiao 芭蕉
bajie 巴结
bajin 巴金
bajiu 八九
baju 八句
bajuan 八卷
bajun 巴郡
bakai 八开
bake 罢课
baku 巴库
bale 罢了
balei 芭蕾
bali 巴黎
balin 巴林
baling 巴陵
balu 八路
bama 爸妈
bamen 把门
bamian 罢免
banan 办案
banbai 斑白
banban 斑斑
banbao 办报
banbei 半杯
banben 版本
banbi 半壁
banbian 半边
banbo 斑驳
banbu 颁布
bancai 板材
banchai 办差
banchang 半场
bancheng 办成
banchi 半尺
banci 版次
bandang 伴当
bandao 搬到
bande 般的
bandeng 板凳
bandi 班底
bandian 半点
bandong 搬动
banduan 半段
baner 板儿
banfa 办法
banfen 半分
banfu 半幅
bangan 半干
bangbi 膀臂
bangcai 棒材
bangchen 帮衬
bangchui 棒槌
bangdan 榜单
bangdi 邦迪
bangding 绑定
bange 半个
bangei 颁给
bangfu 帮扶
bangge 帮个
banggong 帮工
bangguo 邦国
bangjia 绑架
bangjiao 邦交
bangjin 绑紧
banglian 邦联
bangmang 帮忙
bangong 办公
bangpai 帮派
bangpiao 绑票
bangqiang 帮腔
bangqiu 棒球
bangren 帮人
bangshou 帮手
bangshui 傍水
bangtui 绑腿
bangu 板鼓
bangwan 傍晚
bangwen 榜文
bangwu 傍午
bangxian 帮闲
bangxiong 帮凶
bangyang 榜样
bangyi 谤议
bangyong 帮佣
bangzhe 帮着
bangzhong 磅重
bangzhu 帮助
bangzhuang 棒状
bangzi 棒子
banhao 办好
banhen 斑痕
banhu 板胡
banhua 版画
banhui 班会
banhuo 拌和
banian 八年
banji 班级
banjia 搬家
banjian 半件
banjiang 颁奖
banjiao 半角
banjie 半截
banjin 搬进
banjing 半径
banjiu 斑鸠
banju 半句
banka 板卡
bankai 半开
banke 版刻
bankong 半空
bankou 版口
bankuai 板块
banlan 斑斓
banli 办理
banliang 半两
banlie 班列
banling 斑羚
banlu 半路
banlv 伴侣
banma 斑马
banmao 斑蝥
banmian 版面
banmo 瓣膜
banmu 半亩
bannian 半年
banpai 半拍
banping 半瓶
banpo 半坡
banqi 办起
banqian 搬迁
banqiang 板墙
banqiao 板桥
banqiu 半球
banquan 版权
banren 半人
banri 半日
banru 搬入
banshan 半山
banshang 半晌
banshen 半身
bansheng 半生
banshi 办事
banshou 扳手
banshu 半数
banshua 板刷
banshui 版税
bansi 半死
bansui 伴随
bantian 半天
bantiao 半条
bantong 伴同
bantou 半头
bantu 版图
banwan 办完
banwei 班委
banwen 斑纹
banwu 伴舞
banxia 半夏
banxiang 扮相
banxiao 办校
banxie 板鞋
banxing 板型
banxue 办学
banxun 班训
banyan 扮演
banye 半夜
banyi 伴以
banyin 伴音
banyou 伴有
banyuan 半圆
banyue 半月
banyun 搬运
banzai 半载
banzhang 班长
banzhe 伴着
banzhou 半轴
banzhu 版主
banzhuang 板状
banzi 板子
banzou 伴奏
banzu 班组
banzuo 扮作
baoan 保安
baoban 包办
baobao 宝宝
baobei 宝贝
baobi 包庇
baobian 褒贬
baobiao 报表
baobo 鲍勃
baocai 包菜
baocang 包藏
baoceng 薄层
baochan 包产
baochang 饱尝
baochao 包抄
baoche 包车
baochi 保持
baochou 报仇
baochu 爆出
baochuan 宝船
baochuang 刨床
baocun 保存
baocuo 报错
baoda 报答
baodan 保单
baodao 报道
baode 抱得
baodi 胞弟
baodian 宝典
baodie 暴跌
baoding 抱定
baodong 暴动
baoen 报恩
baoer 宝儿
baofa 爆发
baofei 报废
baofeng 包缝
baofu 报复
baogang 宝钢
baogao 报告
baogei 包给
baoguan 保管
baoguang 曝光
baogui 宝贵
baoguo 包裹
baohan 包含
baohao 包好
baohe 饱和
baohen 抱恨
baohou 薄厚
baohu 保护
baohua 刨花
baohuo 宝货
baoji 宝鸡
baojia 报价
baojian 保健
baojiang 褒奖
baojie 保洁
baojin 包紧
baojing 报警
baoju 保举
baojun 暴君
baokai 剥开
baokan 报刊
baokao 报考
baoke 薄壳
baoku 宝库
baokuo 包括
baolan 饱览
baole 包了
baolei 堡垒
baoli 暴力
baolian 暴敛
baoliang 保量
baolin 宝林
baoliu 保留
baolong 暴龙
baolu 暴露
baoluan 暴乱
baoluo 包罗
baoma 宝马
baoman 饱满
baomi 保密
baomin 暴民
baoming 报名
baomu 保姆
baonu 暴怒
baonuan 保暖
baonve 暴虐
baopi 报批
baopian 薄片
baopiao 包票
baoping 宝瓶
baopo 爆破
baoqi 暴起
baoqian 抱歉
baoqin 暴秦
baoqing 报请
baoqu 剥去
baoquan 保全
baoren 保人
baorong 包容
baoshai 暴晒
baoshan 宝山
baoshang 报上
baoshe 报社
baoshen 包身
baoshi 宝石
baoshou 保守
baoshu 报数
baoshui 保水
baosong 报送
baota 宝塔
baoting 报亭
baotou 包头
baotu 暴徒
baotun 胞吞
baowan 包完
baowei 包围
baowen 保温
baowu 宝物
baoxi 报喜
baoxian 保险
baoxiao 报销
baoxin 报信
baoxing 暴行
baoxiu 保修
baoxue 暴雪
baoyang 保养
baoyi 报以
baoying 报应
baoyou 保佑
baoyu 暴雨
baoyuan 抱怨
baoyue 包月
baoyun 包孕
baoza 包扎
baozai 包在
baozang 宝藏
baozao 暴躁
baozha 爆炸
baozhan 报站
baozhang 保障
baozhao 爆照
baozhe 包着
baozhen 保真
baozheng 保证
baozhi 报纸
baozhong 保重
baozhu 抱住
baozhuang 包装
baozi 包子
baozuo 宝座
bapian 八篇
baqi 八旗
baqian 八千
baqu 拔去
baquan 霸权
bashan 巴山
bashang 坝上
bashe 跋涉
basheng 八省
bashi 八十
bashou 把手
bashu 巴蜀
basong 巴松
basui 八岁
batai 八台
bate 巴特
batian 八天
batiao 八条
batou 把头
bawang 霸王
bawen 跋文
bawo 把握
baxi 巴西
baxia 拔下
baxian 八仙
baxiang 八项
baxin 靶心
baxiu 罢休
baxun 八旬
baya 拔牙
baye 霸业
bayi 八一
bayu 鲅鱼
bayue 八月
bazhan 霸占
bazhang 巴掌
bazhe 八折
bazhi 罢职
bazhong 八种
bazhou 巴州
bazhu 霸主
bazi 八字
beiai 悲哀
beian 备案
beiban 备办
beibang 被绑
beibao 背包
beibei 杯杯
beibi 卑鄙
beibian 北边
beibu 背部
beican 悲惨
beice 北侧
beicha 备查
beichao 北朝
beichen 北辰
beichou 悲愁
beichu 辈出
beichuang 悲怆
beicui 悲摧
beida 北大
beidai 背带
beidan 被单
beidao 被盗
beidi 杯底
beidong 被动
beidou 北斗
beiduan 北端
beidui 背对
beier 贝尔
beifa 北伐
beifang 北方
beifei 北非
beifen 备份
beifeng 北风
beifu 背负
beigai 杯盖
beigan 倍感
beigao 被告
beige 背个
beigu 北顾
beiguan 悲观
beiguang 背光
beiguo 北国
beihai 北海
beihan 北汉
beihao 备好
beihe 北河
beihen 悲恨
beihou 背后
beihu 北湖
beihuan 悲欢
beihuang 备荒
beiji 北极
beijia 倍加
beijian 卑贱
beijiang 北疆
beijiao 被叫
beijie 碑碣
beijin 北进
beijing 北京
beijiu 杯酒
beiju 悲剧
beijun 北军
beikao 备考
beike 贝壳
beikong 被控
beikou 被扣
beiku 悲苦
beikun 被困
beila 贝拉
beilei 贝类
beili 背离
beiliang 悲凉
beiliao 备料
beilie 卑劣
beilin 碑林
beiling 北岭
beilou 北楼
beilu 北路
beilun 悖论
beilv 倍率
beimei 北美
beimen 北门
beimeng 背盟
beimian 背面
beimin 悲悯
beiming 北冥
beimu 贝母
beining 贝宁
beiou 北欧
beipai 北派
beipan 背叛
beiping 北平
beipo 被迫
beiqi 背弃
beiqiao 北桥
beiqie 被窃
beiqing 悲情
beiqiu 悲秋
beiqu 北去
beiru 被褥
beishan 北山
beishang 悲伤
beishao 焙烧
beishen 背身
beishi 背时
beishou 备受
beishu 倍数
beishui 杯水
beisi 贝斯
beisong 北宋
beisu 被诉
beita 碑拓
beitan 悲叹
beitang 陂塘
beitao 被套
beiti 悲啼
beiting 碑亭
beitong 悲痛
beitou 背投
beitu 北图
beituo 杯托
beiwang 北望
beiwei 卑微
beiwen 碑文
beiwu 卑污
beixi 悲喜
beixiang 北向
beixie 背斜
beixin 背心
beixing 北行
beixuan 备选
beiya 北亚
beiyan 北燕
beiyang 北洋
beiyi 北移
beiying 背影
beiyong 备用
beiyou 备有
beiyuan 北苑
beiyue 北约
beiyun 背运
beizai 备灾
beizeng 倍增
beizhan 备战
beizhe 背着
beizhi 备置
beizhong 杯中
beizhou 北周
beizhu 备注
beizhuang 悲壮
beizi 杯子
beizu 备足
beizuo 碑座
benan 本案
benban 本班
benbang 本帮
benbao 本报
benben 本本
benbiao 本表
benbo 奔波
benbu 本部
bencao 本草
bence 本册
benchang 本场
bencheng 本城
benchi 奔驰
benchu 本初
benci 本次
bencun 本村
benda 本大
bendan 笨蛋
bendang 本党
bendao 奔到
bendi 本地
bendian 本店
benduan 本段
bendui 本队
benfa 本法
benfang 奔放
benfen 本分
benfu 奔赴
bengai 本该
bengbeng 蹦蹦
bengchu 蹦出
bengchuang 蹦床
bengcui 崩摧
bengdai 绷带
bengde 绷得
bengfa 迸发
benghuai 崩坏
bengji 蹦极
bengjian 迸溅
bengjie 崩解
bengjin 绷紧
bengkui 崩溃
benglie 迸裂
bengluo 崩落
bengru 泵入
bengshe 迸射
bengshuo 甭说
bengta 崩塌
bengtiao 蹦跳
benguan 本关
benguo 本国
bengzhan 泵站
bengzhe 绷着
bengzhi 绷直
bengzi 绷子
benhuan 苯环
benji 本级
benjia 本家
benjiao 苯教
benjie 本届
benjin 本金
benju 本剧
benke 本科
benlai 本来
benlei 本类
benli 本例
benling 本领
benliu 奔流
benlun 本轮
benma 奔马
benmang 奔忙
benmen 本门
benming 本名
benmo 本末
benneng 本能
bennian 本年
benpao 奔跑
benpian 本篇
benpiao 本票
benpin 本品
benqi 本期
benqian 本钱
benqu 本区
benren 本人
bensang 奔丧
bense 本色
benshang 本上
benshe 本社
benshen 本身
bensheng 本省
benshi 本事
benshu 本书
bentai 本台
bentao 本套
benteng 奔腾
benti 本体
bentiao 本条
bentu 本土
benwang 本王
benwei 本为
benwen 本文
benxi 本息
benxian 本县
benxiang 本想
benxiao 本校
benxie 奔泻
benxin 本心
benxing 本性
benye 本页
benyi 本意
benying 本应
benyong 奔涌
benyou 本有
benyuan 本源
benyue 本月
benzhang 本章
benzhe 本着
benzhen 本真
benzhi 本质
benzhong 笨重
benzhou 本周
benzhuo 笨拙
benzi 本子
benzou 奔走
benzu 本组
benzuo 本作
bian 彼岸
bianan 变暗
bianbai 变白
bianbao 变薄
bianbi 边币
bianbian 变变
bianbie 辨别
bianbo 辩驳
bianbu 遍布
biance 鞭策
biancha 变差
bianchang 边长
biancheng 变成
bianchi 鞭笞
bianchu 编出
bianchuang 编创
bianchui 边陲
bianci 编次
biancu 变粗
bianda 变大
biandan 扁担
biandao 编导
biande 变得
biandi 遍地
biandian 便殿
biandiao 变调
bianding 编订
biandong 变动
biandou 扁豆
biandu 边读
bianduan 变短
biandui 编队
biane 匾额
bianer 边儿
bianfa 变法
bianfan 便饭
bianfang 边防
bianfen 变分
bianfu 蝙蝠
biangan 变干
biangao 变高
biange 变革
biangeng 变更
biangu 变故
biangua 变卦
bianguan 边关
bianhao 编号
bianhe 汴河
bianhei 变黑
bianhong 变红
bianhou 编后
bianhu 辩护
bianhua 变化
bianhuan 变换
bianhuang 变黄
bianhui 便会
bianji 编辑
bianjian 便笺
bianjiang 边疆
bianjiao 变焦
bianjie 便捷
bianjing 边境
bianju 编剧
bianjue 便觉
biankuai 变快
biankuan 变宽
biankuang 边框
bianlai 便来
bianlan 边栏
bianlao 变老
bianle 编了
bianleng 变冷
bianli 便利
bianlian 变脸
bianliang 变量
bianlie 编列
bianlu 边路
bianlun 辩论
bianlv 变绿
bianma 编码
bianmai 变卖
bianman 变慢
bianmao 鞭毛
bianmen 边门
bianmi 便秘
bianmin 便民
bianming 辨明
bianmu 编目
biannian 编年
biannuan 变暖
bianpai 编排
bianpang 变胖
bianpao 鞭炮
bianping 扁平
bianqian 变迁
bianqiang 变强
bianqing 变轻
bianqu 编曲
bianque 扁鹊
bianre 变热
bianren 辨认
bianru 编入
bianruan 变软
bianruo 变弱
biansai 边塞
bianse 变色
bianshan 遍山
bianshang 边上
bianshao 变少
bianshen 编审
biansheng 变声
bianshi 便是
bianshou 辩手
bianshu 编书
bianshui 汴水
biansu 变速
biansuan 变酸
biansun 贬损
bianta 鞭挞
biantai 变态
bianti 变体
biantian 变甜
biantiao 便条
biantong 变通
bianwei 变为
bianwu 编舞
bianxi 辨析
bianxian 边线
bianxiang 变相
bianxiao 变小
bianxie 编写
bianxin 变心
bianxing 变形
bianxiu 编修
bianxu 便须
bianxuan 编选
bianya 变压
bianyan 边沿
bianye 遍野
bianyi 编译
bianyin 变音
bianying 变硬
bianyong 便用
bianyu 便于
bianyuan 边缘
bianzai 编在
bianzao 编造
bianzha 变诈
bianzhai 变窄
bianzhe 编者
bianzheng 辩证
bianzhi 编制
bianzhong 变种
bianzhou 汴州
bianzhu 编著
bianzhuan 编撰
bianzhuang 便装
bianzi 辫子
bianzou 变奏
bianzu 编组
bianzuan 编纂
bianzuo 变作
biaobai 表白
biaobang 标榜
biaoben 标本
biaobiao 表表
biaobing 标兵
biaoceng 表层
biaocheng 标称
biaochi 标尺
biaochu 标出
biaoda 表达
biaodi 表弟
biaodian 标点
biaoding 标定
biaogan 标杆
biaogao 标高
biaoge 表格
biaoguan 表观
biaohao 标号
biaohua 裱花
biaoji 标记
biaojia 标价
biaojie 表姐
biaojue 表决
biaoke 表壳
biaoli 表里
biaoliang 标量
biaolu 表露
biaomei 表妹
biaomian 表面
biaoming 表明
biaonei 表内
biaopai 标牌
biaopan 表盘
biaopi 表皮
biaoqian 标签
biaoqiang 标枪
biaoqing 表情
biaoshang 表上
biaosheng 飙升
biaoshi 表示
biaoshu 表述
biaoshuai 表率
biaotai 表态
biaoti 标题
biaotou 表头
biaotu 表土
biaowei 表尾
biaoxian 表现
biaoxiang 表象
biaoxing 表型
biaoxiong 表兄
biaoyan 表演
biaoyang 表扬
biaoyi 表意
biaoyin 表音
biaoyou 标有
biaoyu 标语
biaozai 标在
biaozhang 表彰
biaozhen 表针
biaozheng 表征
biaozhi 标志
biaozhu 标注
biaozhun 标准
biaozi 婊子
bibai 必败
bibang 臂膀
bibao 壁报
bibei 必备
bibi 比比
bibing 弊病
bibo 碧波
bibu 臂部
bicao 碧草
bichi 必吃
bichu 壁橱
bici 彼此
bida 比大
bidang 必当
bidao 必到
bide 必得
bideng 壁灯
bidiao 笔调
biding 必定
bidu 必读
biduan 弊端
biecheng 别称
biechu 别处
biede 别的
biege 别个
bieguai 别怪
bieguo 别国
biehao 别号
biehen 别恨
biehuan 别换
bieji 别集
biejia 别家
biejiao 蹩脚
bieju 别具
biekan 别看
bielan 别拦
bieli 别离
bielun 别论
biemen 憋闷
bieming 别名
bieniu 别扭
biequ 别去
bier 比尔
bieren 别人
biesan 瘪三
bieshi 别是
bieshu 别墅
bieshuo 别说
bieti 别提
biexin 别信
biexing 别姓
bieyang 别样
bieye 别业
bieyi 别意
bieyou 别有
biezhe 别着
biezhen 别针
biezhi 别致
biezhu 憋住
bifa 笔法
bifang 比方
bifen 比分
bifeng 避风
bigan 笔杆
bigao 比高
bige 比个
bigong 笔供
bigu 秕谷
bigua 壁挂
biguan 闭关
biguo 比过
bihe 闭合
bihou 壁厚
bihu 庇护
bihua 比画
bihuan 闭环
bihui 必会
biji 笔记
bijia 比价
bijian 鼻尖
bijiang 必将
bijiao 比较
bijin 逼近
bijing 毕竟
bijiu 必究
bikai 避开
bike 比克
bikong 鼻孔
bikou 闭口
bilao 比老
bilei 壁垒
bili 比例
bilian 必练
biliang 鼻梁
bilin 比邻
bilou 鄙陋
bilu 笔录
biluo 碧落
bilv 比率
bimei 比美
bimen 闭门
bimian 避免
biming 笔名
bimo 笔墨
bimu 闭幕
binan 避难
binbian 鬓边
binbin 彬彬
bineng 必能
binfa 鬓发
binfen 缤纷
bingbang 冰棒
bingbao 并报
bingbian 病变
bingbiao 并表
bingbing 冰冰
bingbu 兵部
bingcan 病残
bingceng 冰层
bingchang 冰场
bingche 兵车
bingchen 丙辰
bingcheng 秉承
bingchi 秉持
bingchu 并处
bingchuan 冰川
bingchuang 病床
bingcun 并存
bingdai 冰袋
bingdao 冰岛
bingdeng 冰灯
bingdi 并蒂
bingdiao 冰雕
bingding 丙丁
bingdong 冰冻
bingdou 冰斗
bingdu 病毒
binge 宾格
binger 病儿
bingfa 并发
bingfang 病房
bingfei 并非
bingfeng 冰封
bingfu 禀赋
binggai 冰盖
binggan 饼干
binggao 禀告
bingge 兵戈
binggen 病根
binggong 秉公
binggou 并购
binggu 病故
binggui 冰柜
binggun 冰棍
binghai 病害
binghe 冰河
binghu 冰壶
binghua 冰花
binghuan 病患
binghui 并会
bingji 并集
bingjia 病假
bingjian 并肩
bingjin 并进
bingjing 并经
bingju 病句
bingjun 病菌
bingku 冰窟
bingkuai 冰块
bingleng 冰冷
bingli 病例
binglian 并联
bingliang 冰凉
binglie 并列
binglin 兵临
bingling 冰凌
binglong 并拢
binglun 丙纶
bingma 兵马
bingmian 冰面
bingmo 病魔
bingpai 并排
bingpi 兵痞
bingqi 兵器
bingqie 并且
bingqing 病情
bingqiu 冰球
bingquan 兵权
bingren 病人
bingrong 病容
bingru 并入
bingruo 病弱
bingshan 冰山
bingshang 冰上
bingshen 丙申
bingshi 病史
bingshu 病树
bingshuang 冰霜
bingshui 冰水
bingsi 病死
bingsuan 丙酸
bingta 病榻
bingtai 病态
bingtang 冰糖
bingtong 病痛
bingtuan 兵团
bingtun 并吞
binguan 宾馆
bingwan 丙烷
bingwang 并网
bingwei 并未
bingxi 屏息
bingxiang 冰箱
bingxie 冰鞋
bingxin 冰心
bingxing 并行
bingxiu 病休
bingxu 并序
bingxue 冰雪
bingyi 兵役
bingyin 病因
bingying 兵营
bingyong 并用
bingyu 并于
bingyuan 病原
bingzai 兵灾
bingzhan 兵站
bingzhe 病者
bingzhen 冰镇
bingzheng 病症
bingzhi 兵制
bingzhong 并重
bingzhou 并州
bingzhu 冰柱
bingzhuang 病状
bingzuo 并作
binhai 滨海
bini 比拟
binian 比年
binjiang 滨江
binjiao 鬓角
binke 宾客
binlin 濒临
binqi 摈弃
binsi 濒死
binwei 濒危
binyang 宾阳
binyu 宾语
binzang 殡葬
binzhu 宾主
bipin 比拼
bipo 逼迫
biqi 比起
biqian 比前
biqiang 鼻腔
biran 必然
birang 避让
biren 比人
biru 比如
bisa 比萨
bisai 比赛
bise 闭塞
bishang 闭上
bishao 比少
bisheng 必胜
bishi 笔试
bishou 匕首
bishu 避暑
bishua 笔刷
bishui 碧水
bishun 笔顺
bisi 必死
bisu 鄙俗
bisuan 笔算
bisuo 闭锁
bitao 碧桃
biti 鼻涕
biting 笔挺
bitong 笔筒
bitou 笔头
biwan 臂弯
biwei 比为
biwu 比武
bixi 碧溪
bixia 陛下
bixian 必先
bixiao 碧霄
bixie 辟邪
bixin 笔芯
bixing 笔形
bixiu 必修
bixu 必须
bixuan 必选
bixue 必学
biya 比亚
biyan 闭眼
biyao 必要
biye 毕业
biyi 鄙夷
biyou 必有
biyu 比喻
biyuan 闭源
bize 逼仄
bizhai 逼债
bizhan 臂展
bizhang 壁障
bizhao 比照
bizhe 闭着
bizhen 逼真
bizheng 弊政
bizhi 壁纸
bizhong 比重
bizhu 闭住
bizi 鼻子
bizu 鼻祖
bizuo 比作
boai 博爱
boan 驳岸
boao 博鳌
bobao 播报
bobo 伯伯
bocai 菠菜
bochan 薄产
bochang 波长
bochi 驳斥
bochu 播出
bochuan 驳船
boda 拨打
bodao 驳倒
bode 博得
bodiao 剥掉
bodong 波动
bodou 搏斗
boduan 波段
boduo 剥夺
boen 波恩
boer 玻尔
bofa 勃发
bofang 播放
bofeng 波峰
bofu 伯父
bogeng 脖颈
bogu 波谷
boguang 波光
bohai 渤海
bohao 拨号
bohe 薄荷
bohen 波痕
bohua 帛画
bohui 驳回
boji 波及
bojin 铂金
bojiu 薄酒
bojue 伯爵
bokai 拨开
boke 博客
bokuan 拨款
bola 拨拉
bolan 波兰
bolang 波浪
bole 伯乐
boli 玻璃
bolin 柏林
bolun 驳论
boluo 菠萝
bomo 薄膜
bomu 伯母
bona 博纳
bopi 剥皮
bopu 波普
boqing 薄情
boqu 博取
boruo 薄弱
bosa 播撒
bosan 播散
bosha 搏杀
boshi 博士
boshu 波束
bosi 波斯
