abuzhabi 阿布扎比
balunzhihai 巴伦支海
baluokeshi 巴洛克式
bamianlaifeng 八面来风
bandongbudong 半懂不懂
bangkuoyaoyuan 膀阔腰圆
bangongbandu 半工半读
bangshangyouming 榜上有名
banguangansuan 半胱氨酸
banlaibanqu 搬来搬去
banmennongfu 班门弄斧
banmingbanan 半明半暗
bannongbanyi 半农半医
bannongshifei 搬弄是非
bansibanlv 半丝半缕
bantuerfei 半途而废
banxinbanyi 半信半疑
banzhenbanjia 半真半假
banzhenshanghan 斑疹伤寒
banzhimindi 半殖民地
baochengtielu 宝成铁路
baofengzhouyu 暴风骤雨
baogandaohu 包干到户
baojiahuhang 保驾护航
baojialiya 保加利亚
baojianliansi 胞间连丝
baojiaweiguo 保家卫国
baotiaorulei 暴跳如雷
baoxinjiuhuo 抱薪救火
baoyibodai 褒衣博带
baoyinbaoshi 暴饮暴食
baoyouhuanxiang 抱有幻想
baozhiyili 报之以李
basailuona 巴塞罗那
bashansheshui 跋山涉水
bashanshushui 巴山蜀水
bashidiyu 巴士底狱
bawangbieji 霸王别姬
beiaierlan 北爱尔兰
beibaoxianren 被保险人
beichangjianxin 备尝艰辛
beicongzhonglai 悲从中来
beidaoerchi 背道而驰
beidiaochazhe 被调查者
beiguanlizhe 被管理者
beihuiguixian 北回归线
beijiaerhu 贝加尔湖
beijinglixiang 背井离乡
beishanmianshui 背山面水
beitianminren 悲天悯人
beitongzhizhe 被统治者
beixinqiyi 背信弃义
beixuanjuquan 被选举权
beizhixingren 被执行人
benbingansuan 苯丙氨酸
benjiasuanna 苯甲酸钠
bentoubennao 笨头笨脑
benweihuobi 本位货币
benxiangbentu 本乡本土
benzouxianggao 奔走相告
bianchangmoji 鞭长莫及
bianfeiweibao 变废为宝
bianhuamoce 变化莫测
bianhuanmoce 变幻莫测
bianlaibianqu 变来变去
biantaotiyan 扁桃体炎
bianwendongwu 变温动物
bianyixingshi 便宜行事
bianzhenglunzhi 辨证论治
bianzoubianxiang 边走边想
biaoxinliyi 标新立异
bibijieshi 比比皆是
bibukeque 必不可缺
bibukeshao 必不可少
bidegele 彼得格勒
biechuxincai 别出心裁
bierbae 毕尔巴鄂
biewuqita 别无其他
biewutafa 别无他法
bigongbijing 毕恭毕敬
bilulanlv 筚路蓝缕
bimenxieke 闭门谢客
bimenzaoche 闭门造车
bimozhiyan 笔墨纸砚
bimuyangshen 闭目养神
bingbudengyu 并不等于
bingbumaodun 并不矛盾
bingburenwei 并不认为
bingbuweiguo 并不为过
bingbuxiangtong 并不相同
bingbuxuyao 并不需要
bingbuyiding 并不一定
bingbuzhidao 并不知道
bingcongkouru 病从口入
bingduojiangguang 兵多将广
bingfeiyishi 并非易事
binghuangmaluan 兵荒马乱
bingmochanshen 病魔缠身
bingqiangmazhuang 兵强马壮
bingqiangzemie 兵强则灭
bingqingyujie 冰清玉洁
bingrongxiangjian 兵戎相见
bingtianxuedi 冰天雪地
bingwubudang 并无不当
bingxingganyan 丙型肝炎
binzhirugui 宾至如归
bishangliangshan 逼上梁山
bishijiuxu 避实就虚
bishikaike 比什凯克
bisikaiwan 比斯开湾
bitelake 彼特拉克
biyiqifei 比翼齐飞
biyishuangfei 比翼双飞
biyouwoshi 必有我师
biyouzhilu 必由之路
bocaizhongchang 博采众长
bociwana 博茨瓦纳
boduolige 波多黎各
boerduoye 波尔多液
bogedafeng 博格达峰
bojiqunshu 博极群书
bolamusi 勃拉姆斯
bolanbujing 波澜不惊
bolimuqiang 玻璃幕墙
boliwaer 玻利瓦尔
boliweiya 玻利维亚
boluanfanzheng 拨乱反正
boluodihai 波罗的海
boluoniya 博洛尼亚
borandanu 勃然大怒
bositenghu 博斯腾湖
boxueduocai 博学多才
bubazhizhi 不拔之志
buchixiawen 不耻下问
bucierbie 不辞而别
bucixinku 不辞辛苦
bucixinlao 不辞辛劳
budalagong 布达拉宫
budapeisi 布达佩斯
budeqifa 不得其法
buduichenxing 不对称性
buerfamen 不二法门
buerqiaoya 布尔乔亚
bufengzhuoying 捕风捉影
bugaiqile 不改其乐
bugongzipo 不攻自破
bugouyanxiao 不苟言笑
buhanerli 不寒而栗
buhegepin 不合格品
buhuaihaoyi 不怀好意
buhuanersan 不欢而散
buhuangbumang 不慌不忙
bujiangdaoli 不讲道理
bujiaobuzao 不骄不躁
bujibuhan 不饥不寒
bujiezhiyuan 不解之缘
bujikuibu 不积跬步
bujingquexing 不精确性
bujinzetui 不进则退
bujueyuer 不绝于耳
bukanqiyou 不堪其忧
bukeduode 不可多得
bukejiuyao 不可救药
bukekaijiao 不可开交
bukemingzhuang 不可名状
bukemomie 不可磨灭
bukenixing 不可逆性
bukepianfei 不可偏废
bukeyanchuan 不可言传
bukezhilun 不可知论
bukezhuomo 不可捉摸
bulaoerhuo 不劳而获
buliaoliaozhi 不了了之
bulietani 布列塔尼
bulincijiao 不吝赐教
bulisiban 布里斯班
bulukelin 布鲁克林
buluokejiu 不落窠臼
bulusaier 布鲁塞尔
bumanbuzhi 不蔓不枝
bumanninshuo 不瞒您说
bumouerhe 不谋而合
bunengziba 不能自拔
bunengziyi 不能自已
bupianbuyi 不偏不倚
bupinghengxing 不平衡性
bupingzeming 不平则鸣
buqiadangde 不恰当地
buqieryu 不期而遇
buqierzhi 不期而至
buqieshiji 不切实际
buqingzilai 不请自来
buqiushenjie 不求甚解
buqubunao 不屈不挠
buquedingxing 不确定性
burongzhiyi 不容置疑
burushuoshi 不如说是
buruzhenggui 步入正轨
busanbusi 不三不四
bushengbuxiang 不声不响
bushezhouye 不舍昼夜
bushihaodai 不识好歹
bushishiwu 不识时务
bushizhousu 不食周粟
butongfanxiang 不同凡响
buweinongshi 不违农时
buweisuodong 不为所动
buwenbuhuo 不温不火
buwuzhengye 不务正业
buxiangshangxia 不相上下
buxiangshiying 不相适应
buxingrenshi 不省人事
buxinrenan 不信任案
buxiubianfu 不修边幅
buxucixing 不虚此行
buyaneryu 不言而喻
buyanqifan 不厌其烦
buyiburao 不依不饶
buyierfei 不翼而飞
buyierzu 不一而足
buyilehu 不亦乐乎
buyiweiran 不以为然
buyiweiyi 不以为意
buyiyuanhu 不亦远乎
buyueertong 不约而同
buyuzefei 不预则废
buzaihuaxia 不在话下
buzenmeyang 不怎么样
buzhanersheng 不战而胜
buzhanzibai 不战自败
buzhebunao 不折不挠
buzhifanji 不知凡几
buzhiqike 不知其可
buzhisuocuo 不知所措
buzhitengyang 不知疼痒
buzhiyouhan 不知有汉
buzhizhizheng 不治之症
buzuweiju 不足为据
cajianerguo 擦肩而过
cangenglengzhi 残羹冷炙
canghaisangtian 沧海桑田
canghaiyisu 沧海一粟
cangwunagou 藏污纳垢
canjuerenhuan 惨绝人寰
canruofanxing 灿若繁星
canwurendao 惨无人道
canyuanduanbi 残垣断壁
canzhizhengshi 参知政事
canzhongliangyuan 参众两院
canzhuanduanwa 残砖断瓦
caocaoqieqie 嘈嘈切切
caochongchengxiang 曹冲称象
caochuanjiejian 草船借箭
caoshuailiaoshi 草率了事
caozhangyingfei 草长莺飞
cemuershi 侧目而视
cengcengdiedie 层层叠叠
cengchubuqiong 层出不穷
cenglinjinran 层林尽染
cengluandiezhang 层峦叠嶂
chaduiluohu 插队落户
chaersidun 查尔斯顿
chakayanhu 茶卡盐湖
chakedahun 插科打诨
chanchanweiwei 颤颤巍巍
chanchanyouyou 颤颤悠悠
changgedangku 长歌当哭
changmingfugui 长命富贵
changnianleiyue 长年累月
changpiandalun 长篇大论
changranruoshi 怅然若失
changshengbushuai 长盛不衰
changshengjiangjun 常胜将军
changsuoyuyan 畅所欲言
changtongwuzu 畅通无阻
changxingwuzu 畅行无阻
changzhijiuan 长治久安
chanjiabuqing 缠夹不清
chanmianfeice 缠绵悱恻
chanqianzhenduan 产前诊断
chaochaonaonao 吵吵闹闹
chaoewancheng 超额完成
chaoshizhicai 超世之才
chaoshupailuan 超数排卵
chaozhangchaoluo 潮涨潮落
chaqiangrenyi 差强人意
chayanguanse 察言观色
chayidianer 差一点儿
chayigangzi 插一杠子
chazhihaoli 差之毫厘
chazhiqianli 差之千里
chaziyanhong 姹紫嫣红
chengbaishangqian 成百上千
chenggantiaogao 撑竿跳高
chengguxibao 成骨细胞
chenghuangchengkong 诚惶诚恐
chengjisihan 成吉思汗
chengkongdianhua 程控电话
chengpingshengshi 承平盛世
chengqianchengwan 成千成万
chengqianqihou 承前启后
chengqunjiedui 成群结队
chengrenzhiwei 乘人之危
chengshangqixia 承上启下
chengshiershang 乘势而上
chengxianqihou 承先启后
chengxuerru 乘虚而入
chengyanyuansu 成盐元素
chengzhuzaixiong 成竹在胸
chenhuodajie 趁火打劫
chenmoguayan 沉默寡言
chenxinkuaiyi 称心快意
chenxinmanyi 称心满意
chenyuluoyan 沉鱼落雁
chenzhafanqi 沉渣泛起
cheshuimalong 车水马龙
chidaguofan 吃大锅饭
chidanzhongxin 赤胆忠心
chidiqianli 赤地千里
chihepiaodu 吃喝嫖赌
chikuzaiqian 吃苦在前
chiriyanyan 赤日炎炎
chishenluti 赤身露体
chishoukongquan 赤手空拳
chixianghela 吃香喝辣
chiyibujue 迟疑不决
chiyousuoduan 尺有所短
chizhafengyun 叱咤风云
chizhiyiheng 持之以恒
chizhiyougu 持之有故
chongchongdiedie 重重叠叠
chongdaofuzhe 重蹈覆辙
chongerbuwen 充耳不闻
chongfengxianzhen 冲锋陷阵
chongfengzaiqian 冲锋在前
chonggesuanjia 重铬酸钾
chongjiantianri 重见天日
chongluandiezhang 重峦叠嶂
chongqiluzao 重起炉灶
chongshanjunling 崇山峻岭
chongyaotiaojian 充要条件
chouchengzhenkong 抽成真空
chouchumanzhi 踌躇满志
choufeibushou 抽肥补瘦
choumeikulian 愁眉苦脸
choumingzhaozhu 臭名昭著
chouyouyanji 抽油烟机
chouyuncanwu 愁云惨雾
chuanbuxihu 传不习乎
chuangzaoxingde 创造性地
chuanjianpaoli 船坚炮利
chuanjuexizi 传爵袭紫
chuanliubuxi 川流不息
chuanshanyueling 穿山越岭
chuantongyiqi 串通一气
chuanweixiaotan 传为笑谈
chuanxingjiekou 串行接口
chuanzhuodaban 穿着打扮
chubaoanliang 除暴安良
chubianbujing 处变不惊
chuchumaolu 初出茅庐
chuciyiwai 除此以外
chucizhiwai 除此之外
chuilaichuiqu 吹来吹去
chuimaoqiuci 吹毛求疵
chuitousangqi 垂头丧气
chujingshengqing 触景生情
chujiubuxin 除旧布新
chujuguimo 初具规模
chuleipangtong 触类旁通
chumouhuace 出谋划策
chumujingxin 触目惊心
chunfenghuayu 春风化雨
chunhejingming 春和景明
chunhuaqiushi 春华秋实
chunhuidadi 春回大地
chunjiaokouzao 唇焦口燥
chunlanqiuju 春兰秋菊
chunqiangshejian 唇枪舌剑
chunquqiulai 春去秋来
chunwangchihan 唇亡齿寒
chuqiangfuruo 锄强扶弱
chuqibuyi 出其不意
chuqizhisheng 出奇制胜
churentoudi 出人头地
chushengrusi 出生入死
chuzhangaojie 初战告捷
cibudayi 词不达意
cifubiqi 此伏彼起
cilubutong 此路不通
cilvsuangai 次氯酸钙
cilvsuanna 次氯酸钠
ciqibifu 此起彼伏
ciqingcijing 此情此景
ciqingkedai 此情可待
cixiaobizhang 此消彼长
cixingbianhua 词形变化
cixiongyizhu 雌雄异株
congcongrongrong 从从容容
conggenbenshang 从根本上
conggudaojin 从古到今
congjintianqi 从今天起
congjiriqi 从即日起
conglingkaishi 从零开始
congmingjueding 聪明绝顶
congnandaobei 从南到北
congnashiqi 从那时起
congnayihou 从那以后
congrongbupo 从容不迫
congshangdaoxia 从上到下
congtianerjiang 从天而降
congtoudaojiao 从头到脚
congtoudaowei 从头到尾
congtouzhiwei 从头至尾
congwozuoqi 从我做起
congwudaoyou 从无到有
congxianzaiqi 从现在起
congxiaodaoda 从小到大
congxinsuoyu 从心所欲
congyanzhidang 从严治党
congzaodaowan 从早到晚
congzongtishang 从总体上
congzuodaoyou 从左到右
couzaiyiqi 凑在一起
cuandangduoquan 篡党夺权
cuikulaxiu 摧枯拉朽
cuimeizheyao 摧眉折腰
cuirenfenjin 催人奋进
cuirenleixia 催人泪下
cuncaobusheng 寸草不生
cunguiminyue 村规民约
cunrongcunmao 村容村貌
cunyousuochang 寸有所长
cuoshoubuji 措手不及
cuzhidaye 粗枝大叶
cuzhilanzao 粗制滥造
cuzhongyouxi 粗中有细
dabanbeizi 大半辈子
dabaobuping 打抱不平
dabaodalan 大包大揽
dabuliedian 大不列颠
dabuxiangtong 大不相同
dabuyiyang 大不一样
dachedawu 大彻大悟
dadalielie 大大咧咧
dadaokuofu 大刀阔斧
dadingzhuyi 打定主意
dadongganhuo 大动肝火
dadushiquan 大都市圈
daerfuer 达尔富尔
daerwudang 大而无当
daeryanzhi 大而言之
dafeisuowen 答非所问
dagonggaocheng 大功告成
dahanghaijia 大航海家
dahanminguo 大韩民国
dahongdalv 大红大绿
dahuobujie 大惑不解
daigaomaoer 戴高帽儿
dairenjiewu 待人接物
dairenshouguo 代人受过
daitoudainao 呆头呆脑
daizaijiali 待在家里
dajiangdongqu 大江东去
dajingshise 大惊失色
dajingxiaoguai 大惊小怪
dajizhewen 答记者问
dakuairenxin 大快人心
dalailama 达赖喇嘛
damahayu 大马哈鱼
damahayu 大麻哈鱼
damashige 大马士革
damingdingding 大名鼎鼎
damudayang 大模大样
danbaizuxue 蛋白组学
dandadudou 单打独斗
danerwuwei 淡而无味
danfenziceng 单分子层
dangdejianshe 党的建设
dangdejiben 党的基本
dangdelingdao 党的领导
dangdeluxian 党的路线
dangdexingzhi 党的性质
dangerbianfeng 当耳边风
dangerpangfeng 当耳旁风
dangfenglianzheng 党风廉政
dangheguojia 党和国家
dangherenmin 党和人民
danghezhengfu 党和政府
dangjiliduan 当机立断
dangjizhengji 党纪政纪
dangqihuichang 荡气回肠
dangranwucun 荡然无存
dangrenburang 当仁不让
dangwuzhiji 当务之急
dangzhiwukui 当之无愧
danhexibao 单核细胞
danjingjielv 殚精竭虑
danjingshoupa 担惊受怕
danqiangpima 单枪匹马
danshihujiang 箪食壶浆
danwanzhidi 弹丸之地
danxiadimao 丹霞地貌
danxunhuansai 单循环赛
danyanghuawu 氮氧化物
daobushiyi 道不拾遗
daociweizhi 到此为止
daogenghuozhong 刀耕火种
daoguangjianying 刀光剑影
daojishipai 倒计时牌
daomaoanran 道貌岸然
daotingtushuo 道听途说
daoxingnishi 倒行逆施
dapingpangqiu 打乒乓球
daqianshijie 大千世界
daqiaoruozhuo 大巧若拙
daqidaluo 大起大落
daquanzaiwo 大权在握
dashafengjing 大煞风景
dashidafei 大是大非
dashisuoqu 大势所趋
dashisuowang 大失所望
dashouhuanying 大受欢迎
datingguangzhong 大庭广众
datongxiaoyi 大同小异
dawoerzu 达斡尔族
daxiangjingting 大相径庭
daxianshenshou 大显身手
daxianshenwei 大显神威
daxiebakuai 大卸八块
daxinganling 大兴安岭
daxingqidao 大行其道
dayimieqin 大义灭亲
dayingdiguo 大英帝国
dayourenzai 大有人在
dayuruzhu 大雨如注
dazhengfangzhen 大政方针
dazhiruoqu 大直若屈
debuchangshi 得不偿失
dechangsuyuan 得偿夙愿
decunjinchi 得寸进尺
dedaoduozhu 得道多助
degangaoyuan 德干高原
degaowangzhong 德高望重
deguokelong 德国科隆
deleisidun 德累斯顿
delongwangzun 德隆望尊
demiteli 德米特里
dengchashulie 等差数列
dengexuanju 等额选举
denglizitai 等离子态
dengliziti 等离子体
dengxianshizhi 等闲视之
dengzhixiantu 等值线图
detianduhou 得天独厚
dexinyingshou 得心应手
deyiwangxing 得意忘形
deyiyangyang 得意扬扬
dezhitimei 德智体美
dianjingzhibi 点睛之笔
dianlaidaoqu 颠来倒去
dianmiangonglu 滇缅公路
dianpeiliuli 颠沛流离
dianpubupo 颠扑不破
dianreshuiqi 电热水器
dianshichengjin 点石成金
diaochongxiaoji 雕虫小技
diaolianghuadong 雕梁画栋
diaoyiqingxin 掉以轻心
diaoyonghanshu 调用函数
didawubo 地大物博
diedangqifu 跌宕起伏
diershici 第二十次
diershizhang 第二十章
dierxingzheng 第二性征
difutianfan 地覆天翻
diguangrenxi 地广人稀
dihejingang 低合金钢
dijiutianchang 地久天长
dikongdaodan 地空导弹
diliboli 的黎波里
dimeishunyan 低眉顺眼
dingbenxiangjiao 丁苯橡胶
dinghaishenzhen 定海神针
dingjingxiangjiao 丁腈橡胶
dinglimobai 顶礼膜拜
dingzhouzhuandong 定轴转动
dingzuzhishi 鼎足之势
diniebohe 第聂伯河
dipiliumang 地痞流氓
diqiangworuo 敌强我弱
diqishihui 第七十回
diqiyaqu 低气压区
direnyideng 低人一等
dishengxiyu 低声细语
dishibaci 第十八次
dishibajie 第十八届
dishibazhang 第十八章
dishierhui 第十二回
dishierjie 第十二届
dishierjuan 第十二卷
dishiertiao 第十二条
dishierye 第十二夜
dishierzhang 第十二章
dishijiujie 第十九届
dishiliuhui 第十六回
dishiliuzhang 第十六章
dishiqihui 第十七回
dishiqizhang 第十七章
dishisanhui 第十三回
dishisijie 第十四届
dishisijuan 第十四卷
dishiwuzhang 第十五章
dishouruzhe 低收入者
disishihui 第四十回
dixiatouqu 低下头去
diyinqianchang 低吟浅唱
dongbeisansheng 东北三省
dongbenxizou 东奔西走
dongchanganjie 东长安街
dongdaoxiwai 东倒西歪
dongfenghuayu 东风化雨
dongjiaominxiang 东交民巷
donglaxiche 东拉西扯
dongliangzhicai 栋梁之材
donglisahu 洞里萨湖
dongnuanxialiang 冬暖夏凉
dongnuoxijie 东挪西借
dongshoudongjiao 动手动脚
dongtiaoyingji 东条英机
dongxinrenxing 动心忍性
dongzhangxiwang 东张西望
dongzhiyiqing 动之以情
dongzhongxibu 东中西部
douzheshexing 斗折蛇行
douzhidouyong 斗智斗勇
duanbicanyuan 断壁残垣
duanduanxuxu 断断续续
duanduanzhengzheng 端端正正
duanjihuazhou 断齑画粥
duanjingtuiyuan 断井颓垣
duanmuhongliang 端木蕻良
duanzijuesun 断子绝孙
duibenerfen 对苯二酚
duichuangyeyu 对床夜语
duierjiaben 对二甲苯
duihaoruzuo 对号入座
duijiudangge 对酒当歌
duiyingyigou 对映异构
duizhengxiayao 对症下药
dujiangyanshi 都江堰市
dumaixinwen 读卖新闻
dunkaimaose 顿开茅塞
dunkeerke 敦刻尔克
dunzushise 顿足失色
duocaiduoyi 多才多艺
duochangxieda 度长絜大
duochoushangan 多愁善感
duodeliangli 度德量力
duoduobiren 咄咄逼人
duoduoshanshan 躲躲闪闪
duoduoshaoshao 多多少少
duoduosuosuo 哆哆嗦嗦
duoduoyishan 多多益善
duojingruluan 多精入卵
duokuaihaosheng 多快好省
duokuangerchu 夺眶而出
duolaoduode 多劳多得
duolianshi 多利安式
duominijia 多米尼加
duopingfangmi 多平方米
duoshaonianlai 多少年来
duoyinjieci 多音节词
dupixijing 独辟蹊径
dushanqishen 独善其身
dushengzinv 独生子女
dushuyizhi 独树一帜
duwanjuanshu 读万卷书
duwusiren 睹物思人
duxingqidao 独行其道
duyiwuer 独一无二
duzhihuishi 都指挥使
eerduosi 鄂尔多斯
eerninuo 厄尔尼诺
eguaduoer 厄瓜多尔
ehaiezhou 俄亥俄州
elegangzhou 俄勒冈州
elunchunzu 鄂伦春族
eluosizu 俄罗斯族
emituofo 阿弥陀佛
epanggongfu 阿房宫赋
ercongmuming 耳聪目明
erhuameishuo 二话没说
erliuhuatan 二硫化碳
erlvjiawan 二氯甲烷
ershibaxiu 二十八宿
ershierge 二十二个
ershisishi 二十四史
ershisixiao 二十四孝
ersunmantang 儿孙满堂
ertimianming 耳提面命
eryanghuadan 二氧化氮
eryanghuagui 二氧化硅
eryanghualiu 二氧化硫
eryanghuameng 二氧化锰
eryanghuatan 二氧化碳
eryuwozha 尔虞我诈
ewenkezu 鄂温克族
eyushangren 恶语伤人
fabuegui 法不阿贵
fabuzezhong 法不责众
fahaoshiling 发号施令
fahuisuochang 发挥所长
falankefu 法兰克福
faluoqundao 法罗群岛
fanbaiweisheng 反败为胜
fanchudongwu 反刍动物
fandulinlun 反杜林论
fanersaigong 凡尔赛宫
fanfanertan 泛泛而谈
fanfanfufu 反反复复
fanfaxisi 反法西斯
fanfuchanglian 反腐倡廉
fanfuzouzu 贩夫走卒
fangbushengfang 防不胜防
fangdumianju 防毒面具
fanglangxinghai 放浪形骸
fangminzhikou 防民之口
fangnengfanying 放能反应
fangongdaosuan 反攻倒算
fangpinwenku 访贫问苦
fangxingweiai 方兴未艾
fanhuasijin 繁花似锦
fanlaifuqu 翻来覆去
fanleyifan 翻了一番
fanlongduanfa 反垄断法
fanpuguizhen 返璞归真
fanqiuzhuji 反求诸己
fanranxingwu 幡然醒悟
fanshanyueling 翻山越岭
fanshendaici 反身代词
fanshentoumo 反渗透膜
fantianfudi 翻天覆地
fantizhongwen 繁体中文
fanzuoyongli 反作用力
farenshensi 发人深思
farenshenxing 发人深省
fashankechen 乏善可陈
fawanghuihui 法网恢恢
faxisidang 法西斯党
feichengzhongqiang 非承重墙
feichufangyao 非处方药
feiduikangxing 非对抗性
feierbaha 费尔巴哈
feifanyingtian 沸反盈天
feifeiyangyang 沸沸扬扬
feifenzhicai 非分之财
feigongyouzhi 非公有制
feiguanxingxi 非惯性系
feihuangtengda 飞黄腾达
feihunshengzi 非婚生子
feijidongche 非机动车
feijingyingxing 非经营性
feijinxinsi 费尽心思
feijunshihua 非军事化
feijunshiqu 非军事区
feiliwushi 非礼勿视
feinijiren 腓尼基人
feinikesi 菲尼克斯
feipinyingqiang 妃嫔媵嫱
feiqinwangshi 废寝忘食
feiquanrizhi 非全日制
feishazoushi 飞沙走石
feitamoshu 非他莫属
feiyinglixing 非营利性
feiyisuosi 匪夷所思
feizhenzouxian 飞针走线
feizhouqixing 非周期性
fenbenglixi 分崩离析
fenbijishu 奋笔疾书
fenbugushen 奋不顾身
fenerzhizhi 分而治之
fenfayouwei 奋发有为
fenfenyangyang 纷纷扬扬
fengcanlusu 风餐露宿
fengchenxiuji 丰臣秀吉
fengchuilangda 风吹浪打
fengchuiyuda 风吹雨打
fengdongshiyan 风洞试验
fengfengkuangqu 峰峰矿区
fengfengyuyu 风风雨雨
fenggongweiji 丰功伟绩
fengherili 风和日丽
fenghuaxueyue 风花雪月
fenghuazhengmao 风华正茂
fenghuiluzhuan 峰回路转
fengkoulangjian 风口浪尖
fengmangsuoxiang 锋芒所向
fengnianguojie 逢年过节
fengpinglangjing 风平浪静
fengqiyunyong 风起云涌
fengshankailu 逢山开路
fengshanyulin 封山育林
fengtiaoyushun 风调雨顺
fengxingyishi 风行一时
fengyanghuagu 凤阳花鼓
fengyizushi 丰衣足食
fengyongerzhi 蜂拥而至
fengyubutou 风雨不透
fengyuruhui 风雨如晦
fengyurupan 风雨如磐
fengyutongzhou 风雨同舟
fengyuwuzu 风雨无阻
fenhaobucha 分毫不差
fenjiubihe 分久必合
fenmenbielei 分门别类
fenmiaobucha 分秒不差
fenneizhishi 分内之事
fenshengzuzhi 分生组织
fenshensuigu 粉身碎骨
fenshukengru 焚书坑儒
fensouertian 焚薮而田
fenzhitalai 纷至沓来
foluolida 佛罗里达
foluolunsa 佛罗伦萨
fubiwanghou 富比王侯
fucanmouzhang 副参谋长
fudandaxue 复旦大学
fudaorenjia 妇道人家
fudichouxin 釜底抽薪
fuduzisha 服毒自杀
fuerjiahe 伏尔加河
fuermosi 福尔摩斯
fuguanglveying 浮光掠影
fuguangyuejin 浮光跃金
fuguoqiangbing 富国强兵
fuhuojiedao 复活节岛
fujianchazhang 副检察长
fujiatianxia 富甲天下
fujiayifang 富甲一方
fujiniya 弗吉尼亚
fulangsuowa 弗朗索瓦
fulangxisi 弗朗西斯
fulankelin 富兰克林
fulaoxieyou 扶老携幼
fulideman 弗里德曼
fulitanghuang 富丽堂皇
fuluolunsi 弗洛伦斯
fuluosite 弗罗斯特
fuluoyide 弗洛伊德
fumushuangwang 父母双亡
fupinjikun 扶贫济困
fuqienai 夫妻恩爱
fushangjugu 富商巨贾
fushijieshi 俯拾皆是
fushijishi 俯拾即是
fushudemo 复数的模
futangdaohuo 赴汤蹈火
fuweijikun 扶危济困
fuweiyuanzhang 副委员长
fuwuqiduan 服务器端
fuxianglianpian 浮想联翩
fuyingyanghua 富营养化
fuyoubaojian 妇幼保健
fuzhengquxie 扶正祛邪
fuzhiyiju 付之一炬
fuzhiyixiao 付之一笑
gadameilin 嘎达梅林
gaiqiyizhi 改旗易帜
gaitianhuandi 改天换地
gaixianyizhe 改弦易辙
gaixieguizheng 改邪归正
gandaganpin 敢打敢拼
gandanxiangzhao 肝胆相照
ganganjingjing 干干净净
gangjintiegu 钢筋铁骨
gangjumuzhang 纲举目张
gangrenzhigang 港人治港
gangroubingji 刚柔并济
gangrouxiangji 刚柔相济
gangsaleisi 冈萨雷斯
