藏匿	cangni
荫蔽	yinbi
菡萏	handan
荫翳	yinyi
节能	jieneng
萨特	sate
英联邦	yinglianbang
节奏	jiezou
萨斯	sasi
节用	jieyong
蒸腾	zhengteng
节下	jiexia
节烈	jielie
节目	jiemu
节点	jiedian
萨满	saman
蒸汽	zhengqi
节省	jiesheng
节流	jieliu
节日	jieri
节电	jiedian
蒸发	zhengfa
荫庇	yinbi
攻子之盾	gongzizhidun
萨尔	saer
蒸锅	zhengguo
蒸馏	zhengliu
蒸饺	zhengjiao
节操	jiecao
节拍	jiepai
蒸气	zhengqi
节气	jieqi
萨拉	sala
节本	jieben
蒸笼	zhenglong
萨德	sade
节制	jiezhi
节律	jielv
茁壮	zhuozhuang
荫凉	yinliang
节录	jielu
节妇	jiefu
萨姆	samu
欧阳修	ouyangxiu
节俭	jiejian
蒸食	zhengshi
节令	jieling
节约	jieyue
巧取豪夺	qiaoquhaoduo
芭蕾	balei
鞍马劳顿	anmalaodun
茅草	maocao
戒骄戒躁	jiejiaojiezao
苔藓	taixian
芭蕉	bajiao
欧巴桑	oubasang
茅台	maotai
苔原	taiyuan
茅台酒	maotaijiu
雅马哈	yamaha
茅山	maoshan
茅屋	maowu
功能性	gongnengxing
节能灯	jienengdeng
茅庐	maolu
勤能补拙	qinnengbuzhuo
英特尔	yingteer
茅盾	maodun
蒙特利尔	mengtelier
节能减排	jienengjianpai
匹马单枪	pimadanqiang
戎马倥偬	rongmakongzong
莫桑比克	mosangbike
芭比	babi
苦工	kugong
苦苦	kuku
莽莽	mangmang
劳斯莱斯	laosilaisi
苦功	kugong
若有若无	ruoyouruowu
葳蕤	weirui
藏龙卧虎	canglongwohu
茏葱	longcong
葫芦	hulu
苦参	kushen
戎马	rongma
苦难	kunan
节奏感	jiezougan
邪不压正	xiebuyazheng
茂盛	maosheng
功成不居	gongchengbuju
蒙太奇	mengtaiqi
攻其不备	gongqibubei
艺不压身	yibuyashen
萨克斯	sakesi
邪不胜正	xiebushengzheng
苦胆	kudan
苦力	kuli
巧克力	qiaokeli
劳而无功	laoerwugong
英雄无用武之地	yingxiongwuyongwuzhidi
若干	ruogan
敬而远之	jingeryuanzhi
攻其无备	gongqiwubei
苦不堪言	kubukanyan
巧夺天工	qiaoduotiangong
若夫	ruofu
莽夫	mangfu
攻其一点	gongqiyidian
惹事	reshi
英雄辈出	yingxiongbeichu
项目	xiangmu
苦战	kuzhan
革故鼎新	gegudingxin
莽汉	manghan
荐举	jianju
苦水	kushui
苦酒	kujiu
苦海	kuhai
若是	ruoshi
苦果	kuguo
苦口	kukou
项圈	xiangquan
莱布尼茨	laibunici
项羽	xiangyu
苦恼	kunao
苦心	kuxin
世态炎凉	shitaiyanliang
苦寒	kuhan
茂密	maomi
茂名	maoming
项链	xianglian
茬儿	chaer
功成名遂	gongchengmingsui
功成名就	gongchengmingjiu
苦瓜	kugua
若有所思	ruoyousuosi
英雄所见略同	yingxiongsuojianluetong
若有所失	ruoyousuoshi
英雄气短	yingxiongqiduan
莽撞	mangzhuang
东奔西走	dongbenxizou
苦丁	kuding
功不可没	gongbukemo
东奔西跑	dongbenxipao
英雄本色	yingxiongbense
苦楚	kuchu
戎机	rongji
东成西就	dongchengxijiu
苦行	kuxing
苦笑	kuxiao
莫斯科	mosike
功成身退	gongchengshentui
苦痛	kutong
戎装	rongzhuang
惹怒	renu
萨达姆	sadamu
苦命	kuming
蒙大拿	mengdana
苦修	kuxiu
苦大仇深	kudachoushen
蔚成风气	weichengfengqi
若何	ruohe
苦主	kuzhu
苦恋	kulian
英雄豪杰	yingxionghaojie
蒙古族	mengguzu
苏式	sushi
苏菜	sucai
功臣	gongchen
藤蔓	tengwan
藤萝	tengluo
功劳	gonglao
茄子	qiezi
藤子	tengzi
苏联	sulian
散戏	sanxi
功能	gongneng
苏大	suda
莫须有	moxuyou
散布	sanbu
雅加达	yajiada
茄克	qieke
苏秦	suqin
藤县	tengxian
功力	gongli
功用	gongyong
菜地	caidi
散去	sanqu
劳力士	laolishi
苏南	sunan
散场	sanchang
功耗	gonghao
散开	sankai
苏武	suwu
功夫	gongfu
苏珊	sushan
散步	sanbu
荔波	libo
功法	gongfa
散光	sanguang
散水	sanshui
散漫	sanman
菜油	caiyou
七月流火	qiyueliuhuo
苏浙	suzhe
荔浦	lipu
荔湾	liwan
七彩虹	qicaihong
菜品	caipin
功勋	gongxun
苏轼	sushi
菜园	caiyuan
菜圃	caipu
散曲	sanqu
苏丹	sudan
散发	sanfa
散心	sanxin
菜籽	caizi
功业	gongye
散粉	sanfen
苏军	sujun
苏宁	suning
散客	sanke
切肤之痛	qiefuzhitong
菜窖	caijiao
藐视	miaoshi
菜色	caise
菜鸟	cainiao
散钱	sanqian
功名	gongming
菜馆	caiguan
黄鼠狼	huangshulang
茹毛饮血	rumaoyinxue
菜瓜	caigua
菜肴	caiyao
苏打	suda
散打	sanda
散播	sanbo
散热	sanre
散兵	sanbing
藤椅	tengyi
荔枝	lizhi
苏醒	suxing
芝加哥	zhijiage
散板	sanban
菜根	caigen
苏杭	suhang
散乱	sanluan
功德	gongde
散失	sanshi
功利	gongli
菜篮	cailan
散射	sanshe
藤条	tengtiao
散装	sanzhuang
菜单	caidan
恭贺新禧	gonghexinxi
功效	gongxiao
黄毛丫头	huangmaoyatou
苏北	subei
菜刀	caidao
散伙	sanhuo
苟且偷安	gouqietouan
散件	sanjian
苏俄	sue
苟且偷生	gouqietousheng
散人	sanren
散货	sanhuo
散结	sanjie
功绩	gongji
苏绣	suxiu
散弹	sandan
藤编	tengbian
功课	gongke
散剂	sanji
菜市	caishi
散户	sanhu
散记	sanji
苏州	suzhou
功放	gongfang
功率	gonglv
散文	sanwen
落地式	luodishi
劳动节	laodongjie
芫荽	yansui
蒜薹	suantai
芜菁	wujing
贰臣	erchen
蒜苗	suanmiao
鞋匠	xiejiang
东城区	dongchengqu
蔷薇	qiangwei
荸荠	biqi
鞋子	xiezi
靴子	xuezi
鞭子	bianzi
革职	gezhi
敬老院	jinglaoyuan
革除	gechu
花鼓戏	huaguxi
鞍马	anma
鞋套	xietao
攻无不克	gongwubuke
攻无不克战无不胜	gongwubukezhanwubusheng
若无其事	ruowuqishi
鞋面	xiemian
暮云春树	muyunchunshu
鞋架	xiejia
劳动力	laodongli
鞭毛	bianmao
巨无霸	juwuba
靶场	bachang
苇塘	weitang
勒索	lesuo
蔡元培	caiyuanpei
菱形	lingxing
落井下石	luojingxiashi
鞋带	xiedai
东南亚	dongnanya
勒死	leisi
功亏一篑	gongkuiyikui
芜湖	wuhu
劳动法	laodongfa
花露水	hualushui
鞋油	xieyou
蒜泥	suanni
暮鼓晨钟	muguchenzhong
鞋跟	xiegen
攻城略地	gongchengluedi
鞍山	anshan
恭喜发财	gongxifacai
鞭尸	bianshi
著书	zhushu
革履	gelv
鞋店	xiedian
鞭炮	bianpao
鞋底	xiedi
落地灯	luodideng
藕粉	oufen
黄埔军校	huangpujunxiao
落地窗	luodichuang
菱角	lingjiao
著名	zhuming
鞍钢	angang
墓志铭	muzhiming
鞭挞	bianta
劳教所	laojiaosuo
鞭打	bianda
莱索托	laisuotuo
鞋垫	xiedian
鞋柜	xiegui
东走西顾	dongzouxigu
靶标	babiao
东南西北	dongnanxibei
靶机	baji
著述	zhushu
鞭笞	bianchi
藿香	huoxiang
英吉利	yingjili
鞠躬	jugong
著称	zhucheng
鞭策	biance
落地生根	luodishenggen
七十年代	qishiniandai
蒜头	suantou
革新	gexin
茫无头绪	mangwutouxu
芜杂	wuza
七零八落	qilingbaluo
劳动保险	laodongbaoxian
七零八碎	qilingbasui
七老八十	qilaobashi
革命	geming
荒无人烟	huangwurenyan
著作	zhuzuo
勒令	leling
莎士比亚	shashibiya
劳动强度	laodongqiangdu
蕾丝	leisi
藕丝	ousi
黄土高原	huangtugaoyuan
花开花落	huakaihualuo
芋艿	yunai
莱芜	laiwu
七七	qiqi
芙蕖	fuqu
莱茵	laiyin
菁英	jingying
芙蓉	furong
巧匠	qiaojiang
茉莉	moli
葬花	zanghua
莱阳	laiyang
巧劲	qiaojin
莱特	laite
世事难料	shishinanliao
七雄	qixiong
七大	qida
七古	qigu
匹夫有责	pifuyouze
匡威	kuangwei
七月	qiyue
七彩	qicai
颟顸	manhan
七十	qishi
七喜	qixi
匹夫无罪	pifuwuzui
萧规曹随	xiaoguicaosui
七天	qitian
范玮琪	fanweiqi
七一	qiyi
匡正	kuangzheng
匡救	kuangjiu
七万	qiwan
黄玫瑰	huangmeigui
七点	qidian
花天酒地	huatianjiudi
七海	qihai
莱曼	laiman
巧遇	qiaoyu
苹果	pingguo
七星	qixing
七号	qihao
莱恩	laien
萧亚轩	xiaoyaxuan
共青团员	gongqingtuanyuan
巧思	qiaosi
荆轲	jingke
七层	qiceng
七情	qiqing
戈壁	gebi
工于心计	gongyuxinji
区政府	quzhengfu
匹夫之勇	pifuzhiyong
七宝	qibao
花开富贵	huakaifugui
七窍	qiqiao
葬礼	zangli
七色	qise
苛政猛于虎	kezhengmengyuhu
戈尔	geer
莱钢	laigang
戈多	geduo
七夕	qixi
匪夷所思	feiyisuosi
巧手	qiaoshou
熙来攘往	xilairangwang
莱西	laixi
荆棘	jingji
荆楚	jingchu
擎天柱	qingtianzhu
董事长	dongshizhang
功到自然成	gongdaozirancheng
七年	qinian
惹事生非	reshishengfei
匡复	kuangfu
葬身	zangshen
匡衡	kuangheng
荆条	jingtiao
七律	qilv
荼毒生灵	tudushengling
药到病除	yaodaobingchu
芋头	yutou
葬送	zangsong
东亚病夫	dongyabingfu
荆门	jingmen
巧妙	qiaomiao
七青八黄	qiqingbahuang
董事会	dongshihui
巧合	qiaohe
七个	qige
七八	qiba
七位	qiwei
七分	qifen
菁华	jinghua
葬仪	zangyi
七绝	qijue
荆州	jingzhou
巧言	qiaoyan
卧式	woshi
卧虎藏龙	wohucanglong
菲菲	feifei
菲薄	feibo
苜蓿	muxu
雅苑	yayuan
牙医	yayi
雅芳	yafang
邪祟	xiesui
牙碜	yachen
牙石	yashi
牙慧	yahui
苫布	shanbu
颐达	yida
雅克	yake
卧龙	wolong
臣服	chenfu
雅士	yashi
雅趣	yaqu
牙垢	yagou
邪教	xiejiao
雅教	yajiao
雅培	yapei
世上无难事只怕有心人	shishangwunanshizhipayouxinren
雅顿	yadun
雅致	yazhi
雅静	yajing
雅正	yazheng
雅丽	yali
邪恶	xiee
牙齿	yachi
牙龈	yayin
雅虎	yahu
牙婆	yapo
牙尖	yajian
邪淫	xieyin
雅洁	yajie
雅量	yaliang
雅号	yahao
卧车	woche
雅思	yasi
雅典	yadian
牙雕	yadiao
臣民	chenmin
牙刷	yashua
工具书	gongjushu
匪类	feilei
邪火	xiehuo
卧底	wodi
牙床	yachuang
邪魔	xiemo
雅座	yazuo
七步之才	qibuzhicai
卧室	woshi
雅安	yaan
邪神	xieshen
牙色	yase
卧铺	wopu
邪气	xieqi
雅歌	yage
菲林	feilin
工具栏	gongjulan
牙根	yagen
邪术	xieshu
匪徒	feitu
鸦片	yapian
雅乐	yayue
工具箱	gongjuxiang
牙科	yake
牙签	yaqian
牙痛	yatong
牙关	yaguan
雅意	yayi
项目部	xiangmubu
切齿痛恨	qiechitonghen
牙疼	yateng
邪道	xiedao
臣妾	chenqie
邪灵	xieling
臣僚	chenliao
牙祭	yaji
七上八下	qishangbaxia
卧倒	wodao
雅人	yaren
邪念	xienian
牙线	yaxian
莫此为甚	mociweishen
卧房	wofang
牙膏	yagao
雅言	yayan
范式	fanshi
菠菜	bocai
薄葬	bozang
茫茫	mangmang
东东	dongdong
落落	luoluo
萍萍	pingping
落草	luocao
蒲草	pucao
菠萝	boluo
落英	luoying
东莞	dongguan
东芝	dongzhi
东营	dongying
东欧	dongou
薄荷	bohe
落花	luohua
勤学苦练	qinxuekulian
落荒	luohuang
萍聚	pingju
东陵	dongling
东阳	dongyang
医学院	yixueyuan
工学院	gongxueyuan
莫泊桑	mobosang
落马	luoma
落汤鸡	luotangji
落难	luonan
落套	luotao
东胡	donghu
敬酒不吃吃罚酒	jingjiubuchichifajiu
落成	luocheng
黄雀在后	huangquezaihou
东邦	dongbang
落雁	luoyan
薄膜	baomo|bomo
东鹏	dongpeng
落脚	luojiao
东胜	dongsheng
落地	luodi
东城	dongcheng
苦海无边	kuhaiwubian
落款	luokuan
鸦雀无声	yaquewusheng
落雨	luoyu
东进	dongjin
落雷	luolei
东南	dongnan
苦海无边回头是岸	kuhaiwubianhuitoushian
落霞	luoxia
荒淫无度	huangyinwudu
薄雾	bowu
蒙混过关	menghunguoguan
落雪	luoxue
落到	luodao
藩王	fanwang
落下	luoxia
东亚	dongya
东晋	dongjin
黄粱一梦	huangliangyimeng
荡平	dangping
东夷	dongyi
东非	dongfei
落点	luodian
黄浦江	huangpujiang
东江	dongjiang
蓄水池	xushuichi
东汉	donghan
菏泽	heze
东湖	donghu
落潮	luochao
东光	dongguang
落水	luoshui
东渡	dongdu
落泊	luobo
东海	donghai
荡漾	dangyang
东洋	dongyang
黄澄澄	huangdengdeng
东流	dongliu
东瀛	dongying
东盟	dongmeng
东里	dongli
落日	luori
东临	donglin
落照	luozhao
落叶	luoye
东吴	dongwu
东路	donglu
萍踪	pingzong
东川	dongchuan
范畴	fanchou
范围	fanwei
藩国	fanguo
东四	dongsi
薄田	botian
东软	dongruan
东岸	dongan
东周	dongzhou
东山	dongshan
落网	luowang
薄层	baoceng
薄情	boqing
薄壁	baobi
落发	luofa
荧光屏	yingguangping
藻类	zaolei
东床	dongchuang
汞灯	gongdeng
荧光灯	yingguangdeng
落寞	luomo
蔽塞	bise
燕雀安知鸿鹄之志	yanqueanzhihonghuzhizhi|yanqueanzhihongguzhizhi
燕雀安知鸿鹄志	yanqueanzhihonghuzhi
暮光之城	muguangzhicheng
东家	dongjia
东宫	donggong
落实	luoshi
落空	luokong
薄礼	boli
茫然	mangran
藩镇	fanzhen
薄饼	baobing
落水狗	luoshuigou
落拓	luotuo
落后	luohou
东泉	dongquan
东岳	dongyue
落魄	luopo
莎拉	shala
东村	dongcun
东西	dongxi
范本	fanben
东楼	donglou
落枕	laozhen
蒲柳	puliu
薄板	baoban
黄粱梦	huangliangmeng
萍水相逢	pingshuixiangfeng
蒸汽机	zhengqiji
汞柱	gongzhu
东升	dongsheng
落笔	luobi
东征	dongzheng
薄片	baopian
东航	donghang
荡舟	dangzhou
东魏	dongwei
落第	luodi
落入	luoru
落差	luocha
艾滋病	aizibing
薄冰	bobing
落单	luodan
东部	dongbu
东端	dongduan
东郊	dongjiao
黄粱美梦	huangliangmeimeng
东道	dongdao
东北	dongbei
东门	dongmen
勤学好问	qinxuehaowen
荡妇	dangfu
范伟	fanwei
范例	fanli
东风	dongfeng
东华	donghua
落红	luohong
藏污纳垢	cangwunagou
东线	dongxian
薄纱	baosha
薄纸	bozhi
萍乡	pingxiang
东乡	dongxiang
薄弱	boruo
东郭	dongguo
东京	dongjing
东市	dongshi
蒲扇	pushan
东方	dongfang
萌芽	mengya
草莽	caomang
葛藤	geteng
草鞋	caoxie
蓝牙	lanya
莫邪	moye
草草	caocao
草莓	caomei
蓝莓	lanmei
草菇	caogu
草芥	caojie
草药	caoyao
草皮	caopi
蓝队	landui
莫大	moda
莫不	mobu
花里胡哨	hualihushao
幕布	mubu
草原	caoyuan
墓碑	mubei
暮春	muchun
莫斯	mosi
慕斯	musi
莫须	moxu
蓝月	lanyue
七星彩	qixingcai
草地	caodi
墓地	mudi
蓦地	mode
萌动	mengdong
幕墙	muqiang
草坪	caoping
鹊起	queqi
草场	caochang
蒙昧无知	mengmeiwuzhi
蓝雪	lanxue
草垛	caoduo
劳师动众	laoshidongzhong
暮霭	muai
蓝天	lantian
蓝靛	landian
蓝带	landai
攻坚战	gongjianzhan
蓝紫	lanzi
蓄电池	xudianchi
蓝波	lanbo
蓝光	languang
暮光	muguang
划水	huashui
莫测	moce
草堂	caotang
蓝染	lanran
草蜢	caomeng
荒时暴月	huangshibaoyue
黄晓明	huangxiaoming
昔日	xiri
草果	caoguo
蓝星	lanxing
划归	huagui
暮景	mujing
草叶	caoye
划转	huazhuan
墓园	muyuan
苹果园	pingguoyuan
蓝黑	lanhei
蓝田	lantian
草图	caotu
蓝图	lantu
草贼	caozei
草帽	caomao
花果山	huaguoshan
草屋	caowu
草书	caoshu
节日快乐	jierikuaile
蓝屏	lanping
草席	caoxi
草类	caolei
蓝底	landi
蓝灯	landeng
蓝魔	lanmo
草料	caoliao
幕府	mufu
幕宾	mubin
草案	caoan
慕容	murong
墓穴	muxue
蓝色	lanse
暮色	muse
蓦然	moran
蓝鸟	lanniao
草鱼	caoyu
蓝鲸	lanjing
蓝钻	lanzuan
莫尔	moer
莫名	moming
慕名	muming
草包	caobao
蓝狐	lanhu
蓝猫	lanmao
蓝盾	landun
募捐	mujuan
划拨	huabo
草拟	caoni
蓝白	lanbai
黄果树	huangguoshu
草棚	caopeng
草本	caoben
蓝本	lanben
草酸	caosuan
草木	caomu
鹊桥	queqiao
草根	caogen
萌生	mengsheng
暮年	munian
蔓延	manyan
惹是生非	reshishengfei
七里香	qilixiang
草种	caozhong
莫愁	mochou
划船	huachuan
划艇	huating
草稿	caogao
蓝瓶	lanping
莫逆	moni
蓝装	lanzhuang
划拳	huaquan
蓝冰	lanbing
莫问	mowen
莫道	modao
划痕	huahen
鹊巢	quechao
草创	caochuang
幕僚	muliao
葛优	geyou
草体	caoti
划伤	huashang
划分	huafen
草丛	caocong
划线	huaxian
草绳	caosheng
草纸	caozhi
草绿	caolv
茧丝	jiansi
草编	caobian
蓝衣	lanyi
蓝调	landiao
草率	caoshuai
莫言	moyan
莴苣	woju
勤苦	qinku
勤勤	qinqin
勤劳	qinlao
燕子	yanzi
或有	huoyou
勤奋	qinfen
翘足而待	qiaozuerdai
莒县	juxian
燕赵	yanzhao
莒南	junan
或者	huozhe
勤王	qinwang
燕麦	yanmai
叵测	poce
苦口婆心	kukoupoxin
勤学	qinxue
黄口小儿	huangkouxiaoer
燕雀	yanque
萍踪浪迹	pingzonglangji
或曰	huoyue
切中时弊	qiezhongshibi
落叶归根	luoyeguigen
颧骨	quangu
燕山	yanshan
茶叶蛋	chayedan
燕窝	yanwo
燕尔	yaner
勤勉	qinmian
东跑西颠	dongpaoxidian
切中要害	qiezhongyaohai
惑乱	huoluan
勤务	qinwu
萼片	epian
藏器待时	cangqidaishi
匮乏	kuifa
落叶知秋	luoyezhiqiu
莴笋	wosun
勤恳	qinken
七嘴八舌	qizuibashe
苦中作乐	kuzhongzuole
勤俭	qinjian
苦口良药	kukouliangyao
燕京	yanjing
或许	huoxu
莲藕	lianou
菌落	junluo
茵茵	yinyin
萝莉	luoli
莲蓬	lianpeng
莲花	lianhua
苗子	miaozi
莲子	lianzi
匣子	xiazi
世界卫生组织	shijieweishengzuzhi
艾略特	ailuete
莲台	liantai
世界观	shijieguan
欧罗巴	ouluoba
世界大战	shijiedazhan
萝卜	luobo
莲池	lianchi
莲湖	lianhu
苗圃	miaopu
莲心	lianxin
菌类	junlei
莲座	lianzuo
苗寨	miaozhai
世界之窗	shijiezhichuang
苦思冥想	kusimingxiang
花甲之年	huajiazhinian
蔑视	mieshi
花团锦簇	huatuanjincu
世界贸易组织	shijiemaoyizuzhi
世界杯	shijiebei
苗木	miaomu
菌株	junzhu
菌核	junhe
世界和平	shijieheping
蓝田生玉	lantianshengyu
薯片	shupian
茴香	huixiang
苗条	miaotiao
薯条	shutiao
英国人	yingguoren
苗疆	miaojiang
菌丝	junsi
苗裔	miaoyi
世界语	shijieyu
苗族	miaozu
英式	yingshi
苋菜	xiancai
黄莲	huanglian
黄莺	huangying
黄芪	huangqi
黄花	huanghua
黄芩	huangqin
茼蒿	tonghao
黄陂	huangpi
黄陵	huangling
黄皮	huangpi
贡院	gongyuan
英勇	yingyong
黄骅	huanghua
英雄	yingxiong
黄磊	huanglei
黄历	huangli
黄石	huangshi
花岗石	huagangshi
黄页	huangye
黄磷	huanglin
贡奉	gongfeng
黄龙	huanglong
英孚	yingfu
黄毛	huangmao
匝地	zadi
英魂	yinghun
黄土	huangtu
巫山云雨	wushanyunyu
英寸	yingcun
英超	yingchao
贡献	gongxian
黄埔	huangpu
英才	yingcai
英武	yingwu
东山再起	dongshanzaiqi
黄豆	huangdou
黄鹂	huangli
英烈	yinglie
黄珍	huangzhen
黄斑	huangban
共同点	gongtongdian
节骨眼	jieguyan
英法	yingfa
黄沙	huangsha
黄油	huangyou
黄汤	huangtang
黄河	huanghe
黄浦	huangpu
黄酒	huangjiu
黄海	huanghai
黄粱	huangliang
黄雀	huangque
黄蜡	huangla
英明	yingming
英里	yingli
荒山野岭	huangshanyeling
黄易	huangyi
黄果	huangguo
黄蜂	huangfeng
黄叶	huangye
黄忠	huangzhong
贡品	gongpin
英国	yingguo
黄连	huanglian
花岗岩	huagangyan
贡赋	gongfu
黄巾	huangjin
黄山	huangshan
黄冈	huanggang
黄书	huangshu
英尺	yingchi
黄精	huangjing
牙周炎	yazhouyan
黄灯	huangdeng
黄麻	huangma
匝数	zashu
黄米	huangmi
黄家	huangjia
黄宇	huangyu
英军	yingjun
黄袍	huangpao
黄鹤	huanghe
黄昏	huanghun
黄色	huangse
黄鱼	huangyu
黄鳝	huangshan
黄钻	huangzuan
英名	yingming
黄铜	huangtong
黄岛	huangdao
黄金	huangjin
英镑	yingbang
黄瓜	huanggua
英皇	yinghuang
黄泉	huangquan
黄白	huangbai
英气	yingqi
英模	yingmo
黄村	huangcun
黄酮	huangtong
黄杨	huangyang
英杰	yingjie
黄梅	huangmei
功败垂成	gongbaichuicheng
黄牛	huangniu
英年	yingnian
英制	yingzhi
贡生	gongsheng
黄片	huangpian
黄牌	huangpai
英美	yingmei
黄疸	huangdan
英姿	yingzi
黄道	huangdao
匝道	zadao
黄羊	huangyang
黄建	huangjian
黄巢	huangchao
雅典娜	yadianna
英灵	yingling
英俊	yingjun
共同体	gongtongti
英伦	yinglun
英华	yinghua
黄线	huangxian
黄纸	huangzhi
黄绿	huanglv
苦肉计	kurouji
英语	yingyu
英亩	yingmu
英豪	yinghao
黄州	huangzhou
黄帝	huangdi
英文	yingwen
蔬菜	shucai
蔚蓝	weilan
艺苑	yiyuan
巨匠	jujiang
巨子	juzi
苦心孤诣	kuxinguyi
巨大	juda
巨石	jushi
巧发奇中	qiaofaqizhong
世面	shimian
世故	shigu
巨龙	julong
世袭	shixi
世态	shitai
燕尾服	yanweifu
牙买加	yamaijia
巨力	juli
巨款	jukuan
苦尽甘来	kujinganlai
世嘉	shijia
世博	shibo
巨型	juxing
世事	shishi
世上	shishang
艺龄	yiling
黄飞鸿	huangfeihong
戈壁滩	gebitan
艺海	yihai
巨澜	julan
巨浪	julang
巨蟒	jumang
巨野	juye
草履虫	caolvchong
蔬果	shuguo
巨星	juxing
艺员	yiyuan
世兄	shixiong
巨响	juxiang
慕尼黑	munihei
世界	shijie
世情	shiqing
巨擘	jubo
巨翼	juyi
巨魔	jumo
薪尽火传	xinjinhuochuan
巨鹿	julu
世家	shijia
薄情寡义	boqingguayi
巨蟹	juxie
匠心独运	jiangxinduyun
巨鲸	jujing
匠心独具	jiangxinduju
艺名	yiming
世贸	shimao
巨树	jushu
世相	shixiang
巨贾	jugu
艺林	yilin
艺术	yishu
黄发垂髫	huangfachuitiao
世务	shiwu
世行	shihang
苦尽甜来	kujintianlai
芯片	xinpian
鞭辟入里	bianpiruli
世系	shixi
巨头	jutou
恐惧症	kongjuzheng
世间	shijian
巨兽	jushou
世交	shijiao
世尊	shizun
世道	shidao
七情六欲	qiqingliuyu
著书立说	zhushulishuo
巨灵	juling
世代	shidai
世传	shichuan
巨剑	jujian
苍翠欲滴	cangcuiyudi
劳民伤财	laominshangcai
巨像	juxiang
世风	shifeng
世仇	shichou
艺人	yiren
世人	shiren
巨人	juren
世俗	shisu
世华	shihua
苦心经营	kuxinjingying
世纪	shiji
攻心为上	gongxinweishang
巨变	jubian
工业区	gongyequ
蘑菇	mogu
工业革命	gongyegeming
蒌蒿	louhao
萨摩耶	samoye
卧床不起	wochuangbuqi
萎靡不振	weimibuzhen
营业厅	yingyeting
邪魔歪道	xiemowaidao
蔗渣	zhezha
黄庭坚	huangtingjian
萤火虫	yinghuochong
营业员	yingyeyuan
工业园	gongyeyuan
东床快婿	dongchuangkuaixu
黄灿灿	huangcancan
蔗糖	zhetang
惹火烧身	rehuoshaoshen
芝麻官	zhimaguan
营业额	yingyee
邪魔外道	xiemowaidao
