阿巴斯派	abasipai
奥札仪学派	aozhayixuepai
巴贝克起义	babeikeqiyi
巴布教派	babujiaopai
巴布派运动	babupaiyundong
巴达维教团	badaweijiaotuan
巴达维清真寺	badaweiqingzhensi
巴德利运动	badeliyundong
巴尔阿米史	baeramishi
巴尔库克派	baerkukepai
巴哈教派	bahajiaopai
巴赫曼王朝	bahemanwangchao
巴基亚安拉	bajiyaanla
巴克利教团	bakelijiaotuan
巴拉韦法特	balaweifate
巴雷利学派	baleilixuepai
八品天堂	bapintiantang
巴士拉清真寺	bashilaqingzhensi
巴颓尼叶派	batuiniyepai
巴希尔派	baxierpai
巴彦派	bayanpai
巴伊赖姆	bayilaimu
把斋	bazhai
白德尔之战	baideerzhizhan
白尔蒂党	baierdidang
白耳利	baierli
拜而思	baiersi
拜功	baigong
拜哈格史	baihageshi
白拉姆教团	bailamujiaotuan
白拉提夜	bailatiye
百雷凱提	baileikaiti
白俩	bailia
白山派	baishanpai
拜吐拉大寺	baituladasi
拜星教徒	baixingjiaotu
白衣大食	baiyidashi
白益王朝	baiyiwangchao
白优姆教团	baiyoumujiaotuan
搬阿訇	banahong
板得	bande
板桥道堂	banqiaodaotang
板桥门宦	banqiaomenhuan
保定清真西寺	baodingqingzhenxisi
保护民	baohumin
保留休妻	baoliuxiuqi
宝命真经	baomingzhenjing
包头清真大寺	baotouqingzhendasi
北山门宦	beishanmenhuan
北坞清真寺	beiwuqingzhensi
北庄门宦	beizhuangmenhuan
本体一元论	bentiyiyuanlun
本质之园	benzhizhiyuan
比达阿	bidaa
毕家场门宦	bijiachangmenhuan
比克塔西教团	biketaxijiaotuan
比勒基斯	bilejisi
比论	bilun
比一士	biyishi
表义学派	biaoyixuepai
别哈里	biehali
别玛尔	biemaer
别字经	biezijing
殡礼	binli
波哈拉派	bohalapai
波斯体	bositi
泊头市清真寺	botoushiqingzhensi
驳自然主义者	boziranzhuyizhe
布哈拉汗国	buhalahanguo
不可分割财产	bukefengecaichan
卜拉格	bolage|bulage
晡礼	buli
不谬性	bumiuxing
布维	buwei
布维希王朝	buweixiwangchao
不信表征者	buxinbiaozhengzhe
布牙麻札	buyamazha
财产监护	caichanjianhu
裁决派	caijuepai
查鲁特	chalute
缠回	chanhui
忏悔者运动	chanhuizheyundong
昌吉本地寺	changjibendisi
常惺性	changxingxing
长治清真大寺	changzhiqingzhendasi
常州清真寺	changzhouqingzhensi
超乘	chaocheng
朝功	chaogong
朝觐	chaojin
朝觐途记	chaojintuji
朝堂	chaotang
晨礼	chenli
成丁礼	chengdingli
成吉思汗传	chengjisihanchuan
重建怀圣寺记	chongjianhuaishengsiji
重修清净寺记	chongxiuqingjingsiji
崇真派	chongzhenpai
楚拉斯史	chulasishi
出散	chusan
传教师	chuanjiaoshi
传述世系	chuanshushixi
传述线索	chuanshuxiansuo
传统学科	chuantongxueke
传统主义注释	chuantongzhuyizhushi
穿头	chuantou
传闻注释	chuanwenzhushi
传贤制	chuanxianzhi
纯凯桑派	chunkaisangpai
纯穆尔吉亚派	chunmuerjiyapai
辞朝	cichao
刺马丹墓碑	cimadanmubei
存在单一论	cunzaidanyilun
存在论	cunzailun
错拜	cuobai
大阿亚图拉	daayatula
达尔阿赫德	daerahede
达尔哈尔白	daerhaerbai
达尔卡维教团	daerkaweijiaotuan
达尔苏勒赫	daersulehe
达尔伊斯兰	daeryisilan
大拱北门宦	dagongbeimenhuan
大拱北清规	dagongbeiqinggui
达哈布教团	dahabujiaotuan
大和卓传	dahezhuochuan
达加勒	dajiale
大教长	dajiaozhang|dajiaochang
怛罗斯战役	daluosizhanyi
大毛拉	damaola
大能主	danengzhu
大欧特	daoute
大赦之夜	dashezhiye
大食法	dashifa
大食教度	dashijiaodu
答失蛮	dashiman
大食遣使通唐	dashiqianshitongtang
大同清真大寺	datongqingzhendasi
达伍德	dawude
达伍德派	dawudepai
大西海里排	daxihailipai
大象之家判例	daxiangzhijiapanli
达伊	dayi
大隐遁	dayindun
大传教师	dachuanjiaoshi|dazhuanjiaoshi
待婚期	daihunqi
代净	daijing
代思塔雷	daisitalei
代言者	daiyanzhe
担保契约	danbaoqiyue
单传圣训	danchuanshengxun
单一教坊制	danyijiaofangzhi
道乘	daocheng
刀儿师傅	daoershifu
道行究竟	daohangjiujing|daohengjiujing
悼念堂	daoniantang
道堂	daotang
德尔维希	deerweixi
德加维教团	dejiaweijiaotuan
德里大清真寺	delidaqingzhensi
德里苏丹国	delisudanguo
德鲁兹派	deluzipai
德欧班德运动	deoubandeyundong
德性学	dexingxue
德性之美名	dexingzhimeiming
登霄	dengxiao
登霄节	dengxiaojie
第巴尔之战	dibaerzhizhan
迪拉尔派	dilaerpai
地名辞典	dimingcidian
底尼	dini
低念	dinian
低声派	dishengpai
迪瓦尼体	diwaniti
迪万尼	diwanni
谛言	diyan
第一理智	diyilizhi
点灯节	diandengjie
吊罐	diaoguan
定州礼拜寺	dingzhoulibaisi
东方五族史	dongfangwuzushi
东亚清真总会	dongyaqingzhenzonghui
都阿	doua
都瓦日	douwari
杜阿宜	duayi
独班	duban
督教	dujiao
渡泸之役	duluzhiyi
堵什曼	dushenman
断肢刑	duanzhixing
短作	duanzuo
顿押	dunya
趸雅四部真经	dunyasibuzhenjing
多斯梯	duositi
垛子海	duozihai
朵子海	duozihai
讹答剌事变	edalashibian
鄂依库尔会晤	eyikuerhuiwu
恩典	endian
恩霖阴	enlinyin
二阿訇	erahong
尔德	erde
尔德艾祖哈	erdeaizuha
尔德费图尔	erdefeituer
尔德节	erdejie
尔林	erlin
尔麦来	ermailai
尔埋里	ermaili
尔母兰	ermulan
尔撒	ersa
尔撒之死	ersazhisi
二氏	ershi
法版	faban
法德里教团	fadelijiaotuan
法蒂哈	fadiha
法谛哈	fadiha
法蒂玛王朝	fadimawangchao
法基尔	fajier
法令修正篇	falingxiuzhengpian
法律拟制	falvnizhi
法斯赫	fasihe
法特瓦	fatewa
法提哈	fatiha
法土买	fatumai
凡雷咀	fanleiju
反宿命论派	fansuminglunpai
泛伊斯兰运动	fanyisilanyundong
泛伊斯兰主义	fanyisilanzhuyi
翻译运动	fanyiyundong
斐达仪	feidayi
菲达因组织	feidayinzuzhi
斐尔道司	feierdaosi
斐格海	feigehai
费基	feiji
匪喇傲	feilaao
费他耶	feitaye
菲特彦	feiteyan
菲特彦兄弟会	feiteyanxiongdihui
费隐经	feiyinjing
非约定聘礼	feiyuedingpinli
非遵法派	feizunfapai
分别境	fenbiejing
芬吉王国	fenjiwangguo
分信	fenxin
凤凰山拱北	fenghuangshangongbei
封经	fengjing
封印	fengyin
封印先知	fengyinxianzhi
封斋	fengzhai
副朝	fuchao
福尔刚	fuergang
副功	fugong
副功拜	fugongbai
副教	fujiao
复临	fulin
福鲁阿	fulua
复生教义	fushengjiaoyi
辅士	fushi
抚石	fushi
富图瓦	futuwa
父系继承人	fuxijichengren
福州清真寺	fuzhouqingzhensi
嘎比勒	gabile
嘎迪西叶之战	gadixiyezhizhan
盖德尔派	gaideerpai
盖德尔夜	gaideerye
盖德里叶派	gaideliyepai
盖迪尔胡木	gaidierhumu
盖迪尔节	gaidierjie
冈志	gangzhi
高加索战争	gaojiasuozhanzheng
高念	gaonian
高声派	gaoshengpai
高赵家门宦	gaozhaojiamenhuan
格底林耶	gedilinye
格底木	gedimu
哥疾宁王朝	gejiningwangchao
革烂得	gelande
葛伦	gelun
戈伦	gelun
格亚斯	geyasi
攻克麦加之战	gongkemaijiazhizhan
公一派	gongyipai
公益瓦克夫	gongyiwakefu
古巴义清真寺	gubayiqingzhensi
古代遗迹	gudaiyiji
固定刑	gudingxing
古尔埃米尔	gueraimier
古尔邦	guerbang
古兰	gulan
古兰经	gulanjing
古兰经初解	gulanjingchujie
古兰经继承人	gulanjingjichengren
古兰经解总汇	gulanjingjiezonghui
古兰经律例	gulanjinglvli
古兰经受造说	gulanjingshouzaoshuo
古兰经无始说	gulanjingwushishuo
古兰经译解	gulanjingyijie
古那亥	gunahai
古努台	gunutai
古润礼拜寺记	gurunlibaisiji
古太白东征	gutaibaidongzheng
姑太节	gutaijie
固特卜	gutebo|gutebu
固土布	gutubu
古行	guxing
寡妇留置权	guafuliuzhiquan
光节	guangjie
光明之园	guangmingzhiyuan
光塔派	guangtapai
光阴派	guangyinpai
广元清真寺	guangyuanqingzhensi
广州之劫	guangzhouzhijie
贵阳清真寺	guiyangqingzhensi
归真	guizhen
归真要道	guizhenyaodao
归真总义	guizhenzongyi
归正仪	guizhengyi
国家继承人	guojiajichengren
国王清真大寺	guowangqingzhendasi
果园十条	guoyuanshitiao
哈比勒	habile
哈伯斯	habosi
哈底斯	hadisi
哈尔瓦提教团	haerwatijiaotuan
哈菲兹派	hafeizipai
哈夫斯王朝	hafusiwangchao
哈吉	haji
哈吉布	hajibu
哈卡姆	hakamu
哈拉吉	halaji
哈拉吉王朝	halajiwangchao
哈拉姆	halamu
哈拉目	halamu
哈里	hali
哈里发学说	halifaxueshuo
哈里发运动	halifayundong
哈俩里	haliali
哈鲁拉派	halulapai
哈录乃	halunai
哈姆丹王朝	hamudanwangchao
哈乃斐学派	hanaifeixuepai
哈尼夫	hanifu
哈尼卡	hanika
哈日哈那	harihana
哈桑清真寺	hasangqingzhensi
哈塔布派	hatabupai
哈特米教团	hatemijiaotuan
哈瓦利吉派	hawalijipai
哈宛德	hawande
哈希姆派	haximupai
哈哲尔	hazheer
哈最制	hazuizhi
海巴尔之战	haibaerzhizhan
海必布	haibibu
还补拜	haibubai
海德叶	haideye
海蒂撤	haidiche
海底也	haidiye
海富润事件	haifurunshijian
海里排	hailipai
海特乃	haitenai
海提耶	haitiye
亥亭	haiting
亥听	haiting
海推布	haituibu
海乙制	haiyizhi
罕百里学派	hanbailixuepai
罕格	hange
罕卡	hanka
罕立克教经堂	hanlikejiaojingtang
汉学派	hanxuepai
汉译宝命真经	hanyibaomingzhenjing
汉译耳木代	hanyiermudai
汉依寺	hanyisi
壕沟之战	haogouzhizhan
好娲	haowa
号召党	haozhaodang
合法子女	hefazinv
和加	hejia
合门争长	hemenzhengchang
和田宗教辩论	hetianzongjiaobianlun
合一者	heyizhe
合一中寂灭	heyizhongjimie
和约地区	heyuediqu
和卓传	hezhuochuan
和卓夏提麻札	hezhuoxiatimazha
赫资勒	hezile
黑蚩拉	heichila
黑汗王朝	heihanwangchao
黑穆斯林运动	heimusilinyundong
黑奴起义	heinuqiyi
黑山派	heishanpai
黑羊王朝	heiyangwangchao
黑衣大食	heiyidashi
黑秩尔	heizhier
黑孜尔	heizier
洪门门宦	hongmenmenhuan
洪门十戒	hongmenshijie
鸿乐府道堂	hongyuefudaotang
侯达比亚协议	houdabiyaxieyi
侯杜德	houdude
候昆	houkun
侯鲁非派	houlufeipai
侯鲁勒派	hoululepai
侯乃尼之战	hounainizhizhan
侯赛因寺	housaiyinsi
后倭马亚王朝	houwomayawangchao
后子河拱北	houzihegongbei
胡伯勒	hubole
胡达	huda
胡达万德	hudawande
扈代	hudai
虎非耶	hufeiye
胡加	hujia
胡加特伊斯兰	hujiateyisilan
胡拉米派	hulamipai
胡门门宦	humenmenhuan
呼图白	hutubai
花刺子模王国	huacizimuwangguo
化觉巷清真寺	huajuexiangqingzhensi
花市清真寺	huashiqingzhensi
华寺门宦	huasimenhuan
坏拜	huaibai
怀圣寺	huaishengsi
幻我	huanwo
黄金草原	huangjincaoyuan
黄金传系	huangjinchuanxi
回赐	huici
回回大师	huihuidashi
回辉登清真寺	huihuidengqingzhensi
回回教	huihuijiao
回回教门	huihuijiaomen
回回历法	huihuilifa
回回术	huihuishu
回辉说	huihuishuo
回回说	huihuishuo
回教考	huijiaokao
会礼	huili
回赛俩目	huisailiamu
悔悟性	huiwuxing
混合境	hunhejing
昏礼	hunli
婚姻对等	hunyinduideng
婚姻监护	hunyinjianhu
婚姻障碍	hunyinzhangai
获得说	huodeshuo
霍加派	huojiapai
霍加派教义	huojiapaijiaoyi
霍梅尼清真寺	huomeiniqingzhensi
火狱	huoyu
吉卜利里	jibolili|jibulili
吉卜特	jibote|jibute
继承顺序	jichengshunxu
继承障碍	jichengzhangai
极端派	jiduanpai
基尔瓦王朝	jierwawangchao
吉哈德	jihade
吉哈尔	jihaer
积极理智	jijilizhi
基拉发运动	jilafayundong
基沙斯	jishasi
基斯夫派	jisifupai
吉兹亚	jiziya
贾布尔派	jiabuerpai
贾卜里派	jiabolipai|jiabulipai
加德基陵墓	jiadejilingmu
加法尔派	jiafaerpai
加法尔学派	jiafaerxuepai
加赫姆派	jiahemupai
贾黑利亚	jiaheiliya
假基督	jiajidu
贾拉利伦理书	jialalilunlishu
加曼买吉提	jiamanmaijiti
加纳王国	jianawangguo
贾纳西派	jianaxipai
加日甫凯西	jiarifukaixi
加桑派	jiasangpai
伽色尼王朝	gaseniwangchao|jiaseniwangchao
加苏里教团	jiasulijiaotuan
家庭法	jiatingfa
家庭瓦克夫	jiatingwakefu
嘉兴清真寺	jiaxingqingzhensi
家语	jiayu
加兹尼王朝	jiaziniwangchao
检查官法庭	jianchaguanfating
俭可养廉碑	jiankeyanglianbei
见认	jianren
建设团结党	jianshetuanjiedang
建水清真古寺	jianshuiqingzhengusi
见证单一论	jianzhengdanyilun
叫拜	jiaobai
教乘	jiaocheng
教典诠释	jiaodianquanshi
教法根源学	jiaofagenyuanxue
教法官	jiaofaguan
教法护卫	jiaofahuwei
教法护卫详解	jiaofahuweixiangjie
教法基础	jiaofajichu
教法学	jiaofaxue
教法渊源学	jiaofayuanyuanxue
教法择要宝鉴	jiaofazeyaobaojian
教法指南	jiaofazhinan
教法自通	jiaofazitong
教阶	jiaojie
教款捷要	jiaokuanjieyao
教款微论	jiaokuanweilun
教领	jiaoling
教律学	jiaolvxue
教门八件原根	jiaomenbajianyuangen
教统说	jiaotongshuo
教心经注	jiaoxinjingzhu
教义学	jiaoyixue
教义学大纲	jiaoyixuedagang
教义学基础	jiaoyixuejichu
教义学家	jiaoyixuejia
教义与教派	jiaoyiyujiaopai
教与学原则	jiaoyuxueyuanze
教长阿訇	jiaozhangahong
接都阿	jiedoua
揭示奥秘	jieshiaomi
戒衣	jieyi
禁寺	jinsi
锦州市清真寺	jinzhoushiqingzhensi
精底格	jingdige
净礼	jingli
经名	jingming
经名子	jingmingzi
精尼	jingni
精神导师	jingshendaoshi
经堂语	jingtangyu
经学系传谱	jingxuexichuanpu
经训不悖说	jingxunbubeishuo
精英荟萃	jingyinghuicui
经注学	jingzhuxue
经注之冠	jingzhuzhiguan
经字画	jingzihua
韭菜坪门宦	jiucaipingmenhuan
救济传	jiujichuan
九龙清真寺	jiulongqingzhensi
拒绝派	jujuepai
聚礼	juli
举意	juyi
举意乜贴	juyimietie
绝对界	jueduijie
掘坑人	juekengren
卡迪法庭	kadifating
卡迪贾马阿	kadijiamaa
卡迪库达	kadikuda
卡迪里教团	kadilijiaotuan
卡尔巴拉	kaerbala
卡尔巴拉惨案	kaerbalacanan
卡尔拉姆派	kaerlamupai
卡尔马特派	kaermatepai
卡尔马特王朝	kaermatewangchao
卡尔马特运动	kaermateyundong
卡菲	kafei
卡非尔	kafeier
喀喇汗王朝	kalahanwangchao
卡拉科雍鲁	kalakeyonglu
卡拉曼王朝	kalamanwangchao
卡拉米特派	kalamitepai
卡拉米叶派	kalamiyepai
卡腊摩胡	kalamohu
卡兰达尔	kalandaer
卡兰达尔教团	kalandaerjiaotuan
喀里	kali
卡里布派	kalibupai
卡梁清真寺	kaliangqingzhensi
卡奇米蒙派	kaqimimengpai
喀什噶尔传	kashigaerchuan
喀什噶利亚史	kashigaliyashi
卡特伊派	kateyipai
卡扎尔王朝	kazhaerwangchao
卡孜	kazi
卡孜艾兰木	kaziailanmu
卡孜卡朗	kazikalang
卡孜库札提	kazikuzhati
卡孜穆夫提	kazimufuti
卡孜穆特拉克	kazimutelake
卡孜热衣斯	kazireyisi
开端章	kaiduanzhang
凯凡	kaifan
开番	kaifan
开经	kaijing
凯拉姆	kailamu
凯拉姆学	kailamuxue
凯桑派	kaisangpai
凯沙甫	kaishafu
开学阿訇	kaixueahong
开斋	kaizhai
开斋节	kaizhaijie
开斋捐	kaizhaijuan
考洛瓦克夫地	kaoluowakefudi
考证回教历史	kaozhenghuijiaolishi
克尔白	keerbai
克尔白图	keerbaitu
课功	kegong
克理默解	kelimojie
科威特大寺	keweitedasi
肯定词	kendingci
口唤	kouhuan
叩头章	koutouzhang
库布拉维教团	kubulaweijiaotuan
库不林耶	kubulinye
库德西圣训	kudexishengxun
库而西	kuerxi
库法清真寺	kufaqingzhensi
库法体	kufati
库尼卡达尔	kunikadaer
库特卜塔	kutebota|kutebuta
库特布王朝	kutebuwangchao
廓尔王朝	kuoerwangchao
拉比塔	labita
拉斐德派	lafeidepai
拉赫曼教团	lahemanjiaotuan
拉施德史	lashideshi
拉旺德派	lawangdepai
来复铭	laifuming
莱给布	laigeibu
赖吉姆	laijimu
莱麦丹	laimaidan
莱买丹	laimaidan
来苏里	laisuli
来苏黎	laisuli
兰杆瓦克夫地	langanwakefudi
蓝寺	lansi
滥斯	lansi
阆中巴巴寺	langzhongbabasi
老官川	laoguanchuan
了夜	leye
雷巴	leiba
雷沙来	leishalai
里巴特	libate
礼拜	libai
礼拜殿	libaidian
礼拜帽	libaimao
利比亚天课法	libiyatiankefa
里查姆派	lichamupai
礼乘	licheng
里达	lida
里法伊教团	lifayijiaotuan
礼法正宗	lifazhengzong
利曼	liman
历史大全	lishidaquan
历史选本	lishixuanben
历史之友	lishizhiyou
历史周期论	lishizhouqilun
隶属教坊制	lishujiaofangzhi
利息禁令	lixijinling
理性学科	lixingxueke
理学派	lixuepai
离仪	liyi
两大总纲	liangdazonggang
两弓一弦	lianggongyixian
两海	lianghai
两弧界合	lianghujiehe
两圣地教长	liangshengdijiaozhang
列班礼拜	liebanlibai
列圣	liesheng
临时婚姻	linshihunyin
临潭西道堂	lintanxidaotang
临夏八坊华寺	linxiabafanghuasi
临夏八坊王寺	linxiabafangwangsi
临夏大拱北	linxiadagongbei
灵魂	linghun
灵魂转宿说	linghunzhuansushuo
灵明堂	lingmingtang
六大使者	liudashizhe
六大信仰	liudaxinyang
六奴隶判例	liunulipanli
六牙帽	liuyamao
鲁格曼	lugeman
卢格体	lugeti
鲁哈	luha
鲁密	lumi
鲁脱	lutuo
鲁扎罕	luzhahan
鲁札罕	luzhahan
论辩学派	lunbianxuepai
洛迪王朝	luodiwangchao
骆驼之战	luotuozhizhan
罗伍泽哈	luowuzeha
驴判例	lvpanli
绿衣大食	lvyidashi
玛大	mada
马达尔教派	madaerjiaopai
马尔焉	maeryan
马赫迪运动	mahediyundong
马拉布特	malabute
麻拉目	malamu
玛利克	malike
马立克学派	malikexuepai
马里王国	maliwangguo
马鲁特	malute
马木留克王朝	mamuliukewangchao
马纳特	manate
马启西遗联	maqixiyilian
马萨拉契	masalaqi
马沙比逊奈	mashabixunnai
马什哈德	mashenhade
玛斯纳维	masinawei
玛斯友美党	masiyoumeidang
马图里迪派	matulidipai
马瓦里	mawali
马瓦立德	mawalide
麻札	mazha
麻札朝拜	mazhachaobai
麻札买吉提	mazhamaijiti
马朱斯	mazhusi
马朱者	mazhuzhe
买大严	maidayan
麦德力斯	maidelisi
麦德彦	maideyan
麦地那	maidina
麦地那篇章	maidinapianzhang
麦地那圣寺图	maidinashengsitu
麦尔卧	maierwo
麦尔彦	maieryan
麦夫利德	maifulide
买格苏代	maigesudai
买吉提	maijiti
麦加	maijia
麦加篇章	maijiapianzhang
麦加圣寺事件	maijiashengsishijian
麦克鲁海	maikeluhai
买克噜亥	maikeluhai
麦克图巴提	maiketubati
卖空权	maikongquan
买拉提布	mailatibu
买嘞欧尼	maileouni
买卖契约	maimaiqiyue
麦斯吉德	maisijide
买斯赖	maisilai
麦斯欧迪史	maisioudishi
买斯志代	maisizhidai
麦希哈	maixiha
埋西哈	maixiha
麦西赫达加勒	maixihedajiale
买宜台	maiyitai
曼杜伯	mandubo
曼吉尔	manjier
满拉	manla
曼齐克特之战	manqiketezhizhan
曼苏尔派	mansuerpai
满足性	manzuxing
毛拉	maola
毛拉维	maolawei
毛拉维教团	maolaweijiaotuan
冒提	maoti
昧真	meizhen
门宦	menhuan
门头师傅	mentoushifu
蒙卡尔	mengkaer
米尔达斯王朝	mierdasiwangchao
米哈拉布	mihalabu
米哈奈	mihanai
米卡里	mikali
米卡伊来	mikayilai
米列维	miliewei
米蒙派	mimengpai
秘密宝库	mimibaoku
秘密珍宝	mimizhenbao
秘密之园	mimizhiyuan
迷撒盖	misagai
免罪性	mianzuixing
妙界	miaojie
乜提	mieti
乜贴	mietie
乜帖	mietie
敏拜尔	minbaier
明经	mingjing
命令之主	minglingzhizhu
明意	mingyi
缪杰莱特	miujielaite
默那	mona
末世说	moshishuo
莫卧儿帝国	mowoerdiguo
穆阿麦俩特	muamailiangte|muamailiate
穆安津	muanjin
穆巴哈	mubaha
穆巴拉	mubala
穆巴拉克派	mubalakepai
木刺夷	muciyi
穆代日斯	mudairisi
穆尔吉亚派	muerjiyapai
穆尔塔之战	muertazhizhan
穆尔太齐赖派	muertaiqilaipai
穆尔西德	muerxide
穆夫提	mufuti
穆夫提门宦	mufutimenhuan
穆盖纳尔派	mugainaerpai
穆盖奈尔起义	mugainaierqiyi
穆哈吉勒	muhajile
穆哈台斯布	muhataisibu
穆罕默德	muhanmode
穆罕默德法	muhanmodefa
穆罕默德教	muhanmodejiao
穆罕默德派	muhanmodepai
穆罕默德无极	muhanmodewuji
穆罕默德真理	muhanmodezhenli
穆罕默德之光	muhanmodezhiguang
穆罕默德之路	muhanmodezhilu
穆合凯姆	muhekaimu
穆赫塔尔派	muhetaerpai
穆赫塔尔起义	muhetaerqiyi
穆基尔派	mujierpai
穆加迪德	mujiadide
穆贾希德	mujiaxide
穆卡利德	mukalide
穆拉比特	mulabite
穆拉比特王朝	mulabitewangchao
穆勒师德	muleshide
穆里德	mulide
穆里德教团	mulidejiaotuan
穆民	mumin
穆民劝善歌	muminquanshange
穆纳非格	munafeige
母撒	musa
穆萨	musa
穆沙派	mushapai
穆圣	musheng
穆士里克	mushilike
穆斯林	musilin
穆斯林法	musilinfa
穆斯林公社	musilingongshe
穆斯林离婚法	musilinlihunfa
穆斯林在线	musilinzaixian
穆斯塔里派	musitalipai
木速蛮	musuman
穆塔尔	mutaer
穆塔瓦利	mutawali
穆台凯里姆	mutaikailimu
穆太萨维夫	mutaisaweifu
穆太沙比哈	mutaishabiha
木提外力	mutiwaili
穆瓦希德	muwaxide
穆瓦希德王朝	muwaxidewangchao
木希普	muxipu
穆札巴纳	muzhabana
穆智台希德	muzhitaixide
拿参悟	nacanwu
拿赫鲁宛之战	naheluwanzhizhan
纳基尔	najier
纳加尔派	najiaerpai
纳贾夫	najiafu
纳家营清真寺	najiayingqingzhensi
纳萨斐宇宙论	nasafeiyuzhoulun
纳赛里编年史	nasailibiannianshi
纳赛里伦理书	nasaililunlishu
拿手	nashou
纳斯赫体	nasiheti
纳瓦维	nawawei
纳乌斯派	nawusipai
纳伊布	nayibu
乃宾依	naibinyi
乃非伊思巴提	naifeiyisibati
奈赫莱之战	naihelaizhizhan
乃玛子	naimazi
乃玛孜	naimazi
奈斯尔	naisier
乃随卜	naisuibu
乃索拉	naisuola
奈伊莱	naiyilai
南川门宦	nanchuanmenhuan
南蕃回回	nanbohuihui|nanfanhuihui
内邦克	neibangke
内德	neide
内五常	neiwuchang
内学派	neixuepai
尼查尔派	nichaerpai
尼查尔派教义	nichaerpaijiaoyi
尼卡罕	nikahan
拟人派	nirenpai
拟人说	nirenshuo
尼札米亚法庭	nizhamiyafating
念功	niangong
念夜	nianye
宁波清真古寺	ningboqingzhengusi
奴阿洪拱北	nuahonggongbei
奴尔	nuer
努尔王朝	nuerwangchao
努海	nuhai
奴卡巴	nukaba
努克塔维派	nuketaweipai
努赛里派	nusailipai
女圣忌	nvshengji
女圣洁者	nvshengjiezhe
女圣徒	nvshengtu
欧杜尔	ouduer
欧尔大木麻札	ouerdamumazha
欧盖伊勒王朝	ougaiyilewangchao
欧古巴特	ougubate
欧莱玛	oulaima
欧鲁安派	ouluanpai
欧麦勒	oumaile
欧萨	ousa
欧舍尔	ousheer
欧宰尔	ouzaier
排除原则	paichuyuanze
派罕巴尔	paihanbaer
潘吉皮尔派	panjipierpai
叛教罪	panjiaozui
旁格清真寺	panggeqingzhensi
配贤	peixian
辟尔	pier
辟尔穆冈	piermugang
皮斯乃玛兹	pisinaimazi
拼凑法	pincoufa
普慈	puci
普慈特慈	puciteci
普哈丁墓	puhadingmu
