爱就爱我一辈子	aijiuaiwoyibeizi
呜呜呜	wuwuwu
无意思	wuyisi
先依你	xianyini
想爱你很久	xiangainihenjiu
想和你去吹吹风	xiangheniquchuichuifeng
想你就爱你	xiangnijiuaini
想你就是爱你	xiangnijiushiaini
想你哦	xiangnio
想你一生	xiangniyisheng
想念你	xiangnianni
想念你的爱	xiangniannideai
相思无用	xiangsiwuyong
想我就爱我吧	xiangwojiuaiwoba
想我久一点	xiangwojiuyidian
谢谢你爱过我	xiexieniaiguowo
辛苦了	xinkule
心心相印	xinxinxiangyin
要想你	yaoxiangni
一起走吧	yiqizouba
一生就爱你一个	yishengjiuainiyige
一生就爱你一人	yishengjiuainiyiren
一生一世	yishengyishi
一生一世就爱我	yishengyishijiuaiwo
一世情	yishiqing
意思意思	yisiyisi
一往情深	yiwangqingshen
一厢情愿	yixiangqingyuan
一心一意	yixinyiyi
永久爱你	yongjiuaini
原谅我	yuanliangwo
约会用语	yuehuiyongyu
再见日语	zaijianriyu
早安	zaoan
真心真意	zhenxinzhenyi
钟爱一生	zhongaiyisheng
最爱是你	zuiaishini
