安全生产	anquanshengchan
政治建设	zhengzhijianshe
政资分开	zhengzifenkai
支农惠农政策	zhinonghuinongzhengce
知情权	zhiqingquan
执行力	zhixingli
质询	zhixun
中国特色	zhongguotese
中国特色城镇化道路	zhongguotesechengzhenhuadaolu
中国特色农业现代化道路	zhongguotesenongyexiandaihuadaolu
中国特色社会主义	zhongguoteseshehuizhuyi
中国特色社会主义理论体系	zhongguoteseshehuizhuyililuntixi
中国特色新兴工业化道路	zhongguotesexinxinggongyehuadaolu
中国特色政治发展道路	zhongguotesezhengzhifazhandaolu
中国特色自主创新道路	zhongguotesezizhuchuangxindaolu
中华民族伟大复兴	zhonghuaminzuweidafuxing
终身学习	zhongshenxuexi
重要战略机遇期	zhongyaozhanluejiyuqi
主体地位	zhutidiwei
主体功能区	zhutigongnengqu
住有所居	zhuyousuoju
转变发展方式	zhuanbianfazhanfangshi
转变经济发展方式	zhuanbianjingjifazhanfangshi
自谋职业	zimouzhiye
资源节约型	ziyuanjieyuexing
资源节约型社会	ziyuanjieyuexingshehui
自治机制	zizhijizhi
自主创新能力	zizhuchuangxinnengli
自主创业	zizhuchuangye
最低生活保障制度	zuidishenghuobaozhangzhidu
尊重差异	zunzhongchayi
